study	bioproject	access	run	file	file_size_gb	experiment	experiment_title	strategy	platform	sample	biosample
HRA006761	PRJCA023797	Controlled	HRR1529735	HRR1529735_r2.fq.gz	2.98	HRX1197709	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-1	RNA-Seq	Illumina Nextseq 550	HRS1057993	SAMC3417605
HRA006761	PRJCA023797	Controlled	HRR1529736	HRR1529736_f1.fq.gz	3.00	HRX1197710	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-2	RNA-Seq	Illumina Nextseq 550	HRS1057994	SAMC3417606
HRA006761	PRJCA023797	Controlled	HRR1529736	HRR1529736_r2.fq.gz	2.95	HRX1197710	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-2	RNA-Seq	Illumina Nextseq 550	HRS1057994	SAMC3417606
HRA006761	PRJCA023797	Controlled	HRR1529737	HRR1529737_f1.fq.gz	2.98	HRX1197711	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-3	RNA-Seq	Illumina Nextseq 550	HRS1057995	SAMC3417607
HRA006761	PRJCA023797	Controlled	HRR1529737	HRR1529737_r2.fq.gz	3.11	HRX1197711	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-3	RNA-Seq	Illumina Nextseq 550	HRS1057995	SAMC3417607
HRA006761	PRJCA023797	Controlled	HRR1529738	HRR1529738_f1.fq.gz	3.17	HRX1197712	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-4	RNA-Seq	Illumina Nextseq 550	HRS1057996	SAMC3417608
HRA006761	PRJCA023797	Controlled	HRR1529738	HRR1529738_r2.fq.gz	3.35	HRX1197712	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-4	RNA-Seq	Illumina Nextseq 550	HRS1057996	SAMC3417608
HRA006761	PRJCA023797	Controlled	HRR1529739	HRR1529739_f1.fq.gz	3.09	HRX1197713	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-5	RNA-Seq	Illumina Nextseq 550	HRS1057997	SAMC3417609
HRA006761	PRJCA023797	Controlled	HRR1529739	HRR1529739_r2.fq.gz	2.76	HRX1197713	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-5	RNA-Seq	Illumina Nextseq 550	HRS1057997	SAMC3417609
HRA006761	PRJCA023797	Controlled	HRR1529740	HRR1529740_f1.fq.gz	3.37	HRX1197714	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-6	RNA-Seq	Illumina Nextseq 550	HRS1057998	SAMC3417610
HRA006761	PRJCA023797	Controlled	HRR1529740	HRR1529740_r2.fq.gz	3.01	HRX1197714	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-6	RNA-Seq	Illumina Nextseq 550	HRS1057998	SAMC3417610
HRA006761	PRJCA023797	Controlled	HRR1529741	HRR1529741_f1.fq.gz	2.90	HRX1197715	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-7	RNA-Seq	Illumina Nextseq 550	HRS1057999	SAMC3417611
HRA006761	PRJCA023797	Controlled	HRR1529741	HRR1529741_r2.fq.gz	2.88	HRX1197715	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-7	RNA-Seq	Illumina Nextseq 550	HRS1057999	SAMC3417611
HRA006761	PRJCA023797	Controlled	HRR1529742	HRR1529742_f1.fq.gz	3.36	HRX1197716	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-8	RNA-Seq	Illumina Nextseq 550	HRS1058000	SAMC3417612
HRA006761	PRJCA023797	Controlled	HRR1529742	HRR1529742_r2.fq.gz	2.91	HRX1197716	Single-cell snalysis of cells from non-recurrent malignant pleural effusion-8	RNA-Seq	Illumina Nextseq 550	HRS1058000	SAMC3417612
