from	to
CEACAM8	CEACAM5
CEACAM8	CEACAM1
CEACAM8	BTN2A2
CEACAM8	PTPRO
CEL	CXCR4
CER1	MRC2
CFAP54	CADM3
CFC1	ACVR1B
CFC1	ACVR2A
CFD	CFB
CFH	CFB
CFH	ITGAM
CFH	SELL
CFP	NCR1
CGA	FSHR
CGA	LHCGR
CGA	TSHR
CGA	ADCYAP1R1
CGA	RAMP3
CGA	RAMP2
CGA	ADRB2
CGA	PTH1R
CGA	VIPR1
CGA	ADRB3
CGA	GPR20
CGA	GPR84
CGB3	LHCGR
CGB7	LHCGR
CHAD	ITGA2
CHAD	ITGB1
CHL1	CNTN5
CHL1	CNTN1
CHL1	SIRPA
CHL1	TMEM132A
CIB1	ITGA2B
CIB1	ITGB3
CKLF	CCR4
CKLF	LRP6
CLCF1	IL6ST
CLCF1	CNTFR
CLCF1	LIFR
CLCF1	CRLF1
CLCF1	SORL1
CLDN1	CLDN2
CLDN1	MMP2
CLDN11	CLDN11
CLDN14	CLDN16
CLDN16	CLDN19
CLDN19	CLDN9
CLDN19	CLDN8
CLDN19	CLDN6
CLDN19	CLDN7
CLDN2	CLDN3
CLDN24	CLDN24
CLDN3	CLDN1
CLEC11A	ITGA10
CLEC11A	ITGA11
CLEC11A	ITGB1
CLEC11A	KIT
CLEC2A	KLRF2
CLEC2A	KLRB1
CLEC2B	KLRF1
CLEC2B	KLRB1
CLEC2D	KLRB1
CLEC2L	NCAM1
CLEC2L	IGSF11
CLEC2L	KLRB1
CLEC3A	CLEC10A
CLEC3A	CLEC2B
CLEC4G	LAG3
CLMP	JAML
CLU	LRP2
CLU	TREM2
CLUL1	GPR55
CMTM8	EGFR
CNMD	PTPRD
CNTF	CRLF1
CNTF	CNTFR
CNTF	IL6ST
CNTF	LIFR
CNTF	IL6R
CNTN1	MCAM
CNTN1	NOTCH1
CNTN1	NRCAM
CNTN1	NOTCH2
CNTN1	PTPRZ1
CNTN1	SGCG
CNTN1	IL23R
CNTN1	FCGRT
CNTN1	PCDHB7
CNTN1	NFASC
CNTN1	CHL1
CNTN2	CNTN2
CNTN2	L1CAM
CNTN2	CNTNAP2
CNTN2	CNTN1
CNTN2	NRCAM
CNTN2	NRP1
CNTN2	KREMEN1
CNTN3	APLP1
CNTN3	APP
CNTN3	PTPRG
CNTN4	PTPRG
CNTN4	APLP1
CNTN4	APP
CNTN4	LVRN
CNTN5	IL1RAPL1
CNTN5	IL1RAPL2
CNTN5	CHL1
CNTN5	PTPRG
CNTN5	FAM187A
CNTN5	SPACA6
CNTN5	SLAMF1
CNTN5	TMEM81
CNTN6	NOTCH1
CNTN6	PTPRG
COL10A1	LAIR1
COL10A1	ITGA1
COL10A1	ITGB1
COL10A1	ITGA2
COL10A1	ITGA10
COL10A1	ITGA11
COL11A1	DDR1
COL11A1	ITGA1
COL11A1	ITGB1
COL11A1	ITGA2
COL11A1	ITGA10
COL11A1	ITGA11
COL11A2	ITGA1
COL11A2	ITGB1
COL11A2	ITGA2
COL11A2	ITGA10
COL11A2	ITGA11
COL12A1	ITGA1
COL12A1	ITGB1
COL12A1	ITGA2
COL12A1	ITGA10
COL12A1	ITGA11
COL13A1	ITGA1
COL13A1	ITGB1
COL13A1	ITGA2
COL13A1	ITGA10
COL13A1	ITGA11
COL14A1	CD44
COL14A1	ITGA1
COL14A1	ITGB1
COL14A1	ITGA2
COL14A1	ITGA10
COL14A1	ITGA11
COL15A1	ITGA1
COL15A1	ITGB1
COL15A1	ITGA2
COL15A1	ITGA10
COL15A1	ITGA11
COL16A1	ITGA1
COL16A1	ITGB1
COL16A1	ITGA2
COL16A1	ITGA10
COL16A1	ITGA11
COL17A1	ITGA1
COL17A1	ITGB1
COL17A1	ITGA2
COL17A1	ITGA10
COL17A1	ITGA11
COL18A1	ITGB1
COL18A1	GPC4
COL18A1	KDR
COL18A1	GPC1
COL18A1	ITGA5
COL18A1	PTPRS
COL18A1	ITGA1
COL18A1	ITGA2
COL18A1	ITGA10
COL18A1	ITGA11
COL19A1	ITGA1
COL19A1	ITGB1
COL19A1	ITGA2
COL19A1	ITGA10
COL19A1	ITGA11
COL1A1	GP6
COL1A1	ITGA3
COL1A1	ITGA9
COL1A1	ITGAV
COL1A1	ITGB8
COL1A1	SDC1
COL1A1	DDR1
COL1A1	ITGA5
COL1A1	CD93
COL1A1	CD36
COL1A1	DDR2
COL1A1	CD44
COL1A1	TMPRSS6
COL1A1	ITGA2
COL1A1	ITGA1
COL1A1	ITGB1
COL1A1	ITGA11
COL1A1	ITGA10
COL1A2	CD44
COL1A2	ITGB3
COL1A2	CD36
COL1A2	CD93
COL1A2	ITGA2B
COL1A2	DDR1
COL1A2	ITGA1
COL1A2	ITGA11
COL1A2	ITGB1
COL1A2	ITGA2
COL1A2	ITGA10
COL20A1	ITGA1
COL20A1	ITGB1
COL20A1	ITGA2
COL20A1	ITGA10
COL20A1	ITGA11
COL21A1	ITGA1
COL21A1	ITGB1
COL21A1	ITGA2
COL21A1	ITGA10
COL21A1	ITGA11
COL22A1	ITGA1
COL22A1	ITGB1
COL22A1	ITGA2
COL22A1	ITGA10
COL22A1	ITGA11
COL24A1	ITGA1
COL24A1	ITGB1
COL24A1	ITGA2
COL24A1	ITGA10
COL24A1	ITGA11
COL26A1	ITGA1
COL26A1	ITGB1
COL26A1	ITGA2
COL26A1	ITGA10
COL26A1	ITGA11
COL27A1	ITGA1
COL27A1	ITGB1
COL27A1	ITGA2
COL27A1	ITGA10
COL27A1	ITGA11
COL28A1	ITGA1
COL28A1	ITGB1
COL28A1	ITGA2
COL28A1	ITGA10
COL28A1	ITGA11
COL2A1	CD44
COL2A1	GP6
COL2A1	ITGA3
COL2A1	ITGA9
COL2A1	ITGAV
COL2A1	ITGB8
COL2A1	SDC1
COL2A1	MAG
COL2A1	DDR1
COL2A1	TNFRSF10A
COL2A1	ITGA2B
COL2A1	ITGA2
COL2A1	ITGA10
COL2A1	ITGB1
COL2A1	ITGA1
COL2A1	ITGA11
COL3A1	DDR2
COL3A1	MAG
COL3A1	DDR1
COL3A1	ITGA1
COL3A1	ITGB1
COL3A1	ITGA2
COL3A1	ITGA10
COL3A1	ITGA11
COL4A1	ITGB8
COL4A1	CD93
COL4A1	ITGAV
COL4A1	ITGA2
COL4A1	ITGB1
COL4A1	ITGA1
COL4A1	ITGA10
COL4A1	ITGA11
COL4A2	ITGB3
COL4A2	CD93
COL4A2	ITGB5
COL4A2	DDR1
COL4A2	DDR2
COL4A2	ITGA2
COL4A2	ITGB1
COL4A2	ITGA1
COL4A2	ITGA10
COL4A2	ITGA11
COL4A3	ITGB3
COL4A3	CD93
COL4A3	ITGAV
COL4A3	CD47
COL4A3	ITGA2
COL4A3	ITGB1
COL4A3	ITGA1
COL4A3	ITGA10
COL4A3	ITGA11
COL4A3	ITGB8
COL4A4	ITGB3
COL4A4	CD93
COL4A4	ITGAV
COL4A4	CD47
COL4A4	DDR1
COL4A4	DDR2
COL4A4	ITGA2
COL4A4	ITGB1
COL4A4	ITGA1
COL4A4	ITGA10
COL4A4	ITGA11
COL4A5	CD47
COL4A5	CD93
COL4A5	ITGAV
COL4A5	DDR2
COL4A5	DDR1
COL4A5	ITGA1
COL4A5	ITGB1
COL4A5	ITGA2
COL4A5	ITGA10
COL4A5	ITGA11
COL4A6	CD93
COL4A6	ITGAV
COL4A6	CD47
COL4A6	DDR2
COL4A6	DDR1
COL4A6	ITGA2
COL4A6	ITGB1
COL4A6	ITGA1
COL4A6	ITGA10
COL4A6	ITGA11
COL5A1	SDC3
COL5A1	DDR2
COL5A1	SDC1
COL5A1	CD93
COL5A1	DDR1
COL5A1	LAIR1
COL5A1	ITGA1
COL5A1	ITGB1
COL5A1	ITGA2
COL5A1	ITGA10
COL5A1	ITGA11
COL5A2	DDR1
COL5A2	DDR2
COL5A2	SDC1
COL5A2	CD93
COL5A2	LAIR1
COL5A2	ITGA1
COL5A2	ITGB1
COL5A2	ITGA2
COL5A2	ITGA10
COL5A2	ITGA11
COL5A3	SDC3
COL5A3	CD93
COL5A3	DDR2
COL5A3	DDR1
COL5A3	SDC1
COL5A3	ITGA1
COL5A3	ITGB1
COL5A3	ITGA2
COL5A3	ITGA10
COL5A3	ITGA11
COL6A1	ITGA6
COL6A1	ITGA1
COL6A1	ITGB1
COL6A1	ITGA2
COL6A1	ITGA10
COL6A1	ITGA11
COL6A2	ITGA1
COL6A2	ITGB1
COL6A2	ITGA2
COL6A2	ITGA10
COL6A2	ITGA11
COL6A3	ITGA1
COL6A3	ITGB1
COL6A3	ITGA2
COL6A3	ITGA10
COL6A3	ITGA11
COL6A5	ITGA1
COL6A5	ITGB1
COL6A5	ITGA2
COL6A5	ITGA10
COL6A5	ITGA11
COL6A6	ITGA1
COL6A6	ITGB1
COL6A6	ITGA2
COL6A6	ITGA10
COL6A6	ITGA11
COL7A1	ITGA1
COL7A1	ITGB1
COL7A1	ITGA2
COL7A1	ITGA10
COL7A1	ITGA11
COL8A1	ITGA1
COL8A1	ITGA2
COL8A1	DDR1
COL8A1	ITGB1
COL8A1	ITGA10
COL8A1	ITGA11
COL8A2	SLC4A11
