ligand	receptor	pathway	n_patients	median_delta	mean_delta	mean_score_high	mean_score_low	frac_pass_high	frac_pass_low	pval	padj
CD320	JAML	other	6	-0.012025615200400352	-0.0160664285843571	0.22418558411300182	0.24025201269735894	0.8333333333333334	0.8333333333333334	0.21875	0.4144736842105263
ALCAM	CD6	other	7	-0.006790146231651306	-0.05161394937230008	0.45847490962062565	0.5100888589929257	1.0	0.8571428571428571	0.9375	1.0
PTGES2	PTGER4	other	8	-0.002112535759806633	-0.0030867415480315685	0.35595958726480603	0.3590463288128376	1.0	1.0	0.84375	1.0
COL27A1	ITGA1+ITGB1	other	4	0.0006482526659965515	-0.006947888061404228	0.3207743242383003	0.32772221229970455	1.0	1.0	1.0	1.0
LIPA	RORA	other	8	0.0014468058943748474	-0.003240017220377922	0.3904717874247581	0.393711804645136	0.875	1.0	0.9453125	1.0
HFE	TFRC	other	7	0.003246057778596878	0.005431853500860078	0.2592853887804917	0.2538535352796316	0.8571428571428571	0.8571428571428571	0.6875	0.8492647058823529
SPP1	ITGA4+ITGB1	other	6	0.00429404154419899	0.018369656056165695	0.5407585681726536	0.5223889121164879	0.8333333333333334	1.0	0.84375	1.0
COL1A1	ITGA1+ITGB1	other	7	0.004339044913649559	0.02808469906449318	0.3299033106969936	0.3018186116325004	0.8571428571428571	0.8571428571428571	0.375	0.5131316489361702
LGALS9	HAVCR2	other	8	0.004791006445884705	-0.011339775752276182	0.36519494093954563	0.3765347166918218	1.0	1.0	1.0	1.0
LGALS9	P4HB	other	8	0.004791006445884705	-0.011339775752276182	0.35239974968135357	0.36373952543362975	1.0	1.0	1.0	1.0
COL4A5	ITGA1+ITGB1	other	6	0.008272022008895874	-0.004477878101170063	0.3694460429251194	0.37392392102628946	1.0	0.8333333333333334	1.0	1.0
CD58	CD2	other	8	0.008284540846943855	0.010560809634625912	1.1953003723174334	1.1847395626828074	1.0	0.875	0.1484375	0.3515625
DHCR24	RORA	other	8	0.00930892676115036	0.027141084894537926	0.592235904186964	0.5650948192924261	1.0	1.0	0.3828125	0.5131316489361702
SEMA4D	PTPRC	other	8	0.00969086866825819	0.017065076011931524	1.3778040121251252	1.3607389361131936	0.875	0.625	0.1953125	0.4144736842105263
PVR	CD96	other	6	0.011047257110476494	0.016966671993335087	0.6390399370963374	0.6220732651030024	1.0	1.0	0.15625	0.3515625
PVR	TIGIT	other	6	0.011047257110476494	0.016966671993335087	0.5526561249668399	0.5356894529735049	1.0	1.0	0.15625	0.3515625
PVR	CD226	other	5	0.011318668723106384	0.021540430188179017	0.23507733903825284	0.21353690885007381	1.0	1.0	0.125	0.315
ICAM1	ITGAL	other	8	0.01569649949669838	0.0368234597845003	0.5594031836371869	0.5225797238526866	0.875	0.625	0.0078125	0.09843750000000001
ICAM1	ITGAL+ITGB2	other	8	0.01569649949669838	0.0368234597845003	0.5511171582620591	0.5142936984775588	0.875	0.625	0.0078125	0.09843750000000001
ICAM1	SPN	other	8	0.01569649949669838	0.0368234597845003	0.5177834841888398	0.4809600244043395	0.875	0.625	0.0078125	0.09843750000000001
COL6A2	ITGA1+ITGB1	other	4	0.02069109119474888	0.03512888681143522	0.32560020964592695	0.29047132283449173	1.0	0.75	0.25	0.4144736842105263
COL6A1	ITGA1+ITGB1	other	4	0.029691549018025398	0.030733861960470676	0.38428361201658845	0.3535497500561178	1.0	0.75	0.375	0.5131316489361702
TNFSF9	TNFRSF9	other	3	0.04005837440490723	0.04399501159787178	0.34143565346797305	0.2974406418701013	1.0	1.0	0.25	0.4144736842105263
PTGES	PTGER4	other	6	0.04400772228837013	0.05650640092790127	0.45981905174752075	0.4033126508196195	1.0	0.6666666666666666	0.0625	0.24609375
IGFBP3	TMEM219	other	7	0.048225924372673035	0.14499294651406153	0.7944989364062037	0.6495059898921421	1.0	1.0	0.296875	0.467578125
NECTIN2	TIGIT	other	8	0.049092091619968414	0.06742957420647144	0.742098874412477	0.6746693002060056	1.0	1.0	0.0390625	0.17578125
CD55	ADGRE5	other	8	0.05948995426297188	0.060943422839045525	0.679849935695529	0.6189065128564835	1.0	1.0	0.0546875	0.22968750000000002
CD47	SIRPG	other	7	0.061467915773391724	0.08524690994194575	0.6720722807305199	0.5868253707885742	1.0	1.0	0.078125	0.259046052631579
CDH1	ITGAE+ITGB7	other	6	0.07544675469398499	0.08820991838971774	0.5427022116879622	0.4544922932982445	1.0	1.0	0.21875	0.4144736842105263
APP	CD74	other	8	0.10384941101074219	0.07996376231312752	1.8906260058283806	1.810662243515253	1.0	1.0	0.0390625	0.17578125
APP	SORL1	other	7	0.11537569761276245	0.08214568240301949	0.6968107170292309	0.6146650346262115	1.0	1.0	0.078125	0.259046052631579
PLAUR	ITGA4+ITGB1	other	8	0.11679160594940186	0.14130342053249478	0.5567533280700445	0.41544990753754973	1.0	0.875	0.0078125	0.09843750000000001
F11R	ITGAL+ITGB2	other	8	0.12813401222229004	0.11826798133552074	1.0241923741996288	0.9059243928641081	1.0	1.0	0.0234375	0.1640625
