contrast	method	family	n_genes	n_up	n_down	n_p05	n_p05_up	n_p05_down	n_fdr05	median_logFC	mean_logFC	sign_p_expected	fdr_sign
GSE131907	limma-voom	IFN	198	90	108	15	7	8	0	-0.0555894656775992	-0.0888065528009756	0.113452776274743	0.189087960457905
GSE131907	limma-voom	MHC-I/APM	20	6	14	1	0	1	0	-0.13161246725457	-0.23255961975122	0.0576591491699219	0.189087960457905
GSE131907	limma-voom	chemokine	11	5	6	5	0	5	0	-1.85772499046067	-0.747780290967606	0.5	0.5
GSE131907	limma-voom	TJ	157	81	76	19	15	4	0	0.0441096405394974	0.283133381187011	0.37483253755579	0.468540671944737
GSE131907	limma-voom	keratin	9	7	2	2	2	0	0	1.12093746927259	1.07931469662446	0.08984375	0.189087960457905
GSE131907	edgeR-QL	IFN	198	78	120	21	6	15	0	-0.15307552026715	-0.209615900020853	0.00173299304177951	0.00866496520889756
GSE131907	edgeR-QL	MHC-I/APM	20	5	15	2	0	2	0	-0.325717516192722	-0.4058557923109	0.0206947326660156	0.0517368316650391
GSE131907	edgeR-QL	chemokine	11	4	7	6	0	6	0	-1.71406790215675	-1.17870255773721	0.2744140625	0.343017578125
GSE131907	edgeR-QL	TJ	157	84	73	15	8	7	0	0.0668294423886983	0.111119085465892	0.212455780066928	0.343017578125
GSE131907	edgeR-QL	keratin	9	5	4	0	0	0	0	0.128391389802275	0.0620384242201322	0.5	0.5
GSE205335	limma-voom	IFN	207	24	183	98	1	97	2	-1.62118975836146	-1.94877928965633	8.61617712431116e-32	4.30808856215558e-31
GSE205335	limma-voom	MHC-I/APM	21	1	20	13	0	13	0	-1.81666518573565	-1.83507427429754	1.04904174804687e-05	2.62260437011719e-05
GSE205335	limma-voom	chemokine	15	1	14	9	0	9	0	-3.06550491317778	-3.00647558864135	0.00048828125	0.000813802083333333
GSE205335	limma-voom	TJ	174	65	109	20	5	15	0	-0.194426729147267	-0.262067541253481	0.999697377606436	0.9998779296875
GSE205335	limma-voom	keratin	13	1	12	3	0	3	0	-1.53675552565287	-2.21971821753679	0.9998779296875	0.9998779296875
GSE205335	edgeR-QL	IFN	207	35	172	61	0	61	0	-1.07368493059201	-1.28440295177386	3.1962570765729e-23	1.59812853828645e-22
GSE205335	edgeR-QL	MHC-I/APM	21	2	19	5	0	5	0	-1.24381848694658	-1.19594231429277	0.000110626220703125	0.000276565551757812
GSE205335	edgeR-QL	chemokine	15	2	13	7	0	7	0	-2.17784777860689	-2.34199287349162	0.003692626953125	0.00615437825520833
GSE205335	edgeR-QL	TJ	174	71	103	19	9	10	0	-0.1344017704207	-0.0847758150541883	0.993930921940813	0.998291015625
GSE205335	edgeR-QL	keratin	13	2	11	5	0	5	0	-3.01789897440325	-3.42980626614905	0.998291015625	0.998291015625
GSE189357	limma-voom	IFN	215	67	148	30	2	28	0	-0.297629521381208	-0.351575068932083	1.69435867637362e-08	8.47179338186808e-08
GSE189357	limma-voom	MHC-I/APM	21	6	15	3	0	3	0	-0.598438748269318	-0.403238276657913	0.0391769409179688	0.0720739364624023
GSE189357	limma-voom	chemokine	20	6	14	3	0	3	0	-0.804615859452016	-0.986497501863761	0.0576591491699219	0.0720739364624023
GSE189357	limma-voom	TJ	179	89	90	20	6	14	0	-0.00474249468142654	-0.0818537222377352	0.559388263290742	0.559388263290742
GSE189357	limma-voom	keratin	10	8	2	1	1	0	0	0.687207021198649	0.576108787817253	0.0546875	0.0720739364624023
GSE189357	edgeR-QL	IFN	215	64	151	29	4	25	0	-0.353366201297396	-0.393802581687903	1.37501866631704e-09	6.87509333158519e-09
GSE189357	edgeR-QL	MHC-I/APM	21	6	15	2	0	2	0	-0.62286100915073	-0.443380477840861	0.0391769409179688	0.065294901529948
GSE189357	edgeR-QL	chemokine	20	4	16	4	1	3	0	-1.25367607591419	-1.24921760400399	0.00590896606445313	0.0147724151611328
GSE189357	edgeR-QL	TJ	179	85	94	23	8	15	0	-0.0450969788059455	-0.138650011154989	0.772552330104383	0.772552330104383
GSE189357	edgeR-QL	keratin	10	8	2	1	1	0	0	0.546519351297251	0.544257168528187	0.0546875	0.068359375
