model	family	estimator	n	n_q1	n_q4	n_cohorts	logFC	p	excludes_gse205335
cont_spearman_luad_meta	chemokine	spearman_meta	56	NA	NA	4	-0.234919495728186	0.126887145538871	FALSE
cont_spearman_meta	chemokine	spearman_meta	64	NA	NA	4	-0.316256329753198	0.0624617478330536	FALSE
cont_within_meta	chemokine	re_meta	64	NA	NA	4	-0.367545538602349	0.193080159615052	FALSE
q4q1	chemokine	lmm	34	18	16	4	-1.39796869786361	0.000398012466664736	FALSE
q4q1	chemokine	ols	34	18	16	4	-1.38092157083069	0.000454259270508525	FALSE
q4q1_drop205335	chemokine	lmm	23	13	10	3	-0.790837525954864	0.0343979281178504	TRUE
q4q1_drop205335	chemokine	ols	23	13	10	3	-0.785136670548575	0.0356161831265009	TRUE
q4q1_drop205335_within_meta	chemokine	re_meta	23	13	10	3	-0.77807878289143	0.0470861432412769	TRUE
q4q1_dropSCLC	chemokine	lmm	31	18	13	4	-1.0587426396056	0.0035078737259004	FALSE
q4q1_dropSCLC	chemokine	ols	31	18	13	4	-1.05687326145826	0.00354551604951792	FALSE
q4q1_krt	chemokine	lmm	34	18	16	4	-1.45178535311111	2.89703802055785e-05	FALSE
q4q1_krt	chemokine	ols	34	18	16	4	-1.43996453244809	3.23586157020255e-05	FALSE
q4q1_krt_drop205335	chemokine	lmm	23	13	10	3	-0.924655009399199	0.0104758216963673	TRUE
q4q1_krt_drop205335	chemokine	ols	23	13	10	3	-0.919674848765173	0.0108448137493434	TRUE
q4q1_krt_leak	chemokine	lmm	34	18	16	4	-0.358813831213809	0.320319779325255	FALSE
q4q1_krt_leak	chemokine	ols	34	18	16	4	-0.341983236730367	0.343252976688007	FALSE
q4q1_krt_leak_drop205335	chemokine	lmm	23	13	10	3	0.00564388257204408	0.988654520742626	TRUE
q4q1_krt_leak_drop205335	chemokine	ols	23	13	10	3	0.0127773535816824	0.974323705938235	TRUE
q4q1_leak	chemokine	ols	34	18	16	4	-0.157156628568791	0.724221232503113	FALSE
q4q1_leak_drop205335	chemokine	ols	23	13	10	3	0.197324373604858	0.650073570607208	TRUE
q4q1_luad	chemokine	lmm	29	17	12	4	-0.897631832152836	0.0126863657172365	FALSE
q4q1_luad	chemokine	ols	29	17	12	4	-0.89748025300106	0.0127088546619631	FALSE
q4q1_luad_krt_leak	chemokine	ols	29	17	12	4	-0.132597660436686	0.700800020256855	FALSE
q4q1_malfrac	chemokine	ols	34	18	16	4	-0.978409441340778	0.0549356242676095	FALSE
q4q1_malfrac_drop205335	chemokine	ols	23	13	10	3	-0.975229017613529	0.0925949192127092	TRUE
q4q1_within_meta	chemokine	re_meta	34	18	16	4	-1.25633063672466	0.0762873284825194	FALSE
cont	IFN	lmm	64	NA	NA	4	-0.174669112922959	0.0670261457912786	FALSE
cont	IFN	ols	64	NA	NA	4	-0.174669112922959	0.0663764696097994	FALSE
cont_drop205335	IFN	lmm	43	NA	NA	3	0.00450910822978737	0.961352758886234	TRUE
cont_drop205335	IFN	ols	43	NA	NA	3	0.00450910822978763	0.961339839808076	TRUE
cont_drop205335_within_meta	IFN	re_meta	43	NA	NA	3	-0.053803066212049	0.606446139173785	TRUE
cont_GSE205335_ADC	IFN	ols	13	NA	NA	1	-0.296511745767017	0.211366352189333	FALSE
cont_krt	IFN	ols	64	NA	NA	4	-0.268798983671396	0.00134778427171385	FALSE
cont_krt_drop205335	IFN	lmm	43	NA	NA	3	-0.0816965801936849	0.399391353632075	TRUE
cont_krt_drop205335	IFN	ols	43	NA	NA	3	-0.0816965801936846	0.399245279818891	TRUE
cont_krt_drop205335_within_meta	IFN	re_meta	43	NA	NA	3	-0.169169150843116	0.129651779580857	TRUE
cont_krt_leak	IFN	ols	64	NA	NA	4	-0.0864634523946666	0.348432253697362	FALSE
cont_krt_leak_drop205335	IFN	lmm	43	NA	NA	3	0.0422919842340458	0.693096809982778	TRUE
cont_krt_leak_drop205335	IFN	ols	43	NA	NA	3	0.0422919842340465	0.693011988775335	TRUE
cont_leak	IFN	ols	64	NA	NA	4	0.0482477390843533	0.638154814671902	FALSE
cont_leak_drop205335	IFN	ols	43	NA	NA	3	0.131099787821076	0.201283212585584	TRUE
cont_luad	IFN	lmm	56	NA	NA	4	-0.0649572426925521	0.466144208203823	FALSE
cont_luad	IFN	ols	56	NA	NA	4	-0.0649572426925521	0.466130327743763	FALSE
cont_luad_krt_leak	IFN	ols	56	NA	NA	4	-0.0356931104775913	0.713201793804472	FALSE
cont_malfrac	IFN	ols	64	NA	NA	4	-0.0506902260515489	0.636287763991512	FALSE
cont_malfrac_drop205335	IFN	ols	43	NA	NA	3	0.110466077619493	0.323510553524841	TRUE
cont_spearman_drop205335_meta	IFN	spearman_meta	43	NA	NA	3	-0.0872648115346517	0.64928054508519	TRUE
cont_spearman_luad_meta	IFN	spearman_meta	56	NA	NA	4	-0.112678816606763	0.420944390654565	FALSE
cont_spearman_meta	IFN	spearman_meta	64	NA	NA	4	-0.217560242840466	0.232865032720329	FALSE
cont_within_meta	IFN	re_meta	64	NA	NA	4	-0.139000903728379	0.367648399142077	FALSE
q4q1	IFN	lmm	34	18	16	4	-0.665139556647527	0.00832479290221959	FALSE
q4q1	IFN	ols	34	18	16	4	-0.643005243383009	0.0104297828777943	FALSE
q4q1_drop205335	IFN	lmm	23	13	10	3	-0.17720377205364	0.445982674711578	TRUE
q4q1_drop205335	IFN	ols	23	13	10	3	-0.170604274476713	0.463286506073922	TRUE
q4q1_drop205335_within_meta	IFN	re_meta	23	13	10	3	-0.240641520324275	0.328795609154613	TRUE
q4q1_dropSCLC	IFN	lmm	31	18	13	4	-0.42293217414877	0.057968130986832	FALSE
q4q1_dropSCLC	IFN	ols	31	18	13	4	-0.413372082482426	0.0640254154128021	FALSE
q4q1_krt	IFN	lmm	34	18	16	4	-0.697257506912952	0.00149430406365406	FALSE
q4q1_krt	IFN	ols	34	18	16	4	-0.681760714597207	0.00182454296937634	FALSE
q4q1_krt_drop205335	IFN	lmm	23	13	10	3	-0.25428657404086	0.259929971199817	TRUE
q4q1_krt_drop205335	IFN	ols	23	13	10	3	-0.248158176650997	0.27161837521907	TRUE
q4q1_krt_leak	IFN	lmm	34	18	16	4	-0.426162057863485	0.16347322877602	FALSE
q4q1_krt_leak	IFN	ols	34	18	16	4	-0.391319102239538	0.200203859569586	FALSE
q4q1_krt_leak_drop205335	IFN	lmm	23	13	10	3	-0.133671496224836	0.692480317677016	TRUE
q4q1_krt_leak_drop205335	IFN	ols	23	13	10	3	-0.119623021178145	0.723595316614521	TRUE
q4q1_leak	IFN	ols	34	18	16	4	-0.261322724916734	0.45964961247858	FALSE
q4q1_leak_drop205335	IFN	ols	23	13	10	3	-0.00209608543360174	0.995203121477897	TRUE
q4q1_luad	IFN	lmm	29	17	12	4	-0.349951912238535	0.128963850240514	FALSE
q4q1_luad	IFN	ols	29	17	12	4	-0.338247406245549	0.143618594862287	FALSE
q4q1_luad_krt_leak	IFN	ols	29	17	12	4	-0.230935393831249	0.45649943004677	FALSE
q4q1_malfrac	IFN	ols	34	18	16	4	-0.48856308560995	0.154249635830246	FALSE
q4q1_malfrac_drop205335	IFN	ols	23	13	10	3	-0.248189353444999	0.501411417153425	TRUE
q4q1_within_meta	IFN	re_meta	34	18	16	4	-0.559673607958417	0.227464163418256	FALSE
cont	MHC-I/APM	lmm	64	NA	NA	4	-0.272721867377863	0.0236995000476669	FALSE
cont	MHC-I/APM	ols	64	NA	NA	4	-0.272721867377863	0.0249329928763728	FALSE
cont_drop205335	MHC-I/APM	lmm	43	NA	NA	3	-0.0833813865270213	0.515802113499995	TRUE
cont_drop205335	MHC-I/APM	ols	43	NA	NA	3	-0.083381386527021	0.518368198600553	TRUE
cont_drop205335_within_meta	MHC-I/APM	re_meta	43	NA	NA	3	-0.101024693351832	0.350353152615593	TRUE
cont_GSE205335_ADC	MHC-I/APM	ols	13	NA	NA	1	-0.497373871593942	0.128164902200235	FALSE
cont_krt	MHC-I/APM	ols	64	NA	NA	4	-0.381379516062634	0.00061575548766108	FALSE
cont_krt_drop205335	MHC-I/APM	lmm	43	NA	NA	3	-0.220163422760182	0.0964747733238265	TRUE
cont_krt_drop205335	MHC-I/APM	ols	43	NA	NA	3	-0.220163422760181	0.0980260542206736	TRUE
cont_krt_drop205335_within_meta	MHC-I/APM	re_meta	43	NA	NA	3	-0.249703885131228	0.00585188615864005	TRUE
cont_krt_leak	MHC-I/APM	ols	64	NA	NA	4	-0.275744587993667	0.0381850023503293	FALSE
cont_krt_leak_drop205335	MHC-I/APM	lmm	43	NA	NA	3	-0.169962507243702	0.270656948138194	TRUE
cont_krt_leak_drop205335	MHC-I/APM	ols	43	NA	NA	3	-0.169962507243701	0.273045570726867	TRUE
cont_leak	MHC-I/APM	ols	64	NA	NA	4	-0.108265553691873	0.442658309119297	FALSE
cont_leak_drop205335	MHC-I/APM	ols	43	NA	NA	3	-0.0123789284913611	0.934067007630665	TRUE
cont_luad	MHC-I/APM	lmm	56	NA	NA	4	-0.178918113850157	0.146150187271063	FALSE
cont_luad	MHC-I/APM	ols	56	NA	NA	4	-0.178918113850157	0.147147310227522	FALSE
cont_luad_krt_leak	MHC-I/APM	ols	56	NA	NA	4	-0.264412120973815	0.0607632189547478	FALSE
cont_malfrac	MHC-I/APM	ols	64	NA	NA	4	-0.215885267290433	0.128883066959359	FALSE
cont_malfrac_drop205335	MHC-I/APM	ols	43	NA	NA	3	-0.0514605120140501	0.746600942491598	TRUE
cont_spearman_drop205335_meta	MHC-I/APM	spearman_meta	43	NA	NA	3	-0.115816932852329	0.419960421931423	TRUE
cont_spearman_luad_meta	MHC-I/APM	spearman_meta	56	NA	NA	4	-0.164814417583627	0.189970105451266	FALSE
cont_spearman_meta	MHC-I/APM	spearman_meta	64	NA	NA	4	-0.276584917440033	0.159228757676181	FALSE
cont_within_meta	MHC-I/APM	re_meta	64	NA	NA	4	-0.220841765193258	0.225784628129204	FALSE
q4q1	MHC-I/APM	lmm	34	18	16	4	-0.781851676456164	0.0198968102495192	FALSE
q4q1	MHC-I/APM	ols	34	18	16	4	-0.801714921148022	0.0202945653824903	FALSE
q4q1_drop205335	MHC-I/APM	lmm	23	13	10	3	-0.339801334737515	0.324266296044858	TRUE
q4q1_drop205335	MHC-I/APM	ols	23	13	10	3	-0.333474144667359	0.338614312216208	TRUE
q4q1_drop205335_within_meta	MHC-I/APM	re_meta	23	13	10	3	-0.452618762444559	0.123618065915134	TRUE
q4q1_dropSCLC	MHC-I/APM	lmm	31	18	13	4	-0.596309112466297	0.0722105251340649	FALSE
q4q1_dropSCLC	MHC-I/APM	ols	31	18	13	4	-0.575390869674663	0.0839782627924358	FALSE
q4q1_krt	MHC-I/APM	lmm	34	18	16	4	-0.827735580043924	0.0070644208392093	FALSE
q4q1_krt	MHC-I/APM	ols	34	18	16	4	-0.848200921700713	0.00694547282502505	FALSE
q4q1_krt_drop205335	MHC-I/APM	lmm	23	13	10	3	-0.461697554965589	0.166602957990249	TRUE
q4q1_krt_drop205335	MHC-I/APM	ols	23	13	10	3	-0.455497399376375	0.175026421838472	TRUE
q4q1_krt_leak	MHC-I/APM	lmm	34	18	16	4	-0.6143201046147	0.168697059530779	FALSE
q4q1_krt_leak	MHC-I/APM	ols	34	18	16	4	-0.655788623488232	0.15556030373892	FALSE
q4q1_krt_leak_drop205335	MHC-I/APM	lmm	23	13	10	3	-0.539525374097344	0.284756815775081	TRUE
q4q1_krt_leak_drop205335	MHC-I/APM	ols	23	13	10	3	-0.525877490529405	0.301851653252372	TRUE
q4q1_leak	MHC-I/APM	ols	34	18	16	4	-0.496716626560339	0.326036746040287	FALSE
q4q1_leak_drop205335	MHC-I/APM	ols	23	13	10	3	-0.333531094642689	0.528344561910063	TRUE
q4q1_luad	MHC-I/APM	lmm	29	17	12	4	-0.56001718625002	0.11054778873178	FALSE
q4q1_luad	MHC-I/APM	ols	29	17	12	4	-0.521442862865693	0.139629506434976	FALSE
q4q1_luad_krt_leak	MHC-I/APM	ols	29	17	12	4	-0.567103202331959	0.235062975871603	FALSE
q4q1_malfrac	MHC-I/APM	ols	34	18	16	4	-0.75669229308286	0.1166755491269	FALSE
q4q1_malfrac_drop205335	MHC-I/APM	ols	23	13	10	3	-0.691641560254038	0.207486398517799	TRUE
q4q1_within_meta	MHC-I/APM	re_meta	34	18	16	4	-0.670885235416582	0.130053954436441	FALSE
cont	NHEJ	lmm	64	NA	NA	4	0.00158195359626369	0.96690063499192	FALSE
cont	NHEJ	ols	64	NA	NA	4	0.00158195359626353	0.966905482412814	FALSE
cont_drop205335	NHEJ	lmm	43	NA	NA	3	0.00878378635736448	0.815798657976715	TRUE
cont_drop205335	NHEJ	ols	43	NA	NA	3	0.00878378635736451	0.815567911151048	TRUE
cont_drop205335_within_meta	NHEJ	re_meta	43	NA	NA	3	0.0329091907846255	0.64903905258883	TRUE
cont_GSE205335_ADC	NHEJ	ols	13	NA	NA	1	-0.091552277757855	0.457377609357024	FALSE
cont_krt	NHEJ	ols	64	NA	NA	4	0.00699625125461332	0.858928061151463	FALSE
cont_krt_drop205335	NHEJ	lmm	43	NA	NA	3	0.00262876019430584	0.949562551046421	TRUE
cont_krt_drop205335	NHEJ	ols	43	NA	NA	3	0.00262876019430586	0.949494819387554	TRUE
cont_krt_drop205335_within_meta	NHEJ	re_meta	43	NA	NA	3	0.041458522341974	0.563115780304236	TRUE
cont_krt_leak	NHEJ	ols	64	NA	NA	4	-0.0168339609496389	0.731714859135306	FALSE
cont_krt_leak_drop205335	NHEJ	lmm	43	NA	NA	3	-0.036865836695637	0.439733298009686	TRUE
cont_krt_leak_drop205335	NHEJ	ols	43	NA	NA	3	-0.036865836695637	0.439136825045499	TRUE
cont_luad	NHEJ	lmm	56	NA	NA	4	-0.0143706899769169	0.717575286686544	FALSE
cont_luad	NHEJ	ols	56	NA	NA	4	-0.014370689976917	0.717586149034177	FALSE
cont_spearman_drop205335_meta	NHEJ	spearman_meta	43	NA	NA	3	0.266650930222757	0.54127643553094	TRUE
cont_spearman_luad_meta	NHEJ	spearman_meta	56	NA	NA	4	0.111952984029228	0.732713504959612	FALSE
cont_spearman_meta	NHEJ	spearman_meta	64	NA	NA	4	0.129045523164913	0.670021073500276	FALSE
cont_within_meta	NHEJ	re_meta	64	NA	NA	4	0.0220668831168461	0.670571947914002	FALSE
q4q1	NHEJ	lmm	34	18	16	4	0.0400273258486671	0.664515552080518	FALSE
q4q1	NHEJ	ols	34	18	16	4	0.0371112276939674	0.687728706888455	FALSE
q4q1_drop205335	NHEJ	lmm	23	13	10	3	0.062656261819316	0.459073804643548	TRUE
q4q1_drop205335	NHEJ	ols	23	13	10	3	0.0639113896418012	0.461704646205409	TRUE
q4q1_drop205335_within_meta	NHEJ	re_meta	23	13	10	3	0.104549272201224	0.430588496323116	TRUE
q4q1_dropSCLC	NHEJ	lmm	31	18	13	4	0.0378410459766199	0.691163139256145	FALSE
q4q1_dropSCLC	NHEJ	ols	31	18	13	4	0.0393221068153755	0.679845017509883	FALSE
q4q1_krt	NHEJ	lmm	34	18	16	4	0.0455750052254048	0.620752247133654	FALSE
q4q1_krt	NHEJ	ols	34	18	16	4	0.0426739514258295	0.64327245891225	FALSE
q4q1_krt_drop205335	NHEJ	lmm	23	13	10	3	0.0726326045589481	0.408264823345417	TRUE
q4q1_krt_drop205335	NHEJ	ols	23	13	10	3	0.0739552591988838	0.412786156141143	TRUE
q4q1_krt_leak	NHEJ	lmm	34	18	16	4	0.109947500282668	0.440417690492649	FALSE
q4q1_krt_leak	NHEJ	ols	34	18	16	4	0.103012541989533	0.469893412941915	FALSE
q4q1_krt_leak_drop205335	NHEJ	lmm	23	13	10	3	0.0815828659752718	0.541369253528107	TRUE
q4q1_krt_leak_drop205335	NHEJ	ols	23	13	10	3	0.0845555221986066	0.539815457984406	TRUE
q4q1_leak	NHEJ	ols	34	18	16	4	0.0822960757068694	0.562222721113485	FALSE
q4q1_luad	NHEJ	lmm	29	17	12	4	-0.0076062114663784	0.935196849054112	FALSE
q4q1_luad	NHEJ	ols	29	17	12	4	-0.00517322797494671	0.955897276901992	FALSE
q4q1_within_meta	NHEJ	re_meta	34	18	16	4	0.0859723474446607	0.386482083459998	FALSE
cont	STING_core	lmm	64	NA	NA	4	-0.238015101259722	0.0360110446375241	FALSE
cont	STING_core	ols	64	NA	NA	4	-0.238015101259722	0.0387397902947898	FALSE
cont_drop205335	STING_core	lmm	43	NA	NA	3	-0.0267512339597681	0.820698747141052	TRUE
cont_drop205335	STING_core	ols	43	NA	NA	3	-0.026751233959768	0.822233330464421	TRUE
cont_drop205335_within_meta	STING_core	re_meta	43	NA	NA	3	-0.0883532186089772	0.671118082066107	TRUE
cont_GSE205335_ADC	STING_core	ols	13	NA	NA	1	-0.421585510787466	0.159103737384273	FALSE
cont_krt	STING_core	ols	64	NA	NA	4	-0.33516119047096	0.00173609462759159	FALSE
cont_krt_drop205335	STING_core	lmm	43	NA	NA	3	-0.131694807407128	0.289018744959972	TRUE
cont_krt_drop205335	STING_core	ols	43	NA	NA	3	-0.131694807407128	0.292580466074676	TRUE
cont_krt_drop205335_within_meta	STING_core	re_meta	43	NA	NA	3	-0.207265753617345	0.298300767985574	TRUE
cont_krt_leak	STING_core	ols	64	NA	NA	4	-0.159436109719502	0.19594593319033	FALSE
cont_krt_leak_drop205335	STING_core	lmm	43	NA	NA	3	-0.0243953384213135	0.863531490717089	TRUE
cont_krt_leak_drop205335	STING_core	ols	43	NA	NA	3	-0.0243953384213131	0.864494203522503	TRUE
cont_luad	STING_core	lmm	56	NA	NA	4	-0.117866836304621	0.291688555741589	FALSE
cont_luad	STING_core	ols	56	NA	NA	4	-0.117866836304621	0.299556467716269	FALSE
cont_spearman_drop205335_meta	STING_core	spearman_meta	43	NA	NA	3	-0.200018726308832	0.533158904858872	TRUE
cont_spearman_luad_meta	STING_core	spearman_meta	56	NA	NA	4	-0.222395557978046	0.338549112588507	FALSE
cont_spearman_meta	STING_core	spearman_meta	64	NA	NA	4	-0.294955043897751	0.245564505216902	FALSE
cont_within_meta	STING_core	re_meta	64	NA	NA	4	-0.211991256126881	0.345226860896984	FALSE
q4q1	STING_core	lmm	34	18	16	4	-0.802826892122152	0.00942574291775832	FALSE
q4q1	STING_core	ols	34	18	16	4	-0.797182014178409	0.0126502411833874	FALSE
q4q1_drop205335	STING_core	lmm	23	13	10	3	-0.16731508709877	0.562087210833839	TRUE
q4q1_drop205335	STING_core	ols	23	13	10	3	-0.178505710074359	0.545503678779655	TRUE
q4q1_drop205335_within_meta	STING_core	re_meta	23	13	10	3	-0.278683425678633	0.627817311723085	TRUE
q4q1_dropSCLC	STING_core	lmm	31	18	13	4	-0.51013276613481	0.0685202383053361	FALSE
q4q1_dropSCLC	STING_core	ols	31	18	13	4	-0.504183705265463	0.0766439181501064	FALSE
q4q1_krt	STING_core	lmm	34	18	16	4	-0.850331373887797	0.00189290818093368	FALSE
q4q1_krt	STING_core	ols	34	18	16	4	-0.845251161249687	0.00264727889949657	FALSE
q4q1_krt_drop205335	STING_core	lmm	23	13	10	3	-0.262552535238409	0.351460127379895	TRUE
q4q1_krt_drop205335	STING_core	ols	23	13	10	3	-0.274350475936906	0.340007898006656	TRUE
q4q1_krt_leak	STING_core	lmm	34	18	16	4	-0.638371375205487	0.102246445245037	FALSE
q4q1_krt_leak	STING_core	ols	34	18	16	4	-0.620594577765319	0.126206141707813	FALSE
q4q1_krt_leak_drop205335	STING_core	lmm	23	13	10	3	-0.209714621598728	0.622800765304404	TRUE
q4q1_krt_leak_drop205335	STING_core	ols	23	13	10	3	-0.235665464082567	0.58973132139693	TRUE
q4q1_leak	STING_core	ols	34	18	16	4	-0.456623278971805	0.322949757268813	FALSE
q4q1_luad	STING_core	lmm	29	17	12	4	-0.457767443022299	0.114132610813513	FALSE
q4q1_luad	STING_core	ols	29	17	12	4	-0.45129927871384	0.131536590509324	FALSE
q4q1_within_meta	STING_core	re_meta	34	18	16	4	-0.709318432837677	0.296527968878216	FALSE
