gene	family	method	k	logFC	se	p_z	p_t	fdr_kge2	fdr_kge3	tau2	I2	max_weight_share	dominant_cohort
ARPC5L	TJ	limma-voom	4	-0.0192382872648207	0.164603584514036	0.906957938024702	0.914343236067546	0.99101474849503	0.987306605235836	0	0	0.339714401070026	GSE189357
AUTS2	IFN	limma-voom	4	2.2299569937885	0.893789436226355	0.0125976055608491	0.0880984536043507	0.941378361434338	0.87594807160056	2.33769616364844	0.785825252884992	0.328438057914183	GSE189357
B2M	IFN|MHC-I/APM	limma-voom	4	-0.925124802719899	0.397613788162996	0.0199816662687331	0.102456418580963	0.941378361434338	0.87594807160056	0.41240219337106	0.680776538708744	0.302345754150035	GSE123902
BANK1	IFN	limma-voom	4	-0.372028301289537	0.341018761307368	0.275302776795346	0.355084091154616	0.941378361434338	0.885992970752292	0.0124779926653689	0.0198360350028845	0.631370818948398	GSE189357
BATF2	IFN	limma-voom	3	-1.21481884715375	0.79922792795225	0.128513366638082	0.267877861316806	0.941378361434338	0.87594807160056	0.578914103054713	0.297498766253219	0.430910741573999	GSE131907
BPGM	IFN	limma-voom	4	-0.146142929123686	0.208038856371973	0.482380489497557	0.53298179902993	0.944785549722636	0.915234254360172	0	0	0.468756980081817	GSE189357
BST2	IFN	limma-voom	4	-1.64430328934774	0.830368603970798	0.0476800616427921	0.142028614842434	0.941378361434338	0.87594807160056	1.87159937562846	0.719732294469964	0.342751771117984	GSE189357
BTG1	IFN	limma-voom	4	-0.210465739994552	0.225281768275247	0.350183538598638	0.419100043242125	0.941378361434338	0.893285767743973	0	0	0.367520266308986	GSE189357
C1R	IFN	limma-voom	4	-1.85954776161219	0.313300567051984	2.93223628473922e-09	0.00955962265925707	0.941378361434338	0.87594807160056	0	0	0.763156699307755	GSE189357
C1S	IFN	limma-voom	4	-2.41823487560428	0.400186770184481	1.51494606857028e-09	0.00908911719727643	0.941378361434338	0.87594807160056	0	0	0.863323572736353	GSE189357
CACNA1D	TJ	limma-voom	4	0.625046736794443	0.824444960614398	0.448365698733184	0.503484519363962	0.944785549722636	0.910665668704804	1.28835860748623	0.494393333776973	0.412504522596989	GSE189357
CALR	MHC-I/APM	limma-voom	4	0.0438523912330326	0.160431830446275	0.784592087098486	0.802329655103872	0.978006965391551	0.968947729746305	0	0	0.520037939855999	GSE131907
CANX	MHC-I/APM	limma-voom	4	0.242333999034501	0.289222757397715	0.402098034296484	0.463598773956158	0.941378361434338	0.901943611892357	0.174362295205945	0.524425648351655	0.293988692136561	GSE123902
CASP1	IFN	limma-voom	4	-1.93275978613302	1.09413268562756	0.0773159240233686	0.175487562170487	0.941378361434338	0.87594807160056	4.03737529205191	0.874449106492765	0.281931163342619	GSE189357
CASP3	IFN	limma-voom	4	0.237093537465339	0.216518729367524	0.27350544970301	0.353544865753475	0.941378361434338	0.885326141200109	0	0	0.386087742698002	GSE131907
CASP4	IFN	limma-voom	4	-0.435613622046953	0.518823518346767	0.401122541697718	0.462760445270392	0.941378361434338	0.901943611892357	0.603846691953776	0.616954748593867	0.364998428111394	GSE189357
CASP7	IFN	limma-voom	4	-0.226372198260271	0.379673753067291	0.55102278936612	0.59301453886719	0.947398972740496	0.925347763431136	0.429131742509753	0.751218459806959	0.269918010240172	GSE189357
CASP8	IFN	limma-voom	4	-0.10339432242495	0.277259057706855	0.709211007202338	0.734000733487529	0.966286710496243	0.954461206102779	0.113206558720183	0.368133057795545	0.396375577355149	GSE189357
CCL19	chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CCL2	IFN|chemokine	limma-voom	4	-0.874372942034903	0.892113447431947	0.327029814591048	0.399307010282855	0.941378361434338	0.889438540820004	1.60349986400851	0.524159658541906	0.335429811140833	GSE131907
CCL21	chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CCL22	chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CCL3	chemokine	limma-voom	4	-2.61886627735629	0.727510300050162	0.00031850462300029	0.0367683061756688	0.941378361434338	0.87594807160056	1.31316147869447	0.623583473869979	0.269136508005048	GSE131907
CCL4	chemokine	limma-voom	4	-2.40148346191524	0.453037927969077	1.15268441596549e-07	0.0131043449694568	0.941378361434338	0.87594807160056	0.0135157025145937	0.0159908955641431	0.327852797075977	GSE205335
CCL5	IFN|chemokine	limma-voom	4	-2.74046955904911	0.694789176076325	8.00273542091167e-05	0.0290533038848775	0.941378361434338	0.87594807160056	1.37802047673	0.724364563415923	0.283304878471831	GSE131907
CCND1	TJ	limma-voom	4	0.888070474591768	0.443893278438942	0.045431241943941	0.139239640669493	0.941378361434338	0.87594807160056	0.402068976920311	0.561682526950075	0.386311360502679	GSE189357
CCR7	chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CCRL2	IFN	limma-voom	3	-0.990034841662879	0.673769098121329	0.141724919201727	0.279493097766988	0.941378361434338	0.87594807160056	0.376691735418731	0.199242260056862	0.701798435125081	GSE189357
CD1A	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CD1C	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CD1D	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CD1E	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CD274	IFN	limma-voom	3	-1.99630085036467	1.03761880175336	0.0543639733339207	0.194261601923607	0.941378361434338	0.87594807160056	2.55809758679959	0.842070213286274	0.393164706393115	GSE189357
CD38	IFN	limma-voom	4	-2.35300087204612	1.22115404634473	0.053996264367935	0.149625521488394	0.941378361434338	0.87594807160056	4.15955572943219	0.743139244713493	0.337859408959699	GSE189357
CD40	IFN	limma-voom	4	-0.944534355553467	0.491287303626847	0.0545340428559923	0.150257857142404	0.941378361434338	0.87594807160056	0.433348376981745	0.465429392429121	0.469981553070908	GSE189357
CD47	IFN	limma-voom	4	0.292223237600082	0.233502235107812	0.210759624002288	0.299459659904266	0.941378361434338	0.878917658159944	0	0	0.45850458706058	GSE189357
CD69	IFN	limma-voom	4	-2.64262404990201	1.3826170129213	0.055963423886907	0.151928496290052	0.941378361434338	0.87594807160056	6.8346814527314	0.912360602422718	0.271418277044614	GSE189357
CD74	IFN	limma-voom	4	-0.518061943404236	0.729780674272427	0.477774102236824	0.528977829097817	0.944785549722636	0.914903598141422	1.22225018153847	0.612431697270242	0.361973938553645	GSE189357
CD86	IFN	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CDC42	TJ	limma-voom	4	0.215345516707312	0.156982665870251	0.170132261834623	0.263718652332324	0.941378361434338	0.87594807160056	0	0	0.40295968558081	GSE131907
CDH1	TJ	limma-voom	4	0.784051101226385	0.302915551483339	0.009643727681098	0.0811900839843652	0.941378361434338	0.87594807160056	0	0	0.532047157756449	GSE189357
CDH5	TJ	limma-voom	2	-2.50219992474205	1.01494184126695	0.0136874558583006	0.245316099063315	0.941378361434338	NA	1.08536314562775	0.525458999921358	0.525419434593564	GSE189357
CDK4	TJ	limma-voom	4	-0.195640256201236	0.199575402195768	0.326946735108485	0.399236017371026	0.941378361434338	0.889438540820004	0	0	0.419656681825749	GSE189357
CDKN1A	IFN	limma-voom	4	-0.116397213924955	0.240027318317783	0.627723735803627	0.660928747772584	0.955248390163533	0.938214946550737	0	0	0.384054363658263	GSE189357
CFB	IFN	limma-voom	4	-1.23525864468297	1.35056488140606	0.360389214031104	0.427832023545846	0.941378361434338	0.895388609207334	6.07453017859293	0.855462329912291	0.267521680064926	GSE123902
CFH	IFN	limma-voom	4	-1.87864008811579	1.40947276945134	0.182575373094825	0.27476011740535	0.941378361434338	0.87594807160056	6.51048871912874	0.843165359062357	0.281909516382689	GSE123902
CFTR	TJ	limma-voom	2	-1.52964961294995	0.649470254183396	0.0185114138881023	0.25561639030735	0.941378361434338	NA	0	0	0.840473897560686	GSE189357
CGN	TJ	limma-voom	4	0.0475281392633411	0.507331991879097	0.925361356553857	0.931267451964344	0.991701363982047	0.988470764039063	0.69674313042094	0.696202330573283	0.286605098320337	GSE189357
CGNL1	TJ	limma-voom	4	1.20128401805914	0.665268265678181	0.0709630723893817	0.168712299368876	0.941378361434338	0.87594807160056	0.924962068207922	0.556482711269087	0.392885085200693	GSE189357
CIITA	IFN	limma-voom	3	0.094769124833437	0.503593581000666	0.850731059745032	0.868095285079897	0.985819909441568	0.97955055676285	0.246838346709658	0.26204878834476	0.648224071860041	GSE189357
CLDN1	TJ	limma-voom	4	0.17458842880776	0.917410643865434	0.849069626575285	0.861219114588927	0.984886383001226	0.978337036095389	2.03833411073304	0.647451883125294	0.376075943324249	GSE123902
CLDN10	TJ	limma-voom	3	-2.69083293561931	2.60132030429535	0.300944315931521	0.409631247918362	0.941378361434338	0.891903687512345	14.9167831527479	0.775646024866612	0.419654051621476	GSE123902
CLDN11	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CLDN12	TJ	limma-voom	4	0.555474112904113	0.395020435008224	0.159667466767066	0.254348276438059	0.941378361434338	0.87594807160056	0.411180845431009	0.666718276307669	0.2856240880444	GSE131907
CLDN15	TJ	limma-voom	4	0.530350890307699	0.298009675811312	0.0751343730731569	0.173179732677793	0.941378361434338	0.87594807160056	0.125007261827738	0.353268729788274	0.309249494779832	GSE123902
CLDN16	TJ	limma-voom	2	-1.51868636367605	1.76162306372932	0.388635264922499	0.547061560215216	0.944785549722636	NA	3.64654170457401	0.568221387393052	0.590627372309556	GSE189357
CLDN18	TJ	limma-voom	2	-0.39386583085005	2.18433652617301	0.856906290203523	0.886429076223625	0.987297776782425	NA	7.79166366585343	0.792321012749197	0.586058050932326	GSE189357
CLDN2	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CLDN23	TJ	limma-voom	4	0.142324964473698	0.480794778082181	0.767214658004222	0.7865230498842	0.974708817767858	0.965007044144413	0.58923872588831	0.658819177809243	0.315833326291718	GSE189357
CLDN3	TJ	limma-voom	4	1.60179299027299	0.362011209382093	9.65739345743783e-06	0.0214394474330539	0.941378361434338	0.87594807160056	0.209096205652	0.407603311049395	0.361905214207206	GSE123902
CLDN4	other	limma-voom	4	1.05788664630789	0.312795548517268	0.000719500109502434	0.0430265978793941	0.941378361434338	0.87594807160056	0	0	0.39090660732974	GSE205335
CLDN5	TJ	limma-voom	3	-2.66025378461261	1.88254363806228	0.157621424455998	0.293167603128362	0.941378361434338	0.87594807160056	7.56478907066596	0.727488299952508	0.42282343812805	GSE189357
CLDN6	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CLDN7	TJ	limma-voom	4	0.350954481195206	0.221033362139781	0.112333916248394	0.210536400904298	0.941378361434338	0.87594807160056	0	0	0.470716062813865	GSE189357
CLDN8	TJ	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CLDN9	TJ	limma-voom	3	1.49655850843229	0.640349428659528	0.0194341588569618	0.144443988911162	0.941378361434338	0.87594807160056	0.230314030994633	0.147254605214862	0.650060960861315	GSE189357
CMPK2	IFN	limma-voom	3	-0.980891750530614	0.309931531249899	0.00155154414173515	0.0870046689001778	0.941378361434338	0.87594807160056	0	0	0.555079436793838	GSE189357
CMTR1	IFN	limma-voom	4	-0.0159336262321792	0.270740134337737	0.95306990826918	0.956770777327352	0.995177031461681	0.993389682388787	0.110000940977811	0.376179545531447	0.299649614460989	GSE189357
CNP	IFN	limma-voom	4	0.166451254206248	0.213744188644479	0.436132599495312	0.492913740315491	0.943866722394384	0.907984045078052	0.0547164034003734	0.299990076669446	0.31048232119804	GSE189357
CRB3	TJ	limma-voom	4	0.659851690373036	0.521155446131906	0.205465756919751	0.294847389738335	0.941378361434338	0.876777189048832	0.590004902769806	0.599022641332295	0.365061996303745	GSE189357
CSF1	IFN	limma-voom	4	-0.887195342278374	0.324692077270749	0.00628708105735041	0.0717943218544287	0.941378361434338	0.87594807160056	0	0	0.353322033536573	GSE189357
CSF2RB	IFN	limma-voom	2	-1.93743483698397	0.906634231891212	0.0326018060234357	0.278639170313236	0.941378361434338	NA	1.09870491408165	0.60088902381712	0.658824734488664	GSE189357
CTTN	TJ	limma-voom	4	0.0887954312050175	0.197963992384277	0.653761111794952	0.684178826486214	0.959140912663563	0.945055364897132	0	0	0.433329200991634	GSE123902
CX3CL1	chemokine	limma-voom	4	0.928021955900214	0.523944335181769	0.0765237215861548	0.174651671765044	0.941378361434338	0.87594807160056	0.190775558405616	0.156204356281063	0.475921064243977	GSE123902
CXCL10	IFN|chemokine	limma-voom	4	-2.91016142604305	1.25579393932142	0.0204826218830455	0.103330513347763	0.941378361434338	0.87594807160056	3.01010536209396	0.488636512680186	0.319328052580739	GSE189357
CXCL13	chemokine	limma-voom	3	-1.53768987314385	1.69155906453829	0.363330565575512	0.459284596130112	0.941378361434338	0.901705593607499	7.36324646346378	0.869112594815817	0.369674942359315	GSE189357
CXCL16	chemokine	limma-voom	4	0.123539446638766	0.307883616369607	0.688233332660701	0.715104766676698	0.963687345591523	0.950253974006444	0.109386114559493	0.277637999061563	0.471054411014984	GSE189357
CXCL8	chemokine	limma-voom	4	0.223516804206609	0.447233021916015	0.617232066066711	0.651587616401471	0.953487695680912	0.935823474264791	0	0	0.457684835447124	GSE189357
CXCL9	IFN|chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
CXCR3	chemokine	limma-voom	2	-3.30352286524892	0.817508739262662	5.32320747810738e-05	0.154438902754717	0.941378361434338	NA	0	0	0.699829541650134	GSE189357
CXCR4	chemokine	limma-voom	4	-1.79769010451741	0.503785700902147	0.00035921900996669	0.0375957932900995	0.941378361434338	0.87594807160056	0.385246470836162	0.380770323574783	0.297976670500991	GSE131907
CXCR5	chemokine	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
DDX58	IFN	limma-voom	4	-0.922203315361386	0.549000773396571	0.0929991364992812	0.191591052546993	0.941378361434338	0.87594807160056	0.891165794323569	0.756663301603999	0.294953859608904	GSE189357
DDX60	IFN	limma-voom	4	-1.21443943855159	0.769716555465077	0.114617338902446	0.212722595618801	0.941378361434338	0.87594807160056	1.84708973668497	0.837384230855525	0.306560181696151	GSE189357
DHX58	IFN	limma-voom	3	-0.733279124458813	0.672480970034497	0.275533135375914	0.389391759496152	0.941378361434338	0.889438540820004	0.856570184413847	0.638287910821793	0.449014608324823	GSE189357
DLG1	TJ	limma-voom	4	-0.127427577164956	0.255890905332801	0.618500826932466	0.652716393239063	0.953718940279476	0.936197139879304	0.0911861474539289	0.348750845710362	0.29745965836898	GSE189357
DLG2	TJ	limma-voom	2	0.953437650914973	0.680899036541679	0.161434610034184	0.394806553303756	0.941378361434338	NA	0.458815376107139	0.412773059035809	0.703594346888677	GSE189357
DLG3	TJ	limma-voom	4	0.811826172500601	0.228834408813949	0.000388672864120702	0.0381544188099058	0.941378361434338	0.87594807160056	0	0	0.321528335352215	GSE123902
ECT2	TJ	limma-voom	4	0.0322385160638346	0.253287041556187	0.898718347362715	0.906770611437784	0.990321936611673	0.985853195725493	0	0	0.318460886762715	GSE131907
EIF2AK2	IFN	limma-voom	4	-0.144143289350493	0.176447642420067	0.413975179731592	0.473813953763557	0.941378361434338	0.903311662690145	0	0	0.348877071912045	GSE123902
EIF4E3	IFN	limma-voom	4	0.30573767782804	0.492965905238221	0.535125823199826	0.57904904613318	0.947245950831319	0.923213465779887	0.636087180232707	0.70733280751954	0.320921840297037	GSE189357
ELF1	IFN	limma-voom	4	-0.638140333651655	0.317892612188407	0.0447061838797673	0.13832989912119	0.941378361434338	0.87594807160056	0.262133184628326	0.684814260203883	0.295932055240875	GSE189357
EPB41L4B	TJ	limma-voom	4	0.936440671345199	0.44475483686625	0.0352459768971788	0.125902041230495	0.941378361434338	0.87594807160056	0.502995595495845	0.658089346351697	0.309836178583988	GSE189357
EPHA2	TJ	limma-voom	4	-0.586291354615418	0.885342705444737	0.507830449586419	0.555158401768078	0.945433965505085	0.919011171650703	2.40833069264322	0.812611012364651	0.308076226507856	GSE189357
EPHB2	TJ	limma-voom	4	-0.327855128112992	0.303247651128235	0.279631964290897	0.358790347978705	0.941378361434338	0.886113011648327	0	0	0.552745583327405	GSE123902
EPSTI1	IFN	limma-voom	4	-2.63810953481708	0.70137821378551	0.00016901745893125	0.032860278987829	0.941378361434338	0.87594807160056	1.29655645689712	0.679926314961536	0.317479407507009	GSE189357
ERAP1	MHC-I/APM	limma-voom	4	-0.708861585563244	0.52963377032955	0.180766234327608	0.273160819663493	0.941378361434338	0.87594807160056	0.851503725369098	0.770411559770036	0.269782853157223	GSE189357
ERAP2	MHC-I/APM	limma-voom	4	-0.727700800680666	0.630090518570802	0.248125360050697	0.331765960283264	0.941378361434338	0.883308714507633	0.924592845828837	0.604220805421546	0.363133272687309	GSE189357
ERBB2	TJ	limma-voom	4	0.317090876263405	0.442353064625441	0.473480492515351	0.525248422818109	0.944785549722636	0.913216245245001	0.554219086796708	0.75000964052326	0.301704391542051	GSE189357
ESAM	TJ	limma-voom	3	-0.453566976884112	0.770869847978951	0.556275016753491	0.615869917272731	0.950468793435205	0.93019646056209	0.832100837931251	0.418598968286436	0.600318216094149	GSE189357
EXT1	TJ	limma-voom	4	-0.49438721822783	0.238485996830022	0.0381700370307029	0.129865812746426	0.941378361434338	0.87594807160056	0	0	0.446592661877362	GSE189357
EZR	TJ	limma-voom	4	0.0117308625031418	0.331523926959159	0.971773014035518	0.973995784962351	0.997050700423744	0.996334455865272	0.178789403452283	0.407394073845447	0.361987356848967	GSE189357
F11R	TJ	limma-voom	4	0.502720385416737	0.29727657443896	0.0908202937100204	0.189399274586703	0.941378361434338	0.87594807160056	0.200582787659641	0.577481265087713	0.294544184561504	GSE123902
FAS	IFN	limma-voom	4	-1.37377115908052	0.923196222579562	0.136735131599137	0.233469567243855	0.941378361434338	0.87594807160056	2.74009801012567	0.828082341823005	0.294016010386438	GSE189357
FCGR1A	IFN	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
FGL2	IFN	limma-voom	3	-2.19251790515459	0.779678998188954	0.00492226149914014	0.106614053139148	0.941378361434338	0.87594807160056	1.17888981933553	0.653083976997057	0.381867209187497	GSE123902
FPR1	IFN	limma-voom	2	-1.06309592537423	0.730739643551891	0.145718615831589	0.383371586527948	0.941378361434338	NA	0	0	0.739880341573967	GSE189357
FRMPD2	TJ	limma-voom	2	-0.313597929689404	0.874590109511147	0.719920082961006	0.780821251642354	0.974015512972031	NA	0	0	0.620937685803743	GSE205335
FZD5	TJ	limma-voom	4	0.573681188469575	0.692647615029139	0.407532365009115	0.468270800375691	0.941378361434338	0.903175306532324	1.58261933013947	0.871513805749675	0.276547676712005	GSE123902
GBP2	IFN	limma-voom	4	-2.51143673149374	1.12692353874228	0.0258420124235221	0.112144702175068	0.941378361434338	0.87594807160056	4.48757295355165	0.89778529445952	0.272485597950616	GSE189357
GBP4	IFN	limma-voom	4	-3.00924676858761	1.0618818111625	0.00459864422339685	0.0659782303499557	0.941378361434338	0.87594807160056	3.80602460481516	0.867413834653247	0.285171475392332	GSE189357
GBP6	IFN	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
GCH1	IFN	limma-voom	4	0.616847967521962	0.28982904409687	0.0333108421716324	0.123207431814454	0.941378361434338	0.87594807160056	0	0	0.367150742739501	GSE189357
GMPR	IFN	limma-voom	4	-0.571924032389279	0.573167154561182	0.318361249749798	0.391900010298065	0.941378361434338	0.889438540820004	0.601845573048929	0.478548910176494	0.405617484809256	GSE189357
GPR18	IFN	limma-voom	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE123902
GRHL2	TJ	limma-voom	4	0.982762915133018	0.454431758233469	0.030570468479054	0.119281193491873	0.941378361434338	0.87594807160056	0.435438024075412	0.563383659882922	0.361760643278218	GSE189357
GZMA	IFN	limma-voom	4	-2.52602988922146	0.601977350804997	2.7140565055537e-05	0.0246908594674486	0.941378361434338	0.87594807160056	0.820313382677047	0.56903690819488	0.290110320397298	GSE131907
HCLS1	TJ	limma-voom	4	-1.67329294864016	0.642097196632687	0.00916116040949328	0.0799617594429327	0.941378361434338	0.87594807160056	0.809226983309668	0.532657743556944	0.393615903406485	GSE189357
HELZ2	IFN	limma-voom	4	0.00761355552798052	0.216824805039213	0.971988950725706	0.974194690103361	0.997050700423744	0.996334455865272	0	0	0.400098377417092	GSE189357
HERC6	IFN	limma-voom	4	-0.856609939378735	0.491811644334959	0.0815532642799727	0.1799186821763	0.941378361434338	0.87594807160056	0.526973613610355	0.559201023894016	0.333084620043021	GSE189357
HIF1A	IFN	limma-voom	4	-0.465056958572708	0.215642765522213	0.0310362042954182	0.119958284012713	0.941378361434338	0.87594807160056	0	0	0.361966147433923	GSE189357
HLA-A	IFN|MHC-I/APM	limma-voom	4	-0.603790000203046	0.315776640953702	0.0558660146987186	0.151815101283277	0.941378361434338	0.87594807160056	0.0517417383951813	0.121585398315762	0.394089805435837	GSE123902
HLA-B	IFN|MHC-I/APM	limma-voom	4	-1.17982260181021	0.460966876561385	0.0104837327474068	0.0832538613607111	0.941378361434338	0.87594807160056	0.417209503372058	0.5148284507038	0.344287230956173	GSE189357
HLA-C	IFN|MHC-I/APM	limma-voom	4	-1.19760402127504	0.287110531329727	3.0296006638004e-05	0.0250841608644383	0.941378361434338	0.87594807160056	0	0	0.418382258970484	GSE123902
HLA-DMA	IFN	limma-voom	4	-0.338114252837438	0.603847627786681	0.575525094559172	0.614614434673843	0.950468793435205	0.93019646056209	0.797958021339735	0.568347378033067	0.369902088169443	GSE189357
HLA-DQA1	IFN	limma-voom	4	-1.98623495884412	0.982589853609957	0.0432354453513938	0.136467852621543	0.941378361434338	0.87594807160056	2.75911758975545	0.744065010974723	0.302168625390195	GSE123902
HLA-DRB1	IFN	limma-voom	4	-1.38991942571292	1.06699865668432	0.192696319890002	0.283673408226962	0.941378361434338	0.87594807160056	3.38040240304367	0.764929944113674	0.30012852122592	GSE189357
HLA-E	MHC-I/APM	limma-voom	4	-0.812295632426096	0.260761523838308	0.00183888752072144	0.0526723302194789	0.941378361434338	0.87594807160056	0.0360535185254995	0.129915072042515	0.329819373820996	GSE189357
HLA-F	MHC-I/APM	limma-voom	4	-1.38340247500726	0.629875166142524	0.0280696092898189	0.115569723256445	0.941378361434338	0.87594807160056	0.983217842570827	0.673219493717022	0.341771712016087	GSE189357
