model	family	estimator	n	n_q1	n_q4	n_cohorts	cohorts	n_genes	coef	logFC	se	df	p	ci_low	ci_high	excludes_gse205335	drops_sclc	luad_matched	adjusts_keratin	adjusts_leak	adjusts_malfrac	I2	p_adhoc	se_adhoc	expect	sign_matches	fdr_claim
q4q1	STING_plus_IFN_genes	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.751833232233984	0.317475230520811	29	0.0247581057260226	-1.40114298433806	-0.102523480129908	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1	STING_plus_IFN_genes	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.761947115648962	0.302380020259562	29	0.0175030649766623	-1.3803836962725	-0.143510535025419	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE123902	STING_plus_IFN_genes	within	7	4	3	1	GSE123902	10	q4	-1.31776021159537	0.578996050208122	5	0.0719023310359998	-2.80611694116554	0.170596517974795	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE131907	STING_plus_IFN_genes	within	11	6	5	1	GSE131907	10	q4	0.670413703737932	0.414334200216257	9	0.140105572383679	-0.26687537507354	1.6077027825494	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_within_GSE205335	STING_plus_IFN_genes	within	11	5	6	1	GSE205335	10	q4	-2.06988614219711	0.477962247098279	9	0.00190329909245185	-3.1511118630176	-0.988660421376608	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_GSE189357	STING_plus_IFN_genes	within	5	3	2	1	GSE189357	10	q4	-0.18017072342601	0.398255753569935	3	0.681691925515427	-1.44759827493263	1.08725682808061	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_within_meta	STING_plus_IFN_genes	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	-0.694641244396885	0.608520104641675	3	0.336516029508165	-2.63122380310464	1.24194131431087	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	85.9785480351239	0.340381218981031	0.614308536808563	-1	TRUE	NA
q4q1	NHEJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0371112276939674	0.0914087627768289	29	0.687728706888455	-0.149840683487879	0.224063138875814	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1	NHEJ	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0400273258486671	0.0913528317705808	29	0.664515552080518	-0.146810193581287	0.226864845278621	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE123902	NHEJ	within	7	4	3	1	GSE123902	10	q4	0.0603677631792767	0.168167302938236	5	0.734275040809427	-0.371920051101703	0.492655577460257	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE131907	NHEJ	within	11	6	5	1	GSE131907	10	q4	-0.0411360131951685	0.121429025250433	9	0.742555790420571	-0.315827552437039	0.233555526046702	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE205335	NHEJ	within	11	5	6	1	GSE205335	10	q4	-0.0183268215924067	0.224731739787299	9	0.936789524323378	-0.526705336460347	0.490051693275534	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE189357	NHEJ	within	5	3	2	1	GSE189357	10	q4	0.307717810516441	0.139447567106897	3	0.114454361365721	-0.136066584203704	0.751502205236586	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_meta	NHEJ	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	10	q4	0.0859723474446607	0.0850376316552211	3	0.386482083459998	-0.184655349226575	0.356600044115896	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	22.3350542761315	0.399910095263518	0.0878447445888514	NA	NA	NA
q4q1	TJ	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.131311648790515	0.0961519198000808	29	0.182542540273278	-0.0653411077325768	0.327964405313607	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1	TJ	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.12891199678845	0.0962277089441155	29	0.190761687654101	-0.0678957659385734	0.325719759515473	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE123902	TJ	within	7	4	3	1	GSE123902	168	q4	0.180701376808961	0.297124892874411	5	0.5696413120691	-0.583082475729384	0.944485229347306	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE131907	TJ	within	11	6	5	1	GSE131907	168	q4	0.45628810705567	0.120446187288998	9	0.00429376150939028	0.183819901748129	0.728756312363212	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE205335	TJ	within	11	5	6	1	GSE205335	168	q4	-0.173131051855456	0.148685013559387	9	0.27419237597709	-0.509479920279571	0.163217816568659	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE189357	TJ	within	5	3	2	1	GSE189357	168	q4	0.0140872635257592	0.0863818549297158	3	0.880821013336515	-0.260818351538868	0.288992878590386	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_meta	TJ	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	168	q4	0.115426895311888	0.139460203993486	3	0.468550811731554	-0.328397715621295	0.55925150624507	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	77.2342171056017	0.491275786110262	0.147611321081453	NA	NA	NA
q4q1	keratin	ols	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	-0.171798234070117	0.670056677085807	29	0.799457105011353	-1.54221801195495	1.19862154381472	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1	keratin	lmm	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	-0.151832250125251	0.637047794178453	29	0.813295598098986	-1.45474128223428	1.15107678198378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE123902	keratin	within	7	4	3	1	GSE123902	9	q4	-0.545382101555904	1.03449848863478	5	0.620603692301286	-3.20464512543368	2.11388092232187	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE131907	keratin	within	11	6	5	1	GSE131907	9	q4	0.899326636803758	1.77271648571631	9	0.624130591230735	-3.11083665896984	4.90948993257736	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE205335	keratin	within	11	5	6	1	GSE205335	9	q4	-1.40219563782357	0.756164524471333	9	0.0966789067933665	-3.11275863311029	0.308367357463154	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_GSE189357	keratin	within	5	3	2	1	GSE189357	9	q4	0.723876034467061	0.212509233449846	3	0.0422644372432691	0.0475768096359246	1.4001752592982	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_within_meta	keratin	re_meta	34	18	16	4	GSE123902+GSE131907+GSE205335+GSE189357	9	q4	-0.106107253434077	0.545009633308532	3	0.858075210623019	-1.84057114730084	1.62835664043269	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	64.6461917824379	0.881951466471349	0.656944367071726	NA	NA	NA
q4q1_drop205335	IFN	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.170604274476713	0.227908669185234	19	0.463286506073922	-0.647622601289594	0.306414052336169	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.463286506073922
q4q1_drop205335	IFN	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.17720377205364	0.227683417865014	19	0.445982674711578	-0.653750642435012	0.299343098327732	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.445982674711578
q4q1_drop205335_within_GSE123902	IFN	within	7	4	3	1	GSE123902	203	q4	-0.626043332834428	0.376090273151288	5	0.156873384780414	-1.59281415755663	0.340727491887773	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE131907	IFN	within	11	6	5	1	GSE131907	203	q4	0.146151117276299	0.377656520945953	9	0.707751818133075	-0.708167286659039	1.00046952121164	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_drop205335_within_GSE189357	IFN	within	5	3	2	1	GSE189357	203	q4	-0.239875665871888	0.246949019005515	3	0.403016403710744	-1.02577765899942	0.546026327255648	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_meta	IFN	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	203	q4	-0.240641520324275	0.187922406199878	2	0.328795609154613	-1.04920637434127	0.567923333692718	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	4.72146262465001	0.328795609154613	0.187922406199878	-1	TRUE	0.328795609154613
q4q1_drop205335	MHC-I/APM	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.333474144667359	0.339712401572008	19	0.338614312216208	-1.04450037273839	0.377552083403668	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.463286506073922
q4q1_drop205335	MHC-I/APM	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.339801334737515	0.335781569299248	19	0.324266296044858	-1.04260023630781	0.362997566832782	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.445982674711578
q4q1_drop205335_within_GSE123902	MHC-I/APM	within	7	4	3	1	GSE123902	21	q4	-0.748145974254839	0.407536052467064	5	0.125828892052359	-1.7957507480936	0.299458799583924	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE131907	MHC-I/APM	within	11	6	5	1	GSE131907	21	q4	-0.070497814221008	0.637474645977901	9	0.914368958727711	-1.51256565072217	1.37157002228015	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE189357	MHC-I/APM	within	5	3	2	1	GSE189357	21	q4	-0.338759294972407	0.368375884794888	3	0.425599554181678	-1.51109576849352	0.833577178548702	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_meta	MHC-I/APM	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	21	q4	-0.452618762444559	0.175883756378712	2	0.123618065915134	-1.20938548694601	0.304147962056895	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.213329650890367	0.251172796044146	-1	TRUE	0.185427098872701
q4q1_drop205335	chemokine	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.785136670548575	0.347105255559752	19	0.0356161831265009	-1.51163631984668	-0.0586370212504705	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.106848549379503
q4q1_drop205335	chemokine	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.790837525954864	0.347007975570862	19	0.0343979281178504	-1.51713356589621	-0.0645414860135196	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	0.103193784353551
q4q1_drop205335_within_GSE123902	chemokine	within	7	4	3	1	GSE123902	14	q4	-1.16420838935544	0.669869594359676	5	0.142719203447549	-2.88616300086149	0.55774622215061	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE131907	chemokine	within	11	6	5	1	GSE131907	14	q4	-0.617925776188828	0.493829023633022	9	0.242373241280772	-1.73504463919791	0.499193086820257	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE189357	chemokine	within	5	3	2	1	GSE189357	14	q4	-0.623630403590148	0.870582525436503	3	0.525511386259156	-3.39421254511011	2.14695173792981	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_meta	chemokine	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	14	q4	-0.77807878289143	0.17508261961481	2	0.0470861432412769	-1.53139849410878	-0.0247590716740793	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.164319104562909	0.361585265731891	-1	TRUE	0.141258429723831
q4q1_drop205335	STING_core	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.178505710074359	0.29000009857933	19	0.545503678779655	-0.785482892181678	0.42847147203296	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335	STING_core	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.16731508709877	0.283544450799012	19	0.562087210833839	-0.760780443115095	0.426150268917555	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE123902	STING_core	within	7	4	3	1	GSE123902	8	q4	-1.24525635519972	0.471505771558358	5	0.0459197607182895	-2.45730052696531	-0.0332121834341159	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE131907	STING_core	within	11	6	5	1	GSE131907	8	q4	0.510334383652325	0.381389930184851	9	0.213689501496486	-0.352429578734444	1.37309834603909	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_drop205335_within_GSE189357	STING_core	within	5	3	2	1	GSE189357	8	q4	-0.220121884598782	0.284691942742762	3	0.49574221675907	-1.12613870592453	0.685894936726963	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_meta	STING_core	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	8	q4	-0.278683425678633	0.491431041582503	2	0.627817311723085	-2.39314053822721	1.83577368686995	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	76.1566565998436	0.627817311723085	0.491431041582503	-1	TRUE	NA
q4q1_drop205335	STING_plus_IFN_genes	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	-0.114652958080541	0.332151494367642	19	0.73374902277627	-0.809854025499682	0.580548109338601	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335	STING_plus_IFN_genes	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	-0.10938605660977	0.317197431539865	19	0.73399394907025	-0.77328791081924	0.554515797599701	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE123902	STING_plus_IFN_genes	within	7	4	3	1	GSE123902	10	q4	-1.31776021159537	0.578996050208122	5	0.0719023310359998	-2.80611694116554	0.170596517974795	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_GSE131907	STING_plus_IFN_genes	within	11	6	5	1	GSE131907	10	q4	0.670413703737932	0.414334200216257	9	0.140105572383679	-0.26687537507354	1.6077027825494	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	FALSE	NA
q4q1_drop205335_within_GSE189357	STING_plus_IFN_genes	within	5	3	2	1	GSE189357	10	q4	-0.18017072342601	0.398255753569935	3	0.681691925515427	-1.44759827493263	1.08725682808061	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	-1	TRUE	NA
q4q1_drop205335_within_meta	STING_plus_IFN_genes	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	-0.212076369219138	0.561165545658748	2	0.741828686372849	-2.6265768360891	2.20242409765082	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	74.7263232461532	0.741828686372849	0.561165545658748	-1	TRUE	NA
q4q1_drop205335	NHEJ	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.0639113896418012	0.0850730145784467	19	0.461704646205409	-0.114148476251917	0.241971255535519	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335	NHEJ	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.062656261819316	0.0829073686927351	19	0.459073804643548	-0.110870855142277	0.236183378780909	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE123902	NHEJ	within	7	4	3	1	GSE123902	10	q4	0.0603677631792767	0.168167302938236	5	0.734275040809427	-0.371920051101703	0.492655577460257	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE131907	NHEJ	within	11	6	5	1	GSE131907	10	q4	-0.0411360131951685	0.121429025250433	9	0.742555790420571	-0.315827552437039	0.233555526046702	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_GSE189357	NHEJ	within	5	3	2	1	GSE189357	10	q4	0.307717810516441	0.139447567106897	3	0.114454361365721	-0.136066584203704	0.751502205236586	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335_within_meta	NHEJ	re_meta	23	13	10	3	GSE123902+GSE131907+GSE189357	10	q4	0.104549272201224	0.106728254443021	2	0.430588496323116	-0.354665343119434	0.563763887521882	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	44.823837826431	0.442274972838786	0.110021475197271	NA	NA	NA
q4q1_drop205335	TJ	ols	23	13	10	3	GSE123902+GSE131907+GSE189357	168	q4	0.278486987500585	0.111230011386595	19	0.0215712928916621	0.0456798980963304	0.511294076904839	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
q4q1_drop205335	TJ	lmm	23	13	10	3	GSE123902+GSE131907+GSE189357	168	q4	0.276801319714559	0.111266383309144	19	0.0223093743157783	0.0439181030015062	0.509684536427612	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA
