family	estimator	n_q1	n_q4	n	k	n_genes	logFC	se	df	p	ci_low	ci_high	I2	tau2	thin	fdr	expect	sign_matches
MHC-I/APM	stacked_ols	18	16	34	4	21	-0.801714921148023	0.326478328114832	29	0.0202945653824902	-1.4694380753224	-0.133991766973642	NA	NA	FALSE	0.0338242756374837	-1	TRUE
MHC-I/APM	lmm_cohort	18	16	34	4	21	-0.781851676445636	0.317274468323087	29	0.0198968102521109	-1.43075082375191	-0.132952529139365	NA	9.2846155620241e-05	FALSE	0.0331613504201848	-1	TRUE
chemokine	cohort_GSE123902	4	3	7	1	14	-1.16420838935544	0.669869594359676	5	0.142719203447549	-2.88616300086149	0.55774622215061	NA	NA	FALSE	0.26145564130069	-1	TRUE
chemokine	cohort_GSE131907	6	5	11	1	14	-0.617925776188828	0.493829023633022	9	0.242373241280772	-1.73504463919791	0.499193086820257	NA	NA	FALSE	0.60593310320193	-1	TRUE
chemokine	cohort_GSE205335	5	6	11	1	14	-2.61334519312854	0.655779458302622	9	0.0031811995963782	-4.09682139194374	-1.12986899431334	NA	NA	FALSE	0.00795299899094551	-1	TRUE
chemokine	cohort_GSE189357	3	2	5	1	14	-0.623630403590148	0.870582525436503	3	0.525511386259156	-3.39421254511011	2.14695173792981	NA	NA	TRUE	0.656889232823945	-1	TRUE
chemokine	re_meta	18	16	34	4	14	-1.25633063672466	0.472164849353577	3	0.0762873284825194	-2.7589699170348	0.246308643585468	53.6685542558041	0.491291427522849	TRUE	0.325134886091102	-1	TRUE
chemokine	re_meta_drop_thin	15	14	29	3	14	-1.41507740959027	0.59584019666617	2	0.140797143245645	-3.97877085827042	1.14861603908989	66.4398883975373	0.718215190963586	FALSE	0.37541228286199	-1	TRUE
chemokine	stacked_ols	18	16	34	4	14	-1.38092157083069	0.349320871688921	29	0.000454259270508525	-2.0953629722245	-0.666480169436872	NA	NA	FALSE	0.00227129635254262	-1	TRUE
chemokine	lmm_cohort	18	16	34	4	14	-1.39796869727036	0.349326842353023	29	0.000398012461476898	-2.11242231004338	-0.68351508449734	NA	1.276409627089	FALSE	0.00199006230738449	-1	TRUE
TJ	cohort_GSE123902	4	3	7	1	168	0.180701376808961	0.297124892874411	5	0.5696413120691	-0.583082475729384	0.944485229347306	NA	NA	FALSE	0.620603692301286	1	TRUE
TJ	cohort_GSE131907	6	5	11	1	168	0.45628810705567	0.120446187288998	9	0.00429376150939028	0.183819901748129	0.728756312363212	NA	NA	FALSE	0.0214688075469514	1	TRUE
TJ	cohort_GSE205335	5	6	11	1	168	-0.173131051855456	0.148685013559387	9	0.27419237597709	-0.509479920279571	0.163217816568659	NA	NA	FALSE	0.27419237597709	1	FALSE
TJ	cohort_GSE189357	3	2	5	1	168	0.0140872635257592	0.0863818549297158	3	0.880821013336515	-0.260818351538868	0.288992878590386	NA	NA	TRUE	0.880821013336515	1	TRUE
TJ	re_meta	18	16	34	4	168	0.115426895311888	0.139460203993486	3	0.468550811731554	-0.328397715621295	0.55925150624507	77.2342171056017	0.0622067262580581	TRUE	0.585688514664443	1	TRUE
TJ	re_meta_drop_thin	15	14	29	3	168	0.157642330129037	0.19268117228477	2	0.499240650285451	-0.671397841773355	0.986682502031429	81.5277602792568	0.125558623735295	FALSE	0.499240650285451	1	TRUE
TJ	stacked_ols	18	16	34	4	168	0.131311648790515	0.0961519198000808	29	0.182542540273277	-0.0653411077325767	0.327964405313607	NA	NA	FALSE	0.228178175341596	1	TRUE
TJ	lmm_cohort	18	16	34	4	168	0.128911996788448	0.0962277089441189	29	0.190761687654122	-0.0678957659385821	0.325719759515478	NA	0.08732137290361	FALSE	0.238452109567653	1	TRUE
keratin	cohort_GSE123902	4	3	7	1	9	-0.545382101555904	1.03449848863478	5	0.620603692301286	-3.20464512543368	2.11388092232187	NA	NA	FALSE	0.620603692301286	1	FALSE
keratin	cohort_GSE131907	6	5	11	1	9	0.899326636803758	1.77271648571631	9	0.624130591230735	-3.11083665896984	4.90948993257736	NA	NA	FALSE	0.884689772666344	1	TRUE
keratin	cohort_GSE205335	5	6	11	1	9	-1.40219563782357	0.756164524471333	9	0.0966789067933665	-3.11275863311029	0.308367357463154	NA	NA	FALSE	0.120848633491708	1	FALSE
keratin	cohort_GSE189357	3	2	5	1	9	0.723876034467061	0.212509233449846	3	0.0422644372432691	0.0475768096359246	1.4001752592982	NA	NA	TRUE	0.211322186216346	1	TRUE
keratin	re_meta	18	16	34	4	9	-0.106107253434077	0.545009633308532	3	0.858075210623019	-1.84057114730084	1.62835664043269	64.6461917824379	1.00022828741346	TRUE	0.858075210623019	1	FALSE
keratin	re_meta_drop_thin	15	14	29	3	9	-0.891457870991331	0.514424382678073	2	0.225247369717194	-3.10484734537082	1.32193160338816	0	0	FALSE	0.37541228286199	1	FALSE
keratin	stacked_ols	18	16	34	4	9	-0.171798234070117	0.670056677085807	29	0.799457105011353	-1.54221801195495	1.19862154381472	NA	NA	FALSE	0.799457105011353	1	FALSE
keratin	lmm_cohort	18	16	34	4	9	-0.151832250127314	0.637047794178531	29	0.81329559809652	-1.4547412822365	1.15107678198187	NA	0.0001671856758009	FALSE	0.81329559809652	1	FALSE
