test	cohort	pair	note	n	rho	p	mwu_n_high	mwu_n_low	mwu_median_high	mwu_median_low	mwu_U	mwu_p	mwu_delta
median_split_MWU	pre_tx	CLDN4-high vs low, MHC	Pre-Tx only; n=23; still one/patient; high n=12 (>= median 7.753); low n=11	23	-0.36363636363636365	0.14808606158507112	12.0	11.0	-0.5152782555747846	0.08360670125050047	42.0	0.14808606158507112	-0.36363636363636365
spearman	all_joined_samples	CLDN4 vs CD274	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.08113230537098062	0.5635873796330578							
spearman	all_joined_samples	CLDN4 vs TNK	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.44508950169327527	0.0008394911736573503							
spearman	all_joined_samples	CLDN4 vs IFN	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.33518787292372193	0.014149335733155117							
spearman	all_joined_samples	CLDN4 vs CD8A	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.26685170755701976	0.05341242597813073							
spearman	all_joined_samples	CLDN4 vs NKG7	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.3959981468597281	0.0033334456145289997							
spearman	all_joined_samples	CLDN4 vs MHC	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.1824705692630221	0.19096150553148225							
spearman	all_joined_samples	CLDN4 vs TACSTD2	all joined biopsies n=53; pseudoreplication (not primary)	53	0.5058861473955814	0.0001114231730072879							
spearman	all_joined_samples	CLDN4 vs EPCAM	all joined biopsies n=53; pseudoreplication (not primary)	53	0.7758985628604925	8.860507804781191e-12							
spearman	all_joined_samples	CLDN4 vs PDCD1	all joined biopsies n=53; pseudoreplication (not primary)	53	-0.2627630284750216	0.057317646162737886							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs CD274	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.0866241987840013	0.5373949332737593							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs TNK	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.581033107677539	5.076355676557924e-06							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs IFN	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.47514867840711034	0.00032415808332325423							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs CD8A	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.443529053061773	0.0008799451560089773							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs NKG7	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.43308680080116135	0.0011988685273882683							
partial_spearman_|EPCAM	all_joined_samples	CLDN4 vs MHC	all joined biopsies n=53; pseudoreplication (not primary); rank residual on EPCAM	53	-0.5408771106117716	2.898638102693942e-05							
median_split_MWU	all_joined_samples	CLDN4-high vs low, CD274	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.14245014245014245	0.3783814568571918	27.0	26.0	3.794136437733248	3.996235044197463	301.0	0.3783814568571918	-0.14245014245014245
median_split_MWU	all_joined_samples	CLDN4-high vs low, TNK	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.5954415954415955	0.00020755779910052079	27.0	26.0	-0.4551668509355905	0.2742989798702394	142.0	0.00020755779910052079	-0.5954415954415955
median_split_MWU	all_joined_samples	CLDN4-high vs low, IFN	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.46438746438746437	0.0038377041196682262	27.0	26.0	-0.43182346367080715	-0.003339080515883217	188.0	0.0038377041196682262	-0.46438746438746437
median_split_MWU	all_joined_samples	CLDN4-high vs low, CD8A	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.3433048433048433	0.031169812463920508	27.0	26.0	0.9890850214196057	2.278186305261932	230.5	0.031169812463920508	-0.3433048433048433
median_split_MWU	all_joined_samples	CLDN4-high vs low, NKG7	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.5356125356125356	0.000777300328368442	27.0	26.0	1.274412279548138	3.219166024470639	163.0	0.000777300328368442	-0.5356125356125356
median_split_MWU	all_joined_samples	CLDN4-high vs low, MHC	all joined biopsies n=53; pseudoreplication (not primary); high n=27 (>= median 8.060); low n=26	53	-0.2934472934472934	0.06820019921640189	27.0	26.0	-0.32835555036356884	0.18457774930790677	248.0	0.06820019921640189	-0.2934472934472934
spearman_cancer	baseline_MSS_CRC	CLDN4 vs CD274	GEO cancer type on baseline row; n=14	14	-0.20022014315965378	0.4925179378441311							
spearman_cancer	baseline_MSS_CRC	CLDN4 vs TNK	GEO cancer type on baseline row; n=14	14	-0.4461538461538462	0.10980712780122506							
spearman_cancer	baseline_MSS_CRC	CLDN4 vs IFN	GEO cancer type on baseline row; n=14	14	-0.4021978021978022	0.1539744295414035							
spearman_cancer	baseline_MSS_CRC	CLDN4 vs CD8A	GEO cancer type on baseline row; n=14	14	-0.020001234682224835	0.945892115786296							
spearman_cancer	baseline_PDAC	CLDN4 vs CD274	GEO cancer type on baseline row; n=11	11	0.27272727272727276	0.4171414371425311							
spearman_cancer	baseline_PDAC	CLDN4 vs TNK	GEO cancer type on baseline row; n=11	11	-0.4909090909090909	0.12520440713849548							
spearman_cancer	baseline_PDAC	CLDN4 vs IFN	GEO cancer type on baseline row; n=11	11	-0.6090909090909091	0.046695709354098905							
spearman_cancer	baseline_PDAC	CLDN4 vs CD8A	GEO cancer type on baseline row; n=11	11	-0.5727272727272729	0.06554305260101852							
