sample	CLDN4	CD8A	CD274	ImmuneScore	ESTIMATE_StromalScore	ESTIMATE_Score	quartile	tacstd2_gate
TCGA-21-A5DI-01	11.6452	6.7634	5.9242	-426.13	-906.37	-1332.5	Q2	none
TCGA-22-0940-01	12.179	10.1812	7.1382	1647.35	182.55	1829.91	Q3	none
TCGA-22-0944-01	13.3658	6.3586	5.5672	-480.48	-1157.06	-1637.54	Q4	none
TCGA-22-1000-01	12.0035	9.1834	6.3734	1908.01	1478.49	3386.5	Q2	none
TCGA-22-1002-01	11.8436	8.042	5.7444	807.73	424.72	1232.44	Q2	none
TCGA-22-1005-01	12.0722	10.6428	6.1759	2466.57	727.59	3194.16	Q3	none
TCGA-22-1011-01	12.1806	8.5867	6.4512	1388.79	49.59	1438.38	Q3	none
TCGA-22-1012-01	12.8507	7.761	6.0709	263.89	-618.73	-354.84	Q4	none
TCGA-22-1016-01	12.0676	6.983	6.3666	1194.96	702.58	1897.54	Q3	none
TCGA-22-1017-01	13.8836	8.2717	8.9476	694.66	-735.0	-40.33	Q4	none
TCGA-22-4591-01	12.5799	7.1499	5.5541	-305.47	-1172.99	-1478.46	Q3	none
TCGA-22-4593-01	9.3035	7.1886	5.2486	-342.52	380.75	38.24	Q1	none
TCGA-22-4594-01	13.4567	8.4509	5.7756	1356.24	416.76	1773.01	Q4	none
TCGA-22-4595-01	11.5973	7.8504	6.009	836.38	342.27	1178.65	Q2	none
TCGA-22-4596-01	13.1646	8.6637	8.7193	2378.09	1217.57	3595.66	Q4	none
TCGA-22-4599-01	10.5536	10.196	7.4622	1598.79	0.75	1599.54	Q1	none
TCGA-22-4601-01	13.131	7.3971	6.8	-227.57	-815.3	-1042.87	Q4	none
TCGA-22-4604-01	10.9081	8.5634	8.322	1230.68	998.61	2229.29	Q1	none
TCGA-22-4605-01	13.0472	6.6309	7.2164	847.86	514.48	1362.34	Q4	none
TCGA-22-4607-01	13.5062	6.3879	4.523	450.67	-109.53	341.13	Q4	none
TCGA-22-4609-01	12.949	9.3932	7.4786	1560.81	651.12	2211.93	Q4	none
TCGA-22-4613-01	11.1383	8.6538	6.3649	974.47	-432.62	541.85	Q1	none
TCGA-22-5471-01	12.6076	10.6918	6.4189	1119.17	-383.48	735.69	Q3	none
TCGA-22-5472-01	13.6165	7.1296	5.0883	583.24	-364.56	218.69	Q4	none
TCGA-22-5473-01	11.8269	7.1088	9.4344	-103.42	-496.35	-599.76	Q2	none
TCGA-22-5474-01	13.1584	9.639	9.2785	1516.32	-16.77	1499.55	Q4	none
TCGA-22-5477-01	11.6933	8.1594	9.32	-226.87	-980.43	-1207.3	Q2	none
TCGA-22-5478-01	13.2948	6.8016	4.4459	171.5	31.01	202.51	Q4	none
TCGA-22-5479-01	11.0259	7.812	7.3411	166.34	-431.5	-265.16	Q1	none
TCGA-22-5480-01	9.9598	7.6445	7.6147	1286.04	-123.9	1162.15	Q1	none
TCGA-22-5481-01	8.1648	9.1047	8.4686	731.58	-723.86	7.72	Q1	none
TCGA-22-5482-01	12.2852	6.0015	4.9529	-404.88	-509.1	-913.98	Q3	none
TCGA-22-5483-01	13.5568	8.2561	5.5765	257.15	251.79	508.94	Q4	none
TCGA-22-5485-01	10.9021	6.4603	7.06	-153.44	-738.08	-891.52	Q1	none
TCGA-22-5489-01	10.8198	8.9258	8.082	1659.65	1047.23	2706.87	Q1	none
TCGA-22-5491-01	13.5642	7.5019	6.2847	-165.84	-1515.4	-1681.25	Q4	none
TCGA-22-5492-01	11.9523	8.8061	6.8882	1356.21	-14.39	1341.81	Q2	none
TCGA-22-A5C4-01	11.6811	6.7729	4.3074	-270.0	-1025.71	-1295.71	Q2	none
TCGA-33-4532-01	11.7395	6.4073	5.3105	-715.94	-1566.59	-2282.53	Q2	none
TCGA-33-4533-01	10.2844	7.6225	3.9407	-592.04	-82.67	-674.71	Q1	none
TCGA-33-4538-01	12.2038	7.6436	8.899	-99.03	-1021.14	-1120.17	Q3	none
TCGA-33-4547-01	11.6833	5.4883	3.882	342.96	-109.98	232.97	Q2	none
TCGA-33-4566-01	10.3132	9.2865	6.7037	1248.54	-316.24	932.29	Q1	none
TCGA-33-4579-01	6.5133	7.3201	5.7773				Q1	none
TCGA-33-4582-01	11.322	6.7079	2.4552	-611.53	-1355.39	-1966.91	Q2	none
TCGA-33-4583-01	12.9785	8.669	8.7287	179.46	-1354.61	-1175.15	Q4	none
TCGA-33-4586-01	11.5707	5.3793	8.6759	-415.86	-768.14	-1183.99	Q2	none
TCGA-33-4587-01	12.4758	6.409	4.262	-701.82	-939.1	-1640.91	Q3	none
TCGA-33-4589-01	12.3661	9.4903	8.6956	1337.28	-397.19	940.09	Q3	none
TCGA-33-6737-01	11.4666	7.8792	6.6904	499.82	-89.91	409.91	Q2	none
TCGA-33-6738-01	14.9813	6.8716	3.8644	-63.54	-1344.11	-1407.65	Q4	none
TCGA-33-A4WN-01	13.2857	6.5141	6.6977	-166.63	-1088.78	-1255.41	Q4	none
TCGA-33-A5GW-01	12.7672	4.574	7.0716	-817.66	-1727.64	-2545.3	Q4	none
TCGA-33-AAS8-01	10.962	6.0519	6.4445	-652.86	-1774.87	-2427.73	Q1	none
TCGA-33-AASB-01	12.5464	5.3059	3.0408	-900.19	-2108.49	-3008.68	Q3	none
TCGA-33-AASD-01	11.9404	6.0051	5.0569	-511.35	-929.6	-1440.96	Q2	none
TCGA-33-AASI-01	11.879	8.689	5.4399	544.69	-1142.29	-597.6	Q2	none
TCGA-33-AASJ-01	13.666	7.274	8.1826	-637.23	-1816.35	-2453.58	Q4	none
TCGA-33-AASL-01	13.4821	7.2615	5.779	163.36	-1535.7	-1372.34	Q4	none
TCGA-34-2596-01	10.3304	7.3797	10.2706	365.99	-340.19	25.8	Q1	none
TCGA-34-2600-01	15.0448	6.0705	3.4876	-460.42	-1519.82	-1980.25	Q4	none
TCGA-34-2608-01	12.5405	8.3454	5.9246	1478.26	1110.66	2588.93	Q3	none
TCGA-34-5231-01	8.4798	8.7475	5.4243	125.1	-673.34	-548.24	Q1	none
TCGA-34-5232-01	12.7107	8.5036	5.6996	1645.28	-707.77	937.51	Q3	none
TCGA-34-5234-01	12.2929	9.8372	5.5487	2107.92	1318.16	3426.09	Q3	none
TCGA-34-5236-01	12.049	7.0082	4.8527	567.65	778.57	1346.23	Q2	none
TCGA-34-5239-01	12.3649	9.7752	7.438	1290.56	1037.19	2327.75	Q3	none
TCGA-34-5240-01	13.0122	7.2997	7.8145	26.54	-49.51	-22.96	Q4	none
TCGA-34-5241-01	13.1551	8.7906	6.1835	1325.64	659.07	1984.71	Q4	none
TCGA-34-5927-01	11.6965	6.2788	3.3987	-790.44	-961.66	-1752.09	Q2	none
TCGA-34-5928-01	12.2976	7.8539	5.8123	505.4	1052.44	1557.84	Q3	none
TCGA-34-5929-01	10.7188	6.4309	4.8425	105.62	-535.88	-430.26	Q1	none
TCGA-34-7107-01	10.2468	7.0395	8.9893	71.84	517.17	589.01	Q1	none
TCGA-34-8454-01	10.38	8.8276	5.6944	1478.61	357.59	1836.2	Q1	none
TCGA-34-8455-01	10.2471	7.2571	4.9855	-30.34	-178.23	-208.57	Q1	none
TCGA-34-8456-01	12.6846	7.4813	7.6636	-73.06	-576.61	-649.67	Q3	none
TCGA-34-A5IX-01	11.716	7.3601	5.2541	195.53	-1107.57	-912.04	Q2	none
TCGA-37-3783-01	13.2442	10.2384	6.115	1659.91	144.89	1804.8	Q4	none
TCGA-37-3789-01	12.4551	9.066	5.765	952.57	-365.68	586.89	Q3	none
TCGA-37-3792-01	12.7436	9.3907	9.5063	2540.27	576.58	3116.85	Q3	none
TCGA-37-4129-01	11.9873	7.8615	3.0961	-1336.39	-1314.84	-2651.23	Q2	none
TCGA-37-4130-01	10.5265	11.9444	6.0532	2523.93	-199.83	2324.1	Q1	none
TCGA-37-4132-01	11.5484	9.794	5.9868	848.97	-279.74	569.23	Q2	none
TCGA-37-4133-01	14.1927	8.5694	8.6006	592.12	-537.65	54.47	Q4	none
TCGA-37-4135-01	13.2415	7.7678	4.7341	393.85	-724.63	-330.77	Q4	none
TCGA-37-4141-01	11.4466	9.6507	6.0635	437.08	-416.73	20.35	Q2	none
TCGA-37-5819-01	12.5566	8.3172	4.3687	-31.24	-667.93	-699.17	Q3	none
TCGA-37-A5EL-01	11.6918	6.9624	2.3223	-446.87	-1766.44	-2213.31	Q2	none
TCGA-37-A5EM-01	13.0824	8.5897	6.032	949.82	689.3	1639.11	Q4	none
TCGA-37-A5EN-01	12.3796	7.9879	5.9307	-122.62	-1041.61	-1164.23	Q3	none
TCGA-39-5011-01	12.8242	9.3851	6.7594	1986.79	-149.24	1837.54	Q4	none
TCGA-39-5016-01	13.1576	9.1254	9.8704	980.11	-936.8	43.31	Q4	none
TCGA-39-5019-01	13.4077	8.329	6.8224	492.87	-74.73	418.14	Q4	none
TCGA-39-5021-01	11.7855	8.9484	6.9721	643.45	-215.61	427.84	Q2	none
TCGA-39-5022-01	12.1564	10.2854	7.8409	2160.62	793.96	2954.58	Q3	none
TCGA-39-5024-01	11.6322	7.6201	5.0995	324.13	-1120.63	-796.5	Q2	none
TCGA-39-5027-01	12.2998	6.2213	6.1132	-949.53	-1904.52	-2854.04	Q3	none
TCGA-39-5028-01	12.0133	8.0632	6.0456	785.03	248.97	1034.0	Q2	none
TCGA-39-5029-01	12.91	9.072	4.298	736.42	-283.95	452.47	Q4	none
TCGA-39-5030-01	11.7253	9.925	7.8793	2258.76	980.8	3239.56	Q2	none
TCGA-39-5031-01	12.1329	8.4527	5.4998	635.53	-10.68	624.85	Q3	none
TCGA-39-5034-01	12.8972	7.8152	5.2315	319.33	360.76	680.1	Q4	none
TCGA-39-5035-01	11.6158	10.1121	10.1582	1314.96	-252.37	1062.59	Q2	none
TCGA-39-5036-01	13.4597	8.094	6.6263	-140.12	-1817.39	-1957.51	Q4	none
TCGA-39-5037-01	11.5812	5.5253	6.0998	-991.7	-2209.56	-3201.26	Q2	none
TCGA-39-5039-01	12.5079	8.2966	4.5328	484.51	424.98	909.49	Q3	none
TCGA-39-5040-01	13.9118	7.0339	7.1361	-280.47	-864.34	-1144.82	Q4	none
TCGA-43-2576-01	13.6887	8.5003	5.1063	1458.09	828.86	2286.95	Q4	none
TCGA-43-2578-01	12.2594	8.4275	4.9318	97.29	-586.14	-488.85	Q3	none
TCGA-43-2581-01	11.703	8.3233	6.1464	1730.12	716.39	2446.51	Q2	none
TCGA-43-3394-01	11.946	6.6151	7.0777	-327.66	-628.47	-956.12	Q2	none
TCGA-43-3920-01	12.1662	9.4678	5.5597	749.64	579.81	1329.45	Q3	none
TCGA-43-5668-01	12.5652	9.7419	6.9345	1698.37	169.93	1868.29	Q3	none
TCGA-43-5670-01	12.4746	4.4221	3.3677	-856.23	-1327.64	-2183.87	Q3	none
TCGA-43-6143-01	11.6782	5.9463	6.113	-488.4	-347.4	-835.79	Q2	none
TCGA-43-6647-01	8.8172	7.648	8.6751	1303.22	1335.43	2638.65	Q1	none
TCGA-43-6770-01	10.8374	6.0424	8.3174	0.76	-20.31	-19.55	Q1	none
TCGA-43-6771-01	12.3802	7.6876	7.5269	545.55	109.02	654.58	Q3	none
TCGA-43-6773-01	12.2871	9.4635	7.4973	1947.08	1145.2	3092.28	Q3	none
TCGA-43-7656-01	11.2256	9.3399	7.4668	1281.76	58.45	1340.21	Q1	none
TCGA-43-7657-01	11.6399	5.904	3.7268	-662.25	-260.02	-922.26	Q2	none
TCGA-43-7658-01	12.3666	9.8759	5.9105	487.19	-1384.07	-896.88	Q3	none
TCGA-43-8115-01	11.0675	9.3603	6.4307	1514.12	1308.23	2822.35	Q1	none
TCGA-43-8116-01	11.2138	7.584	4.3027	445.94	-661.26	-215.32	Q1	none
TCGA-43-8118-01	11.6634	6.972	4.7208	675.11	-112.55	562.56	Q2	none
TCGA-43-A474-01	11.312	2.9344	5.3819	-1100.6	-736.63	-1837.24	Q1	none
TCGA-43-A475-01	12.1655	10.8665	9.4475	2055.85	-49.85	2006.01	Q3	none
TCGA-43-A56U-01	12.1378	9.4092	6.2323	2186.0	247.62	2433.62	Q3	none
TCGA-43-A56V-01	12.4714	6.2234	4.9253	-181.9	-863.01	-1044.91	Q3	none
TCGA-46-3765-01	12.1583	7.8365	6.0036	471.53	-257.17	214.36	Q3	none
TCGA-46-3766-01	12.2378	9.4286	6.1903	2064.49	1760.23	3824.72	Q3	none
TCGA-46-3767-01	11.9131	8.0218	5.6186	1486.76	1478.16	2964.92	Q2	none
TCGA-46-3768-01	12.9518	6.8378	6.6909	-102.51	-777.8	-880.31	Q4	none
TCGA-46-3769-01	13.1724	9.0356	6.8481	1195.48	216.97	1412.45	Q4	none
TCGA-46-6025-01	11.2606	6.7695	8.3139	-236.55	-733.42	-969.97	Q1	none
TCGA-46-6026-01	11.4983	6.5124	2.0507	-691.45	-1573.05	-2264.5	Q2	none
TCGA-51-4079-01	12.7096	8.1253	8.0725	379.82	-309.01	70.81	Q3	none
TCGA-51-4080-01	11.6034	6.7055	6.2168	-528.72	-1235.57	-1764.29	Q2	none
TCGA-51-4081-01	11.8854	4.7989	6.0106	-849.48	-198.56	-1048.04	Q2	none
TCGA-51-6867-01	13.4914	9.0976	9.2329	90.09	-439.33	-349.24	Q4	none
TCGA-52-7622-01	12.8039	8.898	9.6753	1285.55	92.14	1377.69	Q4	none
TCGA-52-7809-01	12.5882	7.5346	4.5724	-397.97	-890.8	-1288.78	Q3	none
TCGA-52-7810-01	12.826	3.6767	5.0748	-554.38	-844.19	-1398.56	Q4	none
TCGA-52-7811-01	12.875	7.4104	6.1097	522.69	-72.15	450.53	Q4	none
TCGA-52-7812-01	13.2037	9.7713	8.7014	1180.65	-630.33	550.33	Q4	none
TCGA-56-1622-01	14.0627	5.6988	9.6063	-762.91	-890.47	-1653.37	Q4	none
TCGA-56-5897-01	12.0023	8.5499	5.7123	1489.38	1284.99	2774.37	Q2	none
TCGA-56-5898-01	13.6492	7.0749	5.4403	431.28	-70.65	360.63	Q4	none
TCGA-56-6545-01	8.8138	7.852	7.3524	1341.0	1336.86	2677.86	Q1	none
TCGA-56-6546-01	11.7773	9.7892	6.2178	1428.92	159.91	1588.84	Q2	none
TCGA-56-7221-01	11.9434	5.3975	3.9208	-643.44	-1418.44	-2061.88	Q2	none
TCGA-56-7222-01	12.6411	3.565	3.9709	-432.98	-1343.81	-1776.8	Q3	none
TCGA-56-7223-01	11.9833	5.1916	4.1187	-1651.61	-1341.26	-2992.86	Q2	none
TCGA-56-7579-01	13.4385	4.1807	3.5831	-5.69	-492.69	-498.38	Q4	none
TCGA-56-7580-01	11.2801	6.9519	3.804	-137.84	-754.08	-891.92	Q1	none
TCGA-56-7582-01	12.5726	7.5704	6.0464	219.87	-331.24	-111.37	Q3	none
TCGA-56-7730-01	13.0831	5.5724	6.9129	-1161.77	-1874.22	-3035.98	Q4	none
TCGA-56-7731-01	12.5648	7.3994	6.0469	1123.57	535.49	1659.05	Q3	none
TCGA-56-7822-01	12.4085	6.1779	4.9204	188.45	-558.24	-369.78	Q3	none
TCGA-56-7823-01	12.445	6.1501	5.6459	-401.86	-1247.3	-1649.15	Q3	none
TCGA-56-8082-01	12.7188	4.5437	5.9391	-573.82	-1159.79	-1733.61	Q3	none
TCGA-56-8083-01	11.7996	6.7377	2.4961	-1336.82	-897.71	-2234.53	Q2	none
TCGA-56-8201-01	8.7146	9.8947	7.5367	2188.86	1053.73	3242.59	Q1	none
TCGA-56-8304-01	11.2436	7.4711	6.4747	234.79	-1281.98	-1047.19	Q1	none
TCGA-56-8305-01	11.2966	5.1374	4.0482	-295.8	-448.26	-744.06	Q1	none
TCGA-56-8307-01	12.7487	7.616	8.0517	924.18	-773.9	150.28	Q4	none
TCGA-56-8308-01	13.5787	7.1285	8.1084	227.15	-207.84	19.31	Q4	none
TCGA-56-8309-01	12.7286	9.9157	8.1408	2326.0	633.81	2959.82	Q3	none
TCGA-56-8503-01	11.3134	7.9051	6.3167	1432.3	1283.23	2715.53	Q1	none
TCGA-56-8504-01	11.9156	8.3233	5.3918	483.67	-207.06	276.61	Q2	none
TCGA-56-8622-01	12.235	4.8956	6.4395	263.79	108.86	372.64	Q3	none
TCGA-56-8623-01	12.4322	8.9293	7.5846	2536.5	1024.42	3560.92	Q3	none
TCGA-56-8624-01	11.3517	6.8549	3.9118	205.13	5.7	210.83	Q2	none
TCGA-56-8625-01	11.9904	9.5819	7.5617	2168.04	1259.44	3427.48	Q2	none
TCGA-56-8626-01	10.8621	6.2504	4.422	158.49	-270.91	-112.42	Q1	none
TCGA-56-8628-01	12.0631	8.2547	5.6202	1273.93	571.12	1845.04	Q2	none
TCGA-56-8629-01	12.5239	7.3859	4.2671	-108.78	-751.64	-860.41	Q3	none
TCGA-56-A49D-01	12.2127	9.1322	6.6611	1039.8	-510.88	528.91	Q3	none
TCGA-56-A4BW-01	10.4102	7.9497	5.0637	317.91	-256.37	61.54	Q1	none
TCGA-56-A4BX-01	13.1749	6.4944	5.7113	-1330.52	-1994.46	-3324.97	Q4	none
TCGA-56-A4BY-01	13.253	7.9756	7.4307	-189.3	-796.31	-985.61	Q4	none
TCGA-56-A4ZJ-01	12.7492	7.2275	5.6869	1345.46	1026.31	2371.77	Q4	none
TCGA-56-A4ZK-01	13.2013	8.0831	8.6234	942.88	-363.46	579.42	Q4	none
TCGA-56-A5DR-01	13.5264	7.2852	5.3719	122.63	-369.43	-246.8	Q4	none
TCGA-56-A5DS-01	12.2682	7.6117	4.6731	637.73	-527.82	109.91	Q3	none
TCGA-56-A62T-01	11.513	5.2281	5.0739	107.24	-311.02	-203.78	Q2	none
TCGA-58-8386-01	10.6652	7.0678	6.8078	1044.2	236.61	1280.81	Q1	none
TCGA-58-8387-01	9.8056	8.9474	9.5292	1230.98	-775.17	455.81	Q1	none
TCGA-58-8388-01	11.2557	8.6984	5.7172	801.93	299.72	1101.66	Q1	none
TCGA-58-8390-01	12.0447	7.0193	5.2859	165.1	137.87	302.97	Q2	none
TCGA-58-8391-01	13.0048	6.6846	7.6256	-440.99	-1210.65	-1651.64	Q4	none
TCGA-58-8392-01	12.4614	5.8995	7.267	-641.94	-1445.42	-2087.36	Q3	none
TCGA-58-8393-01	12.9481	9.4769	8.1354	1575.64	53.32	1628.95	Q4	none
TCGA-58-A46J-01	10.2487	7.3788	5.5447	478.92	-537.52	-58.61	Q1	none
TCGA-58-A46K-01	11.908	8.0945	9.4317	-315.07	-1023.17	-1338.24	Q2	none
TCGA-58-A46L-01	11.16	8.838	6.4707	461.73	-198.84	262.89	Q1	none
TCGA-58-A46M-01	10.7837	9.0213	9.0857	575.93	-825.86	-249.93	Q1	none
TCGA-58-A46N-01	10.9722	6.1992	8.2823	-772.52	-1516.38	-2288.9	Q1	none
TCGA-60-2695-01	12.5513	9.0369	6.0693	241.57	-426.44	-184.87	Q3	none
TCGA-60-2696-01	13.2178	8.8013	5.6662	908.78	-168.83	739.94	Q4	none
TCGA-60-2697-01	11.9118	9.6688	6.6038	2363.69	836.34	3200.03	Q2	none
TCGA-60-2698-01	11.2986	9.6749	6.6214	1371.51	7.38	1378.89	Q1	none
TCGA-60-2703-01	11.2926	6.0277	4.9196	-381.0	193.26	-187.74	Q1	none
TCGA-60-2704-01	10.5862	8.954	7.2245	1632.67	1488.39	3121.06	Q1	none
TCGA-60-2706-01	13.6404	8.8909	5.8428	1069.23	-176.72	892.51	Q4	none
TCGA-60-2707-01	13.8433	6.9705	5.9222	670.43	438.27	1108.7	Q4	none
TCGA-60-2708-01	10.9578	5.4163	7.4683	-109.8	706.25	596.45	Q1	none
TCGA-60-2709-01	12.3891	9.6994	8.7829	1888.32	1253.42	3141.74	Q3	none
TCGA-60-2710-01	12.465	8.6493	6.5121	822.05	78.38	900.43	Q3	none
TCGA-60-2711-01	12.66	8.742	4.6763	-27.09	-1114.0	-1141.09	Q3	none
TCGA-60-2712-01	11.4005	9.692	7.6849	2035.26	824.67	2859.93	Q2	none
TCGA-60-2713-01	10.5967	8.917	7.0069	1286.03	893.83	2179.87	Q1	none
TCGA-60-2714-01	13.8053	8.6034	8.8932	925.77	-213.67	712.1	Q4	none
TCGA-60-2715-01	11.2388	8.2733	6.368	1746.74	1342.42	3089.16	Q1	none
TCGA-60-2716-01	11.8929	4.9392	4.6916	-965.63	-1564.57	-2530.19	Q2	none
TCGA-60-2719-01	10.966	7.6103	5.2933	152.46	-869.29	-716.83	Q1	none
TCGA-60-2720-01	12.7635	8.5135	4.1347	1170.31	-198.19	972.12	Q4	none
TCGA-60-2721-01	12.3036	9.9662	5.9642	1246.18	267.59	1513.77	Q3	none
TCGA-60-2722-01	13.6259	6.5777	8.3712	-453.14	-1058.54	-1511.68	Q4	none
TCGA-60-2723-01	12.1035	9.3494	10.0863	984.8	82.39	1067.19	Q3	none
TCGA-60-2724-01	10.9952	5.2029	4.7507	2.52	400.31	402.82	Q1	none
TCGA-60-2725-01	11.8557	9.7977	8.116	1778.52	634.13	2412.65	Q2	none
TCGA-60-2726-01	11.1786	8.5051	4.1285	392.9	-963.92	-571.02	Q1	none
TCGA-63-5128-01	11.8714	5.6531	6.4706	-629.53	-650.99	-1280.52	Q2	none
TCGA-63-5131-01	11.5924	6.5049	4.9069	-109.18	-898.9	-1008.08	Q2	none
TCGA-63-6202-01	12.9735	10.2783	8.5756	2004.29	638.01	2642.3	Q4	none
TCGA-63-7020-01	12.85	8.6289	5.9322	768.51	-466.99	301.51	Q4	none
TCGA-63-7021-01	12.6785	7.9142	7.8968	860.3	91.6	951.9	Q3	none
TCGA-63-7022-01	9.9825	8.0664	5.4717	1857.44	1612.16	3469.59	Q1	none
TCGA-63-7023-01	12.7493	8.0874	4.3853	-124.39	-826.42	-950.81	Q4	none
TCGA-63-A5M9-01	10.3261	7.582	8.6976	73.47	-461.6	-388.13	Q1	none
TCGA-63-A5MB-01	12.1548	7.8802	6.5057	-190.6	-917.47	-1108.07	Q3	none
TCGA-63-A5MG-01	12.9067	7.2575	5.4465	727.5	-192.51	534.99	Q4	none
TCGA-63-A5MH-01	9.9672	6.832	7.7813	-544.93	-891.57	-1436.5	Q1	none
TCGA-63-A5MI-01	10.0099	6.1924	4.0744	-800.39	-1158.99	-1959.38	Q1	none
TCGA-63-A5MJ-01	12.0336	7.3957	8.8745	-12.35	143.47	131.12	Q2	none
TCGA-63-A5ML-01	11.8318	8.3419	8.4271	-20.76	-450.08	-470.84	Q2	none
TCGA-63-A5MM-01	12.0746	8.9771	9.3305	1556.31	684.34	2240.65	Q3	none
TCGA-63-A5MN-01	12.6083	10.1428	9.4502	2281.54	948.35	3229.89	Q3	none
TCGA-63-A5MP-01	12.7114	8.5334	10.4543	1065.33	-409.49	655.84	Q3	none
TCGA-63-A5MR-01	12.3178	6.065	7.4958	-7.48	-1042.91	-1050.39	Q3	none
TCGA-63-A5MS-01	12.3812	8.4398	6.4717	1199.37	487.42	1686.79	Q3	none
TCGA-63-A5MT-01	12.0534	5.6232	5.3085	825.41	91.39	916.8	Q2	none
TCGA-63-A5MU-01	12.1564	5.1043	6.3055	-749.54	-1710.39	-2459.93	Q3	none
TCGA-63-A5MV-01	10.8269	8.2834	8.7442	836.86	285.27	1122.12	Q1	none
TCGA-63-A5MW-01	9.1185	7.6505	3.495	-676.2	174.36	-501.84	Q1	none
TCGA-63-A5MY-01	11.6802	5.6064	6.5278	-1162.74	-2047.35	-3210.1	Q2	none
TCGA-66-2727-01	10.8378	7.6211	9.5669	347.83	-463.79	-115.96	Q1	none
TCGA-66-2734-01	11.6252	5.7757	6.0114	1139.64	332.51	1472.15	Q2	none
TCGA-66-2737-01	11.5208	8.3421	7.3211	777.68	1087.42	1865.1	Q2	none
TCGA-66-2742-01	13.0173	7.2796	5.4066	513.34	-235.3	278.04	Q4	none
TCGA-66-2744-01	10.1819	9.637	8.696	2123.36	543.96	2667.32	Q1	none
TCGA-66-2753-01	11.3196	6.8913	5.277	295.73	-122.58	173.15	Q2	none
TCGA-66-2754-01	12.0266	6.3553	4.0398	-880.53	-1298.01	-2178.54	Q2	none
TCGA-66-2755-01	11.3846	8.432	9.7697	1984.26	460.99	2445.25	Q2	none
TCGA-66-2756-01	13.5221	7.8865	4.3512	-260.32	-722.41	-982.73	Q4	none
TCGA-66-2757-01	13.3826	8.6123	5.801	426.18	-311.95	114.23	Q4	none
