accession	score	n_samples	pdat	gdstype	suppfile	title	hits
GSE261348	2	175	2024/04/09	Other	DCC, PKC, PNG, XLSX	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort]	\bcohort\b
GSE265899	2	95	2024/08/21	Expression profiling by high throughput sequencing	CSV	Spatially resolved whole-transcriptomic and proteomic profiling of lung cancer and immune-microenvironment according to PD-L1 expression	\bpatients?\b
GSE266219	2	79	2024/05/07	Expression profiling by high throughput sequencing	RDS	Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	\bresponse\b;\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE270127	2	10	2025/07/07	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	H5, TSV	Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumors [dataset 2]	\bresponse\b;\bpatients?\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE272512	2	6	2024/10/08	Expression profiling by high throughput sequencing	XLSX	Targeting TREX1 induces innate immune response in drug resistant Small Cell Lung Cancer	\bresponse\b;\bpatients?\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE274584	2	21	2025/07/09	Expression profiling by high throughput sequencing	TXT	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [EV RNA]	\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan;organoid;\bin vitro\b
GSE274588	2	57	2025/07/09	Expression profiling by high throughput sequencing; Other	CSV, MTX, TSV, TXT	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]	\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan;organoid;\bin vitro\b
GSE274595	2	8	2025/07/09	Expression profiling by high throughput sequencing	MTX, TSV	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [tumor]	\bpatients?\b;clinical;peripheral blood|PBMC|plasma;resistan;organoid;\bin vitro\b
GSE282437	2	69	2026/06/23	Other	TXT	PLA2G2D in tumour-draining lymph nodes regulates anti-tumour immunity	\bresponse\b;\bpatients?\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE285298	2	173	2025/01/03	Other	XLSX	Tumor and immune environment changes in EGFR-TKI treated EGFR-mutant non-small cell lung cancer	\bpatients?\b
GSE287798	2	4	2026/04/05	Genome binding/occupancy profiling by high throughput sequencing	BW	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [ATAC-seq]	\bpatients?\b
GSE287799	2	6	2026/04/05	Expression profiling by high throughput sequencing	TXT	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [RNA-seq]	\bpatients?\b
GSE290255	2	12	2025/10/08	Expression profiling by high throughput sequencing	MTX, TSV	Key Regulatory Elements of the TGFβ-LRRC15 Axis Predict Disease Progression and Immunotherapy Resistance Across Cancer Types	clinical;resistan
GSE292421	2	51	2026/05/22	Expression profiling by high throughput sequencing	CSV, TXT	A pan-cancer immune and genomic feature-based classification of tumor microenvironment and resistance to immunotherapy	clinical;resistan
GSE298300	2	4	2026/02/13	Expression profiling by high throughput sequencing	TXT	HE4 regulates anticancer immune evasion by upregulating PD-L1 expression on macrophages through the IFN-γR-STAT3 axis	\bresponse\b;\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE302247	2	4	2025/11/18	Expression profiling by high throughput sequencing	TXT	Dipeptidyl peptidase 4 restoration facilitates anti-tumor immunity in KRAS–LKB1–mutant lung cancer	\bresponse\b;\bpatients?\b;resistan;\bmice\b|\bmouse\b|murine|xenograft
GSE303680	2	10	2025/07/30	Expression profiling by high throughput sequencing	H5, RDS	PD1-targeted cis-delivery of an IL-2 variant induces a multifaceted anti-tumoral T cell response in human lung cancer	\bresponse\b;\bpatients?\b;clinical;\bmice\b|\bmouse\b|murine|xenograft
GSE304741	2	22	2026/06/05	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	H5, RDS, TSV	Cytotoxic CD39+ tumor-associated NK cells respond to NKG2A blockade in lung cancer (10X Multiome)	\bpatients?\b
GSE319755	2	3	2026/06/05	Other	H5, PARQUET, TIFF	Cytotoxic CD39+ tumor-associated NK cells respond to NKG2A blockade in lung cancer (10x Xenium)	\bpatients?\b
GSE320009	2	18	2026/02/23	Expression profiling by high throughput sequencing	TXT	Synergistic role of riboflavin-auxotrophic Enterococcus for MR1 expression and in-tra-tumoral mucosal associated invariant T (MAIT) cell activation	\bpatients?\b
GSE252437	1	14	2025/06/30	Expression profiling by high throughput sequencing	TXT	Gene expression differences between TILs that are reactive to tumor cells and TILs that are not reactive	\bpatients?\b;clinical;co-?culture
GSE266364	1	33	2024/10/30	Expression profiling by high throughput sequencing	TXT, XLSX	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	\bresponse\b;clinical;\bin vitro\b
GSE269440	1	6	2024/06/10	Expression profiling by high throughput sequencing	TXT	Bulk RNA-seq of siGFPT2 and NC grouped H1975 cells	resistan
