gse	file	size	url
GSE293914	GSE293914_RAW.tar	449M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293914/suppl/GSE293914_RAW.tar
GSE293914	filelist.txt	285	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293914/suppl/filelist.txt
GSE295601	GSE295601_RAW.tar	285M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295601/suppl/GSE295601_RAW.tar
GSE295601	GSE295601_feature_reference.csv.gz	3.7K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295601/suppl/GSE295601_feature_reference.csv.gz
GSE295601	filelist.txt	1.9K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295601/suppl/filelist.txt
GSE295977	GSE295977_RAW.tar	2.4G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295977/suppl/GSE295977_RAW.tar
GSE295977	filelist.txt	487	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295977/suppl/filelist.txt
GSE298300	GSE298300_RAW.tar	18M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE298nnn/GSE298300/suppl/GSE298300_RAW.tar
GSE298300	filelist.txt	593	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE298nnn/GSE298300/suppl/filelist.txt
GSE298789	GSE298789_gene_count_mat.txt.gz	660K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE298nnn/GSE298789/suppl/GSE298789_gene_count_mat.txt.gz
GSE299684	GSE299684_RAW.tar	696M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299684/suppl/GSE299684_RAW.tar
GSE299684	filelist.txt	3.4K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299684/suppl/filelist.txt
GSE303043	GSE303043_RAW.tar	4.0M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303043/suppl/GSE303043_RAW.tar
GSE303043	GSE303043_processed_human_counts.xlsx	3.3M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303043/suppl/GSE303043_processed_human_counts.xlsx
GSE303043	filelist.txt	807	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303043/suppl/filelist.txt
GSE304741	GSE304741_NK_only_NSCLC_seurat.rds	4.0G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304741/suppl/GSE304741_NK_only_NSCLC_seurat.rds
GSE304741	GSE304741_RAW.tar	13G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304741/suppl/GSE304741_RAW.tar
GSE304741	filelist.txt	1.9K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE304nnn/GSE304741/suppl/filelist.txt
GSE305086	GSE305086_Expression_matrix_final.csv.gz	24M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305086/suppl/GSE305086_Expression_matrix_final.csv.gz
GSE305086	GSE305086_RAW.tar	769M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305086/suppl/GSE305086_RAW.tar
GSE305086	filelist.txt	12K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305086/suppl/filelist.txt
GSE305372	GSE305372_DICE-TCR_BL-CD4-ALL_ProcessedObject.csv.gz	73M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/suppl/GSE305372_DICE-TCR_BL-CD4-ALL_ProcessedObject.csv.gz
GSE305372	GSE305372_HIPC-1_LG-CD4-ALL_SeuratObject.RDS	7.8G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/suppl/GSE305372_HIPC-1_LG-CD4-ALL_SeuratObject.RDS
GSE305372	GSE305372_HIPC-1_LG-CD8-ALL_SeuratObject.RDS	5.2G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/suppl/GSE305372_HIPC-1_LG-CD8-ALL_SeuratObject.RDS
GSE305372	GSE305372_HIPC-1_LN-CD4-ALL_SeuratObject.RDS	1.9G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/suppl/GSE305372_HIPC-1_LN-CD4-ALL_SeuratObject.RDS
GSE305372	GSE305372_HIPC-1_LN-CD8-ALL_SeuratObject.RDS	492M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305372/suppl/GSE305372_HIPC-1_LN-CD8-ALL_SeuratObject.RDS
GSE306542	GSE306542_RAW.tar	81M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306542/suppl/GSE306542_RAW.tar
GSE306542	filelist.txt	2.5K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE306nnn/GSE306542/suppl/filelist.txt
GSE307029	GSE307029_Fielding_-_Lung_SCLC_paper_normalised_M_methylation.csv.gz	678M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307029/suppl/GSE307029_Fielding_-_Lung_SCLC_paper_normalised_M_methylation.csv.gz
GSE307029	GSE307029_RAW.tar	1.3G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307029/suppl/GSE307029_RAW.tar
GSE307029	filelist.txt	13K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307029/suppl/filelist.txt
GSE308745	GSE308745_RAW.tar	1.5G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308745/suppl/GSE308745_RAW.tar
GSE308745	GSE308745_feature_reference.csv.gz	3.7K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308745/suppl/GSE308745_feature_reference.csv.gz
GSE308745	filelist.txt	9.1K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308745/suppl/filelist.txt
GSE309452	GSE309452_RAW.tar	15M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309452/suppl/GSE309452_RAW.tar
GSE309452	filelist.txt	855	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309452/suppl/filelist.txt
GSE309453	GSE309453_RAW.tar	3.5M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309453/suppl/GSE309453_RAW.tar
GSE309453	filelist.txt	1.2K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309453/suppl/filelist.txt
GSE310370	GSE310370_RAW.tar	2.5M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310370/suppl/GSE310370_RAW.tar
GSE310370	filelist.txt	400	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310370/suppl/filelist.txt
GSE311200	GSE311200_processed-data-file.xlsx	19M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE311nnn/GSE311200/suppl/GSE311200_processed-data-file.xlsx
GSE312336	GSE312336_RAW.tar	156M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312336/suppl/GSE312336_RAW.tar
GSE312336	GSE312336_feature_reference.csv.gz	3.7K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312336/suppl/GSE312336_feature_reference.csv.gz
GSE312336	filelist.txt	1.0K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE312nnn/GSE312336/suppl/filelist.txt
GSE313827	GSE313827_cpm_counts.tsv.gz	2.4M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE313nnn/GSE313827/suppl/GSE313827_cpm_counts.tsv.gz
GSE313827	GSE313827_raw_counts.tsv.gz	696K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE313nnn/GSE313827/suppl/GSE313827_raw_counts.tsv.gz
GSE315510	GSE315510_RAW.tar	815M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315510/suppl/GSE315510_RAW.tar
GSE315510	filelist.txt	6.5K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315510/suppl/filelist.txt
GSE317309	GSE317309_RAW.tar	7.6G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE317nnn/GSE317309/suppl/GSE317309_RAW.tar
GSE317309	GSE317309_feature_README.txt	6.5K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE317nnn/GSE317309/suppl/GSE317309_feature_README.txt
GSE317309	filelist.txt	29K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE317nnn/GSE317309/suppl/filelist.txt
GSE318850	GSE318850_CD8_filter3_1.4.qs.gz	912M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE318nnn/GSE318850/suppl/GSE318850_CD8_filter3_1.4.qs.gz
GSE318850	GSE318850_seurat_all_cells.qs.gz	8.1G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE318nnn/GSE318850/suppl/GSE318850_seurat_all_cells.qs.gz
GSE319755	GSE319755_RAW.tar	9.4G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319755/suppl/GSE319755_RAW.tar
GSE319755	filelist.txt	1.6K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319755/suppl/filelist.txt
GSE319956	GSE319956_RAW.tar	325M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319956/suppl/GSE319956_RAW.tar
GSE319956	filelist.txt	969	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319956/suppl/filelist.txt
GSE320009	GSE320009_gene_count_all_samples.txt.gz	2.7M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE320nnn/GSE320009/suppl/GSE320009_gene_count_all_samples.txt.gz
GSE320009	GSE320009_gene_fpkm_all_samples.txt.gz	5.8M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE320nnn/GSE320009/suppl/GSE320009_gene_fpkm_all_samples.txt.gz
GSE320531	GSE320531_02.Result_X101SC25098089-Z01-J002.zip	6.2M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE320nnn/GSE320531/suppl/GSE320531_02.Result_X101SC25098089-Z01-J002.zip
GSE322553	GSE322553_RAW.tar	200M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE322nnn/GSE322553/suppl/GSE322553_RAW.tar
GSE322553	filelist.txt	4.3K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE322nnn/GSE322553/suppl/filelist.txt
GSE327192	GSE327192_RAW.tar	13G	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327192/suppl/GSE327192_RAW.tar
GSE327192	filelist.txt	2.7K	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327192/suppl/filelist.txt
GSE327377	GSE327377_A549_normalised_counts.xlsx	2.2M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327377/suppl/GSE327377_A549_normalised_counts.xlsx
GSE327377	GSE327377_H1299_normalised_counts.xlsx	2.2M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE327nnn/GSE327377/suppl/GSE327377_H1299_normalised_counts.xlsx
GSE328294	GSE328294_genes_fpkm_expression.xlsx	12M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328294/suppl/GSE328294_genes_fpkm_expression.xlsx
GSE329813	GSE329813_processed_data_file_normalized_data.csv.gz	1.6M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE329nnn/GSE329813/suppl/GSE329813_processed_data_file_normalized_data.csv.gz
GSE330687	GSE330687_expression.csv.gz	12M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE330nnn/GSE330687/suppl/GSE330687_expression.csv.gz
GSE337519	GSE337519_RAW.tar	33M	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE337nnn/GSE337519/suppl/GSE337519_RAW.tar
GSE337519	filelist.txt	281	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE337nnn/GSE337519/suppl/filelist.txt
