accession	title	gdstype	n_samples	pdat	suppfile	ftplink	summary
GSE233820	PARP inhibitor radiosensitization enhances anti-PD-L1 immunotherapy through depression of chemokine translation in small cell lung cancer	Expression profiling by high throughput sequencing	12	2025/02/04	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233820/	Immunotherapy (IO) is an effective therapeutic for various cancers however the benefits are modest for small cell lung cancer (SCLC). The poor response of SCLC to anti-PD-1/PD-L1 IO is due in part to the lack of cytotoxic T cells because of limited chemokine expression from SCLC tumors. Immunogenic radiosensitizers that enhance chemokine expression may be a promising strategy forward. Here, we showed that the PARP inhibitor, olaparib, in combination with radiotherapy (RT) enhanced immune activation and anti-tumor efficacy in SCLC cell lines, patient-derived xenograft (PDX) and syngeneic mouse models, that was further pronounced with continued delivery of adjuvant olaparib. The combination treatment (olaparib with RT) activated the cGAS-STING pathway and increased the mRNA levels of the T cell chemoattractants, CCL5 and CXCL10. Interestingly, we found the combination treatment significantly downregulated expression of the mRNA translational repressor EIF4E2 to further increase chemokine CXCL10 protein levels via post-transcriptional stabilization of CXCL10 mRNA in its 3’ UTR region. We demonstrated the combination treatment augmented cytotoxic CD8+ T cell tumor infiltration and upregulated PD-L1 gene expression and protein levels. The incorporation of anti-PD-L1 IO with olaparib and RT significantly improved anti-tumor efficacy by protecting T cells from exhaustion. This study identified a novel mechanism of treatment-induced chemokine regulation that provides a rationale for the combination of PARP inhibitors, RT and anti-PD-L1 IO as a novel treatment strategy for SCLC.
GSE236719	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [ChIP-seq]	Genome binding/occupancy profiling by high throughput sequencing	9	2024/06/21	BW, NARROWPEAK	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236719/	Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.
GSE236722	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [WGBS]	Methylation profiling by high throughput sequencing	12	2024/06/21	BEDGRAPH	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE236nnn/GSE236722/	Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.
GSE237087	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	Methylation profiling by high throughput sequencing	68	2024/02/28	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237087/	Immune checkpoint inhibitors (ICIs) drastically improve therapeutic outcomes for lung cancer, but accurate prediction of individual patient responses to ICIs remains a challenge. We performed a genome-wide analysis of 5-hydroxymethylcytosine (5hmC) in plasma cell-free DNA (cfDNA) samples from 83 lung cancer patients. Using machine learning approaches, we developed a 5hmC signature to predict ICI treatment response and calculated a weighted-predictive score (wp-score) based on the 5hmC levels of signature genes in each sample. A low wp-score was significantly correlated with longer progression-free survival across three independent patient sample sets, and demonstrated superior predictive capability to tumor programmed death-ligand 1. Moreover, we identified novel 5hmC-associated genes and signaling pathways integral to ICI treatment response in lung cancer. Our study suggests that cfDNA 5hmC analysis is a minimally invasive, innovative strategy for guiding treatment selection in lung cancer patients.
GSE237818	Enhancing Tumor Targeting of Antitumor Drugs through Anlotinib-Mediated Modulation of Extracellular Matrix and RhoA/ROCK Signaling Pathway	Expression profiling by high throughput sequencing	6	2024/07/31	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237818/	In this study, our research focused on investigating the impact of Anlotinib in enhancing the tumor targeting of antitumor drugs in vivo. Through RNA-sequencing and Label-free quantitative proteomics analysis, we discovered that Anlotinib effectively regulated the expression of extracellular matrix (ECM) genes and proteins, leading to a significant reduction in ECM stiffness. Our bioinformatic analysis indicated a potential positive relationship between the ECM pathways and gefitinib resistance, poor PD-1 treatment outcomes, as well as unfavorable prognosis in lung cancer patients following chemotherapy. To evaluate the efficacy of Anlotinib, we administered it in combination with anti-PD-1/PD-L1 agents, chemotherapeutic drugs, and gefitinib, and visualized their distribution using fluorescent labeling in various tumor types. Notably, our results demonstrated that Anlotinib substantially improved the drug targeting process by prolonging the retention time of antitumor drugs at the tumor site. Moreover, the combination therapy induced a notable loosening of the tumor tissue structure compared to the control group. This reduction in stiffness was further associated with decreased interstitial fluid pressures and tumor solid pressure. Additionally, we observed that Anlotinib effectively suppressed the RhoA/ROCK signaling pathway, inhibiting the formation of stress fibers. These findings strongly suggest that Anlotinib enhances the distribution and retention of antitumor drugs in tumors by modulating ECM expression and physical properties through the RhoA/ROCK signaling pathway. These valuable insights contribute to the development of combination therapies aimed at improving tumor targeting in cancer treatment.
GSE240361	Neoantigen-targeted DC vaccine generates durable T cell responses exhibiting the full spectrum of differentiation states in NSCLC patients	Expression profiling by high throughput sequencing; Other	5	2024/03/18	CSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE240nnn/GSE240361/	Background. Dendritic cell (DC)-based neoantigen vaccination holds potential as a safe and effective adjuvant therapy for patients with early-stage, resectable NSCLC. DCs have the unique ability to elicit robust antitumoral T-cell responses, while neoantigens are ideal targets to elicit high-affinity T cell responses with excellent tumor specificity. Here, we present the results of a phase I clinical trial in which a novel DC vaccine targeting neoantigens was evaluated in six patients with early stage, resected NSCLC. Methods. Autologous monocyte-derived DCs loaded with neoantigens (Neo-mDCs) were manufactured according to a 4-day protocol. Neo-mDCs were injected intravenously following an intrapatient dose escalation scheme. Primary endpoint of the trial was safety. Secondary endpoints were feasibility, immunogenicity, and relapse-free survival. Results. Vaccine manufacturing was feasible in 6 of 10 patients. Toxicity was limited to grade 1-2 adverse events. Systemic T cell responses were observed in 5 out of 6 vaccinated patients and were dominated by CD8+ T cells, which could be detected ex vivo at high frequencies >1.5 years after the last dose. Furthermore, single cell analysis indicated that the CD8+ T cell responsive population was polyclonal and exhibited the near entire spectrum of T cell differentiation states, including a naïve-like state associated with long lasting memory, but excluding exhausted cell states. Three of six vaccinated patients experienced disease relapse.Conclusion. Neo-mDC vaccination is safe, feasible and induces polyclonal populations of neoantigen-specific T-cell responses containing long lasting memory and effector cells in early-stage NSCLC patients, suggesting clinical potential.
GSE241934	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)	Expression profiling by high throughput sequencing; Other	88	2024/05/17	CSV, MTX, TSV, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241934/	We launched an investigator-initiated, Simon’s two-stage design trial of neoadjuvant sintilimab combined with carboplatin and nab-paclitaxel (nab-PC) in early-stage EGFR-mutant NSCLC (Clinicaltrial.gov number NCT05244213). Here we report the first interim results of stage 1 cohort which met the overall primary endpoint in advance, and multi-omics profiling of neoadjuvant immunotherapy combination in early-stage EGFR-mutant patients. We performed in-depth single-cell RNA/TCR sequencing (scRNA/TCR-seq) of cells derived from 11 resected tumors as well as 34 tumors from real-world cohort which were all confirmed wild-type lung adenocarcinoma (LUAD) or adeno-squamous carcinoma (ASC) and received neoadjuvant immunochemotherapy as control. By associating the tumor microenvironment (TME) and with responses, we uncovered heterogeneous mechanisms of primary resistance, providing insights into further strategic developments of combination regimens to improve the clinical outcome of EGFR-mutant NSCLC patients.
GSE241977	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	Expression profiling by high throughput sequencing	6	2024/06/08	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241977/	While immunotherapy has shown efficacy in non-small cell lung cancer (NSCLC) patients, many respond only partially or not at all. One limitation in improving outcomes is the lack of a complete understanding of factors regulating immune checkpoint targets. Here, we sought to address a possible link between an environmental chemical receptor implicated in NSCLC and immune regulation, the aryl hydrocarbon receptor (AhR), and a known but counterintuitive mediator of immunosuppression, IFN    , in regulation of two immune checkpoints, PD-L1 and the IDO1, in lung adenocarcinoma (LUAD). To this end we used AhR, PD-L1, and IFN    R gene-edited LUAD cell lines, a syngeneic LUAD mouse model, bulk- and single cell-RNA sequencing of LUADs and tumor-infiltrating leukocytes, and existing human transcriptomic databases. The data demonstrate that: 1) the AhR regulates both PD-L1 and IDO1 in murine and human LUAD cells, 2) AhR-driven IDO1 results in production of Kyn which likely mediates an AhR→IDO1→Kyn→AhR amplification loop, 3) the previously characterized induction by IFN    of PD-L1 and IDO is mediated by the AhR, 4) transplantation of LUAD cells in which the AhR is deleted results in long-term tumor immunity in approximately half of the mice; slow growing tumors in the other half exhibit significantly higher densities of CD4+ and CD8+ T cells expressing immunocompetence markers, and 5) deletion of either IFN    R1 or PD-L1 does not provide the same level of immune protection as AhR deletion. The data definitively link IFN    - mediated immunosuppression to the AhR and support the targeting of the AhR in the context of LUAD.
GSE242780	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	Expression profiling by high throughput sequencing	6	2024/08/31	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242780/	The purpose of the study was to investigate the potential role of the immune system in renal irAEs by analyzing the features of peripheral blood mononuclear cells (PBMC) from patients with renal irAEs using single-cell RNA sequencing (scRNA-seq).
GSE242860	Soluble immune-checkpoint factors as a complementary biomarker for PD-1 blockade reflect exhaustion of antitumor immunity	Expression profiling by array; Third-party reanalysis		2024/03/30	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242860/	BACKGROUND. Precise stratification of patients with non–small cell lung cancer (NSCLC) is needed for appropriate application of PD-1/PD-L1 blockade therapy.     METHODS. We measured soluble (s) forms of the PD-L1, PD-1, and CTLA-4 in plasma of patients with advanced NSCLC before PD-1/PD-L1 blockade. Prospective biomarker finding trial (cohort A), 50 patients with pretreated NSCLC received nivolumab. In cohort B to E, retrospective observational study, soluble immune checkpoint molecules were evaluated for patients with advanced NSCLC treated with any PD-1/PD-L1 blockade (cohort B and C), cytotoxic chemotherapy (D) or targeted therapy (E). Blood samples were obtained from all patients and soluble immune checkpoint molecules were evaluated using a highly sensitive chemiluminescence-based assay.     RESULTS. Nonresponsiveness to PD-1/PD-L1 blockade therapy was associated with higher concentrations of these soluble immune factors among patients with immune-reactive (hot) tumors. Such correlation was not observed in patients treated with cytotoxic chemotherapy or targeted therapies. Integrative analysis of tumor size, PD-L1 expression in tumor tissue (tPD-L1), and gene expression in tumor tissue and peripheral CD8+ T cells revealed that high concentrations of the three soluble immune factors were associated with  hyper or terminal exhaustion of antitumor immunity. The combination of sPD-L1 and sCTLA-4 efficiently discriminated responsiveness among patients with immune-reactive tumors.     CONCLUSION. Combinations of soluble immune factors might be able to identify patients unlikely to respond to PD-1/PD-L1 blockade as a result of terminal exhaustion of antitumor immunity. Our data suggest such a combination might provide a biomarker complementary to tPD-L1 for NSCLC patients.
GSE243013	A single-cell atlas of immune heterogeneity  in anti-PD1-treated non-small cell lung cancer	Expression profiling by high throughput sequencing	243	2025/01/28	CSV, MTX, TAR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243013/	Anti-PD(L)1 with chemotherapy is a standard of care for non-small cell lung cancer (NSCLC), but a varying degree of response to the same regimen is observed in patients. The tumor immune microenvironment (TIME) plays a key role in response to immunotherapy, and the TIME heterogeneity in association with therapeutic outcome is incompletely understood. Here we prospectively applied single-cell RNA and TCR sequencing to characterize post-neoadjuvant chemo-immunotherapy treatment tumor samples of 234 NSCLC patients. Our study provides a fine-grained dissection of the TIME heterogeneity underlying response to chemo-immunotherapy in NSCLC, thus representing a valuable resource for improved management of NSCLC.
