accession	uid	queries	title	taxon	gdstype	n_samples	gpl	pubmed	pdat
GSE247271	200247271	cldn4_text	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [ChIP-seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	30	GPL19057	38755149	2024/04/19
GSE247130	200247130	cldn4_text	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [1]	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	12	GPL24247	38755149	2024/04/18
GSE264098	200264098	cldn4_text	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [scATAC-seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24247	38755149	2024/04/16
GSE207704	200207704	cldn4_text	Claudin-4–adhesion signaling drives breast cancer metabolism and progression via liver X receptor β	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676	37059993	2023/04/19
GSE196005	200196005	cldn4_text	CD90 marks a mesenchymal program in human thymic epithelial cells in vitro and in vivo	Homo sapiens	Expression profiling by high throughput sequencing	22	GPL24676	35371075	2022/02/28
GSE108417	200108417	cldn4_text	Airway epithelial barrier, mucins and inflammasome in distinct eosinophilic, neutrophilic and mixed inflammatory phenotypes of asthma	Mus musculus	Expression profiling by array	12	GPL6246	30267575	2018/10/03
GSE99417	200099417	cldn4_text	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA-mediated miRNA evasion	Homo sapiens; Mus musculus; Rattus norvegicus	Non-coding RNA profiling by array; Expression profiling by array	24	GPL16956	28819095	2017/05/31
GSE99416	200099416	cldn4_text	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA-mediated miRNA evasion (lncRNA)	Homo sapiens	Non-coding RNA profiling by array; Expression profiling by array	12	GPL16956	28819095	2017/05/31
GSE99415	200099415	cldn4_text	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA-mediated miRNA evasion (miRNA)	Rattus norvegicus; Homo sapiens; Mus musculus	Non-coding RNA profiling by array	12	GPL18058	28819095	2017/05/31
GSE84742	200084742	cldn4_text	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	Mus musculus	Expression profiling by array	8	GPL6105		2016/07/23
GSE65107	200065107	cldn4_text	Diarrhea in lymphocytic colitis: ERK1/2-dependent ENaC dysregulation and claudin-4-, -5- and -8-related barrier defects	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL16791	26658215	2016/01/19
GSE60885	200060885	cldn4_text	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	Homo sapiens	Methylation profiling by genome tiling array	17	GPL13534	25697377	2015/04/07
GSE50927	200050927	cldn4_text	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	Mus musculus	Expression profiling by high throughput sequencing	5	GPL13112	25106430	2014/11/04
GSE48443	200048443	cldn4_text	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	Mus musculus	Expression profiling by array	7	GPL6885	24588076	2014/04/06
GSE26055	200026055	cldn4_text	Claudin-7 is frequently overexpressed in ovarian cancer and promotes invasion	Homo sapiens	Expression profiling by array	8	GPL6104	21789222	2012/09/19
GSE22493	200022493	cldn4_text	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	Homo sapiens	Expression profiling by array	3	GPL10555		2010/12/15
GSE11759	200011759	cldn4_text	Role of HNF4alpha in the adult colon	Mus musculus	Expression profiling by array	6	GPL1261	19898610	2008/12/01
GSE303774	200303774	dna_repair,nhej	CHK2 deficiency affects the engagement of DSBs repair pathways following DNA damage	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/09/08
GSE289365	200289365	nhej	Brain perivascular macrophages regulate endothelial cell function via a cMAF-dependent transcriptional program in mouse and human [RNA-seq BMDMs]	Mus musculus	Expression profiling by high throughput sequencing	6	GPL24247	42600613	2026/08/14
GSE298940	200298940	nhej	Brain perivascular macrophages regulate endothelial cell function via a cMAF-dependent transcriptional program in mouse and human	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	36	GPL34290	42600613	2026/08/13
GSE288216	200288216	dna_repair,nhej	CEBPG induces epithelial-mesenchymal transition and facilitates DNA double-strand break repair in lung adenocarcinoma cells	Homo sapiens	Expression profiling by array	4	GPL13497	42230580	2026/08/12
GSE305143	200305143	dna_repair,nhej,prkdc	DNA-PKcs-dependent Non-homologous End Joining Repair Contributes to Ferroptosis Inhibition	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676		2026/08/01
GSE302992	200302992	dna_repair,dna_repair_title,nhej	Nuclear PTK7 Interacts with DNA-PK Drives DNA Repair and Immune Evasion in Triple-negative Breast Cancer	Homo sapiens	Expression profiling by high throughput sequencing	9	GPL20301		2026/07/01
GSE326697	200326697	nhej	Natural Flavonoids Genistein and Baicalein as Well-Tolerated Radiosensitizers to Enhance the Efficacy of 177Lu-PSMA617 in Prostate Cancer: In Vitro and In Vivo Studies	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL24676		2026/06/01
GSE291973	200291973	dna_repair,nhej	HSF1 and YTHDC1 facilitate DNA damage repair upon heat stress by promoting the expressions of repair related genes	Homo sapiens	Expression profiling by high throughput sequencing; Other	10	GPL24676	42055551	2026/05/05
GSE327392	200327392	dna_repair,dna_repair_title,nhej	In vivo systematic detection of the outcomes of CRISPR/Cas9 mediated DNA repair in skeletal muscle stem cells [IDM-Seq long-read]	Mus musculus	Other	12	GPL24973	42015511	2026/04/23
GSE327391	200327391	dna_repair,dna_repair_title,nhej	In vivo systematic detection of the outcomes of CRISPR/Cas9 mediated DNA repair in skeletal muscle stem cells [control]	Mus musculus	Other	81	GPL34328	42015511	2026/04/23
GSE303540	200303540	dna_repair,dna_repair_title,nhej	In vivo systematic detection of the outcomes of CRISPR/Cas9 mediated DNA repair in skeletal muscle stem cells [sgRNA]	Mus musculus	Other; Genome binding/occupancy profiling by high throughput sequencing	272	GPL24247	42015511	2026/04/23
GSE287959	200287959	dna_repair,nhej	Slowed R-loop processing due to defective loading of RNAseH1 by the RPA complex characterizes premature oncogene-induced senescence	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	55	GPL24676	41978259	2026/04/22
GSE307028	200307028	dna_repair,nhej,sting1	DNA-PK Mediated CRTC2 Phosphorylation Promotes CRTC2 Relocation from Transcription to Repair Complexes Enhancing NHEJ and Suppressing Abscopal Effect	Mus musculus	Expression profiling by high throughput sequencing	2	GPL13112	42151152	2026/04/20
GSE306599	200306599	dna_repair,nhej,sting1	DNA-PK Mediated CRTC2 Phosphorylation Promotes CRTC2 Relocation from Transcription to Repair Complexes Enhancing NHEJ and Suppressing Abscopal Effect [RNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL34284	42151152	2026/04/20
GSE306488	200306488	dna_repair,nhej,sting1	DNA-PK Mediated CRTC2 Phosphorylation Promotes CRTC2 Relocation from Transcription to Repair Complexes Enhancing NHEJ and Suppressing Abscopal Effect [CUT&Tag]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4	GPL34284	42151152	2026/04/20
GSE270092	200270092	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [VDJ-HTGTS-Seq]	Mus musculus	Other	197	GPL24247	42172328	2026/04/09
GSE270090	200270090	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [PRO-seq]	Mus musculus	Other	6	GPL24247	42172328	2026/04/09
GSE270088	200270088	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [ChIP-seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4	GPL24247	42172328	2026/04/09
GSE270086	200270086	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [3C-HTGTS-Seq]	Mus musculus	Other	6	GPL24247	42172328	2026/04/09
GSE292031	200292031	nhej	Senataxin promotes recombination fidelity during antigen receptor gene diversification	Mus musculus	Expression profiling by high throughput sequencing	9	GPL24247	41086252	2026/03/14
GSE315862	200315862	nhej,prkdc	Targeting the Non-Homologous End-Joining Pathway Sensitizes MDM2-Amplified Liposarcoma to Doxorubicin-Induced Senescence, p53-Mediated Senescence.	Homo sapiens	Expression profiling by high throughput sequencing	36	GPL24676	41811692	2026/02/12
GSE300187	200300187	nhej	The nonsense-mediated mRNA decay (NMD) pathway safeguards telomeres in pluripotent stem cells	Mus musculus	Expression profiling by high throughput sequencing	12	GPL24247	41876871	2026/02/10
GSE307840	200307840	nhej	Omics-aided design genome editing strategy for challenging immortalized cell models	Homo sapiens	Expression profiling by high throughput sequencing	32	GPL24676	41678468	2026/01/23
GSE315142	200315142	dna_repair,nhej	Transcriptomics reveals the role of NHEJ in mycobacterial antiphage defense	Mycolicibacterium smegmatis	Expression profiling by high throughput sequencing	12	GPL28556		2026/01/01
GSE274135	200274135	dna_repair,nhej,prkdc	NANP Targeting Radio-sensitizes Glioblastoma through TNFR1 Sialylation-Driven Mesenchymal Shift	Homo sapiens	Expression profiling by high throughput sequencing	10	GPL24676	41851195	2025/12/07
GSE295913	200295913	nhej	Genomic Profiling of Sirt6 binding sites in the neuroblastoma cell line ShSy-5y under normal culture conditions.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7	GPL24676	41345108	2025/11/01
GSE255745	200255745	dna_repair,nhej	S-SETMAR in the biogenesis of glioblastoma : a protective role ?	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL18460		2025/10/10
GSE308351	200308351	dna_repair,nhej	A Tale of Two Cell Lines: Characterization of differential efficacy of small molecule drugs cediranib and NU-7441 on primary vs. metastatic colorectal cancer	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676		2025/09/17
GSE306291	200306291	nhej	Polymerase theta-mediated end-joining repairs persistent G1-induced DNA breaks in S/G2.	Mus musculus	Other	25	GPL34290	41298353	2025/08/26
GSE280890	200280890	nhej	Gene expression profile at single cell level of human cortical brain organoids at day 20.	Homo sapiens	Expression profiling by high throughput sequencing	4	GPL20795	40682144	2025/06/26
GSE300403	200300403	nhej	Senataxin promotes recombination fidelity during antigen receptor gene diversification	Mus musculus	Other	16	GPL34290	41086252	2025/06/23
GSE274294	200274294	dna_repair,nhej	RGG motif-containing Scd6/LSM14A proteins regulate the translation of specific mRNAs in response to hydroxyurea-induced genotoxic stress	Homo sapiens	Expression profiling by high throughput sequencing	24	GPL24676	40275106	2025/06/04
GSE297792	200297792	dna_repair,dna_repair_title,nhej	Refined DNA Repair Manipulation Enables a Universal Knock-in Strategy in Mouse Embryos	Mus musculus	Expression profiling by high throughput sequencing	8	GPL24247	40664653	2025/05/26
GSE277752	200277752	dna_repair,nhej	Mitochondrial dynamics regulates iron homeostasis and nuclear genome stability	Saccharomyces cerevisiae	Other	240	GPL17143	40595486	2025/05/09
GSE287014	200287014	dna_repair,dna_repair_title,nhej	CNOT7 Promotes Radiation Resistance in Colorectal Cancer via XRCC6-Mediated NHEJ DNA Repair Pathway	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	41249119	2025/04/28
GSE294709	200294709	dna_repair,nhej	Ku suppresses RNA-mediated innate immune responses in human cells to accommodate primate-specific Alu expansion	Homo sapiens	Expression profiling by high throughput sequencing	46	GPL34295	40373806	2025/04/16
GSE282699	200282699	dna_repair,nhej	Interleukin-33 (IL-33) promotes DNA damage-resistance in lung cancer	Homo sapiens	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	20	GPL34284	40216748	2025/04/08
GSE265857	200265857	nhej	Homeodomain-containing protein PRRX1 senses DNA double-strand breaks and anchors the Ku heterodimers to promote non-homologous end-joining	Mus musculus	Expression profiling by high throughput sequencing	6	GPL24247	40114375	2025/03/26
GSE287805	200287805	nhej	Senescence and inflammation are unintended adverse consequences of CRISPR-Cas9/AAV6 mediated  gene editing in hematopoietic stem cells [NHEJ]	Homo sapiens	Other	49	GPL15520	40466639	2025/03/18
GSE265815	200265815	nhej	Genomic Balancing Act: Deciphering DNA rearrangements in the Complex Chromosomal Aberration involving 5p15.2, 2q31.1 and 18q21.32	Homo sapiens	Methylation profiling by array	3	GPL22579	39256534	2025/02/26
GSE280084	200280084	dna_repair,nhej	A Multipotent PROX1+ Tumor Cell Population Emerges During Intestinal Tumorigenesis and Mediates Radioresistance in Colorectal Cancer	Mus musculus	Expression profiling by high throughput sequencing	13	GPL24247		2025/02/13
GSE288025	200288025	nhej	RAD51 family factors remodel the NHEJ system to modulate stress-induced biosynthesis of diterpenoid phytoalexins in rice.	Oryza sativa	Expression profiling by high throughput sequencing	18	GPL33365		2025/01/30
GSE287659	200287659	nhej	RAD51 family members remodel the NHEJ system to modulate stress-induced biosynthesis of diterpenoid phytoalexins in rice	Oryza sativa	Genome binding/occupancy profiling by high throughput sequencing	4	GPL27660		2025/01/27
GSE276069	200276069	nhej	The KU70-SAP domain has an overlapping function with DNA-PKcs in limiting the lateral movement of KU along DNA	Mus musculus	Other	20	GPL16417	42423307	2024/12/31
GSE250510	200250510	dna_repair,nhej	Cohesin phosphorylation accelerates DNA damage repair and reduces translocations	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing; Other	38	GPL24676	39833168	2024/12/05
GSE277204	200277204	nhej	Androgen receptor splicing variant 7 (ARv7) promotes DNA damage response in prostate cancer cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL24676	35947121,40022149	2024/09/14
GSE275628	200275628	dna_repair,nhej	TAS-102, Irinotecan, and Bevacizumab in Pre-treated Metastatic Colorectal Cancer (TABAsCO), A Phase II Clinical Trial. ClinicalTrials.gov NCT04109924	Homo sapiens	Expression profiling by high throughput sequencing	34	GPL24676	39244627	2024/08/26
GSE266959	200266959	dna_repair,nhej	Epidermal Growth Factor Rejuvenates Aged Hematopoietic Stem Cells [EGFR Dominant Negative]	Mus musculus	Expression profiling by high throughput sequencing	6	GPL34290		2024/07/01
GSE249491	200249491	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [RNA-seq]	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL24676	38587186	2024/06/12
GSE249442	200249442	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [ACT-seq]	Homo sapiens	Other; Genome binding/occupancy profiling by high throughput sequencing	48	GPL21697	38587186	2024/06/12
GSE249441	200249441	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [4C-seq]	Homo sapiens	Other	178	GPL21697	38587186	2024/06/12
GSE249439	200249439	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	48	GPL21697	38587186	2024/06/12
GSE263165	200263165	dna_repair,nhej	Lig3 is the primary ligase in AEJ -mediated V(D)J recombination	Mus musculus	Other	48	GPL24247	39083600	2024/04/15
GSE252293	200252293	dna_repair,nhej	Epidermal Growth Factor Rejuvenates Aged Hematopoietic Stem Cells	Mus musculus	Expression profiling by high throughput sequencing	4	GPL24247		2024/04/01
GSE260753	200260753	nhej	RPA and Rad27 limit templated and inverted insertions at DNA breaks	Saccharomyces cerevisiae	Other	56	GPL17143	39673516	2024/03/07
GSE221906	200221906	dna_repair,dna_repair_title,nhej	Concomitant inhibition of the thioredoxin system and non-homologous DNA repair potently sensitizes Philadelphia-positive lymphoid leukemia to tyrosine kinase inhibitors	Homo sapiens	Expression profiling by high throughput sequencing	16	GPL21697	38486859	2024/03/01
GSE248843	200248843	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [AmpliconSeq]	Homo sapiens	Other	43	GPL15520	38521763	2024/02/11
GSE242777	200242777	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [scRNA-Seq]	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL18573	38521763	2024/02/11
GSE242757	200242757	nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair	Homo sapiens	Other; Expression profiling by high throughput sequencing	1545	GPL18573	38521763	2024/02/11
GSE242749	200242749	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [Amplicon]	Homo sapiens	Other	1429	GPL15520	38521763	2024/02/11
GSE242748	200242748	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [i53]	Homo sapiens	Other	61	GPL15520	38521763	2024/02/11
GSE246239	200246239	dna_repair,nhej	ATM and 53BP1 regulate alternative end joining-mediated V(D)J recombination	Mus musculus	Other	42	GPL24247	39083600	2023/12/31
GSE242952	200242952	dna_repair,nhej	Regulated the AEJ -mediated V(D)J recombination by 53BP1 and ATM	Mus musculus	Other	510	GPL24247	39083600	2023/12/31
GSE249453	200249453	dna_repair,nhej	DNA-PKcs Suppresses Illegitimate Chromosome Rearrangements	Homo sapiens; Mus musculus	Other	72	GPL24247	38412274	2023/12/30
GSE246469	200246469	nhej	Yeast EndoG prevents genome instability by degrading extranuclear DNA species	Saccharomyces cerevisiae	Other	95	GPL17143	39227600	2023/12/20
GSE246343	200246343	nhej	Allele-Specific gene editing approach for a dominant form of Epidermolysis Bullosa Simplex II	Homo sapiens	Other	6	GPL15520	38053334	2023/12/06
GSE221645	200221645	nhej	Allele-Specific gene editing approach for a dominant form of Epidermolysis Bullosa Simplex I	Homo sapiens	Expression profiling by high throughput sequencing	2	GPL21697	38053334	2023/12/06
GSE242527	200242527	dna_repair,nhej	HELZ promotes R loop resolution to facilitate DNA double-strand break repair by homologous recombination	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	9	GPL11154		2023/11/01
GSE196661	200196661	dna_repair,nhej	ZNF524 directly binds telomeres and supports their integrity via TRF2/RAP1	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL24676	38086788	2023/10/23
GSE245626	200245626	nhej	Lipid Nanoparticles Allow Efficient and Harmless Ex Vivo Gene Editing of Human Hematopoietic Cells [NHEJ]	Homo sapiens	Other	176	GPL15520	37294917	2023/10/18
GSE243758	200243758	nhej	Selective DNA-PK inhibition enhances chemotherapy and ionizing radiation activity in soft-tissue sarcomas	synthetic construct; Homo sapiens	Other	3	GPL19424	37982819	2023/09/25
GSE198359	200198359	nhej	RNA-seq analysis reveals potential molecular mechanism of RAD54B on cell proliferation of inflamed human dental pulp cells	Homo sapiens	Expression profiling by high throughput sequencing	12	GPL23227	36196684	2023/09/02
GSE232940	200232940	nhej	DNA-PKcs suppress chromosome translocation in human cells	Homo sapiens	Other	108	GPL24676	38412274	2023/09/01
GSE232924	200232924	nhej	The impact of DNA-PKcs in V(D)J recombination of mouse IgK antigen locus	Mus musculus	Other	288	GPL24247	38412274	2023/09/01
GSE239852	200239852	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_BaseE_MultiLocus]	Homo sapiens	Other	149	GPL15520	37679541	2023/08/02
GSE220765	200220765	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_PrimeE]	Homo sapiens	Other	25	GPL15520	37679541	2023/07/18
GSE220763	200220763	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_BaseE]	Homo sapiens	Other	362	GPL15520	37679541	2023/07/18
GSE205221	200205221	nhej	A genome-wide CRISPR screen identifies ZNF251 critical for resistance to PARP inhibitors	Homo sapiens	Other	3	GPL18573		2023/05/31
GSE228850	200228850	nhej	Phosphorylation of DNA-PKcs at the S2056 cluster ensures efficient and productive lymphocyte development in XLF-deficient mice	Mus musculus	Other	31	GPL16417	37307443	2023/05/01
GSE164437	200164437	nhej	RNA Sequencing Analysis of control vs KDM4Ai treated cells as a monotherapy or in combination with PARPi	Homo sapiens	Expression profiling by high throughput sequencing	15	GPL24676		2022/12/31
GSE197388	200197388	nhej	Choice of Template Delivery Mitigates the Genotoxic Risk and Adverse Impact of Editing in Human Hematopoietic Stem Cells (RAAVIoli sequencing)	Homo sapiens	Other	429	GPL24676	36206730	2022/10/06
GSE197386	200197386	nhej	Choice of Template Delivery Mitigates the Genotoxic Risk and Adverse Impact of Editing in Human Hematopoietic Stem Cells (Targeted deep sequencing)	Homo sapiens	Other	183	GPL15520	36206730	2022/10/06
GSE206902	200206902	nhej	Mesenchymal stromal cells improve the transplantation outcome of CRISPR-Cas9 gene-edited human HSPCs (NHEJ)	Homo sapiens	Expression profiling by high throughput sequencing	27	GPL15520		2022/09/01
GSE186086	200186086	nhej	DNA-PK Promotes DNA End Resection at DNA Double Strand Breaks in G0 cells [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	2	GPL21626	35575473	2022/05/16
GSE186085	200186085	nhej	DNA-PK Promotes DNA End Resection at DNA Double Strand Breaks in G0 cells [END-seq]	Mus musculus	Other	16	GPL21626	35575473	2022/05/16
GSE202567	200202567	nhej	SHLD1 is dispensable for 53BP1-dependent V(D)J recombination but critical for productive class switch recombination	Mus musculus	Other	18	GPL21626	35764636	2022/05/11
GSE199895	200199895	nhej	NHEJ-mediated insertional mutagenesis reveals a novel target for enhancing fatty alcohols production in Yarrowia lipolytica	Yarrowia lipolytica CLIB122	Expression profiling by high throughput sequencing	6	GPL32103	35547152	2022/04/01
GSE169356	200169356	dna_repair,nhej	Integrated omics profiling reveals FOXA1 and Ku70/Ku80 as the direct target of ivermectin for prostate carcinogenic inhibition	Homo sapiens	Expression profiling by high throughput sequencing	18	GPL11154		2022/04/01
GSE174496	200174496	nhej	DNA damage-induced phosphorylation of CtIP at a conserved ATM/ATR site promotes lymphomagenesis in NHEJ/p53-double deficient mice	Mus musculus	Other	18	GPL16417		2021/12/31
GSE183779	200183779	nhej	whole-gene transcriptome profiling of Panc-1 which were treated with conditinal meida (CM) from CAFS or CAFR	Homo sapiens	Expression profiling by high throughput sequencing	6	GPL30209	35264742	2021/09/16
GSE180581	200180581	nhej,prkdc	Transcriptome data for HEK293T cells depleted of one subunit of DNA-PK complex: Ku70, Ku80 or DNA-PKcs.	Homo sapiens	Expression profiling by high throughput sequencing	21	GPL18460	34849385,35430316	2021/07/23
GSE162453	200162453	nhej	Ku70 and Ligase IV deficiencies reveal distinct alternative end-joining outcomes in G1-arrested progenitor B cells	Mus musculus	Other	116	GPL21626	34006647	2021/05/08
GSE154728	200154728	nhej	The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [CRISPR-Cas9 screen]	Mus musculus	Other	9	GPL21626		2021/04/13
GSE154726	200154726	nhej	The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	2	GPL21626		2021/04/13
GSE154725	200154725	nhej	The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [Nascent RNA-seq]	Mus musculus	Expression profiling by high throughput sequencing	14	GPL21626		2021/04/13
GSE166631	200166631	dna_repair,nhej	DROSHA is recruited to DNA damage sites by the MRN complex to promote non-homologous end-joining	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12	GPL11154	33558311	2021/03/15
GSE166119	200166119	dna_repair,nhej	Genome-wide Translocation Analysis in the 266Q Knock-in Mouse Model of SCA7	Mus musculus	Other	8	GPL16417	34852229	2021/02/04
GSE135274	200135274	dna_repair,nhej	Transcriptome changes of Hela cells with blocking classical and alternative non-homologous end-joining (NHEJ) pathways	Homo sapiens	Expression profiling by high throughput sequencing	8	GPL24676	35054780	2020/12/31
GSE155891	200155891	dna_repair,nhej	Dynamics and Competition of CRISPR-Cas9 RNP and AAV donors Mediated Genome Editings	Homo sapiens	Other	127	GPL11154	33398341,35089463	2020/12/14
GSE148488	200148488	nhej	SNP array for Cas9 treated human oocytes and embryos	Homo sapiens	Genome variation profiling by array	135	GPL28377	33125898	2020/10/29
