accession	queries	title	taxon	gdstype	n_samples_geo	status	skip_reason	gpl	pubmed	cldn4_present	n_nhej	n_ifn	n_sensors	genes_nhej	genes_ifn	genes_sensors	coverage_ok	n_columns	design	cldn4_mean	cldn4_std	n_pairs	pair_stems	spearman_n	rho_nhej	p_nhej	rho_ifn	p_ifn	rho_composite	p_composite	rho_cgas	p_cgas	rho_sting	p_sting	scale	file_used	joint_paired	joint_spearman	joint_call	call_basis	ratio_orient	delta_nhej	delta_ifn	delta_cgas	delta_sting	contrast_note	nhej_genes_up_in_high	nhej_genes_down_in_high	ifn_genes_up_in_high	ifn_genes_down_in_high	delta_cldn4	fdr_nhej	fdr_ifn	fdr_composite
GSE270092	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [VDJ-HTGTS-Seq]	Mus musculus	Other	197.0	not_expression	Other																																															
GSE270090	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [PRO-seq]	Mus musculus	Other	6.0	not_expression	Other																																															
GSE270088	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [ChIP-seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE270086	dna_repair,dna_repair_title,nhej	53BP1 orchestrates sequence feature of RAG targets to balance DNA repair outcomes during V(D)J recombination [3C-HTGTS-Seq]	Mus musculus	Other	6.0	not_expression	Other																																															
GSE295913	nhej	Genomic Profiling of Sirt6 binding sites in the neuroblastoma cell line ShSy-5y under normal culture conditions.	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	7.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE306291	nhej	Polymerase theta-mediated end-joining repairs persistent G1-induced DNA breaks in S/G2.	Mus musculus	Other	25.0	not_expression	Other																																															
GSE300403	nhej	Senataxin promotes recombination fidelity during antigen receptor gene diversification	Mus musculus	Other	16.0	not_expression	Other																																															
GSE277752	dna_repair,nhej	Mitochondrial dynamics regulates iron homeostasis and nuclear genome stability	Saccharomyces cerevisiae	Other	240.0	not_expression	Other																																															
GSE287805	nhej	Senescence and inflammation are unintended adverse consequences of CRISPR-Cas9/AAV6 mediated  gene editing in hematopoietic stem cells [NHEJ]	Homo sapiens	Other	49.0	not_expression	Other																																															
GSE265815	nhej	Genomic Balancing Act: Deciphering DNA rearrangements in the Complex Chromosomal Aberration involving 5p15.2, 2q31.1 and 18q21.32	Homo sapiens	Methylation profiling by array	3.0	not_expression	Methylation profiling by array																																															
GSE287659	nhej	RAD51 family members remodel the NHEJ system to modulate stress-induced biosynthesis of diterpenoid phytoalexins in rice	Oryza sativa	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE276069	nhej	The KU70-SAP domain has an overlapping function with DNA-PKcs in limiting the lateral movement of KU along DNA	Mus musculus	Other	20.0	not_expression	Other																																															
GSE250510	dna_repair,nhej	Cohesin phosphorylation accelerates DNA damage repair and reduces translocations	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing; Other	38.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing; Other																																															
GSE249442	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [ACT-seq]	Homo sapiens	Other; Genome binding/occupancy profiling by high throughput sequencing	48.0	not_expression	Other; Genome binding/occupancy profiling by high throughput sequencing																																															
GSE249441	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [4C-seq]	Homo sapiens	Other	178.0	not_expression	Other																																															
GSE249439	dna_repair,nhej,sting1	ARID1A regulates DSB repair through chromatin organization and its deficiency triggers DNA damage-mediated immune response [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	48.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE263165	dna_repair,nhej	Lig3 is the primary ligase in AEJ -mediated V(D)J recombination	Mus musculus	Other	48.0	not_expression	Other																																															
GSE260753	nhej	RPA and Rad27 limit templated and inverted insertions at DNA breaks	Saccharomyces cerevisiae	Other	56.0	not_expression	Other																																															
GSE248843	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [AmpliconSeq]	Homo sapiens	Other	43.0	not_expression	Other																																															
GSE242757	nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair			1545.0	skipped	n_samples_over_1500																																															
GSE242749	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [Amplicon]	Homo sapiens	Other	1429.0	not_expression	Other																																															
GSE242748	dna_repair,nhej	Functional screening in human HSPCs identifies optimized protein-based enhancers of Homology Directed Repair [i53]	Homo sapiens	Other	61.0	not_expression	Other																																															
GSE246239	dna_repair,nhej	ATM and 53BP1 regulate alternative end joining-mediated V(D)J recombination	Mus musculus	Other	42.0	not_expression	Other																																															
GSE242952	dna_repair,nhej	Regulated the AEJ -mediated V(D)J recombination by 53BP1 and ATM	Mus musculus	Other	510.0	not_expression	Other																																															
GSE249453	dna_repair,nhej	DNA-PKcs Suppresses Illegitimate Chromosome Rearrangements	Homo sapiens; Mus musculus	Other	72.0	not_expression	Other																																															
GSE246469	nhej	Yeast EndoG prevents genome instability by degrading extranuclear DNA species	Saccharomyces cerevisiae	Other	95.0	not_expression	Other																																															
GSE246343	nhej	Allele-Specific gene editing approach for a dominant form of Epidermolysis Bullosa Simplex II	Homo sapiens	Other	6.0	not_expression	Other																																															
GSE242527	dna_repair,nhej	HELZ promotes R loop resolution to facilitate DNA double-strand break repair by homologous recombination	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	9.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE196661	dna_repair,nhej	ZNF524 directly binds telomeres and supports their integrity via TRF2/RAP1	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE245626	nhej	Lipid Nanoparticles Allow Efficient and Harmless Ex Vivo Gene Editing of Human Hematopoietic Cells [NHEJ]	Homo sapiens	Other	176.0	not_expression	Other																																															
GSE243758	nhej	Selective DNA-PK inhibition enhances chemotherapy and ionizing radiation activity in soft-tissue sarcomas	synthetic construct; Homo sapiens	Other	3.0	not_expression	Other																																															
GSE232940	nhej	DNA-PKcs suppress chromosome translocation in human cells	Homo sapiens	Other	108.0	not_expression	Other																																															
GSE232924	nhej	The impact of DNA-PKcs in V(D)J recombination of mouse IgK antigen locus	Mus musculus	Other	288.0	not_expression	Other																																															
GSE239852	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_BaseE_MultiLocus]	Homo sapiens	Other	149.0	not_expression	Other																																															
GSE220765	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_PrimeE]	Homo sapiens	Other	25.0	not_expression	Other																																															
GSE220763	dna_repair,nhej	Genotoxic effects of base and prime editing in human hematopoietic stem cells [NHEJ_BaseE]	Homo sapiens	Other	362.0	not_expression	Other																																															
GSE205221	nhej	A genome-wide CRISPR screen identifies ZNF251 critical for resistance to PARP inhibitors	Homo sapiens	Other	3.0	not_expression	Other																																															
GSE228850	nhej	Phosphorylation of DNA-PKcs at the S2056 cluster ensures efficient and productive lymphocyte development in XLF-deficient mice	Mus musculus	Other	31.0	not_expression	Other																																															
GSE197388	nhej	Choice of Template Delivery Mitigates the Genotoxic Risk and Adverse Impact of Editing in Human Hematopoietic Stem Cells (RAAVIoli sequencing)	Homo sapiens	Other	429.0	not_expression	Other																																															
GSE197386	nhej	Choice of Template Delivery Mitigates the Genotoxic Risk and Adverse Impact of Editing in Human Hematopoietic Stem Cells (Targeted deep sequencing)	Homo sapiens	Other	183.0	not_expression	Other																																															
GSE186086	nhej	DNA-PK Promotes DNA End Resection at DNA Double Strand Breaks in G0 cells [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	2.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE186085	nhej	DNA-PK Promotes DNA End Resection at DNA Double Strand Breaks in G0 cells [END-seq]	Mus musculus	Other	16.0	not_expression	Other																																															
GSE202567	nhej	SHLD1 is dispensable for 53BP1-dependent V(D)J recombination but critical for productive class switch recombination	Mus musculus	Other	18.0	not_expression	Other																																															
GSE174496	nhej	DNA damage-induced phosphorylation of CtIP at a conserved ATM/ATR site promotes lymphomagenesis in NHEJ/p53-double deficient mice	Mus musculus	Other	18.0	not_expression	Other																																															
GSE162453	nhej	Ku70 and Ligase IV deficiencies reveal distinct alternative end-joining outcomes in G1-arrested progenitor B cells	Mus musculus	Other	116.0	not_expression	Other																																															
GSE154728	nhej	The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [CRISPR-Cas9 screen]	Mus musculus	Other	9.0	not_expression	Other																																															
GSE154726	nhej	The Dystonia Gene THAP1 Controls DNA Double Strand Break Repair Choice [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	2.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE166631	dna_repair,nhej	DROSHA is recruited to DNA damage sites by the MRN complex to promote non-homologous end-joining	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	12.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE166119	dna_repair,nhej	Genome-wide Translocation Analysis in the 266Q Knock-in Mouse Model of SCA7	Mus musculus	Other	8.0	not_expression	Other																																															
GSE155891	dna_repair,nhej	Dynamics and Competition of CRISPR-Cas9 RNP and AAV donors Mediated Genome Editings	Homo sapiens	Other	127.0	not_expression	Other																																															
GSE148488	nhej	SNP array for Cas9 treated human oocytes and embryos	Homo sapiens	Genome variation profiling by array	135.0	not_expression	Genome variation profiling by array																																															
GSE138136	nhej	High-throughput capture of cis-rearrangement and trans-rearrangement sequence [LAM-HTGTS]	Mus musculus	Other	32.0	not_expression	Other																																															
GSE138135	nhej	Igk locus capture-based target enrichment  sequencing	Mus musculus	Other	3.0	not_expression	Other																																															
GSE140372	nhej	Suppressing Proteasome Mediated Processing of Topoisomerase II DNA-Protein Adducts Preserves Genome Integrity	Mus musculus	Other	35.0	not_expression	Other																																															
GSE142722	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	60.0	not_expression	Genome variation profiling by high throughput sequencing																																															
GSE142721	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I [DeepSeq2]	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	6.0	not_expression	Genome variation profiling by high throughput sequencing																																															
GSE142704	nhej	CRISPR/Cas9-mediated gene correction in newborn rabbits with hereditary tyrosinemia type I [DeepSeq1]	Oryctolagus cuniculus	Genome variation profiling by high throughput sequencing	18.0	not_expression	Genome variation profiling by high throughput sequencing																																															
GSE131421	nhej	Massively parallel profiling and predictive modeling of the outcomes of CRISPR/Cas9-mediated double-strand break repair	Homo sapiens	Other	4.0	not_expression	Other																																															
GSE125046	nhej	Detecting cytosine-5 methylation in RNA	Homo sapiens	Methylation profiling by high throughput sequencing	68.0	not_expression	Methylation profiling by high throughput sequencing																																															
GSE112376	nhej,prkdc	Functional validation of microRNAs targeting genes of DNA double-strand break repair to radiosensitize non-small lung cancer cells	Homo sapiens	Non-coding RNA profiling by array	16.0	not_expression	Non-coding RNA profiling by array																																															
GSE106822	nhej	Three classes of recurrent DNA break clusters in brain progenitors identified by 3D proximity-based break joining assay	Mus musculus	Other	118.0	not_expression	Other																																															
GSE106922	nhej	DNA Double-strand Break Response Factors Influence End-joining Features of IgH Class Switch and General Translocation junctions	Mus musculus	Other	48.0	not_expression	Other																																															
GSE103241	dna_repair,nhej	Ectopic expression of RAD52 and dn53BP1 improves homology-directed repair during CRISPR/Cas9 genome editing	Homo sapiens	Other	30.0	not_expression	Other																																															
GSE90967	dna_repair,nhej	RAD51 ChIP-seq post treatment with CX-5461	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	10.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE84102	dna_repair,dna_repair_title,nhej	The PAXX and XLF DNA Repair Factors are Functionally Redundant in Joining DNA breaks in a G1-arrested Progenitor B Cell Line	Mus musculus	Other	27.0	not_expression	Other																																															
GSE79667	nhej	Cas9 target DNA specificity in vitro and in vivo (S. cerevisiae)	synthetic construct	Other	208.0	not_expression	Other																																															
GSE78729	nhej	CRISPResso: sequencing analysis toolbox for CRISPR genome editing	Homo sapiens	Other	3.0	not_expression	Other																																															
GSE64869	nhej	Decoding NF1 intragenic copy number changes	Homo sapiens	Genome variation profiling by array	3.0	not_expression	Genome variation profiling by array																																															
GSE42451	nhej	RPA accumulation during class switch recombination represents 5'-3' DNA end resection during the S-G2/M phase of the cell cycle	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	47.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE35698	dna_repair,nhej	BRCA1 functions independently of homologous recombination in DNA interstrand crosslink repair	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	3.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE23240	dna_repair,nhej	CpG islands Methylation Profiling by DMH in Epithelial Ovarian Cancer: Screening Set	Homo sapiens	Methylation profiling by genome tiling array	222.0	not_expression	Methylation profiling by genome tiling array																																															
GSE10860	dna_repair,nhej	Probing nucleosome function: A highly versatile library of synthetic histone H3 and H4 mutants	Saccharomyces cerevisiae	Other	9.0	not_expression	Other																																															
GSE6991	nhej	Band-array detection of chromosomal rearrangements in diploid yeast cells exposed to ionizing radiation	Saccharomyces cerevisiae	Genome variation profiling by genome tiling array	27.0	not_expression	Genome variation profiling by genome tiling array																																															
GSE6984	nhej	CGH detection of chromosomal rearrangements in diploid yeast cells exposed to ionizing radiation	Saccharomyces cerevisiae	Genome variation profiling by genome tiling array	41.0	not_expression	Genome variation profiling by genome tiling array																																															
GSE279961	prkdc	ICE-A: A chromatin interaction-based tool for improved annotation of distal cis-regulatory elements reveals novel regulatory functions of lineage-restricted transcription factors in lymphocytic development [PLAC-seq]	Mus musculus	Other	2.0	not_expression	Other																																															
GSE279957	prkdc	ICE-A: A chromatin interaction-based tool for improved annotation of distal cis-regulatory elements reveals novel regulatory functions of lineage-restricted transcription factors in lymphocytic development [ChIP-Seq]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE273081	dna_repair,dna_repair_title,prkdc	Disparate pathways for extrachromosomal DNA biogenesis and genomic DNA repair	Homo sapiens	Other	246.0	not_expression	Other																																															
GSE267417	prkdc	 Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [RIP-seq]	Homo sapiens	Other	2.0	not_expression	Other																																															
GSE267411	prkdc	Novel Long Noncoding RNA HEAT4 Affects Monocyte Subtypes, Reducing Inflammation and Promoting Vascular Healing [ChIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	16.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE242568	prkdc	Role of tRNA-derived fragments in the cross-talk between immune cells and beta cells during type 1 diabetes pathogenesis	Mus musculus	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	52.0	not_expression	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing																																															
GSE242563	prkdc	Role of tRNA-derived fragments in the cross-talk between immune cells and beta cells during type 1 diabetes pathogenesis (PD in vivo)	Mus musculus	Non-coding RNA profiling by high throughput sequencing	10.0	not_expression	Non-coding RNA profiling by high throughput sequencing																																															
GSE237071	prkdc	Exportin 1 inhibition prevents neuroendocrine transformation through SOX2 downregulation in lung and prostate cancers [ATAC-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	24.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE195894	prkdc,sting1	Distinct SARS-CoV-2 sensing pathways in pDCs driving TLR7-antiviral vs. TLR2-immunopathological responses in COVID-19	Homo sapiens	Other	6.0	not_expression	Other																																															
GSE142442	prkdc	Integrating Next Generation Sequencing with Morphology Improves Prognostic and Biologic Classification of Spitz Neoplasms [DNA-Seq]	Homo sapiens	Genome variation profiling by high throughput sequencing	158.0	not_expression	Genome variation profiling by high throughput sequencing																																															
GSE44549	prkdc	Genomic changes in low vs high metastatic A549 NSCLC cell line	Homo sapiens	Genome variation profiling by SNP array; SNP genotyping by SNP array	2.0	not_expression	Genome variation profiling by SNP array; SNP genotyping by SNP array																																															
GSE342686	sting1	Transient Manganese Exposure Reprograms Bone Marrow–Derived Macrophages Toward a Stable Anti-Inflammatory Memory State [CUT&Tag]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE344566	sting1	Effect of HDAC3 knockdown on H3K9ac in osteosarcoma cells	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE280226	sting1	Profile binding sites of RUNX2 and NCOR1 in osteosarcoma cells	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE298060	sting1	Smyca-FOXM1 ribonucleoprotein complex promotes homologous recombination and tumor immune evasion to define a therapeutic target of triple-negative breast cancer	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE288238	cgas_title,sting1	A genome-wide map of the genetic network in monocytes that regulates type I interferon induction by the cGAS-STING pathway	synthetic construct	Other	25.0	not_expression	Other																																															
GSE319911	sting1	YTHDF1 functions as a non-canonical nuclear checkpoint that couples R-loop homeostasis to innate immune restraint and adaptive immune resistance in cancer（CUT&Tag）	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	18.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE319910	sting1	YTHDF1 functions as a non-canonical nuclear checkpoint that couples R-loop homeostasis to innate immune restraint and adaptive immune resistance in cancer（R-loop CUT&Tag）	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE336593	sting1	Systematic Discovery of Pathogen Effector Functions across Human Pathogens and Pathways	Homo sapiens	Other	20.0	not_expression	Other																																															
GSE335906	sting1	In Vivo CRISPR Screens Identify SLC1A5 as a Metabolic Checkpoint for Cancer Immunotherapy [CUT&Tag]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE335904	sting1	In Vivo CRISPR Screens Identify SLC1A5 as a Metabolic Checkpoint for Cancer Immunotherapy [ATAC]	Homo sapiens; Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE306320	sting1	RNA immunoprecipitation sequencing identifies RNA targets of Lin28b in PDAC cancer-associated fibroblasts	Mus musculus	Other	4.0	not_expression	Other																																															
GSE263610	sting1	Selective targeting in leukemic stem cells through modulation of selenoprotein biosynthesis by PSTK	Mus musculus	Other	1.0	not_expression	Other																																															
GSE296056	sting1	Targeting XPO1/DDX1-mediated nuclear export of R-loops in inflammaging [CUT&Run]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	6.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE296055	sting1	Targeting XPO1/DDX1-mediated nuclear export of R-loops in inflammaging [cytoDRIP-seq]	Homo sapiens	Other	14.0	not_expression	Other																																															
GSE296054	sting1	Targeting XPO1/DDX1-mediated nuclear export of R-loops in inflammaging [RIP-Seq]	Homo sapiens	Other	12.0	not_expression	Other																																															
GSE327608	sting1	Epigenetic control of microglial mitochondrial immunity by KAT7 drives Alzheimer’s disease pathogenesis [Cut &  Tag]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE318870	cgas_title,sting1	Nuclear ADAMTS1 Zymogen Acts as a Transcriptional Coactivator to Drive Chemotherapy-induced Metastasis via Non-canonical cGAS-STING Signaling in Breast Cancer	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	1.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE325506	sting1	HSV-1 temporally orchestrates RAP80 ubiquitination to balance viral replication and evasion [Hi-C]	Homo sapiens	Other	36.0	not_expression	Other																																															
GSE295765	cgas_title,sting1	Circular ZBTB44-encoded ZBTB44-342aa alleviates osteogenic differentiation of human aortic valve interstitial cells by inhibiting the cGAS-STING pathway	Homo sapiens	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing	11.0	not_expression	Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing																																															
GSE285986	sting1	Heterochromatin fidelity is a therapeutic vulnerability in lymphoma and other human cancers [ChIP-Seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	30.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE216828	cgas_title,sting1	MATRIN3 deficiency leads to cGAS-STING activation (PAR-CLIP)	Homo sapiens	Other	3.0	not_expression	Other																																															
GSE293640	sting1	Topoisomerase IIIb protects from immune dysregulation and tumorigenesis	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE306824	sting1	Nuclear accumulation of ADAMTS1 zymogen: A novel mechanism promoting chemoresistance and metastasis in breast cancer	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE304160	sting1	Targeting CyclinD1-CDK6 to Mitigate Senescence-Driven Inflammation and Age Associated Functional Decline	Mus musculus	Other	4.0	not_expression	Other																																															
GSE252189	sting1	Tonic type I interferon signaling optimizes the antiviral function of plasmacytoid dendritic cells [Multiome]	Mus musculus	Other	2.0	not_expression	Other																																															
GSE273437	sting1	miR-208a-3p targets PPP6C to regulate the progression of Radiation-induced lung injury	Mus musculus	Non-coding RNA profiling by high throughput sequencing	24.0	not_expression	Non-coding RNA profiling by high throughput sequencing																																															
GSE283227	sting1	CDK12/13 inactivation triggers STING-mediated antitumor immunity in preclinical models	Homo sapiens	Other	4.0	not_expression	Other																																															
GSE287835	sting1	Nucleus-localized S100A9 triggers senescence of human amnion fibroblasts as a heterochromatin buster at parturition - CUT&Tag	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	2.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE291044	sting1	PUS10-induced tRNA fragmentation impacts retrotransposon-driven inflammation [CUT&RUN]	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
GSE248958	sting1	PUS10-induced tRNA fragmentation impacts retrotransposon-driven inflammation [small RNA-seq]	Mus musculus	Non-coding RNA profiling by high throughput sequencing	8.0	not_expression	Non-coding RNA profiling by high throughput sequencing																																															
GSE248956	sting1	PUS10-induced tRNA fragmentation impacts retrotransposon-driven inflammation [iCLIP]	Mus musculus	Non-coding RNA profiling by high throughput sequencing	3.0	not_expression	Non-coding RNA profiling by high throughput sequencing																																															
GSE244944	sting1	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [CHIP-seq]	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing	18.0	not_expression	Genome binding/occupancy profiling by high throughput sequencing																																															
