model	cell_line	gse_id	cancer_type	cancer_group	independent_key	n_baseline	n_icb	n_responder	n_nonresponder	median_baseline	median_icb	mean_baseline	mean_icb	delta_median	delta_mean	dir_median	dir_mean	treatments	tismo_pvalue
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821_UV	4	3	3	0	1.9400286385005052	3.35069624041099	1.9996642373180524	3.03820159527341	1.4106676019104847	1.0385373579553576	1	1	antiPD1; antiCTLA4;;no_treatment	0.564876481884934
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821_UV	4	6	6	0	1.7015899288239875	2.5102673166574148	1.9267391105229015	2.2441641278254147	0.8086773878334272	0.31742501730251327	1	1	antiPD1; antiCTLA4;;no_treatment	0.955094155118968
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821_UV	6	4	4	0	3.826553757452385	2.016311709252115	3.376535004092348	2.034580232234338	-1.8102420482002701	-1.3419547718580098	-1	-1	antiPD1; antiCTLA4;;no_treatment	0.636481726367842
KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821	5	5	5	0	3.14075395637055	3.08136689931215	3.029181049806108	3.0910298932539133	-0.05938705705839986	0.06184884344780528	-1	1	antiPD1; antiCTLA4;;no_treatment	0.740090616556492
KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821	4	4	4	0	2.94145343192011	2.9066161627199554	2.992719406727982	2.7426183942685523	-0.03483726920015462	-0.25010101245942984	-1	-1	antiPD1; antiCTLA4;;no_treatment	0.999861192789984
KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	KPB25L_GSE124821	6	3	3	0	3.5587643125654997	4.26169643735673	3.4126520817840915	3.78826684370036	0.7029321247912304	0.3756147619162684	1	1	antiPD1; antiCTLA4;;no_treatment	0.999910030472736
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_Apobec	4	4	4	0	0.2359462401717129	0.34704131928100046	0.24153950286932843	0.3745505974293625	0.11109507910928756	0.13301109456003404	1	1	antiPD1; antiCTLA4;;no_treatment	0.38390004317808
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_Apobec	4	4	4	0	0.01042709353438265	0.36234716212489304	0.10494176922714632	0.3964290828959	0.3519200685905104	0.2914873136687537	1	1	antiPD1; antiCTLA4;;no_treatment	0.0586628136990498
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_Apobec	4	4	4	0	0.02159111120164255	0.28336965461585195	0.09251530525424052	0.34444681183323594	0.2617785434142094	0.25193150657899543	1	1	antiPD1; antiCTLA4;;no_treatment	0.999300924725397
T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_UV	4	3	3	0	0.07360314424602721	0.319764739447131	0.1026740683924566	0.30399366698476965	0.2461615952011038	0.20131959859231305	1	1	antiPD1; antiCTLA4;;no_treatment	0.146947980431004
T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_UV	4	4	4	0	0.213621311602647	0.4132111016896205	0.4073534407815702	0.44660604537001763	0.1995897900869735	0.039252604588447426	1	1	antiPD1; antiCTLA4;;no_treatment	0.994537411615673
T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821_UV	4	5	5	0	0.33789472959473954	0.284587569053806	0.2852555138013886	0.2595699589686632	-0.05330716054093354	-0.025685554832725388	-1	-1	antiPD1; antiCTLA4;;no_treatment	0.849890094522889
T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821	4	4	0	4	0.0620502312041325	0.050555026006381856	0.163628713206281	0.08027609274528794	-0.011495205197750644	-0.08335262046099307	-1	-1	antiPD1; antiCTLA4;;no_treatment	
T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821	4	4	0	4	0.194962999482176	0.3215850312077385	0.2016015812206086	0.277320336994813	0.12662203172556252	0.07571875577420442	1	1	antiPD1; antiCTLA4;;no_treatment	0.947161800271999
T11_GSE124821_end_antiCTLA4&antiPD1(n=10)	T11	GSE124821	Mammary cancer, NOS	Mammary	T11_GSE124821	5	5	0	5	0.0412654146334319	0.0429468514458314	0.11854036639830576	0.11108386059021387	0.0016814368123995033	-0.007456505808091887	1	-1	antiPD1; antiCTLA4;;no_treatment	0.995894560673228
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	p53-2225L_GSE124821	8	5	0	5	4.366542901133945	3.8890733874046	3.898453633121589	3.78174653612252	-0.477469513729345	-0.11670709699906867	-1	-1	antiPD1; antiCTLA4;;no_treatment	0.525496937586661
p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	p53-2225L_GSE124821	6	3	0	3	3.579376927128025	3.49885884174825	3.394043055323935	3.2997633084773565	-0.0805180853797749	-0.09427974684657858	-1	-1	antiPD1; antiCTLA4;;no_treatment	0.997707392100415
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	p53-2336R_GSE124821	3	5	0	5	0.0	0.0	0.0	0.17639883432466702	0.0	0.17639883432466702	0	1	antiPD1; antiCTLA4;;no_treatment	
p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	p53-2336R_GSE124821	8	5	0	5	0.08224873848357489	0.785441743949315	0.1517336046719925	2.169555136080314	0.70319300546574	2.0178215314083214	1	1	antiPD1; antiCTLA4;;no_treatment	0.0002323536976123
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1(n=6)	B16	GSE109485	Melanoma	Melanoma	B16_GSE109485_intra&extracranial	3	3	3	0	0.0	0.0077528188424745	0.004121673363300867	0.0076217986493453335	0.0077528188424745	0.0035001252860444665	1	1	antiPD1; antiCTLA4; intra&extracranial;;isotype; intra&extracranial;	
