term	query	matrix_symbol	status
HALLMARK_INTERFERON_GAMMA_RESPONSE	PSME2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	PTGS2	PTGS2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PTPN1	PTPN1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PTPN2	PTPN2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	PTPN6	PTPN6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RAPGEF6	RAPGEF6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RBCK1	RBCK1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RIPK1	RIPK1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RIPK2	RIPK2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RNF213		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	RNF31	RNF31	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RSAD2	RSAD2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	RTP4	RTP4	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SAMD9L		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	SAMHD1	SAMHD1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SECTM1	SECTM1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SELP	SELP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SERPING1	SERPING1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SLAMF7	SLAMF7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SLC25A28	SLC25A28	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SOCS1	SOCS1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SOCS3	SOCS3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SOD2		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	SP110	SP110	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SPPL2A		absent_on_U133A
HALLMARK_INTERFERON_GAMMA_RESPONSE	SRI	SRI	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	SSPN	SSPN	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ST3GAL5	ST3GAL5	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ST8SIA4	ST8SIA4	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	STAT1	STAT1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	STAT2	STAT2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	STAT3	STAT3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	STAT4	STAT4	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TAP1	TAP1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TAPBP	TAPBP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TDRD7	TDRD7	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TNFAIP2	TNFAIP2	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TNFAIP3	TNFAIP3	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TNFAIP6	TNFAIP6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TNFSF10	TNFSF10	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TOR1B	TOR1B	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TRAFD1	TRAFD1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TRIM14	TRIM14	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TRIM21	TRIM21	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TRIM25	TRIM25	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TRIM26	TRIM26	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	TXNIP	TXNIP	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	UBE2L6	UBE2L6	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	UPP1	UPP1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	USP18	USP18	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	VAMP5	VAMP5	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	VAMP8	VAMP8	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	VCAM1	VCAM1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	WARS1	WARS	alias
HALLMARK_INTERFERON_GAMMA_RESPONSE	XAF1	XAF1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	XCL1	XCL1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ZBP1	ZBP1	direct
HALLMARK_INTERFERON_GAMMA_RESPONSE	ZNFX1		absent_on_U133A
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-A	HLA-A	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-B	HLA-B	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-C	HLA-C	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-E	HLA-E	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-F	HLA-F	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	HLA-G	HLA-G	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	B2M	B2M	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	TAP1	TAP1	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	TAP2	TAP2	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	TAPBP	TAPBP	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	TAPBPL	TAPBPL	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	NLRC5		absent_on_U133A
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	PSMB8	PSMB8	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	PSMB9	PSMB9	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	PSMB10	PSMB10	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	ERAP1	ERAP1	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	ERAP2	ERAP2	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	CALR	CALR	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	CANX	CANX	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	PDIA3	PDIA3	direct
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	IRF1	IRF1	direct
KEGG_TIGHT_JUNCTION	ACTB	ACTB	direct
KEGG_TIGHT_JUNCTION	ACTG1	ACTG1	direct
KEGG_TIGHT_JUNCTION	ACTN1	ACTN1	direct
KEGG_TIGHT_JUNCTION	ACTN4	ACTN4	direct
KEGG_TIGHT_JUNCTION	ACTR2	ACTR2	direct
KEGG_TIGHT_JUNCTION	ACTR3	ACTR3	direct
KEGG_TIGHT_JUNCTION	ACTR3B	ACTR3B	direct
KEGG_TIGHT_JUNCTION	ACTR3C		absent_on_U133A
KEGG_TIGHT_JUNCTION	AFDN	AFDN	direct
KEGG_TIGHT_JUNCTION	AMOT	AMOT	direct
KEGG_TIGHT_JUNCTION	AMOTL1		absent_on_U133A
KEGG_TIGHT_JUNCTION	AMOTL2	AMOTL2	direct
KEGG_TIGHT_JUNCTION	ARHGAP17	ARHGAP17	direct
KEGG_TIGHT_JUNCTION	ARHGEF18	ARHGEF18	direct
KEGG_TIGHT_JUNCTION	ARHGEF2	ARHGEF2	direct
KEGG_TIGHT_JUNCTION	ARPC1A	ARPC1A	direct
KEGG_TIGHT_JUNCTION	ARPC1B	ARPC1B	direct
KEGG_TIGHT_JUNCTION	ARPC2	ARPC2	direct
KEGG_TIGHT_JUNCTION	ARPC3	ARPC3	direct
KEGG_TIGHT_JUNCTION	ARPC4	ARPC4	direct
KEGG_TIGHT_JUNCTION	ARPC5	ARPC5	direct
KEGG_TIGHT_JUNCTION	ARPC5L	ARPC5L	direct
KEGG_TIGHT_JUNCTION	BVES		absent_on_U133A
KEGG_TIGHT_JUNCTION	CACNA1D	CACNA1D	direct
KEGG_TIGHT_JUNCTION	CCND1	CCND1	direct
KEGG_TIGHT_JUNCTION	CD1A	CD1A	direct
KEGG_TIGHT_JUNCTION	CD1B	CD1B	direct
KEGG_TIGHT_JUNCTION	CD1C	CD1C	direct
KEGG_TIGHT_JUNCTION	CD1D	CD1D	direct
KEGG_TIGHT_JUNCTION	CD1E	CD1E	direct
KEGG_TIGHT_JUNCTION	CDC42	CDC42	direct
KEGG_TIGHT_JUNCTION	CDK4	CDK4	direct
KEGG_TIGHT_JUNCTION	CFTR	CFTR	direct
KEGG_TIGHT_JUNCTION	CGN		absent_on_U133A
KEGG_TIGHT_JUNCTION	CGNL1		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN1	CLDN1	direct
KEGG_TIGHT_JUNCTION	CLDN10	CLDN10	direct
KEGG_TIGHT_JUNCTION	CLDN11	CLDN11	direct
KEGG_TIGHT_JUNCTION	CLDN14	CLDN14	direct
KEGG_TIGHT_JUNCTION	CLDN15	CLDN15	direct
KEGG_TIGHT_JUNCTION	CLDN16	CLDN16	direct
KEGG_TIGHT_JUNCTION	CLDN17	CLDN17	direct
KEGG_TIGHT_JUNCTION	CLDN18	CLDN18	direct
KEGG_TIGHT_JUNCTION	CLDN19		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN2		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN20		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN22		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN23		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN24		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN25		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN3	CLDN3	direct
KEGG_TIGHT_JUNCTION	CLDN34		absent_on_U133A
KEGG_TIGHT_JUNCTION	CLDN4	CLDN4	direct
KEGG_TIGHT_JUNCTION	CLDN5	CLDN5	direct
KEGG_TIGHT_JUNCTION	CLDN6	CLDN6	direct
KEGG_TIGHT_JUNCTION	CLDN7	CLDN7	direct
KEGG_TIGHT_JUNCTION	CLDN8	CLDN8	direct
KEGG_TIGHT_JUNCTION	CLDN9	CLDN9	direct
KEGG_TIGHT_JUNCTION	CRB3		absent_on_U133A
KEGG_TIGHT_JUNCTION	CTTN	CTTN	direct
KEGG_TIGHT_JUNCTION	DLG1	DLG1	direct
KEGG_TIGHT_JUNCTION	DLG2	DLG2	direct
KEGG_TIGHT_JUNCTION	DLG3	DLG3	direct
KEGG_TIGHT_JUNCTION	EPB41L4B	EPB41L4B	direct
KEGG_TIGHT_JUNCTION	ERBB2	ERBB2	direct
KEGG_TIGHT_JUNCTION	EZR	EZR	direct
KEGG_TIGHT_JUNCTION	F11R	F11R	direct
KEGG_TIGHT_JUNCTION	GATA4	GATA4	direct
KEGG_TIGHT_JUNCTION	HCLS1	HCLS1	direct
KEGG_TIGHT_JUNCTION	HSPA4	HSPA4	direct
KEGG_TIGHT_JUNCTION	IGSF5		absent_on_U133A
KEGG_TIGHT_JUNCTION	ITGB1	ITGB1	direct
KEGG_TIGHT_JUNCTION	JAM2	JAM2	direct
KEGG_TIGHT_JUNCTION	JAM3	JAM3	direct
KEGG_TIGHT_JUNCTION	JUN	JUN	direct
KEGG_TIGHT_JUNCTION	LLGL1	LLGL1	direct
KEGG_TIGHT_JUNCTION	LLGL2	LLGL2	direct
KEGG_TIGHT_JUNCTION	MAGI1	MAGI1	direct
KEGG_TIGHT_JUNCTION	MAP2K7	MAP2K7	direct
KEGG_TIGHT_JUNCTION	MAP3K1	MAP3K1	direct
KEGG_TIGHT_JUNCTION	MAP3K5	MAP3K5	direct
KEGG_TIGHT_JUNCTION	MAPK10	MAPK10	direct
KEGG_TIGHT_JUNCTION	MAPK8	MAPK8	direct
KEGG_TIGHT_JUNCTION	MAPK9	MAPK9	direct
KEGG_TIGHT_JUNCTION	MARVELD2		absent_on_U133A
KEGG_TIGHT_JUNCTION	MARVELD3		absent_on_U133A
KEGG_TIGHT_JUNCTION	MICALL2	MICALL2	direct
KEGG_TIGHT_JUNCTION	MPDZ	MPDZ	direct
KEGG_TIGHT_JUNCTION	MPP4		absent_on_U133A
KEGG_TIGHT_JUNCTION	MSN	MSN	direct
KEGG_TIGHT_JUNCTION	MYH10	MYH10	direct
KEGG_TIGHT_JUNCTION	MYH11	MYH11	direct
KEGG_TIGHT_JUNCTION	MYH14	MYH14	direct
KEGG_TIGHT_JUNCTION	MYH9	MYH9	direct
KEGG_TIGHT_JUNCTION	MYL12A	MYL12A	direct
KEGG_TIGHT_JUNCTION	MYL12B	MYL12B	direct
KEGG_TIGHT_JUNCTION	MYL2	MYL2	direct
KEGG_TIGHT_JUNCTION	MYL6	MYL6	direct
KEGG_TIGHT_JUNCTION	MYL6B	MYL6B	direct
KEGG_TIGHT_JUNCTION	MYL9	MYL9	direct
KEGG_TIGHT_JUNCTION	NEDD4	NEDD4	direct
KEGG_TIGHT_JUNCTION	NEDD4L	NEDD4L	direct
KEGG_TIGHT_JUNCTION	NF2	NF2	direct
KEGG_TIGHT_JUNCTION	OCLN	OCLN	direct
KEGG_TIGHT_JUNCTION	PALS1	MPP5	alias
KEGG_TIGHT_JUNCTION	PARD3	PARD3	direct
KEGG_TIGHT_JUNCTION	PARD6A	PARD6A	direct
KEGG_TIGHT_JUNCTION	PARD6B	PARD6B	direct
KEGG_TIGHT_JUNCTION	PARD6G		absent_on_U133A
KEGG_TIGHT_JUNCTION	PATJ	PATJ	direct
KEGG_TIGHT_JUNCTION	PCNA	PCNA	direct
KEGG_TIGHT_JUNCTION	PPP2CA	PPP2CA	direct
KEGG_TIGHT_JUNCTION	PPP2CB	PPP2CB	direct
KEGG_TIGHT_JUNCTION	PPP2R1A	PPP2R1A	direct
KEGG_TIGHT_JUNCTION	PPP2R1B	PPP2R1B	direct
KEGG_TIGHT_JUNCTION	PPP2R2A	PPP2R2A	direct
KEGG_TIGHT_JUNCTION	PPP2R2B	PPP2R2B	direct
KEGG_TIGHT_JUNCTION	PPP2R2C		absent_on_U133A
KEGG_TIGHT_JUNCTION	PPP2R2D	PPP2R2D	direct
KEGG_TIGHT_JUNCTION	PRKAA1	PRKAA1	direct
KEGG_TIGHT_JUNCTION	PRKAA2	PRKAA2	direct
KEGG_TIGHT_JUNCTION	PRKAB1	PRKAB1	direct
KEGG_TIGHT_JUNCTION	PRKAB2	PRKAB2	direct
KEGG_TIGHT_JUNCTION	PRKACA	PRKACA	direct
KEGG_TIGHT_JUNCTION	PRKACB	PRKACB	direct
KEGG_TIGHT_JUNCTION	PRKACG	PRKACG	direct
KEGG_TIGHT_JUNCTION	PRKAG1	PRKAG1	direct
KEGG_TIGHT_JUNCTION	PRKAG2	PRKAG2	direct
KEGG_TIGHT_JUNCTION	PRKAG3		absent_on_U133A
KEGG_TIGHT_JUNCTION	PRKCE	PRKCE	direct
KEGG_TIGHT_JUNCTION	PRKCI	PRKCI	direct
KEGG_TIGHT_JUNCTION	PRKCZ	PRKCZ	direct
KEGG_TIGHT_JUNCTION	RAB13	RAB13	direct
KEGG_TIGHT_JUNCTION	RAB8A	RAB8A	direct
KEGG_TIGHT_JUNCTION	RAB8B	RAB8B	direct
KEGG_TIGHT_JUNCTION	RAC1	RAC1	direct
KEGG_TIGHT_JUNCTION	RAP1A	RAP1A	direct
KEGG_TIGHT_JUNCTION	RAP2C	RAP2C	direct
KEGG_TIGHT_JUNCTION	RAPGEF2	RAPGEF2	direct
KEGG_TIGHT_JUNCTION	RAPGEF6	RAPGEF6	direct
KEGG_TIGHT_JUNCTION	RDX	RDX	direct
KEGG_TIGHT_JUNCTION	RHOA	RHOA	direct
KEGG_TIGHT_JUNCTION	ROCK1	ROCK1	direct
KEGG_TIGHT_JUNCTION	ROCK2	ROCK2	direct
KEGG_TIGHT_JUNCTION	RUNX1		absent_on_U133A
KEGG_TIGHT_JUNCTION	SCRIB	SCRIB	direct
