split	direction	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	focus	ligand_class	n_paired	n_GSE131907	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	wilcoxon_w	p	thin	test
q4q1	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	HLA-A	CD8A	MHC-I	other	22	18	4	0.5585096026343555	0.526080535708235	0.032429066926120464	0.03261785280023782	7.0	9.059906005859375e-06	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	APP_CD74	APP	APP	CD74	APP	CD74	other	other	27	20	7	0.7285168566409026	0.6185631463473604	0.10995371029354217	0.046459636038707064	23.0	9.5367431640625e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CD99_CD99	CD99	CD99	CD99	CD99	CD99	other	other	47	27	20	0.5868842361686857	0.5143662331218696	0.0725180030468161	0.04293090898096902	181.0	2.0050590535447554e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CXCL16_CXCR6	CXCL	CXCL16	CXCR6	CXCL16	CXCR6	T-recruit	recruit	25	17	8	0.04911536365909504	0.01503062641002703	0.034084737249068006	0.01087039242732233	1.0	2.0705605648246455e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	HLA-A	CD8A	MHC-I	other	46	27	19	0.5513320038284009	0.52871778262699	0.022614221201410878	0.018125698051096817	174.0	2.5459397676286244e-05	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	HLA-F	CD8A	MHC-I	other	20	17	3	0.10497209455424181	0.05210963339277215	0.05286246116146966	0.04224912989860853	6.0	2.6702880859375e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	HLA-C	CD8A	MHC-I	other	46	27	19	0.5380266528468396	0.48783113063754807	0.05019552220929152	0.020132119683308747	176.0	2.8618401898938828e-05	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	HLA-A	CD8B	MHC-I	other	20	17	3	0.47612303924972654	0.4369486604926479	0.03917437875707863	0.033231564429566374	7.0	3.62396240234375e-05	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	HLA-E	CD8B	MHC-I	inhibitory	20	17	3	0.22417163669995177	0.18826509766594524	0.035906539034006535	0.05090885121864677	7.0	3.62396240234375e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	COL1A1_CD44	COLLAGEN	COL1A1	CD44	COL1A1	CD44	other	other	31	24	7	0.31866554800363084	0.2547649408200443	0.06390060718358653	0.062453813970752614	54.0	4.487857222557068e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LPAR2_ADGRE5	ADGRE	LPAR2	ADGRE5	LPAR2	ADGRE5	other	other	29	18	11	0.021012998791749428	0.012622675420889417	0.008390323370860011	0.010317370068529228	43.0	4.700571298599243e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	HLA-E	KLRC2	MHC-I	inhibitory	15	4	11	0.17928583150863872	0.10161271856236098	0.07767311294627774	0.05673495628985281	0.0	6.103515625e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	HLA-C	CD8B	MHC-I	other	41	23	18	0.41895324505284	0.41465539714289795	0.004297847909942032	0.022676856355005784	140.0	7.864533290558029e-05	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	LGALS9	P4HB	other	inhibitory	20	16	4	0.2367818237666574	0.14695599767981551	0.08982582608684189	0.059679159942745544	10.0	8.20159912109375e-05	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	HLA-F	CD8B	MHC-I	other	19	16	3	0.05635928839285535	0.027992997576098647	0.028366290816756706	0.017546388606288984	8.0	9.5367431640625e-05	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	HLA-A	CD8B	MHC-I	other	41	23	18	0.46532043563352987	0.43129069215335714	0.034029743480172736	0.01784679605238948	144.0	0.00010187543557549361	False	wilcoxon_signed_rank_paired_patient
median	outgoing	BAG6_NCR3-PS	BAG	BAG6	NCR3	BAG6	NCR3	other	other	15	9	6	0.04342457004079027	0.021193538602078364	0.022231031438711905	0.012110222769708023	1.0	0.0001220703125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	HLA-E	KLRC1	MHC-I	inhibitory	14	9	5	0.1230705160531175	0.10850601928435215	0.014564496768765353	0.03344138865723228	0.0	0.0001220703125	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LGALS9_CD44	GALECTIN	LGALS9	CD44	LGALS9	CD44	other	inhibitory	20	16	4	0.4095326847454973	0.3289060715157892	0.0806266132297081	0.09687937967634414	13.0	0.0001678466796875	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	HLA-B	CD8A	MHC-I	other	22	18	4	0.5308763855018878	0.48869614590595845	0.042180239595929314	0.032206117084089825	20.0	0.00017690658569335938	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	MDK_NCL	MK	MDK	NCL	MDK	NCL	other	other	27	20	7	0.6580600496343896	0.6555522555752119	0.0025077940591776704	0.027357655762700994	43.0	0.00018434226512908936	False	wilcoxon_signed_rank_paired_patient
median	outgoing	COL9A2_CD44	COLLAGEN	COL9A2	CD44	COL9A2	CD44	other	other	19	12	7	0.054123148804214156	0.021510878309849355	0.0326122704943648	0.025125629814918483	11.0	0.000209808349609375	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	HLA-C	CD8B	MHC-I	other	20	17	3	0.4414197644988512	0.43554570529665104	0.0058740592022001326	0.03612655771683601	14.0	0.000209808349609375	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	HLA-C	CD8A	MHC-I	other	22	18	4	0.5307482248342656	0.4663901567252357	0.06435806810902994	0.03785631163571365	21.0	0.00021314620971679688	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LAMC2_CD44	LAMININ	LAMC2	CD44	LAMC2	CD44	other	other	13	12	1	0.21798611281068692	0.06060817565013622	0.1573779371605507	0.08102935842451914	0.0	0.000244140625	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	ICAM1	SPN	other	other	20	17	3	0.21285116641293073	0.15056542536863443	0.062285741044296294	0.06882735051579254	15.0	0.0002613067626953125	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LGALS9_CD45	GALECTIN	LGALS9	PTPRC	LGALS9	PTPRC	other	inhibitory	19	16	3	0.49522707518332354	0.3806364492292273	0.11459062595409625	0.09672739572524103	12.0	0.00026702880859375	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	LGALS9	P4HB	other	inhibitory	32	20	12	0.1809179184916505	0.10256571950885021	0.0783521989828003	0.03999264985910732	80.0	0.00030640000477433205	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	HLA-B	CD8A	MHC-I	other	46	27	19	0.5424989360760277	0.5124128043897171	0.03008613168631058	0.020804922061109593	221.0	0.00030973913234788597	False	wilcoxon_signed_rank_paired_patient
median	outgoing	FN1_CD44	FN1	FN1	CD44	FN1	CD44	other	other	32	26	6	0.3123679064121995	0.21113342754088738	0.10123447887131215	0.04548119206733183	81.0	0.00033454643562436104	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LGALS9_CD44	GALECTIN	LGALS9	CD44	LGALS9	CD44	other	inhibitory	32	20	12	0.34132531352328765	0.2670288394954743	0.07429647402781336	0.060480901770188666	83.0	0.0003979005850851536	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LAMC1_CD44	LAMININ	LAMC1	CD44	LAMC1	CD44	other	other	20	17	3	0.13874821858281405	0.07356538171170669	0.06518283687110736	0.039015887465297265	18.0	0.0004825592041015625	False	wilcoxon_signed_rank_paired_patient
median	outgoing	NECTIN2_CD226	NECTIN	NECTIN2	CD226	NECTIN2	CD226	other	barrier|inhibitory	12	4	8	0.04472627513980129	0.006193121087406479	0.03853315405239481	0.03210086010668078	0.0	0.00048828125	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	CXCL16_CXCR6	CXCL	CXCL16	CXCR6	CXCL16	CXCR6	T-recruit	recruit	13	12	1	0.04750946952769094	0.020499874626862515	0.027009594900828424	0.008682746937443406	0.0	0.00048828125	False	wilcoxon_signed_rank_paired_patient
median	outgoing	PVR_TIGIT	PVR	PVR	TIGIT	PVR	TIGIT	other	barrier|inhibitory	22	12	10	0.04686594994900892	0.02285860534334617	0.024007344605662746	0.012400297366185784	26.0	0.0005044937133789062	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LGALS9_CD45	GALECTIN	LGALS9	PTPRC	LGALS9	PTPRC	other	inhibitory	31	20	11	0.41877772164403915	0.33989828614119405	0.0788794355028451	0.06148278642413835	84.0	0.0008311951532959938	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	HLA-B	CD8B	MHC-I	other	20	17	3	0.43155313384608973	0.4300053919121484	0.0015477419339413045	0.035964754834478085	21.0	0.000850677490234375	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	HLA-F	CD8B	MHC-I	other	36	21	15	0.07222852687696568	0.043803989928989255	0.028424536947976427	0.017674727815528438	131.0	0.0010565961129032075	False	wilcoxon_signed_rank_paired_patient
