ligand	receptor	pathway	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_frac_high	receptor_frac_high	cpdb_mean_score_high	product_score_high	pass_expr_prop_high	Patient	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_frac_low	receptor_frac_low	cpdb_mean_score_low	product_score_low	pass_expr_prop_low	delta_high_minus_low	pass_either
B2M+CD1B	IL6ST	MHC_I_partial	2234	59	0.0	0.15648457407951355	0.0	0.11864406779661017	0.07824228703975677	0.0	False	P1	1666	59	0.0	0.15648457407951355	0.0	0.11864406779661017	0.07824228703975677	0.0	False	0.0	False
CD1D	LILRB2	MHC_I_partial	2234	59	0.005170046351850033	0.0	0.007162041181736795	0.0	0.0025850231759250164	0.0	False	P1	1666	59	0.005439453292638063	0.0	0.0078031212484993995	0.0	0.0027197266463190317	0.0	False	-0.0001347034703940153	False
CEACAM5	CD8A	MHC_I_partial	2234	59	0.20507927238941193	0.47504639625549316	0.09355416293643688	0.2711864406779661	0.34006283432245255	0.0974221692952888	False	P1	1666	59	0.1360642910003662	0.47504639625549316	0.06962785114045618	0.2711864406779661	0.3055553436279297	0.0646368510987827	False	0.03450749069452286	False
HLA-E	VSIR	MHC_I_partial	2234	59	0.7068187594413757	0.23925477266311646	0.562667860340197	0.1694915254237288	0.4730367660522461	0.16910976160417235	True	P1	1666	59	0.5572847127914429	0.23925477266311646	0.4819927971188475	0.1694915254237288	0.39826974272727966	0.1333330272675468	True	0.07476702332496643	True
HLA-F	VSIR	MHC_I_partial	2234	59	0.05575884133577347	0.23925477266311646	0.06490599820948971	0.1694915254237288	0.14750680699944496	0.013340568907749262	False	P1	1666	59	0.0443500317633152	0.23925477266311646	0.05282112845138055	0.1694915254237288	0.14180240221321583	0.010610956767133972	False	0.005704404786229134	False
LCK	CD8A+CD8B	MHC_I_partial	2234	59	0.014153437688946724	0.27727174758911133	0.01566696508504924	0.1694915254237288	0.14571259263902903	0.003924348402407851	False	P1	1666	59	0.01823021098971367	0.27727174758911133	0.02040816326530612	0.1694915254237288	0.1477509792894125	0.005054722460036132	False	-0.0020383866503834724	False
CCL19	CCR7	T_recruit	2234	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	P1	1666	59	0.0021884094458073378	0.14844368398189545	0.001800720288115246	0.1016949152542373	0.07531604671385139	0.0003248555601964194	False	-0.0010942047229036689	False
CCL21	CCR7	T_recruit	2234	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	P1	1666	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	0.0	False
CCL3	CCR1	T_recruit	2234	59	0.09568675607442856	0.1446400284767151	0.09042076991942703	0.1016949152542373	0.12016339227557182	0.013840135123449837	False	P1	1666	59	0.10853875428438187	0.1446400284767151	0.09543817527010805	0.1016949152542373	0.12658939138054848	0.015699048510520175	False	-0.006425999104976654	False
CCL3	CCR5	T_recruit	2234	59	0.09568675607442856	0.3816611170768738	0.09042076991942703	0.2542372881355932	0.23867393657565117	0.03651991421282874	False	P1	1666	59	0.10853875428438187	0.3816611170768738	0.09543817527010805	0.2542372881355932	0.24509993568062782	0.0414250222063095	False	-0.006425999104976654	False
CCL4	CCR5	T_recruit	2234	59	0.11685403436422348	0.3816611170768738	0.10519247985675918	0.2542372881355932	0.24925757572054863	0.04459864129038893	True	P1	1666	59	0.1323969066143036	0.3816611170768738	0.10684273709483794	0.2542372881355932	0.2570290118455887	0.050530751275937646	True	-0.007771436125040054	True
CCL5	CCR1	T_recruit	2234	59	0.23773013055324554	0.1446400284767151	0.17949865711727842	0.1016949152542373	0.19118507951498032	0.03438529285299463	True	P1	1666	59	0.2594957649707794	0.1446400284767151	0.1722689075630252	0.1016949152542373	0.20206789672374725	0.0375334748349605	True	-0.010882817208766937	True
CCL5	CCR5	T_recruit	2234	59	0.23773013055324554	0.3816611170768738	0.17949865711727842	0.2542372881355932	0.30969562381505966	0.09073234718978274	True	P1	1666	59	0.2594957649707794	0.3816611170768738	0.1722689075630252	0.2542372881355932	0.3205784410238266	0.09903944353546557	True	-0.010882817208766937	True
CX3CL1	CX3CR1	T_recruit	2234	59	0.002324218163266778	0.0	0.0026857654431512983	0.0	0.001162109081633389	0.0	False	P1	1666	59	0.001229653018526733	0.0	0.0012004801920768306	0.0	0.0006148265092633665	0.0	False	0.0005472825723700225	False
CXCL10	CXCR3	T_recruit	2234	59	0.012582802213728428	0.25396403670310974	0.012085944494180842	0.1864406779661017	0.13327341945841908	0.003195579243235297	False	P1	1666	59	0.011983995325863361	0.25396403670310974	0.013205282112845138	0.1864406779661017	0.13297401601448655	0.0030435038287874583	False	0.00029940344393253326	False
CXCL11	CXCR3	T_recruit	2234	59	0.005506056360900402	0.25396403670310974	0.0040286481647269475	0.1864406779661017	0.12973504653200507	0.0013983402997291006	False	P1	1666	59	0.0034185147378593683	0.25396403670310974	0.003601440576230492	0.1864406779661017	0.12869127572048455	0.0008681798023558382	False	0.0010437708115205169	False
CXCL12	CXCR4	T_recruit	2234	59	0.0035371293779462576	0.47521719336509705	0.0040286481647269475	0.3050847457627119	0.23937716137152165	0.0016809046955568521	False	P1	1666	59	0.0022663583513349295	0.47521719336509705	0.003601440576230492	0.3050847457627119	0.238741775858216	0.0010770124548809337	False	0.0006353855133056641	False
CXCL13	CXCR5	T_recruit	2234	59	0.031437937170267105	0.0	0.025067144136078783	0.0	0.015718968585133553	0.0	False	P1	1666	59	0.039953894913196564	0.0	0.026410564225690276	0.0	0.019976947456598282	0.0	False	-0.004257978871464729	False
CXCL16	CXCR6	T_recruit	2234	59	0.11104843765497208	0.26176154613494873	0.1387645478961504	0.1694915254237288	0.1864049918949604	0.02906821073643595	True	P1	1666	59	0.11160925030708313	0.26176154613494873	0.13925570228091236	0.1694915254237288	0.18668539822101593	0.02921500992334458	True	-0.00028040632605552673	True
CXCL9	CXCR3	T_recruit	2234	59	0.022481119260191917	0.25396403670310974	0.022829006266786033	0.1864406779661017	0.13822257798165083	0.005709395796922367	False	P1	1666	59	0.021126635372638702	0.25396403670310974	0.021608643457382955	0.1864406779661017	0.13754533603787422	0.005365405601190032	False	0.0006772419437766075	False
CCL15	CCR1	T_recruit_partial	2234	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1	1666	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	0.0	False
CCL19	ACKR4	T_recruit_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1	1666	59	0.0021884094458073378	0.0	0.001800720288115246	0.0	0.0010942047229036689	0.0	False	-0.0010942047229036689	False
CCL19	CCRL2	T_recruit_partial	2234	59	0.0	0.020483367145061493	0.0	0.01694915254237288	0.010241683572530746	0.0	False	P1	1666	59	0.0021884094458073378	0.020483367145061493	0.001800720288115246	0.01694915254237288	0.011335888295434415	4.482599414219225e-05	False	-0.0010942047229036689	False
CCL21	ACKR4	T_recruit_partial	2234	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	0.0	False
CCL23	CCR1	T_recruit_partial	2234	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1	1666	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	0.0	False
CCL26	CCR1	T_recruit_partial	2234	59	0.17592312395572662	0.1446400284767151	0.1495076096687556	0.1016949152542373	0.16028157621622086	0.025445525658668977	True	P1	1666	59	0.09611766040325165	0.1446400284767151	0.09903961584633854	0.1016949152542373	0.12037884443998337	0.013902461137841549	False	0.03990273177623749	True
CCL3	ACKR2	T_recruit_partial	2234	59	0.09568675607442856	0.0	0.09042076991942703	0.0	0.04784337803721428	0.0	False	P1	1666	59	0.10853875428438187	0.0	0.09543817527010805	0.0	0.05426937714219093	0.0	False	-0.006425999104976654	False
CCL3	CCR3	T_recruit_partial	2234	59	0.09568675607442856	0.0	0.09042076991942703	0.0	0.04784337803721428	0.0	False	P1	1666	59	0.10853875428438187	0.0	0.09543817527010805	0.0	0.05426937714219093	0.0	False	-0.006425999104976654	False
CCL3L1	CCR1	T_recruit_partial	2234	59	0.1299627125263214	0.1446400284767151	0.12578334825425247	0.1016949152542373	0.13730137050151825	0.018797810440718266	True	P1	1666	59	0.14396169781684875	0.1446400284767151	0.13205282112845138	0.1016949152542373	0.14430086314678192	0.020822624071785256	True	-0.006999492645263672	True
CCL4	ACKR2	T_recruit_partial	2234	59	0.11685403436422348	0.0	0.10519247985675918	0.0	0.05842701718211174	0.0	False	P1	1666	59	0.1323969066143036	0.0	0.10684273709483794	0.0	0.0661984533071518	0.0	False	-0.007771436125040054	False
CCL5	ACKR1	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	-0.010882817208766937	False
CCL5	ACKR2	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	-0.010882817208766937	False
CCL5	CCR3	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	-0.010882817208766937	False
CCL5	CCR4	T_recruit_partial	2234	59	0.23773013055324554	0.019800599664449692	0.17949865711727842	0.01694915254237288	0.12876536510884762	0.004707199143262175	False	P1	1666	59	0.2594957649707794	0.019800599664449692	0.1722689075630252	0.01694915254237288	0.13964818231761456	0.005138171756806531	False	-0.010882817208766937	False
CCL5	GPR75	T_recruit_partial	2234	59	0.23773013055324554	0.0	0.17949865711727842	0.0	0.11886506527662277	0.0	False	P1	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	-0.010882817208766937	False
CCL7	CCR1	T_recruit_partial	2234	59	0.0009347379673272371	0.1446400284767151	0.0008952551477170994	0.1016949152542373	0.07278738322202116	0.00013520052621247836	False	P1	1666	59	0.002018760424107313	0.1446400284767151	0.003001200480192077	0.1016949152542373	0.0733293944504112	0.0002919935652305472	False	-0.000542011228390038	False
CCL7	CCR5	T_recruit_partial	2234	59	0.0009347379673272371	0.3816611170768738	0.0008952551477170994	0.2542372881355932	0.1912979275221005	0.00035675313678427967	False	P1	1666	59	0.002018760424107313	0.3816611170768738	0.003001200480192077	0.2542372881355932	0.19183993875049055	0.0007704823585753806	False	-0.000542011228390038	False
CCL8	CCR1	T_recruit_partial	2234	59	0.009527990594506264	0.1446400284767151	0.010295434198746643	0.1016949152542373	0.07708400953561068	0.0013781288309152595	False	P1	1666	59	0.010624425485730171	0.1446400284767151	0.012004801920768308	0.1016949152542373	0.07763222698122263	0.0015367172048047495	False	-0.0005482174456119537	False
CCL8	CCR5	T_recruit_partial	2234	59	0.009527990594506264	0.3816611170768738	0.010295434198746643	0.2542372881355932	0.19559455383569002	0.0036364635337972073	False	P1	1666	59	0.010624425485730171	0.3816611170768738	0.012004801920768308	0.2542372881355932	0.19614277128130198	0.0040549300991837844	False	-0.0005482174456119537	False
CXCL10	DPP4	T_recruit_partial	2234	59	0.012582802213728428	0.0	0.012085944494180842	0.0	0.006291401106864214	0.0	False	P1	1666	59	0.011983995325863361	0.0	0.013205282112845138	0.0	0.005991997662931681	0.0	False	0.00029940344393253326	False
CXCL11	ACKR3	T_recruit_partial	2234	59	0.005506056360900402	0.0	0.0040286481647269475	0.0	0.002753028180450201	0.0	False	P1	1666	59	0.0034185147378593683	0.0	0.003601440576230492	0.0	0.0017092573689296842	0.0	False	0.0010437708115205169	False
CXCL11	DPP4	T_recruit_partial	2234	59	0.005506056360900402	0.0	0.0040286481647269475	0.0	0.002753028180450201	0.0	False	P1	1666	59	0.0034185147378593683	0.0	0.003601440576230492	0.0	0.0017092573689296842	0.0	False	0.0010437708115205169	False
CXCL12	DPP4	T_recruit_partial	2234	59	0.0035371293779462576	0.0	0.0040286481647269475	0.0	0.0017685646889731288	0.0	False	P1	1666	59	0.0022663583513349295	0.0	0.003601440576230492	0.0	0.0011331791756674647	0.0	False	0.0006353855133056641	False
CXCL13	ACKR4	T_recruit_partial	2234	59	0.031437937170267105	0.0	0.025067144136078783	0.0	0.015718968585133553	0.0	False	P1	1666	59	0.039953894913196564	0.0	0.026410564225690276	0.0	0.019976947456598282	0.0	False	-0.004257978871464729	False
CXCL14	CXCR4	T_recruit_partial	2234	59	0.1962621659040451	0.47521719336509705	0.11593554162936437	0.3050847457627119	0.3357396796345711	0.09326715564467536	True	P1	1666	59	0.29885029792785645	0.47521719336509705	0.18067226890756302	0.3050847457627119	0.38703374564647675	0.14201879981759902	True	-0.05129406601190567	True
CXCL9	DPP4	T_recruit_partial	2234	59	0.022481119260191917	0.0	0.022829006266786033	0.0	0.011240559630095959	0.0	False	P1	1666	59	0.021126635372638702	0.0	0.021608643457382955	0.0	0.010563317686319351	0.0	False	0.0006772419437766075	False
PF4	CXCR3	T_recruit_partial	2234	59	0.0	0.25396403670310974	0.0	0.1864406779661017	0.12698201835155487	0.0	False	P1	1666	59	0.0	0.25396403670310974	0.0	0.1864406779661017	0.12698201835155487	0.0	False	0.0	False
ADCYAP1	VIPR1	other	2234	59	0.0008961614221334457	0.0	0.0008952551477170994	0.0	0.00044808071106672287	0.0	False	P1	1666	59	0.003314369358122349	0.0	0.0024009603841536613	0.0	0.0016571846790611744	0.0	False	-0.0012091039679944515	False
ADCYAP1	VIPR2	other	2234	59	0.0008961614221334457	0.0	0.0008952551477170994	0.0	0.00044808071106672287	0.0	False	P1	1666	59	0.003314369358122349	0.0	0.0024009603841536613	0.0	0.0016571846790611744	0.0	False	-0.0012091039679944515	False
ADM	CALCRL+GPER1+RAMP3	other	2234	59	1.5982152223587036	0.0	0.8755595344673232	0.0	0.7991076111793518	0.0	False	P1	1666	59	1.3283671140670776	0.0	0.7953181272509003	0.0	0.6641835570335388	0.0	False	0.134924054145813	False
ADM	RAMP3	other	2234	59	1.5982152223587036	0.0	0.8755595344673232	0.0	0.7991076111793518	0.0	False	P1	1666	59	1.3283671140670776	0.0	0.7953181272509003	0.0	0.6641835570335388	0.0	False	0.134924054145813	False
ADM2	CALCRL+GPER1+RAMP3	other	2234	59	0.014555075205862522	0.0	0.019247985675917637	0.0	0.007277537602931261	0.0	False	P1	1666	59	0.008199836127460003	0.0	0.010804321728691477	0.0	0.0040999180637300014	0.0	False	0.0031776195392012596	False
ADM2	CALCRL+RAMP2	other	2234	59	0.014555075205862522	0.0	0.019247985675917637	0.0	0.007277537602931261	0.0	False	P1	1666	59	0.008199836127460003	0.0	0.010804321728691477	0.0	0.0040999180637300014	0.0	False	0.0031776195392012596	False
AGRN	LRP4+MUSK	other	2234	59	0.0042815255001187325	0.0	0.006266786034019696	0.0	0.0021407627500593662	0.0	False	P1	1666	59	0.004515071865171194	0.0	0.006002400960384154	0.0	0.002257535932585597	0.0	False	-0.00011677318252623081	False
AGRN	PTPRS	other	2234	59	0.0042815255001187325	0.0	0.006266786034019696	0.0	0.0021407627500593662	0.0	False	P1	1666	59	0.004515071865171194	0.0	0.006002400960384154	0.0	0.002257535932585597	0.0	False	-0.00011677318252623081	False
AGT	AGTR2	other	2234	59	0.0002328426344320178	0.0	0.0004476275738585497	0.0	0.0001164213172160089	0.0	False	P1	1666	59	0.00039677112363278866	0.0	0.0006002400960384153	0.0	0.00019838556181639433	0.0	False	-8.196424460038543e-05	False
AKR1B1	PTGFR	other	2234	59	0.7996203303337097	0.0	0.6410026857654432	0.0	0.39981016516685486	0.0	False	P1	1666	59	0.7308470010757446	0.0	0.6074429771908764	0.0	0.3654235005378723	0.0	False	0.034386664628982544	False
AKR1C3	PTGDR	other	2234	59	2.305990695953369	0.0	0.9068934646374217	0.0	1.1529953479766846	0.0	False	P1	1666	59	2.264249563217163	0.0	0.9231692677070829	0.0	1.1321247816085815	0.0	False	0.020870566368103027	False
AKR1C3	PTGFR	other	2234	59	2.305990695953369	0.0	0.9068934646374217	0.0	1.1529953479766846	0.0	False	P1	1666	59	2.264249563217163	0.0	0.9231692677070829	0.0	1.1321247816085815	0.0	False	0.020870566368103027	False
ALB	B2M+FCGRT	other	2234	59	0.0	0.04157266393303871	0.0	0.03389830508474576	0.020786331966519356	0.0	False	P1	1666	59	0.0	0.04157266393303871	0.0	0.03389830508474576	0.020786331966519356	0.0	False	0.0	False
ALCAM	CD6	other	2234	59	1.1462483406066895	0.15935161709785461	0.761414503133393	0.11864406779661017	0.652799978852272	0.18265652667140841	True	P1	1666	59	1.1920069456100464	0.15935161709785461	0.7743097238895558	0.11864406779661017	0.6756792813539505	0.18994823437483532	True	-0.022879302501678467	True
ALDH1A1	CRABP2+RARA	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RARA+RXRA	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RARB	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RARB+RXRB	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RARG	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RARG+RXRG	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RXRA	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RXRB	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	CRABP2+RXRG	other	2234	59	0.7002264857292175	0.0	0.545658012533572	0.0	0.35011324286460876	0.0	False	P1	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	-0.07190683484077454	False
ALDH1A1	RORB	other	2234	59	0.7002264857292175	0.020416608080267906	0.545658012533572	0.01694915254237288	0.3603215469047427	0.014296249726556742	False	P1	1666	59	0.8440401554107666	0.020416608080267906	0.6128451380552221	0.01694915254237288	0.43222838174551725	0.017232437057030037	False	-0.07190683484077454	False
ALDH1A2	CRABP2+RARA	other	2234	59	0.007115620654076338	0.0	0.008952551477170993	0.0	0.003557810327038169	0.0	False	P1	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	-0.0005022336263209581	False
ALDH1A2	CRABP2+RARA+RXRA	other	2234	59	0.007115620654076338	0.0	0.008952551477170993	0.0	0.003557810327038169	0.0	False	P1	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	-0.0005022336263209581	False
ALDH1A2	CRABP2+RARB	other	2234	59	0.007115620654076338	0.0	0.008952551477170993	0.0	0.003557810327038169	0.0	False	P1	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	-0.0005022336263209581	False
ALDH1A2	CRABP2+RARB+RXRB	other	2234	59	0.007115620654076338	0.0	0.008952551477170993	0.0	0.003557810327038169	0.0	False	P1	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	-0.0005022336263209581	False
