ligand	receptor	pathway	n_sender	n_receiver	ligand_mean	receptor_mean	ligand_frac	receptor_frac	cpdb_mean_score	product_score	pass_expr_prop	Patient
CCL21	CCR7	T_recruit	1666	59	0.0	0.14844368398189545	0.0	0.1016949152542373	0.07422184199094772	0.0	False	P1
CCL3	CCR1	T_recruit	1666	59	0.10853875428438187	0.1446400284767151	0.09543817527010805	0.1016949152542373	0.12658939138054848	0.015699048510520175	False	P1
CCL3	CCR5	T_recruit	1666	59	0.10853875428438187	0.3816611170768738	0.09543817527010805	0.2542372881355932	0.24509993568062782	0.0414250222063095	False	P1
CCL4	CCR5	T_recruit	1666	59	0.1323969066143036	0.3816611170768738	0.10684273709483794	0.2542372881355932	0.2570290118455887	0.050530751275937646	True	P1
CCL5	CCR1	T_recruit	1666	59	0.2594957649707794	0.1446400284767151	0.1722689075630252	0.1016949152542373	0.20206789672374725	0.0375334748349605	True	P1
CCL5	CCR5	T_recruit	1666	59	0.2594957649707794	0.3816611170768738	0.1722689075630252	0.2542372881355932	0.3205784410238266	0.09903944353546557	True	P1
CX3CL1	CX3CR1	T_recruit	1666	59	0.001229653018526733	0.0	0.0012004801920768306	0.0	0.0006148265092633665	0.0	False	P1
CXCL10	CXCR3	T_recruit	1666	59	0.011983995325863361	0.25396403670310974	0.013205282112845138	0.1864406779661017	0.13297401601448655	0.0030435038287874583	False	P1
CXCL11	CXCR3	T_recruit	1666	59	0.0034185147378593683	0.25396403670310974	0.003601440576230492	0.1864406779661017	0.12869127572048455	0.0008681798023558382	False	P1
CXCL12	CXCR4	T_recruit	1666	59	0.0022663583513349295	0.47521719336509705	0.003601440576230492	0.3050847457627119	0.238741775858216	0.0010770124548809337	False	P1
CXCL13	CXCR5	T_recruit	1666	59	0.039953894913196564	0.0	0.026410564225690276	0.0	0.019976947456598282	0.0	False	P1
CXCL16	CXCR6	T_recruit	1666	59	0.11160925030708313	0.26176154613494873	0.13925570228091236	0.1694915254237288	0.18668539822101593	0.02921500992334458	True	P1
CXCL9	CXCR3	T_recruit	1666	59	0.021126635372638702	0.25396403670310974	0.021608643457382955	0.1864406779661017	0.13754533603787422	0.005365405601190032	False	P1
CCL15	CCR1	T_recruit_partial	1666	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1
CCL19	ACKR4	T_recruit_partial	1666	59	0.0021884094458073378	0.0	0.001800720288115246	0.0	0.0010942047229036689	0.0	False	P1
CCL19	CCRL2	T_recruit_partial	1666	59	0.0021884094458073378	0.020483367145061493	0.001800720288115246	0.01694915254237288	0.011335888295434415	4.482599414219225e-05	False	P1
CCL21	ACKR4	T_recruit_partial	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
CCL23	CCR1	T_recruit_partial	1666	59	0.0	0.1446400284767151	0.0	0.1016949152542373	0.07232001423835754	0.0	False	P1
CCL26	CCR1	T_recruit_partial	1666	59	0.09611766040325165	0.1446400284767151	0.09903961584633854	0.1016949152542373	0.12037884443998337	0.013902461137841549	False	P1
CCL3	ACKR2	T_recruit_partial	1666	59	0.10853875428438187	0.0	0.09543817527010805	0.0	0.05426937714219093	0.0	False	P1
CCL3	CCR3	T_recruit_partial	1666	59	0.10853875428438187	0.0	0.09543817527010805	0.0	0.05426937714219093	0.0	False	P1
CCL3L1	CCR1	T_recruit_partial	1666	59	0.14396169781684875	0.1446400284767151	0.13205282112845138	0.1016949152542373	0.14430086314678192	0.020822624071785256	True	P1
CCL4	ACKR2	T_recruit_partial	1666	59	0.1323969066143036	0.0	0.10684273709483794	0.0	0.0661984533071518	0.0	False	P1
CCL5	ACKR1	T_recruit_partial	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	P1
CCL5	ACKR2	T_recruit_partial	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	P1
CCL5	CCR3	T_recruit_partial	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	P1
CCL5	CCR4	T_recruit_partial	1666	59	0.2594957649707794	0.019800599664449692	0.1722689075630252	0.01694915254237288	0.13964818231761456	0.005138171756806531	False	P1
CCL5	GPR75	T_recruit_partial	1666	59	0.2594957649707794	0.0	0.1722689075630252	0.0	0.1297478824853897	0.0	False	P1
CCL7	CCR1	T_recruit_partial	1666	59	0.002018760424107313	0.1446400284767151	0.003001200480192077	0.1016949152542373	0.0733293944504112	0.0002919935652305472	False	P1
CCL7	CCR5	T_recruit_partial	1666	59	0.002018760424107313	0.3816611170768738	0.003001200480192077	0.2542372881355932	0.19183993875049055	0.0007704823585753806	False	P1
CCL8	CCR1	T_recruit_partial	1666	59	0.010624425485730171	0.1446400284767151	0.012004801920768308	0.1016949152542373	0.07763222698122263	0.0015367172048047495	False	P1
CCL8	CCR5	T_recruit_partial	1666	59	0.010624425485730171	0.3816611170768738	0.012004801920768308	0.2542372881355932	0.19614277128130198	0.0040549300991837844	False	P1
CXCL10	DPP4	T_recruit_partial	1666	59	0.011983995325863361	0.0	0.013205282112845138	0.0	0.005991997662931681	0.0	False	P1
CXCL11	ACKR3	T_recruit_partial	1666	59	0.0034185147378593683	0.0	0.003601440576230492	0.0	0.0017092573689296842	0.0	False	P1
CXCL11	DPP4	T_recruit_partial	1666	59	0.0034185147378593683	0.0	0.003601440576230492	0.0	0.0017092573689296842	0.0	False	P1
CXCL12	DPP4	T_recruit_partial	1666	59	0.0022663583513349295	0.0	0.003601440576230492	0.0	0.0011331791756674647	0.0	False	P1
CXCL13	ACKR4	T_recruit_partial	1666	59	0.039953894913196564	0.0	0.026410564225690276	0.0	0.019976947456598282	0.0	False	P1
CXCL14	CXCR4	T_recruit_partial	1666	59	0.29885029792785645	0.47521719336509705	0.18067226890756302	0.3050847457627119	0.38703374564647675	0.14201879981759902	True	P1
CXCL9	DPP4	T_recruit_partial	1666	59	0.021126635372638702	0.0	0.021608643457382955	0.0	0.010563317686319351	0.0	False	P1
PF4	CXCR3	T_recruit_partial	1666	59	0.0	0.25396403670310974	0.0	0.1864406779661017	0.12698201835155487	0.0	False	P1
ADCYAP1	VIPR1	other	1666	59	0.003314369358122349	0.0	0.0024009603841536613	0.0	0.0016571846790611744	0.0	False	P1
ADCYAP1	VIPR2	other	1666	59	0.003314369358122349	0.0	0.0024009603841536613	0.0	0.0016571846790611744	0.0	False	P1
ADM	CALCRL+GPER1+RAMP3	other	1666	59	1.3283671140670776	0.0	0.7953181272509003	0.0	0.6641835570335388	0.0	False	P1
ADM	RAMP3	other	1666	59	1.3283671140670776	0.0	0.7953181272509003	0.0	0.6641835570335388	0.0	False	P1
ADM2	CALCRL+GPER1+RAMP3	other	1666	59	0.008199836127460003	0.0	0.010804321728691477	0.0	0.0040999180637300014	0.0	False	P1
ADM2	CALCRL+RAMP2	other	1666	59	0.008199836127460003	0.0	0.010804321728691477	0.0	0.0040999180637300014	0.0	False	P1
AGRN	LRP4+MUSK	other	1666	59	0.004515071865171194	0.0	0.006002400960384154	0.0	0.002257535932585597	0.0	False	P1
AGRN	PTPRS	other	1666	59	0.004515071865171194	0.0	0.006002400960384154	0.0	0.002257535932585597	0.0	False	P1
AGT	AGTR2	other	1666	59	0.00039677112363278866	0.0	0.0006002400960384153	0.0	0.00019838556181639433	0.0	False	P1
AKR1B1	PTGFR	other	1666	59	0.7308470010757446	0.0	0.6074429771908764	0.0	0.3654235005378723	0.0	False	P1
AKR1C3	PTGDR	other	1666	59	2.264249563217163	0.0	0.9231692677070829	0.0	1.1321247816085815	0.0	False	P1
AKR1C3	PTGFR	other	1666	59	2.264249563217163	0.0	0.9231692677070829	0.0	1.1321247816085815	0.0	False	P1
ALB	B2M+FCGRT	other	1666	59	0.0	0.04157266393303871	0.0	0.03389830508474576	0.020786331966519356	0.0	False	P1
ALCAM	CD6	other	1666	59	1.1920069456100464	0.15935161709785461	0.7743097238895558	0.11864406779661017	0.6756792813539505	0.18994823437483532	True	P1
ALDH1A1	CRABP2+RARA	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RARA+RXRA	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RARB	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RARB+RXRB	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RARG	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RARG+RXRG	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RXRA	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RXRB	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	CRABP2+RXRG	other	1666	59	0.8440401554107666	0.0	0.6128451380552221	0.0	0.4220200777053833	0.0	False	P1
ALDH1A1	RORB	other	1666	59	0.8440401554107666	0.020416608080267906	0.6128451380552221	0.01694915254237288	0.43222838174551725	0.017232437057030037	False	P1
ALDH1A2	CRABP2+RARA	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RARA+RXRA	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RARB	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RARB+RXRB	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RARG	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RARG+RXRG	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RXRA	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RXRB	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	CRABP2+RXRG	other	1666	59	0.008120087906718254	0.0	0.011404561824729893	0.0	0.004060043953359127	0.0	False	P1
ALDH1A2	RORB	other	1666	59	0.008120087906718254	0.020416608080267906	0.011404561824729893	0.01694915254237288	0.01426834799349308	0.00016578465236878961	False	P1
ALDH1A3	CRABP2+RARA	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RARA+RXRA	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RARB	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RARB+RXRB	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RARG	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RARG+RXRG	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RXRA	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RXRB	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	CRABP2+RXRG	other	1666	59	0.004566817544400692	0.0	0.004201680672268907	0.0	0.002283408772200346	0.0	False	P1
ALDH1A3	RORB	other	1666	59	0.004566817544400692	0.020416608080267906	0.004201680672268907	0.01694915254237288	0.012491712812334299	9.32389239781204e-05	False	P1
ALOX12	CYSLTR1	other	1666	59	0.03545299917459488	0.04513624310493469	0.04081632653061224	0.03389830508474576	0.040294621139764786	0.0016002151895435635	False	P1
ALOX12	FPR2	other	1666	59	0.03545299917459488	0.0	0.04081632653061224	0.0	0.01772649958729744	0.0	False	P1
ALOX5+ALOX5AP+LTC4S	CYSLTR1	other	1666	59	0.00912074837833643	0.04513624310493469	0.00900360144057623	0.03389830508474576	0.02712849574163556	0.00041167631610353195	False	P1
ALOX5+ALOX5AP+LTC4S	CYSLTR2	other	1666	59	0.00912074837833643	0.0	0.00900360144057623	0.0	0.004560374189168215	0.0	False	P1
ALOX5+ALOX5AP+LTC4S	FPR2	other	1666	59	0.00912074837833643	0.0	0.00900360144057623	0.0	0.004560374189168215	0.0	False	P1
ALOX5+ALOX5AP+LTC4S	OXER1	other	1666	59	0.00912074837833643	0.0	0.00900360144057623	0.0	0.004560374189168215	0.0	False	P1
AMH	ACVR1+AMHR2	other	1666	59	0.0031178698409348726	0.0	0.004201680672268907	0.0	0.0015589349204674363	0.0	False	P1
AMH	AMHR2+BMPR1A	other	1666	59	0.0031178698409348726	0.0	0.004201680672268907	0.0	0.0015589349204674363	0.0	False	P1
AMH	AMHR2+BMPR1B	other	1666	59	0.0031178698409348726	0.0	0.004201680672268907	0.0	0.0015589349204674363	0.0	False	P1
ANGPT1	TEK	other	1666	59	0.020978765562176704	0.0	0.026410564225690276	0.0	0.010489382781088352	0.0	False	P1
ANGPT2	TEK	other	1666	59	0.012143228203058243	0.0	0.011404561824729893	0.0	0.006071614101529121	0.0	False	P1
ANXA1	FPR1	other	1666	59	0.9733920693397522	0.0689082220196724	0.6158463385354142	0.05084745762711865	0.5211501456797123	0.06707471682625199	False	P1
ANXA1	FPR2	other	1666	59	0.9733920693397522	0.0	0.6158463385354142	0.0	0.4866960346698761	0.0	False	P1
ANXA1	FPR3	other	1666	59	0.9733920693397522	0.0	0.6158463385354142	0.0	0.4866960346698761	0.0	False	P1
APELA	APLNR	other	1666	59	0.0	0.022674206644296646	0.0	0.01694915254237288	0.011337103322148323	0.0	False	P1
APLN	APLNR	other	1666	59	0.0	0.022674206644296646	0.0	0.01694915254237288	0.011337103322148323	0.0	False	P1
APLP2	PIGR	other	1666	59	1.1174391508102417	0.0	0.7911164465786314	0.0	0.5587195754051208	0.0	False	P1
APLP2	PLXNA4	other	1666	59	1.1174391508102417	0.0	0.7911164465786314	0.0	0.5587195754051208	0.0	False	P1
APOA1	ABCA1	other	1666	59	0.005356926936656237	0.08276119828224182	0.0078031212484993995	0.05084745762711865	0.04405906260944903	0.0004433456923880891	False	P1
APOA1	AMN+CUBN	other	1666	59	0.005356926936656237	0.0	0.0078031212484993995	0.0	0.0026784634683281183	0.0	False	P1
APOA1	TREM2+TYROBP	other	1666	59	0.005356926936656237	0.03744128718972206	0.0078031212484993995	0.03389830508474576	0.02139910706318915	0.0002005702398897042	False	P1
APOA2	TREM2+TYROBP	other	1666	59	0.0	0.03744128718972206	0.0	0.03389830508474576	0.01872064359486103	0.0	False	P1
APOB	APOBR	other	1666	59	0.0	0.07069557160139084	0.0	0.05084745762711865	0.03534778580069542	0.0	False	P1
APOB	TREM2+TYROBP	other	1666	59	0.0	0.03744128718972206	0.0	0.03389830508474576	0.01872064359486103	0.0	False	P1
APOE	TREM2+TYROBP	other	1666	59	0.12494973838329315	0.03744128718972206	0.12725090036014405	0.03389830508474576	0.0811955127865076	0.004678279039089517	False	P1
APP	CD74	other	1666	59	0.15470711886882782	1.722245216369629	0.18547418967587034	0.7796610169491526	0.9384761676192284	0.26644359541016627	True	P1
APP	FPR2	other	1666	59	0.15470711886882782	0.0	0.18547418967587034	0.0	0.07735355943441391	0.0	False	P1
APP	PLXNA4	other	1666	59	0.15470711886882782	0.0	0.18547418967587034	0.0	0.07735355943441391	0.0	False	P1
APP	SORL1	other	1666	59	0.15470711886882782	0.026599867269396782	0.18547418967587034	0.01694915254237288	0.0906534930691123	0.00411518882754161	False	P1
APP	TNFRSF21	other	1666	59	0.15470711886882782	0.0	0.18547418967587034	0.0	0.07735355943441391	0.0	False	P1
APP	TREM2+TYROBP	other	1666	59	0.15470711886882782	0.03744128718972206	0.18547418967587034	0.03389830508474576	0.09607420302927494	0.005792433667862251	False	P1
AREG	EGFR	other	1666	59	0.24316859245300293	0.1654103547334671	0.21608643457382953	0.11864406779661017	0.20428947359323502	0.040222603137689106	True	P1
ARTN	GFRA1+RET	other	1666	59	0.021177560091018677	0.0	0.028811524609843937	0.0	0.010588780045509338	0.0	False	P1
ARTN	GFRA3+RET	other	1666	59	0.021177560091018677	0.0	0.028811524609843937	0.0	0.010588780045509338	0.0	False	P1
ASIP	MC1R	other	1666	59	0.007385542616248131	0.022952117025852203	0.01020408163265306	0.01694915254237288	0.015168829821050167	0.00016951383842754575	False	P1
AVP	AVPR1A	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
AVP	OXTR	other	1666	59	0.0	0.018002087250351906	0.0	0.01694915254237288	0.009001043625175953	0.0	False	P1
BAG6	NCR3	other	1666	59	0.22340169548988342	0.0	0.2617046818727491	0.0	0.11170084774494171	0.0	False	P1
BDNF	NGFR	other	1666	59	0.09915467351675034	0.0	0.117046818727491	0.0	0.04957733675837517	0.0	False	P1
BDNF	NTRK2	other	1666	59	0.09915467351675034	0.0	0.117046818727491	0.0	0.04957733675837517	0.0	False	P1
BDNF	SORT1	other	1666	59	0.09915467351675034	0.02798341028392315	0.117046818727491	0.01694915254237288	0.06356904190033674	0.0027746859105876737	False	P1
BMP2	ACVR2A+BMPR1A	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP2	ACVR2A+BMPR1B	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP2	ACVR2B+BMPR1A	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP2	ACVR2B+BMPR1B	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP2	BMPR1A+BMPR2	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP2	BMPR1B+BMPR2	other	1666	59	0.006370417773723602	0.0	0.006602641056422569	0.0	0.003185208886861801	0.0	False	P1
BMP4	ACVR2A+BMPR1A	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP4	ACVR2A+BMPR1B	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP4	ACVR2B+BMPR1A	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP4	ACVR2B+BMPR1B	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP4	BMPR1A+BMPR2	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP4	BMPR1B+BMPR2	other	1666	59	0.05872061103582382	0.0	0.07262905162064826	0.0	0.02936030551791191	0.0	False	P1
BMP5	ACVR1+ACVR2A	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR1+ACVR2B	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR1+BMPR2	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR2A+BMPR1A	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR2A+BMPR1B	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR2B+BMPR1A	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	ACVR2B+BMPR1B	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	BMPR1A+BMPR2	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP5	BMPR1B+BMPR2	other	1666	59	0.0	0.0	0.0	0.0	0.0	0.0	False	P1
BMP6	ACVR1+ACVR2A	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR1+ACVR2B	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR1+BMPR2	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR2A+BMPR1A	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR2A+BMPR1B	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR2B+BMPR1A	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	ACVR2B+BMPR1B	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	BMPR1A+BMPR2	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP6	BMPR1B+BMPR2	other	1666	59	0.0012194125447422266	0.0	0.0024009603841536613	0.0	0.0006097062723711133	0.0	False	P1
BMP7	ACVR1+ACVR2A	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR1+ACVR2B	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR1+BMPR2	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR2A+BMPR1A	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR2A+BMPR1B	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR2B+BMPR1A	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	ACVR2B+BMPR1B	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
BMP7	BMPR1A+BMPR2	other	1666	59	0.29123035073280334	0.0	0.32232893157262904	0.0	0.14561517536640167	0.0	False	P1
