panel,symbol,role,on_platform,scored_ge2_arrays,n_probes,n_arrays,raw_symbols,mapping,mapped_via,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median
IFN,GBP5,IFN program,yes,yes,2,3,GBP5,current_symbol,ORF,-1.6258,0.6400,-1.9040,-0.9633,-1.6258,-1.1957,0.3544,0.9543,DOWN
IFN,EIF2AK2,IFN program,yes,yes,2,3,PRKR,synonym:PRKR,ORF,-0.6379,1.2245,-0.1793,0.1358,-0.1793,0.2423,0.8311,0.9543,DOWN
IFN,ZBP1,IFN program,yes,yes,1,3,ZBP1,current_symbol,ORF,0.8319,-0.5995,-1.0589,-0.2755,-0.5995,-0.4839,0.6763,0.9543,DOWN
IFN,STAT1,IFN program,yes,yes,3,3,STAT1,current_symbol,ORF,0.1110,0.8237,0.4824,0.4723,0.4824,2.2952,0.1486,0.9543,UP
IFN,STAT2,IFN program,yes,yes,2,3,STAT2,current_symbol,ORF,-0.7041,-0.0491,-0.6695,-0.4742,-0.6695,-2.2285,0.1557,0.9543,DOWN
IFN,IRF1,IFN program,yes,yes,1,3,IRF1,current_symbol,ORF,-1.0291,-0.0439,0.3448,-0.2427,-0.0439,-0.5937,0.6129,0.9543,DOWN
IFN,IRF7,IFN program,yes,yes,2,3,IRF7,current_symbol,ORF,-0.1419,0.5423,0.4182,0.2729,0.4182,1.2966,0.3242,0.9543,UP
IFN,IRF9,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
IFN,JAK2,IFN program,yes,yes,2,3,JAK2,current_symbol,ORF,1.8032,2.3683,1.2044,1.7919,1.8032,5.3324,0.03342,0.9543,UP
IFN,SOCS1,IFN program,yes,yes,1,2,SOCS1,current_symbol,ORF,-0.4344,,-1.5564,-0.9954,-0.9954,-1.7743,0.3267,0.9543,DOWN
IFN,SOCS3,IFN program,yes,yes,1,3,SOCS3,current_symbol,ORF,0.2987,-0.5995,3.7060,1.1351,0.2987,0.8656,0.478,0.9543,UP
IFN,B2M,IFN program,yes,yes,1,3,B2M,current_symbol,ORF,-2.5564,2.2296,-3.1844,-1.1704,-2.5564,-0.6846,0.5643,0.9543,DOWN
IFN,TAP1,IFN program,yes,yes,2,3,TAP1,current_symbol,ORF,-1.9030,2.3537,-1.4717,-0.3403,-1.4717,-0.2516,0.8249,0.9543,DOWN
IFN,TAP2,IFN program,yes,yes,3,3,TAP2,current_symbol,ORF,-0.5564,-3.0589,-0.1681,-1.2611,-0.5564,-1.3922,0.2985,0.9543,DOWN
IFN,PSMB8,IFN program,yes,yes,2,3,PSMB8,current_symbol,ORF,0.3274,1.0575,-0.1330,0.4173,0.3274,1.2040,0.3518,0.9543,UP
IFN,PSMB9,IFN program,yes,yes,2,3,PSMB9,current_symbol,ORF,0.9381,3.0522,1.7093,1.8999,1.7093,3.0757,0.09144,0.9543,UP
IFN,NLRC5,IFN program,yes,yes,2,3,NOD27,synonym:NOD27,ORF,4.1376,0.6708,-0.5146,1.4313,0.6708,1.0254,0.413,0.9543,UP
IFN,HLA-A,IFN program,yes,yes,11,3,HLA-A,current_symbol,DESCRIPTION_PREFIX,-1.5995,0.7975,-1.7370,-0.8463,-1.5995,-1.0285,0.4118,0.9543,DOWN
IFN,HLA-B,IFN program,yes,yes,1,3,HLA-B,current_symbol,DESCRIPTION_PREFIX,-1.5564,2.3277,-2.1203,-0.4497,-1.5564,-0.3216,0.7783,0.9543,DOWN
IFN,HLA-C,IFN program,yes,yes,3,3,HLA-C,current_symbol,DESCRIPTION_PREFIX,-1.2515,1.0566,-1.2515,-0.4821,-1.2515,-0.6267,0.5949,0.9543,DOWN
IFN,HLA-E,IFN program,yes,yes,1,3,HLA-E,current_symbol,DESCRIPTION_PREFIX,0.8718,-1.5564,1.7991,0.3715,0.8718,0.3713,0.746,0.9543,UP
IFN,HLA-F,IFN program,yes,yes,2,3,HLA-F,current_symbol,DESCRIPTION_PREFIX,-1.8929,1.1540,-1.3251,-0.6880,-1.3251,-0.7355,0.5386,0.9543,DOWN
IFN,TAPBP,IFN program,yes,yes,3,3,TAPBP,current_symbol,ORF,-1.3585,0.5460,-0.5601,-0.4575,-0.5601,-0.8286,0.4945,0.9543,DOWN
IFN,CXCL10,"STING transcriptional output, scored in IFN",yes,yes,1,2,CXCL10,current_symbol,ORF,,6.5048,-0.4540,3.0254,3.0254,0.8695,0.5444,0.9543,UP
IFN,CXCL11,IFN program,yes,yes,1,3,CXCL11,current_symbol,ORF,-3.6439,1.6960,2.9241,0.3254,1.6960,0.1614,0.8866,0.9644,UP
IFN,CXCL9,IFN program,yes,no,1,1,CXCL9,current_symbol,ORF,,,-0.1361,-0.1361,-0.1361,,,,NA
IFN,CCL5,IFN program,yes,no,1,1,CCL5,current_symbol,ORF,,,-0.8625,-0.8625,-0.8625,,,,NA
IFN,CCL2,IFN program,yes,yes,1,3,CCL2,current_symbol,ORF,1.1763,0.6599,0.2510,0.6957,0.6599,2.5988,0.1216,0.9543,UP
IFN,IL6,IFN program,yes,yes,2,3,IL6,current_symbol,ORF,-1.2176,1.2388,-0.7180,-0.2323,-0.7180,-0.3099,0.786,0.9543,DOWN
IFN,TNF,IFN program,yes,yes,1,3,TNF,current_symbol,ORF,-0.4941,1.6088,-0.5778,0.1790,-0.4941,0.2502,0.8258,0.9543,DOWN
IFN,NFKB1,IFN program,yes,yes,1,3,NFKB1,current_symbol,ORF,-0.6215,0.6960,-2.1844,-0.7033,-0.6215,-0.8448,0.4872,0.9543,DOWN
IFN,RELA,IFN program,yes,yes,1,3,RELA,current_symbol,ORF,1.8520,-2.3959,2.5084,0.6548,1.8520,0.4260,0.7116,0.9543,UP
IFN,IL15,IFN program,yes,yes,3,3,IL15,current_symbol,ORF,0.9184,-0.3585,0.6323,0.3974,0.6323,1.0272,0.4123,0.9543,UP
IFN,IL32,IFN program,yes,yes,2,3,NK4,synonym:NK4,ORF,0.8787,-1.1001,0.3552,0.0446,0.3552,0.0753,0.9468,0.9860,UP
IFN,IFNB1,"STING transcriptional output, scored in IFN",yes,yes,1,2,IFNB1,current_symbol,ORF,,4.4919,-3.0589,0.7165,0.7165,0.1898,0.8806,0.9644,UP
IFN,IFNG,IFN program,yes,yes,1,3,IFNG,current_symbol,ORF,-0.2688,-0.8110,-3.4739,-1.5179,-0.8110,-1.5325,0.2651,0.9543,DOWN
IFN,IFNAR1,IFN program,yes,yes,1,3,IFNAR1,current_symbol,ORF,-1.3585,-1.2176,-0.1844,-0.9202,-1.2176,-2.4861,0.1308,0.9543,DOWN
IFN,IFNAR2,IFN program,yes,yes,1,3,IFNAR2,current_symbol,ORF,0.0841,1.2449,-2.6439,-0.4383,0.0841,-0.3803,0.7403,0.9543,UP
IFN,IFNGR1,IFN program,yes,yes,1,3,IFNGR1,current_symbol,ORF,0.6415,0.1375,-2.2515,-0.4908,0.1375,-0.5501,0.6375,0.9543,UP
IFN,IFNGR2,IFN program,yes,yes,1,3,IFNGR2,current_symbol,ORF,-1.7859,1.0496,1.2869,0.1835,1.0496,0.1859,0.8696,0.9644,UP
IFN,IFNL1,IFN program,no,no,0,0,,absent,,,,,,,,,,NA
