case_id	CLDN4_protein	cohort	CD274_protein	STAT1_protein	ISG15_protein	MX1_protein	HLA-A_protein	IFN_core_protein	MHC1_protein
C3N-02421		LUAD	22.5080423465644	28.2561885209289	28.1745730596603	27.318695995747	27.1048127257104	0.4367914603091453	-1.0974351660367982
C3N-00556		LUAD	23.8371988778783	29.2115491952885	28.940313958974	26.9903790420556	28.6310377923421	1.0916519135202174	1.0317298744454602
C3N-00294		LUAD	24.4676878669332	29.0250973773895	29.4596295273059	25.8605447405516	27.911144048772	0.37045049399020546	0.5165208012365388
C3N-01072		LUAD	22.1181165055125	28.4695536333514	28.0978991583831	26.8269514541996	27.8068402291651	0.15657300644156374	-0.14045021020304949
C3L-00094		LUAD	22.3718334789389	28.5047930374632	28.2262192569642	25.3506388962084	26.8972377139487	-0.03764923549350611	-0.9737127838966044
C3L-00144		LUAD	22.1682807694851	29.074327305943	27.562484494698	26.1448083975988	29.1054666620374	0.32877951113293946	0.7417253244262993
C3N-00223		LUAD	22.4131303286503	28.200998658159	27.3925695714933	26.8931695823632	29.0705970349709	0.13846797167438823	0.3608931474749025
C3N-02380		LUAD	22.3617549438433	27.5759302469458	27.4669363407022	26.9258600015336	27.443511488794	-0.9729760074117475	-0.066694751008769
C3L-01924	23.2693463646084	LUAD	22.6411925169336	28.5349990308631	27.9740899302543	26.6631183496998	28.1042534727341	0.11628321786907544	0.013990261671991725
C3N-00433	23.4315563797695	LUAD	23.452088522354	29.7068609149368	28.2550589991788	26.866202967525	29.621844923034	1.5225156171679841	1.4889359494449295
C3L-01683	22.9576002640105	LUAD	23.50704582564	29.425565755201	27.9237771059775	25.9292553351462	28.8442340175252	1.0647458244521864	0.7431482732688247
C3N-00293	22.759500088294	LUAD	22.0584828536689	28.3311814751544	28.5424294487115	26.6928081396785	27.2739361309766	0.4548499797334407	-0.3501401720176944
C3L-00009		LUAD	22.036008171369	28.1833391813446	27.8504091202213	26.2969614052927	28.602256831668	-0.1321250723069964	0.23400885409774527
C3N-00546		LUAD	22.6675989286387	28.5637851876995	28.1403868119987	26.0688840615645	27.2796277847249	0.1996276575988557	0.09295802589749096
C3N-01414		LUAD	21.8534273033515	27.8455353164857	27.8164795961878	26.3496655208848	27.9501659475506	0.1279557107394842	0.08913145886426328
C3N-02087		LUAD	23.2683043267152	28.8363439189959	29.8245169033048	28.2190038214305	27.6922920722611	1.185139115100395	0.16511493398712826
C3L-00140	23.6406399698345	LUAD	22.0398704995838	27.9151692272421	26.9805430680098	25.6471313002123	27.4163736537799	-0.7980482310964098	-0.06614024712866962
C3N-02529	21.7468855979234	LUAD	23.4242464225505	29.4622434627007	29.4044406214979	26.3374703200769	29.6195805976842	0.9862414105680756	1.6589199682514852
C3L-00368	23.0710721901358	LUAD	21.6571384273681	28.3908636883493	27.2997955691495	26.1400157864338	28.0024400294775	-0.11598551960495881	0.08240588284949779
C3N-02067	22.9703406837123	LUAD	21.9036895391211	27.9744699850438	28.5629647836508	27.408583460878	27.2685448843195	0.10975117229251623	0.2596707102695771
C3N-02422	24.9609243822922	LUAD	21.6574368675233	27.5966672292282	27.020120531384	25.9380491587031	27.5065664361752	-0.8554008714009946	-0.7857529231163528
C3L-00080	22.8925375144422	LUAD	21.9290057079637	28.4420698491318	27.2443690372722	25.2003755460938	27.621286229373	-0.774659468725358	-0.31701113175082013
C3N-00547	22.681142044946	LUAD	22.0432627849846	28.604162865552	29.1599324347283	27.5304130843852	28.9137181181087	0.5505451280075557	1.1558466409512362
C3N-01023	23.0412586404478	LUAD	22.1738505882367	28.4489957856802	27.9050895757306	26.2897019091806	28.2921674411084	-0.037481195560194	0.3954391271943251
C3N-01024	23.0852976928544	LUAD	21.8447360826235	27.8169508326981	27.526212107094	26.6531271429134	26.9437203396316	-0.5576966160746559	-0.6453845895019962
C3L-00973	23.9705222145823	LUAD	22.1553492327097	28.5667276764372	28.5240060330461	27.7030141214031	27.8988935825986	0.8080931696911706	-0.25001511453401276
C3L-02348	21.4349671016967	LUAD	21.8938849295202	28.5600004027445	27.0023950963844	25.4128593934531	27.2214016516041	-0.04144074321326646	-0.5378465299296868
C3L-02508	22.4996764483953	LUAD	21.7761277717327	27.981788192785	27.2295523191892	25.6498902121827	27.923319046635	-0.32137678371643374	0.00327242577325082
C3N-00560	23.2506094037229	LUAD	22.122108177013	28.8058172464123	27.9183977237111	25.8539831686178	27.7737183184345	0.1061585490642422	0.8329903199048593
C3L-00604		LUAD	21.6980563649497	28.023567846257	27.1905513805646	26.4061802449142	26.8647165166778	-0.35918918639390435	-1.3579163666526348
C3N-00199		LUAD	21.4484042246865	28.0106486272629	28.0192735635915	26.3308771925526	28.7434340026731	-0.27261435265590045	0.3641133137484253
C3N-00579		LUAD	22.8918938522918	28.8382667020013	27.6939990311582	26.4569748354568	27.4367920781059	0.4542679264666337	0.5485855380467669
C3N-02582		LUAD	21.8422683971952	28.3801218922507	27.7880116171648	27.0740487988692	28.288390756356	0.29690292558342385	0.3867517919979133
C3L-02350	22.9163465657716	LUAD	21.5176355525669	28.1942749385774	26.6827720115228	25.3817102087195	27.7472650761315	-0.3852593615631581	-0.5806238784937205
C3N-00738	23.2917756667206	LUAD	21.92249812944	27.6312239225743	26.9255334910806	25.1313743753041	27.8897341595372	-0.7225132251793667	-0.14786747167500208
C3N-00959	22.9716358025199	LUAD	21.6083520463949	27.7838208358406	26.6171939636102	25.3530121905761	28.3617015495989	-0.12410295278677756	0.5086266092393243
C3N-02003	22.5151424908747	LUAD	23.3902665165258	29.5135845784855	28.1686083973445	26.8863656938099	28.5947006883325	1.1920330840233797	0.5438111642664456
C3N-00175		LUAD	22.343133777794	28.3058068236136	27.561829473889	25.8710527226207	27.9478403347345	-0.37179194072448146	0.007375764549713809
C3N-01823		LUAD	21.9018841404912	28.3241671444599	26.8993882571771	25.4621083802931	26.9710922784892	-0.6338971018325819	-0.44344822051874555
C3L-02549		LUAD	22.1147842739064	28.6010925572308	27.6507798118845	27.2664188469044	29.1142575408166	0.4935613151608277	2.139725850026558
