priority	year	pmid	pmcid	doi	first_author	journal	cancer	perturbation	model	data_pointer	cldn4_perturbation_profile	also_deposited	notes	title
breast	2015	25871476	PMC4484441	10.18632/oncotarget.3571	Cui YF	Oncotarget	breast	shRNA	MDA-MB-231 stable shRNA clones	UNDEPOSITED	UNDEPOSITED		No supplementary-material block and no repository accession in the PMC full text.	Claudin-4 is required for vasculogenic mimicry formation in human breast cancer cells.
breast	2015	26058359		10.3892/or.2015.4037	Ma X	Oncol Rep	breast	shRNA	MCF-7	UNDEPOSITED	UNDEPOSITED		Publisher PDF (10 pages) has no data-availability statement, no supplement, and no GEO/SRA/NODE accession.	Claudin-4 controls the proliferation, apoptosis, migration and in vivo growth of MCF-7 breast cancer cells.
breast	2019	30633912	PMC6363966	10.1016/j.cell.2018.11.046	Gkountela S	Cell	breast (CTC)	CRISPR knockout	BR16 CTC-derived cells; dual knockout of CLDN3 and CLDN4, plus CLDN4-only sgRNAs	SUPPLEMENT:PMC6363966	UNDEPOSITED	GSE111065 (CTC RNA-seq, not the knockout); PRJEB25101 (bisulfite sequencing, not the knockout)	Knockout is a functional experiment. Deposited RNA-seq and bisulfite data are single CTC vs CTC-cluster profiles. 14 supplements.	Circulating Tumor Cell Clustering Shapes DNA Methylation to Enable Metastasis Seeding.
breast	2023	37059993	PMC10105442	10.1186/s13058-023-01646-z	Murakami-Nishimagi Y	Breast Cancer Res	breast	CRISPR knockout	T47D:CLDN4-/- and MCF-7:CLDN4-/-, with add-back lines	GSE207704	DEPOSITED:GSE207704	PRJNA856719	Only cancer CLDN4-knockout expression matrix found for 2015-2026. GEO samples: T47D and MCF7, parental vs CLDN4-/-, two replicates each (8 samples). Supplements also exist at PMC10105442.	Claudin-4-adhesion signaling drives breast cancer metabolism and progression via liver X receptor β.
other	2017	28193196	PMC5307849	10.1186/s12885-017-3123-x	Pahle J	BMC Cancer	colorectal	siRNA	SW480 and HCT116; siRNA against claudin-4 and claudin-3	SUPPLEMENT:10.1186/s12885-017-3123-x	UNDEPOSITED		Journal supplementary files are listed as available to authorized users. Datasets otherwise upon request and IRB approval. No GEO/SRA/NODE.	Rapid eradication of colon carcinoma by Clostridium perfringens Enterotoxin suicidal gene therapy.
other	2017	28819095	PMC5561086	10.1038/s41467-017-00304-1	Song YX	Nat Commun	gastric	shRNA	SGC-7901, AGS, HGC-27 lentiviral LV3-sh-CLDN4	SUPPLEMENT:PMC5561086	UNDEPOSITED	GSE99417 (SuperSeries of GSE99415 miRNA and GSE99416 lncRNA/mRNA; paired gastric tumor vs adjacent, not shCLDN4); SRP106526 / PRJNA385549 (six cell-line RNA-seq runs, sample titles do not document an shCLDN4 contrast)	shRNA assays are functional and in the supplements (13 files). The deposited matrices are tumor and cell-line expression, not a CLDN4-knockdown contrast.	Non-coding RNAs participate in the regulatory network of CLDN4 via ceRNA mediated miRNA evasion.
other	2018	29447921		10.1016/j.humpath.2018.02.005	Liu Y	Hum Pathol	laryngeal squamous	silencing (shRNA/siRNA; reagent not opened)	HEp-2	UNDEPOSITED	UNDEPOSITED		Abstract: CLDN4 silencing restored migration and invasion after demethylation. No PMC full text. PubMed is not linked to GEO.	DNA demethylation of claudin-4 suppresses migration and invasion in laryngeal squamous carcinoma cells.
other	2019	31040910	PMC6481338	10.18632/oncotarget.26758	Nishiguchi Y	Oncotarget	gastric	knockdown	MKN74 and TMK-1	UNDEPOSITED	UNDEPOSITED		CLDN4 knockdown is compared with the 4D3 antibody in the same cells. No supplementary-material block and no repository accession.	Targeting claudin-4 enhances CDDP-chemosensitivity in gastric cancer.
other	2020	31856376		10.1113/EP088112	Luo J	Exp Physiol	gastric	shRNA	gastric cancer cell lines (highest and lowest CLDN4); pGIPZ sh-CLDN4	UNDEPOSITED	UNDEPOSITED		No PMC full text. PubMed is not linked to GEO. Publisher PDF was not retrievable (HTTP 403). Repository call is UNDEPOSITED.	CLDN4 silencing promotes proliferation and reduces chemotherapy sensitivity of gastric cancer cells through activation of the PI3K/Akt signalling pathway.
other	2020	32064037	PMC6996904	10.18632/oncotarget.27424	Nakashima C	Oncotarget	oral squamous	knockdown	oral squamous cell carcinoma cells (Figure 3C)	SUPPLEMENT:PMC6996904	UNDEPOSITED		One supplementary block. No repository accession.	Clostridium perfringens enterotoxin induces claudin-4 to activate YAP in oral squamous cell carcinomas.
other	2020	32269215	PMC7142083	10.1038/s41419-020-2422-3	Wang H	Cell Death Dis	hepatocellular	shRNA	HCC lines including SMMC7721 and HCCLM3; shCLDN4	SUPPLEMENT:PMC7142083	UNDEPOSITED		Three supplements (tables). No GEO/SRA/NODE for the knockdown.	Zinc finger protein 703 induces EMT and sorafenib resistance in hepatocellular carcinoma by transactivating CLDN4 expression.
other	2020	32481659	PMC7313056	10.3390/ijms21113840	Fujiwara-Tani R	Int J Mol Sci	colorectal (SSA/P with dysplasia)	knockdown	CLDN4 knockdown in Figure 4F. HCT116 and HT29 are named in the paper; the knockdown culture was not isolated as its own sentence	UNDEPOSITED	UNDEPOSITED		No supplementary-material block and no repository accession.	Role of Clostridium perfringens Enterotoxin on YAP Activation in Colonic Sessile Serrated Adenoma/Polyps with Dysplasia.
other	2020	33294297	PMC7689408	10.1016/j.omtn.2020.10.022	Ma ZH	Mol Ther Nucleic Acids	gastric	knockdown	SGC7901 and MGC803; CLDN4 knockdown used in rescue assays	SUPPLEMENT:PMC7689408	UNDEPOSITED		Supplements are Figures S1-S3, Table S1, and methods. Public gastric cohorts cited in the text (including GSE54397, GSE65801, GSE66229) are not this paper's knockdown deposit.	BTEB2-Activated lncRNA TSPEAR-AS2 Drives GC Progression through Suppressing GJA1 Expression and Upregulating CLDN4 Expression.
other	2021	34503203	PMC8431234	10.3390/cancers13174393	Pahle J	Cancers (Basel)	pancreatic	siRNA	MIA PaCa-2 and HUP-T3; siCldn4 and siCldn3	SUPPLEMENT:PMC8431234	UNDEPOSITED		Data presented are available on request. Supplements include the Cldn-dependence blot (Figure S2) and original westerns. No repository accession.	Effective Oncoleaking Treatment of Pancreatic Cancer by Claudin-Targeted Suicide Gene Therapy with Clostridium perfringens Enterotoxin (CPE).
other	2021	34887379	PMC8660803	10.1038/s41420-021-00776-7	Wang P	Cell Death Discov	endometrial	siRNA	endometrial cancer cells; two siRNAs against CLDN4. Ishikawa is named in the paper	SUPPLEMENT:PMC8660803	UNDEPOSITED		Four supplements (methods and tables). GSE17025 is a cited public cohort, not this siRNA.	SPTBN2 regulated by miR-424-5p promotes endometrial cancer progression via CLDN4/PI3K/AKT axis.
other	2021	35006480	PMC8607359	10.1186/s43556-021-00053-0	Liu Q	Mol Biomed	prostate	siRNA	PC3 and LNCaP; siCldn4 (also siCldn3)	UNDEPOSITED	UNDEPOSITED		Availability statement: listed in the manuscript. No supplementary-material block and no repository accession.	Knocking down claudin receptors leads to a decrease in prostate cancer cell migration, cell growth, cell viability and clonogenic cell survival.
other	2022	35418179	PMC9008023	10.1038/s41419-022-04788-8	Yan T	Cell Death Dis	glioblastoma	shRNA	GBM lines; lentiviral CLDN4 shRNA. U87, U251, and LN229 are named in the paper	SUPPLEMENT:PMC9008023	UNDEPOSITED		Data that support the findings are available from the corresponding author upon reasonable request. Seven supplements. No repository accession.	TGF-β induces GBM mesenchymal transition through upregulation of CLDN4 and nuclear translocation to activate TNF-α/NF-κB signal pathway.
other	2022	35742959	PMC9224287	10.3390/ijms23126516	Maesaka F	Int J Mol Sci	bladder	siRNA	bladder cancer cells; CLDN4 siRNA in Figure 4. T24 is named in the paper	UNDEPOSITED	UNDEPOSITED		Data-availability statement: not applicable. No supplementary-material block and no repository accession.	Hypomethylation of CLDN4 Gene Promoter Is Associated with Malignant Phenotype in Urinary Bladder Cancer.
other	2022	35760010		10.1016/j.bbrc.2022.06.031	Hao S	Biochem Biophys Res Commun	acute myeloid leukemia	knockdown	AML cells	UNDEPOSITED	UNDEPOSITED		No PMC full text. PubMed is not linked to GEO. Closed full text, so a journal supplement was not opened.	CLDN4 promotes growth of acute myeloid leukemia cells via regulating AKT and ERK1/2 signaling.
other	2023	37427351	PMC10326656	10.3892/ol.2023.13921	Zhu J	Oncol Lett	cervical	CRISPR of the CLDN4 promoter (not a CDS knockout)	cervical cancer cells; sgRNA against the Twist1-binding E-box1 of the CLDN4 promoter	SUPPLEMENT:PMC10326656	UNDEPOSITED		This edits a promoter element to lower CLDN4; it is not a CLDN4 coding-sequence knockout. Twist1 siRNA is a separate perturbation. Data upon reasonable request. Two supplements.	Twist1-mediated transcriptional activation of Claudin-4 promotes cervical cancer cell migration and invasion.
other	2025	40592346	PMC12281411	10.1016/j.xcrm.2025.102208	Xu M	Cell Rep Med	hepatocellular	knockdown	HCC cells including MHCC97H	SUPPLEMENT:PMC12281411	UNDEPOSITED	CNP0006650	CNP0006650 is the paper's single-cell RNA-seq in the China National GeneBank, not the CLDN4-knockdown contrast. Knockdown data are in the figures/supplements (Figures S1-S11, Table S1, Table S2).	CLDN4 palmitoylation promotes hepatic-to-biliary lineage transition and lenvatinib resistance in hepatocellular carcinoma.
other	2026	42020735	PMC13253352	10.1038/s41586-026-10375-0	White MT	Nature	colorectal	CRISPR knockout, plus a genome-wide CRISPR screen	HT29 C4-KO (and C3-KO)	PRJNA1424384	UNDEPOSITED	10.5281/zenodo.18557106	Data availability: CRISPR screen reads are in SRA PRJNA1424384 and Zenodo 10.5281/zenodo.18557106. That deposit is the genome-wide screen, not a CLDN4-knockout transcriptome. C4-KO HT29 phenotyping is in the paper and 14 supplements.	A pro-carcinogenic bacterial toxin binds claudin-4 to cleave E-cadherin.
