gene	in_gocc_go0005923	in_reactome_r_hsa_420029	in_canonical_additions	a9_slide_gene	OncoSG_LUAD_present	OncoSG_LUAD_rho	OncoSG_LUAD_log2FC	OncoSG_LUAD_welch_fdr	OncoSG_LUAD_call	CPTAC_LUAD_RNA_present	CPTAC_LUAD_RNA_rho	CPTAC_LUAD_RNA_log2FC	CPTAC_LUAD_RNA_welch_fdr	CPTAC_LUAD_RNA_call	GSE31210_LUAD_present	GSE31210_LUAD_rho	GSE31210_LUAD_log2FC	GSE31210_LUAD_welch_fdr	GSE31210_LUAD_call	n_cohorts_tested	n_cohorts_pass	recur_2of3	recur_3of3
CLMP	True	False	False	False	True	-0.5009248669882155	-1.0190701754385965	3.1973549452270296e-07	no-call	True	-0.010012961397805734	-0.0011351351351365224	0.9956508236777412	no-call	True	-0.20934284563304872	-0.4303050429121775	0.028642381293156643	no-call	3	0	False	False
CYTH1	True	False	False	False	True	-0.32862031801069347	-0.6757526315789475	0.00149931153960294	no-call	True	0.14394369774269897	0.1013216216216204	0.46493839742732657	no-call	True	-0.08415994178264655	-0.06555476285979189	0.35947148911746796	no-call	3	0	False	False
DDX58	True	False	False	False	True	-0.17895317174259567	-0.40160000000000007	0.07698341704467283	no-call	True	0.16768896812573234	0.1888891891891884	0.38929309398248074	no-call	True	0.02186113601808896	0.006850380224614483	0.955465997926917	no-call	3	0	False	False
DLG1	True	False	False	False	True	-0.055799099870168824	-0.07179298245614033	0.7623212877048875	no-call	True	0.08112982130616407	0.018091891891891976	0.9528667754807607	no-call	True	0.03895312723350616	0.03346519535322123	0.5553685937503521	no-call	3	0	False	False
ECT2	True	False	False	False	True	0.005937049375963404	0.08217719298245615	0.7454981853545817	no-call	True	-0.15499196390711759	-0.14403783783784085	0.5471426066312471	no-call	True	0.035517263784387874	0.033300024149921725	0.8651722451228022	no-call	3	0	False	False
EPPK1	True	False	False	False	False				absent	True	-0.010995823030613451	0.002386486486487982	0.9956508236777412	no-call	True	0.13831143685106495	0.28721203864342293	0.13743786810463499	no-call	2	0	False	False
FRMD4A	True	False	False	False	True	-0.588434190244145	-1.3388543859649125	6.33908788136446e-11	no-call	True	-0.030118526481701585	-0.04618378378378374	0.7895996575203656	no-call	True	-0.350117604251946	-0.5258975001572459	2.3200168590093285e-06	no-call	3	0	False	False
FRMPD2	True	False	False	False	True	0.01593534954507319	-0.047814035087719316	0.8493729475355649	no-call	True	-0.0870141492104846	-0.6506837837837836	0.2866681498340524	no-call	False				absent	2	0	False	False
IGSF5	True	False	False	False	True	-0.06493863012539228	-0.1864280701754386	0.4470253459884252	no-call	True	-0.1878175160583065	-0.31351891891891914	0.47214436488236383	no-call	True	0.043951502865385364	-0.008879642085402928	0.9607371137698656	no-call	3	0	False	False
JAM2	False	False	True	False	True	-0.36645662380892496	-0.9822385964912281	2.4687277879566588e-06	no-call	True	0.06212877034100725	0.009640540540543086	0.9956508236777412	no-call	True	-0.25759671487791247	-0.6947877698156244	0.0001060660586136813	no-call	3	0	False	False
JAM3	True	False	False	False	True	-0.4984212619959226	-1.060726315789474	3.1973549452270296e-07	no-call	True	0.057354359959245135	-0.03305945945945865	0.9770088170530649	no-call	True	-0.28388600834275474	-0.38148545325612204	0.0003274238410117434	no-call	3	0	False	False
JAML	True	False	False	False	True	-0.2942643329521158	-0.6198017543859649	0.006199566289769801	no-call	True	0.20634552097489856	0.3716972972972954	0.2129350452820311	no-call	True	-0.15149039023819733	-0.31487386609364343	0.06507945455531175	no-call	3	0	False	False
MAGI2	True	False	False	False	True	0.0018770821938242754	0.027831578947368433	0.9039878082313608	no-call	True	-0.03732423257466484	-0.13075405405405327	0.5484732707051818	no-call	True	-0.03233506166101387	-0.013269611589606711	0.9546145759180746	no-call	3	0	False	False
MTDH	True	False	False	False	True	-0.18889176874088026	-0.392919298245614	0.07386822609589465	no-call	True	-0.2438477890214103	-0.2086972972972969	0.07446699183224573	no-call	True	-0.10477512247735632	-0.08517981331530322	0.14528040311389617	no-call	3	0	False	False
PALS1	False	True	False	False	True	-0.09628064243448861	-0.25116842105263154	0.264498369969212	no-call	True	0.1684893253000795	0.17810810810810906	0.13129796953351183	no-call	False				absent	2	0	False	False
PARD6G	False	True	False	False	True	-0.3527596837551589	-0.7683210526315789	0.00018881512781079323	no-call	True	-0.2767144470474337	-0.24368918918918858	0.13129796953351183	no-call	True	-0.20745078164593972	-0.3025151602048872	0.002183406608319812	no-call	3	0	False	False
PRKCI	False	True	False	False	True	0.1383944970380265	0.25124736842105266	0.29553120904779173	no-call	True	0.080287380137274	-0.033005405405408084	0.930924463800989	no-call	True	0.20059880706405211	0.16222697125447105	0.11722139172736039	no-call	3	0	False	False
RAB13	True	False	False	False	True	0.0787056834568147	0.12937719298245615	0.5769026569665496	no-call	True	-0.00952885484314799	-0.04892702702702678	0.7358021033140315	no-call	True	0.10966434057151768	0.05458868946771034	0.40791471298335524	no-call	3	0	False	False
RAP2C	True	False	False	False	True	-0.1427850430112874	-0.18265438596491224	0.4470253459884252	no-call	True	0.1720499194643189	0.2602702702702704	0.09225132588807529	no-call	True	0.03411796811040506	0.05185607050633756	0.5079101152006832	no-call	3	0	False	False
RAPGEF2	True	False	False	False	True	-0.275692407140371	-0.6236052631578948	0.00149931153960294	no-call	True	0.23016264899856395	0.1488675675675708	0.12140148556151842	no-call	True	0.0656010811794212	0.04307476656009612	0.5066733475816549	no-call	3	0	False	False
SH3BP1	True	False	False	False	True	-0.22473287301286787	-0.42546842105263155	0.04785391173612429	no-call	True	-0.07571659137836205	-0.1973054054054053	0.4190719139634137	no-call	True	-0.0588759372604057	-0.1058920521431519	0.5548638541886053	no-call	3	0	False	False
SHROOM2	True	False	False	False	True	0.13448361593157976	0.20188070175438597	0.4237542516816553	no-call	True	-0.11196793702846355	-0.1762729729729724	0.511402115376411	no-call	True	0.12789884734838147	0.0989534188040544	0.5082811594494228	no-call	3	0	False	False
TBCD	True	False	False	False	True	0.004217843604150039	-0.005901754385964894	0.9756039793177753	no-call	True	-0.2517436805781188	-0.276232432432435	0.06154664687826368	no-call	True	0.11355658648785623	0.03157923970814025	0.7493811464424387	no-call	3	0	False	False
TGFBR1	True	False	False	False	True	-0.3366316940977575	-0.6860578947368422	0.0006842589755092106	no-call	True	0.06893232560215835	0.06671351351351085	0.7760469556652121	no-call	True	-0.15852949202760125	-0.11012494691968477	0.1701618049010669	no-call	3	0	False	False
UBN1	True	False	False	False	True	-0.27572489913790016	-0.5499649122807018	0.008320704105272882	no-call	True	0.03599905329002309	0.059181081081078446	0.6745538977945671	no-call	True	0.028494795524540952	0.056687010229623525	0.5012023670229615	no-call	3	0	False	False
WNK3	True	False	False	False	True	-0.08726092004631426	-0.24378771929824564	0.29553120904779173	no-call	True	-0.12886443402064615	-0.5351351351351354	0.23027693310145234	no-call	True	-0.01810299793380375	-0.013669473480649508	0.8903980097818142	no-call	3	0	False	False
WNK4	True	False	False	False	True	0.015918300510643538	-0.07435789473684207	0.7623212877048875	no-call	True	-0.00039672879078867884	0.035154054054055806	0.9855710568713485	no-call	True	-0.019308928826686417	-0.05139202765801709	0.8651722451228022	no-call	3	0	False	False
