interaction_name	direction	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_q1	median_q4	delta_median	mwu_u	p	r_rb
HLA-C_CD8B	outgoing	MHC-I	HLA-C	CD8B	HLA-C	CD8B	other	9	6	15	2	1.2296390570700169	1.5881838202476501	0.3585447631776333	33.0	0.5286713286713286	0.22222222222222232
HLA-E_KLRK1	outgoing	MHC-I	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	5	11	2	0.7741967886686325	0.5342945456504822	-0.23990224301815033	11.0	0.5367965367965368	-0.2666666666666667
CD99_CD99	outgoing	CD99	CD99	CD99	CD99	CD99	other	9	8	17	2	0.901403933763504	0.8112224191427231	-0.09018151462078094	29.0	0.5414232825997531	-0.19444444444444442
LGALS9_CD45	outgoing	GALECTIN	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	9	7	16	2	1.3209048509597778	1.3639328368008137	0.04302798584103584	37.0	0.6064685314685315	0.17460317460317465
LGALS9_P4HB	outgoing	GALECTIN	LGALS9	P4HB	LGALS9	P4HB	inhibitory	9	7	16	2	0.21113183349370954	0.2534022927284241	0.042270459234714536	37.0	0.6064685314685315	0.17460317460317465
LGALS9_CD44	outgoing	GALECTIN	LGALS9	CD44	LGALS9	CD44	inhibitory	9	7	16	2	0.681076891720295	0.6706595569849014	-0.010417334735393524	37.0	0.6064685314685315	0.17460317460317465
JAM1_ITGAL_ITGB2	outgoing	JAM	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	8	7	15	2	0.5386671079398333	0.6893748363403773	0.15070772840054403	33.0	0.6125874125874127	0.1785714285714286
HLA-DOA_CD4	outgoing	MHC-II	HLA-DOA	CD4	HLA-DOA	CD4	other	4	3	7	2	0.21783422317821532	0.348512202501297	0.13067797932308167	8.0	0.6285714285714286	0.33333333333333326
HLA-DRA_CD4	outgoing	MHC-II	HLA-DRA	CD4	HLA-DRA	CD4	other	6	5	11	2	0.7181756347417831	0.8472849912941456	0.12910935655236244	18.0	0.6623376623376623	0.19999999999999996
FN1_CD44	outgoing	FN1	FN1	CD44	FN1	CD44	other	3	7	10	2	0.5805315859615803	0.4861515909433365	-0.09437999501824379	13.0	0.6666666666666666	0.23809523809523814
COL1A1_CD44	outgoing	COLLAGEN	COL1A1	CD44	COL1A1	CD44	other	3	7	10	2	0.5796343791298568	0.6601404398679733	0.0805060607381165	13.0	0.6666666666666666	0.23809523809523814
LAMA3_ITGA1_ITGB1	outgoing	LAMININ	LAMA3	ITGA1_ITGB1	LAMA3	ITGB1|ITGA1	other	4	4	8	2	0.2558915444834466	0.1827686162018401	-0.07312292828160649	6.0	0.6857142857142857	-0.25
CXCL16_CXCR6	outgoing	CXCL	CXCL16	CXCR6	CXCL16	CXCR6	recruit	4	4	8	2	0.423915583640337	0.354411443695426	-0.069504139944911	6.0	0.6857142857142857	-0.25
HLA-E_CD8B	outgoing	MHC-I	HLA-E	CD8B	HLA-E	CD8B	inhibitory	9	6	15	2	0.934799425303936	0.9857750833034515	0.05097565799951553	31.0	0.6889110889110889	0.14814814814814814
NECTIN3_TIGIT	outgoing	NECTIN	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	3	3	6	2	0.5839912388473749	0.3412631396204233	-0.2427280992269516	3.0	0.7	-0.33333333333333337
JAG1_NOTCH1	outgoing	NOTCH	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	2	0.0526793804019689	0.11736664548516273	0.06468726508319383	6.0	0.7	0.33333333333333326
CCL5_CCR5	outgoing	CCL	CCL5	CCR5	CCL5	CCR5	recruit	3	3	6	2	0.0573730543255806	0.1029566822107881	0.045583627885207506	6.0	0.7	0.33333333333333326
LAMC1_ITGA1_ITGB1	outgoing	LAMININ	LAMC1	ITGA1_ITGB1	LAMC1	ITGB1|ITGA1	other	5	4	9	2	0.23332185694881322	0.19179768175946854	-0.041524175189344675	8.0	0.7301587301587302	-0.19999999999999996
LAMB2_CD44	outgoing	LAMININ	LAMB2	CD44	LAMB2	CD44	other	5	7	12	2	0.57709846412763	0.5493233352899551	-0.027775128837674856	20.0	0.7550505050505051	0.1428571428571428
HLA-B_CD8A	outgoing	MHC-I	HLA-B	CD8A	HLA-B	CD8A	other	9	7	16	2	1.6423833668231964	1.870651364326477	0.22826799750328064	28.0	0.7576923076923078	-0.11111111111111116
HLA-A_CD8B	outgoing	MHC-I	HLA-A	CD8B	HLA-A	CD8B	other	9	6	15	2	1.3670263811945915	1.8002034001983702	0.4331770190037787	30.0	0.7756243756243756	0.11111111111111116
HLA-F_CD8B	outgoing	MHC-I	HLA-F	CD8B	HLA-F	CD8B	inhibitory	9	6	15	2	0.33197346702218056	0.46120836958289146	0.1292349025607109	30.0	0.7756243756243756	0.11111111111111116
IGFBP3_TMEM219	outgoing	IGFBP	IGFBP3	TMEM219	IGFBP3	TMEM219	other	5	3	8	2	0.33692533895373344	0.2239466086030006	-0.11297873035073283	6.0	0.7857142857142857	-0.19999999999999996
HLA-DPA1_CD4	outgoing	MHC-II	HLA-DPA1	CD4	HLA-DPA1	CD4	other	6	5	11	2	0.5067098513245583	0.5733320899307728	0.06662223860621452	17.0	0.7922077922077921	0.1333333333333333
HLA-DPB1_CD4	outgoing	MHC-II	HLA-DPB1	CD4	HLA-DPB1	CD4	other	6	5	11	2	0.41172224283218384	0.46836574748158455	0.05664350464940071	17.0	0.7922077922077921	0.1333333333333333
HLA-DRB1_CD4	outgoing	MHC-II	HLA-DRB1	CD4	HLA-DRB1	CD4	other	6	5	11	2	0.6527636423707008	0.6206079730764031	-0.032155669294297695	17.0	0.7922077922077921	0.1333333333333333
CLEC2D_KLRB1	outgoing	CLEC	CLEC2D	KLRB1	CLEC2D	KLRB1	other	5	5	10	2	0.2150710672140121	0.1456584706902504	-0.0694125965237617	11.0	0.8412698412698413	-0.12
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	6	8	14	2	0.35636490519251934	0.30056880444062206	-0.05579610075189728	26.0	0.8518148518148518	0.08333333333333326
PVR_CD226	outgoing	PVR	PVR	CD226	PVR	CD226	barrier|inhibitory	3	4	7	2	0.06117928773164749	0.0690543036907911	0.00787501595914361	5.0	0.8571428571428571	-0.16666666666666663
APP_CD74	outgoing	APP	APP	CD74	APP	CD74	other	9	9	18	2	1.068271443247795	1.6631291806697845	0.5948577374219894	43.0	0.859819205054158	0.06172839506172845
LAMA5_CD44	outgoing	LAMININ	LAMA5	CD44	LAMA5	CD44	other	8	8	16	2	0.6096107661724091	0.5741949612274766	-0.03541580494493246	34.0	0.8784770784770783	0.0625
MICA_NKG2D_HCST	outgoing	MHC-I	MICA	NKG2D_HCST	MICA	KLRK1|HCST	recruit	4	4	8	2	0.46993287145386375	0.39511435581606935	-0.0748185156377944	7.0	0.8857142857142857	-0.125
LGALS9_HAVCR2	outgoing	GALECTIN	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	5	4	9	2	0.32458561658859253	0.23145552352070808	-0.09313009306788445	11.0	0.9047619047619049	0.10000000000000009
HLA-A_CD8A	outgoing	MHC-I	HLA-A	CD8A	HLA-A	CD8A	other	9	7	16	2	1.6841439604759216	2.0053103864192963	0.32116642594337463	33.0	0.9181818181818182	0.04761904761904767
PPIA_BSG	outgoing	CypA	PPIA	BSG	PPIA	BSG	other	9	9	18	2	1.6092997640371323	1.5166146159172058	-0.09268514811992645	42.0	0.9296365245070707	0.03703703703703698
HLA-DMB_CD4	outgoing	MHC-II	HLA-DMB	CD4	HLA-DMB	CD4	other	6	5	11	2	0.23969458695501086	0.14728125184774396	-0.0924133351072669	16.0	0.9307359307359306	0.06666666666666665
HLA-DQA1_CD4	outgoing	MHC-II	HLA-DQA1	CD4	HLA-DQA1	CD4	other	6	5	11	2	0.30668266490101814	0.32742397859692574	0.020741313695907593	16.0	0.9307359307359306	0.06666666666666665
HLA-DMA_CD4	outgoing	MHC-II	HLA-DMA	CD4	HLA-DMA	CD4	other	6	6	12	2	0.3578077396377921	0.24823761917650697	-0.10957012046128514	17.0	0.9372294372294373	-0.05555555555555558
LAMC2_CD44	outgoing	LAMININ	LAMC2	CD44	LAMC2	CD44	other	7	6	13	2	0.6190225705504417	0.61151965521276	-0.00750291533768177	22.0	0.9452214452214451	0.04761904761904767
HLA-B_CD8B	outgoing	MHC-I	HLA-B	CD8B	HLA-B	CD8B	other	9	6	15	2	1.5382716357707977	1.461803674697876	-0.07646796107292175	28.0	0.9546453546453546	0.03703703703703698
FN1_ITGA4_ITGB1	outgoing	FN1	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	3	7	10	2	0.3115087191208642	0.2486353284466583	-0.06287339067420589	11.0	0.9999999999999999	0.04761904761904767
FN1_ITGA4_ITGB7	outgoing	FN1	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	3	7	10	2	0.1339388000825934	0.1446942875269247	0.010755487444331302	11.0	0.9999999999999999	0.04761904761904767
HLA-C_CD8A	outgoing	MHC-I	HLA-C	CD8A	HLA-C	CD8A	other	9	7	16	2	1.5443349480628967	2.0444491803646088	0.500114232301712	32.0	1.0	0.015873015873015817
LAMC1_CD44	outgoing	LAMININ	LAMC1	CD44	LAMC1	CD44	other	6	8	14	2	0.6103643607348204	0.5101486062631011	-0.10021575447171926	24.0	1.0	0.0
HLA-DRB5_CD4	outgoing	MHC-II	HLA-DRB5	CD4	HLA-DRB5	CD4	other	4	3	7	2	0.36895402148365974	0.4303681328892708	0.06141411140561104	6.0	1.0	0.0
LPAR2_ADGRE5	outgoing	ADGRE	LPAR2	ADGRE5	LPAR2	ADGRE5	other	6	6	12	2	0.24233200307935476	0.19965836778283116	-0.0426736352965236	18.0	1.0	0.0
LAMA5_ITGA1_ITGB1	outgoing	LAMININ	LAMA5	ITGA1_ITGB1	LAMA5	ITGB1|ITGA1	other	5	4	9	2	0.325791588294586	0.28823519249495094	-0.037556395799635045	10.0	1.0	0.0
LPAR1_ADGRE5	outgoing	ADGRE	LPAR1	ADGRE5	LPAR1	ADGRE5	other	3	3	6	2	0.25085134617984295	0.26955563947558403	0.01870429329574108	5.0	1.0	0.11111111111111116
HLA-E_CD8A	outgoing	MHC-I	HLA-E	CD8A	HLA-E	CD8A	inhibitory	9	7	16	2	1.2519170045852661	1.2479647099971771	-0.003952294588088989	31.0	1.0	-0.015873015873015928
