interaction_name	direction	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_cohorts	median_q1	median_q4	delta_median	mwu_u	p	r_rb
CDH1_KLRG1	outgoing	CDH1	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	6	6	12	2	0.061223129478643674	0.11534921233544851	0.054126082856804834	26.0	0.24025974025974026	0.4444444444444444
LAMA3_CD44	outgoing	LAMININ	LAMA3	CD44	LAMA3	CD44	other	6	5	11	2	0.06256025915284347	0.1276112864312742	0.06505102727843073	21.0	0.32900432900432897	0.3999999999999999
CLEC2B_KLRB1	outgoing	CLEC	CLEC2B	KLRB1	CLEC2B	KLRB1	other	6	3	9	2	0.048345240379010945	0.01232245801529117	-0.03602278236371977	5.0	0.38095238095238093	-0.4444444444444444
COL1A1_CD44	outgoing	COLLAGEN	COL1A1	CD44	COL1A1	CD44	other	3	7	10	2	0.06900881275823592	0.3342180469923561	0.26520923423412013	15.0	0.3833333333333333	0.4285714285714286
HLA-F_CD8A	outgoing	MHC-I	HLA-F	CD8A	HLA-F	CD8A	inhibitory	9	6	15	2	0.25470900741673574	0.5650618161720335	0.3103528087552978	35.0	0.38841158841158835	0.2962962962962963
HLA-DQB1_CD4	outgoing	MHC-II	HLA-DQB1	CD4	HLA-DQB1	CD4	other	6	5	11	2	0.10354680431968064	0.1426873459598968	0.03914054164021616	20.0	0.42857142857142855	0.33333333333333326
LAMB2_CD44	outgoing	LAMININ	LAMB2	CD44	LAMB2	CD44	other	5	7	12	2	0.0307122183928472	0.0791698082401399	0.048457589847292704	23.0	0.4318181818181819	0.3142857142857143
NECTIN2_CD226	outgoing	NECTIN	NECTIN2	CD226	NECTIN2	CD226	barrier|inhibitory	7	5	12	2	0.029529372101428	0.0288782681414319	-0.0006511039599961001	23.0	0.4318181818181819	0.3142857142857143
APP_SORL1	outgoing	APP	APP	SORL1	APP	SORL1	other	6	7	13	2	0.14636293926212157	0.1992627107234674	0.052899771461345835	27.0	0.4452214452214452	0.2857142857142858
MIF_CD74_CXCR4	outgoing	MIF	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	6	7	13	2	0.8928835961737721	0.8619536131077477	-0.030929983066024458	15.0	0.4452214452214452	-0.2857142857142857
APP_CD74	outgoing	APP	APP	CD74	APP	CD74	other	9	9	18	2	0.51487812579469	0.7941655737397089	0.2792874479450189	49.0	0.47992869214595724	0.2098765432098766
LPAR2_ADGRE5	outgoing	ADGRE	LPAR2	ADGRE5	LPAR2	ADGRE5	other	6	6	12	2	0.013669671911330065	0.0527360068163859	0.03906633490505583	23.0	0.48484848484848486	0.2777777777777777
HLA-E_KLRK1	outgoing	MHC-I	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	5	11	2	0.3843683177667701	0.311157615592615	-0.0732107021741551	11.0	0.5367965367965368	-0.2666666666666667
CD99_CD99	outgoing	CD99	CD99	CD99	CD99	CD99	other	9	8	17	2	0.5143432581948325	0.5205262409169225	0.006182982722089947	30.0	0.6058412176059235	-0.16666666666666663
LGALS9_CD45	outgoing	GALECTIN	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	9	7	16	2	0.3440531829960553	0.6275967481944859	0.28354356519843055	37.0	0.6064685314685315	0.17460317460317465
JAM1_ITGAL_ITGB2	outgoing	JAM	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	8	7	15	2	0.3387158361797453	0.4078923983637033	0.06917656218395796	33.0	0.6125874125874127	0.1785714285714286
HLA-DMB_CD4	outgoing	MHC-II	HLA-DMB	CD4	HLA-DMB	CD4	other	6	5	11	2	0.025257454809223062	0.0310054519356379	0.005747997126414838	18.0	0.6623376623376623	0.19999999999999996
FN1_ITGA4_ITGB1	outgoing	FN1	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	3	7	10	2	0.03817646681199108	0.03034066498903321	-0.007835801822957868	8.0	0.6666666666666666	-0.23809523809523814
FN1_ITGA4_ITGB7	outgoing	FN1	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	3	7	10	2	0.015528444732239997	0.0086455926075513	-0.006882852124688697	8.0	0.6666666666666666	-0.23809523809523814
LGALS9_CD44	outgoing	GALECTIN	LGALS9	CD44	LGALS9	CD44	inhibitory	9	7	16	2	0.1848900164043407	0.4112540672790311	0.2263640508746904	36.0	0.6805944055944056	0.1428571428571428
COL6A1_CD44	outgoing	COLLAGEN	COL6A1	CD44	COL6A1	CD44	other	4	4	8	2	0.1678686045331698	0.23937708901572627	0.07150848448255648	10.0	0.6857142857142857	0.25
CCL5_CCR5	outgoing	CCL	CCL5	CCR5	CCL5	CCR5	recruit	3	3	6	2	0.00511256086339071	0.0019179648358333494	-0.0031945960275573605	3.0	0.7	-0.33333333333333337
LAMB3_ITGA1_ITGB1	outgoing	LAMININ	LAMB3	ITGA1_ITGB1	LAMB3	ITGB1|ITGA1	other	5	4	9	2	0.043199344539562645	0.13794187108426081	0.09474252654469817	12.0	0.7301587301587302	0.19999999999999996
LAMC1_ITGA1_ITGB1	outgoing	LAMININ	LAMC1	ITGA1_ITGB1	LAMC1	ITGB1|ITGA1	other	5	4	9	2	0.0217986698760281	0.049739551361068654	0.027940881485040554	12.0	0.7301587301587302	0.19999999999999996
LAMA5_ITGA1_ITGB1	outgoing	LAMININ	LAMA5	ITGA1_ITGB1	LAMA5	ITGB1|ITGA1	other	5	4	9	2	0.11183646092097248	0.09970685973276272	-0.012129601188209757	8.0	0.7301587301587302	-0.19999999999999996
HLA-F_CD8B	outgoing	MHC-I	HLA-F	CD8B	HLA-F	CD8B	inhibitory	9	6	15	2	0.1158265696928405	0.19183525459693432	0.07600868490409382	30.0	0.7756243756243756	0.11111111111111116
FN1_CD44	outgoing	FN1	FN1	CD44	FN1	CD44	other	3	7	10	2	0.07874003010289055	0.0772403203281175	-0.0014997097747730392	9.0	0.8333333333333333	-0.1428571428571429
LGALS9_P4HB	outgoing	GALECTIN	LGALS9	P4HB	LGALS9	P4HB	inhibitory	9	7	16	2	0.0650023280506798	0.09578173303735395	0.03077940498667414	34.0	0.8370629370629371	0.0793650793650793
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	6	8	14	2	0.17965242424742117	0.1432948671834704	-0.036357557063950774	26.0	0.8518148518148518	0.08333333333333326
HLA-DRB5_CD4	outgoing	MHC-II	HLA-DRB5	CD4	HLA-DRB5	CD4	other	4	3	7	2	0.20653053138928107	0.20482715975622848	-0.0017033716330525916	5.0	0.8571428571428571	-0.16666666666666663
HLA-C_CD8B	outgoing	MHC-I	HLA-C	CD8B	HLA-C	CD8B	other	9	6	15	2	0.3605313268538985	0.43729496034374626	0.07676363348984777	29.0	0.8639360639360639	0.07407407407407418
HLA-A_CD8B	outgoing	MHC-I	HLA-A	CD8B	HLA-A	CD8B	other	9	6	15	2	0.3780180685307163	0.4384933533205715	0.0604752847898552	29.0	0.8639360639360639	0.07407407407407418
CXCL16_CXCR6	outgoing	CXCL	CXCL16	CXCR6	CXCL16	CXCR6	recruit	4	4	8	2	0.13685450937331628	0.1381170195952675	0.0012625102219512296	9.0	0.8857142857142857	0.125
CDH1_ITGAE_ITGB7	outgoing	CDH1	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	7	7	14	2	0.0701522552858341	0.064466528756805	-0.0056857265290291	26.0	0.9015151515151516	0.061224489795918435
PVR_TIGIT	outgoing	PVR	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	3	6	9	2	0.04283131230996501	0.05484383685378695	0.012012524543821942	8.0	0.9047619047619047	-0.11111111111111116
LGALS9_HAVCR2	outgoing	GALECTIN	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	5	4	9	2	0.04181349812966822	0.058824521237072484	0.017011023107404266	9.0	0.9047619047619049	-0.09999999999999998
HLA-B_CD8A	outgoing	MHC-I	HLA-B	CD8A	HLA-B	CD8A	other	9	7	16	2	0.7467572128851948	0.8316442269540822	0.08488701406888743	30.0	0.9181818181818182	-0.04761904761904767
HLA-A_CD8A	outgoing	MHC-I	HLA-A	CD8A	HLA-A	CD8A	other	9	7	16	2	0.7873824012946553	0.8235658485072538	0.036183447212598474	33.0	0.9181818181818182	0.04761904761904767
HLA-E_CD8A	outgoing	MHC-I	HLA-E	CD8A	HLA-E	CD8A	inhibitory	9	7	16	2	0.7148707612305748	0.7165608790163029	0.0016901177857281402	33.0	0.9181818181818182	0.04761904761904767
PPIA_BSG	outgoing	CypA	PPIA	BSG	PPIA	BSG	other	9	9	18	2	0.6137675201569776	0.5890568772731174	-0.024710642883860157	39.0	0.9296365245070707	-0.03703703703703709
HLA-DPB1_CD4	outgoing	MHC-II	HLA-DPB1	CD4	HLA-DPB1	CD4	other	6	5	11	2	0.24517611219596697	0.15713423631189855	-0.08804187588406842	14.0	0.9307359307359306	-0.06666666666666665
HLA-DMA_CD4	outgoing	MHC-II	HLA-DMA	CD4	HLA-DMA	CD4	other	6	6	12	2	0.14076952300912332	0.10128988616314634	-0.03947963684597698	19.0	0.9372294372294373	0.05555555555555558
HLA-B_CD8B	outgoing	MHC-I	HLA-B	CD8B	HLA-B	CD8B	other	9	6	15	2	0.4267304530861363	0.44536469432680664	0.01863424124067037	28.0	0.9546453546453546	0.03703703703703698
HLA-E_CD8B	outgoing	MHC-I	HLA-E	CD8B	HLA-E	CD8B	inhibitory	9	6	15	2	0.3014102250067266	0.3094645442099872	0.008054319203260607	28.0	0.9546453546453546	0.03703703703703698
HLA-DRA_CD4	outgoing	MHC-II	HLA-DRA	CD4	HLA-DRA	CD4	other	6	5	11	2	0.44804124831906944	0.2830886155779606	-0.16495263274110883	15.0	1.0	0.0
HLA-DRB1_CD4	outgoing	MHC-II	HLA-DRB1	CD4	HLA-DRB1	CD4	other	6	5	11	2	0.3644432067478558	0.2403510308534887	-0.12409217589436711	15.0	1.0	0.0
HLA-DPA1_CD4	outgoing	MHC-II	HLA-DPA1	CD4	HLA-DPA1	CD4	other	6	5	11	2	0.2939519499161467	0.2076292141700531	-0.08632273574609362	15.0	1.0	0.0
HLA-C_CD8A	outgoing	MHC-I	HLA-C	CD8A	HLA-C	CD8A	other	9	7	16	2	0.7683247711676646	0.828228396427542	0.05990362525987736	32.0	1.0	0.015873015873015817
NECTIN3_TIGIT	outgoing	NECTIN	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	3	3	6	2	0.0947986129650195	0.0393450722633841	-0.0554535407016354	5.0	1.0	0.11111111111111116
HLA-DQA1_CD4	outgoing	MHC-II	HLA-DQA1	CD4	HLA-DQA1	CD4	other	6	5	11	2	0.1316938729669766	0.10922476176204221	-0.02246911120493439	15.0	1.0	0.0
LPAR1_ADGRE5	outgoing	ADGRE	LPAR1	ADGRE5	LPAR1	ADGRE5	other	3	3	6	2	0.019567035586661684	0.0050460791526562	-0.014520956434005484	5.0	1.0	0.11111111111111116
IGFBP3_TMEM219	outgoing	IGFBP	IGFBP3	TMEM219	IGFBP3	TMEM219	other	5	3	8	2	0.0792026417220633	0.0893436840733276	0.010141042351264298	8.0	1.0	0.06666666666666665
LAMA3_ITGA1_ITGB1	outgoing	LAMININ	LAMA3	ITGA1_ITGB1	LAMA3	ITGB1|ITGA1	other	4	4	8	2	0.02244788028855732	0.027542036785828727	0.005094156497271407	8.0	1.0	0.0
JAG1_NOTCH1	outgoing	NOTCH	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	2	0.0050700029748159	0.00984266070042025	0.004772657725604349	5.0	1.0	0.11111111111111116
CLEC2D_KLRB1	outgoing	CLEC	CLEC2D	KLRB1	CLEC2D	KLRB1	other	5	5	10	2	0.008902781032863804	0.0042228410487157	-0.004679939984148104	12.0	1.0	-0.040000000000000036
PVR_CD226	outgoing	PVR	PVR	CD226	PVR	CD226	barrier|inhibitory	3	4	7	2	0.0062056643509108	0.009053373954186327	0.002847709603275527	6.0	1.0	0.0
LAMB2_ITGA1_ITGB1	outgoing	LAMININ	LAMB2	ITGA1_ITGB1	LAMB2	ITGB1|ITGA1	other	4	4	8	2	0.009757151855399684	0.011516614351617091	0.0017594624962174073	8.0	1.0	0.0
