dataset,unit_id,tissue,arm,mal_CLDN4_pct,mal_CLDN4_mean,frac_tnk
GSE205335,P1015,LN,low,41.5807560137457,1.01379491643033,0.39581589958159
GSE205335,P1016,"Liver,LN",mid,82.6461769115442,1.69304935632742,0.110196418255344
GSE205335,P1017,"Liver,LN",mid,64.3183897529735,1.55462084717452,0.378231726779445
GSE205335,P1018,Bronchus,mid,67.0338983050847,2.10443933372545,0.506263670709883
GSE205335,P1025,LN,high,92.8571428571429,2.31069442860223,0.104746317512275
GSE205335,P1027,LN,mid,78.0728376327769,2.17399784893951,0.569347826086957
GSE205335,P1030,LN,mid,61.6915422885572,1.48410735953157,0.16260162601626
GSE205335,P1037,LN,high,86.0528466357941,1.19727181814975,0.122616897451335
GSE205335,P1056,"Liver,LN",mid,49.7066219614417,0.996685692136604,0.265334117185969
GSE205335,P1062,LN,low,45.2127659574468,1.37911187125204,0.63264638534511
GSE205335,P1063,"Bronchus,LN",low,35.1145038167939,0.692850004756864,0.731673260414243
GSE205335,P1072,LN,mid,58.8669950738916,1.47284263818116,0.460329929300864
GSE205335,P1076,LN,mid,59.3639575971731,1.30621351041308,0.299498207885305
GSE205335,P1079,LN,mid,51.3812154696133,1.17643176882325,0.392325763508222
GSE205335,P1084,LN,high,86.734693877551,2.98159000218484,0.664968873797397
GSE205335,P1089,LN,high,87.7704609595484,2.27182772593754,0.169049098819142
GSE205335,P1090,LN,low,38.1625441696113,0.744988766586046,0.253073770491803
GSE205335,P1115,Liver,high,88.8829928362961,1.36793347316764,0.0616329315442347
GSE205335,P1119,LN,low,36.088379705401,0.867936628428789,0.260268231349539
GSE205335,P4001,Lung,mid,48.1481481481481,0.806690964854553,0.780329289428076
GSE189357,TD1,TUMOR,mid,56.1299176578225,0.967497154130165,0.651616719242902
GSE189357,TD2,TUMOR,low,35.6255178127589,0.530643475450382,0.627435783879539
GSE189357,TD3,TUMOR,mid,48.0421686746988,0.698126853844705,0.515484278717017
GSE189357,TD4,TUMOR,low,30.3462321792261,0.510868625763501,0.603606668935012
GSE189357,TD5,TUMOR,mid,36.8663594470046,0.536022779231881,0.579432884323078
GSE189357,TD6,TUMOR,high,63.5012386457473,1.13970175467227,0.376930770085565
GSE189357,TD7,TUMOR,mid,36.6313309776207,0.451117392165666,0.527801539777588
GSE189357,TD8,TUMOR,mid,45.3385672227674,0.682588084031096,0.46756007989176
GSE189357,TD9,TUMOR,high,78.5641235426468,1.28682118992394,0.24725431059011
