gene_a	gene_b	GSE123902__p	GSE123902__fold	GSE123902__k	GSE123902__draw	GSE131907__p	GSE131907__fold	GSE131907__k	GSE131907__draw	GSE205335__p	GSE205335__fold	GSE205335__k	GSE205335__draw	GSE189357__p	GSE189357__fold	GSE189357__k	GSE189357__draw	concordant_4of4
JUN	MUC1	2.851175117566277e-154	1.5827067669172932	842	1064	3.599687796280164e-152	1.2645971914264598	3422	5412	3.408197988746449e-298	1.5082754938601175	2825	3746	0.0	1.5358040201005025	2445	3184	False
JUN	GPRC5A	7.445621188189272e-149	1.6727688787185355	731	874	2.3731089841453573e-157	1.4085503053680488	2191	3111	0.0	1.6905549430356486	2300	2721	0.0	1.580992022199098	2279	2883	False
JUN	CLDN3	5.8291039099197375e-180	1.7876106194690264	707	791	1.860422871699621e-186	1.5427807486631016	1731	2244	0.0	1.446888965280165	4209	5818	0.0	1.721731448763251	1949	2264	False
JUN	ZFP36L1	4.267350210233062e-93	1.4245858761987795	817	1147	3.4182293490040326e-144	1.271976401179941	3234	5085	1.3533223589407466e-270	1.3720715735104225	3719	5421	6.255928649854645e-220	1.2998137802607077	2792	4296	False
JUN	KRT19	3.602269822750174e-143	1.5230635335073976	875	1149	1.284834586352712e-161	1.4472252448313385	1995	2757	0.0	1.4033044846577498	4459	6355	3.7538662937601587e-239	1.335140463282405	2709	4058	False
JUN	RHOB	2.8861782457476016e-105	1.4760147601476015	800	1084	1.8313143596014695e-138	1.3495934959349594	2407	3567	4.7342030655e-313	1.3506944444444444	4279	6336	1.5964543402900511e-264	1.345128453708192	2775	4126	False
JUN	EPCAM	4.576127773136217e-182	1.6485436893203884	849	1030	1.042706010406984e-183	1.3545048223947307	2879	4251	0.0	1.3421124083627478	4943	7366	0.0	1.5485655029381264	2240	2893	False
JUN	APLP2	3.422805658184125e-124	1.472620050547599	874	1187	2.3844773963144194e-155	1.297467029516433	3099	4777	4.999947050889729e-305	1.3828125	3894	5632	5.646893109717513e-268	1.4068270844991606	2514	3574	False
JUN	SPINT2	1.2850589213093126e-156	1.558325912733749	875	1123	3.953590878659904e-181	1.3463841547673883	2923	4342	0.0	1.3131921039961483	5455	8308	0.0	1.4720187518312335	2512	3413	False
JUN	ATF3	6.90227600438648e-90	1.4796747967479675	728	984	1.5962488095159708e-128	1.367816091954023	2142	3132	0.0	1.3774613753408058	4547	6602	2.450533894882522e-258	1.3766851704996035	2604	3783	False
JUN	CLDN7	2.7015680109949617e-168	1.7046223224351746	756	887	3.990506579554886e-201	1.3782608695652174	2853	4140	0.0	1.548992673992674	3383	4368	0.0	1.6712208021154693	1896	2269	False
JUN	TM4SF1	1.2765250230475262e-109	1.5356037151702786	744	969	1.151901938289255e-72	1.5724137931034483	684	870	6.964394298571402e-260	1.5520868680013573	2287	2947	2.621163073419788e-280	1.527086383601757	2086	2732	True
JUN	IER2	2.1113141927666036e-76	1.450207468879668	699	964	4.39781714704684e-164	1.388663967611336	2401	3458	0.0	1.3173578346163397	5305	8054	1.2097026884751896e-138	1.1968215158924205	2937	4908	False
JUN	TMBIM6	2.3772071329044475e-98	1.3638376383763837	924	1355	1.2813024521654478e-167	1.310970464135021	3107	4740	0.0	1.3043036689094833	5137	7877	4.360115435572899e-185	1.2773227240814415	2729	4273	False
JUN	LGALS3BP	6.470638875304036e-134	1.5	873	1164	1.1372750011252332e-137	1.3488633174291327	2403	3563	0.0	1.3837285902503293	4201	6072	1.2079471715915696e-300	1.4917662253793995	2310	3097	False
JUN	CEBPD	5.338023698489942e-103	1.4398625429553265	838	1164	1.1327408989019204e-111	1.2763653483992468	2711	4248	0.0	1.407459044963402	4038	5738	0.0	1.4078780177890724	2770	3935	False
SOX4	TACSTD2	1.9689449512846004e-145	1.7429718875502007	651	747	6.1514254737832e-271	1.5347334410339257	2375	3095	0.0	1.6216073781291171	3077	3795	0.0	1.6561345917111203	2018	2437	True
SOX4	MUC1	2.8265394233226723e-166	1.6079545454545454	849	1056	5.9581856576393655e-146	1.2411905576462539	3628	5846	1.086653807887486e-298	1.5089500400748064	2824	3743	4.26055e-318	1.649170031404217	1838	2229	False
SOX4	GPRC5A	1.4989453205004684e-153	1.6780045351473922	740	882	1.5623932026081559e-152	1.37048620983793	2410	3517	0.0	1.6936050597329586	2410	2846	3.7972110405168654e-297	1.6611810261374638	1716	2066	False
SOX4	CLDN3	2.6752118026566867e-178	1.7777777777777777	712	801	6.725924968734796e-183	1.50767987065481	1865	2474	0.0	1.4215500945179584	4136	5819	0.0	1.7894736842105263	1547	1729	False
SOX4	ZFP36L1	2.4090982219172335e-125	1.5353728489483747	803	1046	1.1932675141752735e-125	1.2375045603794235	3392	5482	3.533412157279256e-282	1.3883513564788466	3659	5271	8.395376598514132e-256	1.504950495049505	2052	2727	False
SOX4	KRT19	8.705589260972551e-176	1.5963963963963963	886	1110	6.055819688324305e-147	1.3848531684698608	2240	3235	0.0	1.3841661258922777	4266	6164	3.7889063188198496e-297	1.5585996955859969	2048	2628	False
SOX4	RHOB	1.4718497980248486e-129	1.5637450199203187	785	1004	4.2704964137187334e-163	1.3652058432934926	2570	3765	1.787686723744495e-296	1.3630357445366763	4023	5903	3.984095629442198e-279	1.5376506024096386	2042	2656	False
SOX4	EPCAM	1.3087550618704628e-195	1.675146771037182	856	1022	1.226166543715783e-155	1.2989690721649485	3087	4753	9.208348289658602e-308	1.305329844374053	4739	7261	2.771525883066e-312	1.6766698935140367	1732	2066	False
SOX4	APLP2	6.556421911601247e-155	1.5492957746478873	880	1136	3.0794578745340407e-149	1.2720262193946406	3299	5187	9.637277463142951e-280	1.359182966937857	3926	5777	1.460643123005737e-261	1.562135112593828	1873	2398	False
SOX4	SPINT2	2.5364771541608675e-192	1.639740018570102	883	1077	1.5396045332984536e-152	1.2948073701842546	3092	4776	0.0	1.2754562920268973	5311	8328	3.50618988843523e-309	1.619128949615713	1896	2342	False
SOX4	ATF3	3.185641211119299e-116	1.5857461024498887	712	898	5.690030332659291e-150	1.3799283154121864	2310	3348	0.0	1.3769860375541647	4290	6231	2.5610848349745113e-269	1.5571717171717172	1927	2475	False
SOX4	CLDN7	7.031646298389637e-177	1.7162011173184357	768	895	3.979934500540847e-179	1.320310859063222	3143	4761	0.0	1.522435174746336	3376	4435	1.6751358262416143e-300	1.7433217189314751	1501	1722	False
SOX4	TM4SF1	1.8256604555773922e-120	1.5573770491803278	760	976	1.0816347078924506e-94	1.624203821656051	765	942	2.5456468945874656e-269	1.5526924347538817	2350	3027	8.143655034693513e-252	1.6222664015904573	1632	2012	True
SOX4	IER2	2.351121374158448e-106	1.5831381733021077	676	854	7.3787097804923225e-180	1.4169166166766647	2362	3334	0.0	1.334214002642008	5050	7570	2.140344252523716e-233	1.4684080480056476	2080	2833	False
SOX4	TMBIM6	9.572728755386914e-145	1.488259109311741	919	1235	8.983539192482982e-153	1.277323998444185	3284	5142	2.77947221346e-313	1.2881531298499742	4980	7732	2.604312786965929e-234	1.4910313901345291	1995	2676	False
SOX4	LGALS3BP	3.3337398652709716e-151	1.5360556038227628	884	1151	3.4371990431317986e-125	1.3164225941422594	2517	3824	1.2422293223276905e-270	1.3454668014829794	3992	5934	7.377043446130248e-275	1.6216216216216217	1740	2146	False
SOX4	CEBPD	7.360347106804919e-126	1.5071942446043165	838	1112	1.2195435277318787e-102	1.2513204225352113	2843	4544	0.0	1.4046528022559042	3985	5674	2.0813002140596356e-272	1.5378729915837797	2010	2614	False
TACSTD2	MUC1	4.482551435630916e-141	1.725593667546174	654	758	9.459980898793813e-286	1.459795867562858	2932	4017	0.0	1.7183431952662722	2178	2535	0.0	1.6477104874446085	2231	2708	False
TACSTD2	GPRC5A	8.710371397985395e-146	1.7727272727272727	624	704	4.012743215524908e-254	1.5592849325063844	2137	2741	0.0	1.7434234234234234	2419	2775	0.0	1.6428289213749505	2079	2531	True
TACSTD2	CLDN3	4.789731846768351e-155	1.8430141287284145	587	637	1.7635545815007153e-236	1.645193260654113	1660	2018	0.0	1.6974789915966386	2323	2737	0.0	1.7780952380952382	1867	2100	True
TACSTD2	ZFP36L1	1.0765816305573515e-126	1.7281831187410586	604	699	7.297234442259596e-268	1.4940802772162864	2587	3463	0.0	1.6169167803547067	2963	3665	0.0	1.5981999357119898	2486	3111	False
TACSTD2	KRT19	8.387216620432519e-151	1.7269279393173198	683	791	1.0230463613675455e-241	1.5601217656012176	2050	2628	0.0	1.5554448043857463	3121	4013	0.0	1.611543450064851	2485	3084	True
TACSTD2	RHOB	3.516091618442979e-128	1.7314285714285715	606	700	5.781386536172062e-239	1.5876718034152437	1906	2401	0.0	1.7009721756620853	2537	2983	0.0	1.6134236850596966	2500	3099	True
TACSTD2	EPCAM	1.8270059118462488e-155	1.7559055118110236	669	762	9.936166314812731e-248	1.4816122388937922	2518	3399	0.0	1.606738309613709	2766	3443	0.0	1.6597412779302234	2117	2551	False
TACSTD2	APLP2	9.585377815894334e-140	1.7048346055979644	670	786	4.266491576681187e-282	1.4836795252225519	2750	3707	0.0	1.642220304860512	2855	3477	0.0	1.6119298245614035	2297	2850	False
TACSTD2	SPINT2	2.3894123103201667e-154	1.737913486005089	683	786	1.7706159143364137e-223	1.4498567335243553	2530	3490	0.0	1.563355408388521	3541	4530	0.0	1.6497373029772329	2355	2855	False
TACSTD2	ATF3	2.0187658286630476e-119	1.764135702746365	546	619	4.1580661025197066e-234	1.58153078202995	1901	2404	0.0	1.73301117487164	2869	3311	0.0	1.6262975778546713	2350	2890	True
TACSTD2	CLDN7	2.1962993433143003e-149	1.7715877437325904	636	718	2.186349069849e-311	1.543796711509716	2582	3345	0.0	1.692632850241546	2803	3312	0.0	1.7159090909090908	1812	2112	True
TACSTD2	TM4SF1	1.3163073746065462e-118	1.723625557206538	580	673	4.230131764641946e-106	1.6140350877192982	874	1083	1.1139e-319	1.645294338207724	2194	2667	0.0	1.6708754208754208	1985	2376	True
TACSTD2	IER2	5.355642628650513e-115	1.789103690685413	509	569	1.9648598213359198e-227	1.587012987012987	1833	2310	0.0	1.6570841889117043	3228	3896	0.0	1.5863565891472868	2558	3225	True
TACSTD2	TMBIM6	1.492616972774714e-144	1.6921212121212121	698	825	1.4273581621636976e-259	1.4703296703296704	2676	3640	0.0	1.5804584394535772	3413	4319	0.0	1.591549295774648	2486	3124	False
TACSTD2	LGALS3BP	3.886688035128366e-139	1.7058823529411764	667	782	7.659264499919076e-182	1.4896710022953328	1947	2614	0.0	1.6334093500570126	2865	3508	0.0	1.626865671641791	2180	2680	False
TACSTD2	CEBPD	7.362315442681781e-120	1.6968011126564673	610	719	8.013799405254091e-226	1.4890322580645161	2308	3100	0.0	1.6437980241492864	2995	3644	0.0	1.619078947368421	2461	3040	False
MUC1	GPRC5A	1.2838704386323785e-151	1.6615044247787611	751	904	6.733149884091629e-106	1.2398614224577136	3042	4907	1.035056688115903e-300	1.6586164551780598	2026	2443	0.0	1.6417525773195876	1911	2328	False
MUC1	CLDN3	7.060971791472434e-184	1.7951959544879899	710	791	1.2018270505359418e-173	1.4091589344507633	2354	3341	1.2e-322	1.583463827121829	2528	3193	0.0	1.7619047619047619	1702	1932	False
MUC1	ZFP36L1	3.4382580761849015e-131	1.5695695695695695	784	999	1.2323608803365318e-79	1.13364299933643	4271	7535	1.960581311276044e-299	1.5867158671586716	2365	2981	0.0	1.5796045785639958	2277	2883	False
MUC1	KRT19	4.287629599464164e-171	1.5818505338078293	889	1124	8.884616531761271e-132	1.298204709722546	2784	4289	5.902796185409082e-296	1.5276038702333523	2684	3514	0.0	1.6022767698327998	2252	2811	False
MUC1	RHOB	1.320805824183808e-150	1.623069001029866	788	971	5.1614128945723316e-132	1.2772823779193205	3008	4710	1.7827564485679205e-298	1.5621672408393361	2494	3193	0.0	1.5871812543073742	2303	2902	False
MUC1	EPCAM	1.7546422767535135e-191	1.650853889943074	870	1054	3.297886799215485e-112	1.1930538172715894	3813	6392	7.457954077387558e-253	1.4737127371273713	2719	3690	0.0	1.6427969671440608	1950	2374	False
MUC1	APLP2	2.818907448314948e-153	1.5414123801220576	884	1147	2.953509325090741e-83	1.1401136056261834	4215	7394	7.414537372349062e-262	1.5058479532163742	2575	3420	0.0	1.5935198821796759	2164	2716	False
MUC1	SPINT2	2.2837140861813578e-178	1.5939447907390918	895	1123	2.3268428962820458e-105	1.1838620264859872	3844	6494	8.073326546657296e-259	1.4516608824987605	2928	4034	0.0	1.640636846095527	2164	2638	False
MUC1	ATF3	2.3756970586858808e-129	1.6438679245283019	697	848	1.3526041371617224e-73	1.2105492589363558	2777	4588	0.0	1.6057877813504824	2497	3110	0.0	1.601960045231813	2125	2653	False
MUC1	CLDN7	2.3354898831509763e-168	1.6877729257641922	773	916	1.1492114744992308e-110	1.1862909367859862	3894	6565	0.0	1.6269430051813472	2355	2895	0.0	1.7118126272912424	1681	1964	False
MUC1	TM4SF1	5.470518319910013e-128	1.5642570281124497	779	996	6.98351988810755e-96	1.526395173453997	1012	1326	3.9080505032522574e-241	1.5920195439739413	1955	2456	0.0	1.671294223018361	1866	2233	True
MUC1	IER2	2.7176047105912887e-124	1.6713735558408216	651	779	9.601057817066596e-151	1.3229092632077706	2792	4221	0.0	1.541678129298487	2802	3635	0.0	1.5486432825943084	2340	3022	False
MUC1	TMBIM6	2.951790266110411e-159	1.5214521452145215	922	1212	1.117039554826884e-112	1.1709437666526434	4175	7131	1.1013963035528491e-241	1.4438801422041645	2843	3938	0.0	1.5704929334712168	2278	2901	False
MUC1	LGALS3BP	2.273882962646166e-157	1.5389888603256212	898	1167	2.851236473436929e-77	1.1816723123551436	3314	5609	1.2751618616214819e-251	1.5165315034310667	2431	3206	4.895331e-317	1.5936633663366337	2012	2525	False
MUC1	CEBPD	1.0186593518598817e-131	1.5368814192343605	823	1071	6.66514804868754e-43	1.1177114272315147	3575	6397	8.134908575273415e-298	1.5621079046424091	2490	3188	0.0	1.5915395284327323	2295	2884	False
GPRC5A	CLDN3	8.08499361383123e-162	1.8158273381294965	631	695	2.595230769259726e-160	1.4845961698584513	1783	2402	0.0	1.767504488330341	1969	2228	7.7739866e-317	1.784445805266381	1457	1633	False
GPRC5A	ZFP36L1	4.039184423258342e-138	1.68944099378882	680	805	5.3836411833192866e-95	1.2536893886156009	2676	4269	0.0	1.6952521163047478	2303	2717	0.0	1.609084139985108	2161	2686	False
GPRC5A	KRT19	8.097920044418983e-163	1.6851441241685143	760	902	6.323684920251952e-159	1.4119547657512117	2185	3095	0.0	1.6787065703474373	2440	2907	0.0	1.6186770428015564	2080	2570	False
GPRC5A	RHOB	6.523777897590348e-147	1.7157232704402516	682	795	3.217637657495785e-139	1.4022750775594623	2034	2901	0.0	1.725074246924056	2033	2357	0.0	1.6300623052959502	2093	2568	False
GPRC5A	EPCAM	9.427059808757804e-163	1.694915254237288	750	885	1.5496520108974134e-126	1.3204755614266843	2499	3785	0.0	1.6918855350842807	2158	2551	1.99510178e-315	1.656121045392022	1806	2181	False
GPRC5A	APLP2	3.6712151566513388e-155	1.667034178610805	756	907	7.100252875128007e-115	1.2725209893351486	2804	4407	0.0	1.6784565916398715	2349	2799	5.39594e-318	1.5990396158463385	1998	2499	False
GPRC5A	SPINT2	1.6300478893366762e-166	1.6906077348066297	765	905	1.3924717868651428e-134	1.3319160244485784	2506	3763	0.0	1.6595191682910981	2554	3078	0.0	1.6440536013400335	1963	2388	False
GPRC5A	ATF3	5.405765351331499e-131	1.7131258457374832	633	739	1.2148102008229794e-97	1.3158388003748829	2106	3201	0.0	1.7776845637583893	2119	2384	0.0	1.6369609856262834	1993	2435	False
GPRC5A	CLDN7	4.55060211237315e-155	1.740127388535032	683	785	5.237204108180891e-128	1.3052218681049277	2662	4079	0.0	1.7500952380952381	2297	2625	3.291773760236922e-290	1.7267508610792193	1504	1742	False
GPRC5A	TM4SF1	4.313341333949454e-124	1.6608040201005025	661	796	4.721166113620964e-109	1.6151761517615175	894	1107	9.07078187e-316	1.6730690641601962	2047	2447	8.58681555312183e-310	1.6922300706357214	1677	1982	True
GPRC5A	IER2	3.8010152595352803e-126	1.736842105263158	594	684	6.379715260878485e-166	1.4572901325478644	1979	2716	0.0	1.7214728399562522	2361	2743	0.0	1.596484804101062	2180	2731	False
GPRC5A	TMBIM6	7.86943179861791e-153	1.6284829721362228	789	969	1.1912210980873794e-142	1.3247460985880604	2674	4037	0.0	1.644517184942717	2512	3055	0.0	1.5959059893858984	2105	2638	False
GPRC5A	LGALS3BP	6.759681176910584e-150	1.6457883369330453	762	926	8.525138989891996e-94	1.3143588103613688	2055	3127	0.0	1.6839126919967664	2083	2474	3.6062002781077263e-293	1.6154521510096576	1840	2278	False
GPRC5A	CEBPD	1.989497232778346e-135	1.6580188679245282	703	848	5.145259562347491e-58	1.219750406945198	2248	3686	0.0	1.6999276934201013	2351	2766	0.0	1.621998450813323	2094	2582	False
CLDN3	ZFP36L1	1.543770969208537e-165	1.8097902097902099	647	715	2.5435106266963704e-170	1.4457914790439903	2087	2887	0.0	1.523469387755102	2986	3920	0.0	1.738543174143753	1802	2073	False
CLDN3	KRT19	6.065486089826522e-190	1.7842424242424242	736	825	3.2746426295964494e-152	1.4599761051373954	1833	2511	0.0	1.5143715143715144	3530	4662	0.0	1.7259259259259259	1864	2160	False
CLDN3	RHOB	4.6117291483359095e-169	1.8158995815899581	651	717	7.469574220552935e-162	1.5495125705489994	1510	1949	0.0	1.520642713679982	3407	4481	0.0	1.7458977965307079	1862	2133	True
CLDN3	EPCAM	4.1611572107612225e-191	1.783132530120482	740	830	3.1881848172681984e-156	1.405560882070949	2199	3129	0.0	1.4193216855087358	4143	5838	0.0	1.7752318603382433	1627	1833	False
CLDN3	APLP2	3.1341382269578116e-198	1.8078817733990147	734	812	6.720244644891077e-181	1.4404414151249594	2219	3081	0.0	1.4692874692874693	3289	4477	0.0	1.753125	1683	1920	False
CLDN3	SPINT2	2.000341557524005e-192	1.7855421686746988	741	830	1.459729376948781e-154	1.4078648033799155	2166	3077	0.0	1.414453781512605	4208	5950	0.0	1.7484092021536954	1786	2043	False
CLDN3	ATF3	6.38308807914019e-151	1.8243451463790448	592	649	4.7662410165210907e-129	1.4893401015228427	1467	1970	0.0	1.5344057193923146	3434	4476	0.0	1.751891074130106	1737	1983	False
CLDN3	CLDN7	1.902594108827408e-182	1.8250336473755047	678	743	1.6856475359532218e-177	1.4329698524695318	2234	3118	0.0	1.595836947094536	2760	3459	0.0	1.797530864197531	1456	1620	False
CLDN3	TM4SF1	3.4052003188690975e-154	1.7965616045845272	627	698	5.5560321475128166e-61	1.608628659476117	522	649	2.7476175134012366e-259	1.6068855084067253	2007	2498	1.842e-320	1.762261973456434	1527	1733	True
CLDN3	IER2	2.7540793610944427e-159	1.875	570	608	5.3646858630589624e-167	1.558641975308642	1515	1944	0.0	1.4837525243253167	4041	5447	0.0	1.7174721189591078	1848	2152	False
CLDN3	TMBIM6	1.1666504597143047e-187	1.7563805104408352	757	862	3.761267155050441e-160	1.4116137311517485	2200	3117	0.0	1.4344054933140586	3969	5534	0.0	1.7432496447181431	1840	2111	False
CLDN3	LGALS3BP	2.3832002016450115e-186	1.778857837181045	732	823	1.1904943634202408e-122	1.4211822660098523	1731	2436	0.0	1.5422762211753038	3110	4033	0.0	1.7441985968699407	1616	1853	False
CLDN3	CEBPD	4.793370578528206e-174	1.7878395860284606	691	773	1.1551806034162244e-140	1.456221198156682	1738	2387	0.0	1.510071775874045	3261	4319	0.0	1.747498808956646	1834	2099	False
ZFP36L1	KRT19	1.0689572782289828e-133	1.5504761904761906	814	1050	2.75859889339086e-110	1.302387979608264	2427	3727	8.573171633362479e-243	1.3894957983193277	3307	4760	7.648211212482659e-294	1.4413472706155632	2482	3444	False
ZFP36L1	RHOB	6.281771477192196e-106	1.5182186234817814	750	988	3.882878417124462e-123	1.2844373137749254	2802	4363	6.354067662649687e-246	1.4283674440742504	3001	4202	2.2771406091028825e-285	1.4126066611615744	2566	3633	False
ZFP36L1	EPCAM	3.446568343577866e-165	1.6720257234726688	780	933	2.9896206591040937e-122	1.225727304591658	3497	5706	1.608620688237469e-290	1.4309533988884138	3347	4678	0.0	1.6004548900682336	2111	2638	False
ZFP36L1	APLP2	1.718743777369819e-112	1.4793536804308798	824	1114	1.7703672113603134e-80	1.158247108947048	3806	6572	9.127109449247057e-289	1.4424404364284125	3239	4491	1.3091592178750123e-286	1.4662921348314606	2349	3204	False
ZFP36L1	SPINT2	1.0386822167886828e-147	1.5933202357563852	811	1018	7.121487704299527e-111	1.2113695090439276	3516	5805	1.918939482257498e-307	1.376515413924489	3974	5774	0.0	1.5268467295802148	2346	3073	False
ZFP36L1	ATF3	9.397895654741215e-91	1.5284738041002277	671	878	5.866853637819517e-81	1.2430966469428009	2521	4056	6.279085e-318	1.455492835432045	3352	4606	3.359277496572951e-277	1.4420137848366796	2406	3337	False
ZFP36L1	CLDN7	3.4147569359917183e-153	1.7128953771289537	704	822	4.396357955698337e-114	1.2138807764988833	3533	5821	0.0	1.5902090209020903	2891	3636	0.0	1.6923076923076923	1771	2093	False
ZFP36L1	TM4SF1	1.0024745328195042e-96	1.5278688524590165	699	915	7.966144547249637e-84	1.547378104875805	841	1087	4.5612480755835e-243	1.5353741496598639	2257	2940	6.232741118835419e-272	1.5546687948922586	1948	2506	True
ZFP36L1	IER2	1.3647632398909432e-84	1.5114155251141552	662	876	1.1244913827105161e-151	1.3416496945010183	2635	3928	4.032826237827352e-278	1.3782632845769303	3722	5401	2.7290843508275e-203	1.3084295895797493	2662	4069	False
ZFP36L1	TMBIM6	3.315553192583176e-94	1.3959514170040486	862	1235	9.217085776077513e-105	1.1843367899705928	3826	6461	1.7387501112837518e-259	1.3551268310110753	3793	5598	2.4760517786654578e-241	1.3725701943844493	2542	3704	False
ZFP36L1	LGALS3BP	1.676468895049764e-117	1.4968094804010939	821	1097	3.634975353694996e-86	1.2138542086186066	3014	4966	5.02352982578062e-235	1.4072212065813527	3079	4376	3.5542365e-316	1.5436858860983376	2182	2827	False
ZFP36L1	CEBPD	1.4159873779273018e-85	1.4275229357798165	778	1090	7.784335004794678e-46	1.1333789329685362	3314	5848	3.626832634363265e-289	1.4156798693344221	3467	4898	0.0	1.4540295119182747	2562	3524	False
KRT19	RHOB	2.6055764006198474e-150	1.6043737574552683	807	1006	7.459474242623953e-155	1.4680679062247373	1816	2474	7.98e-321	1.4306277489004398	3578	5002	0.0	1.5127183573398713	2468	3263	False
KRT19	EPCAM	4.346823361975052e-202	1.655813953488372	890	1075	9.488173149874139e-94	1.2642874968804592	2533	4007	3.56e-322	1.368369190343242	4166	6089	0.0	1.6216216216216217	2130	2627	False
KRT19	APLP2	6.787451603014884e-158	1.5384615384615385	900	1170	1.2643797710856544e-132	1.3213552361396304	2574	3896	1.4e-322	1.4411522633744855	3502	4860	5.074320237618429e-301	1.4939993512812195	2303	3083	False
KRT19	SPINT2	1.1500493046900074e-174	1.5625531914893618	918	1175	2.220592887919088e-98	1.2758444216990787	2493	3908	1.027822639445e-312	1.3111513295280524	4709	7183	4.711173e-318	1.4917057902973396	2383	3195	False
