pair	axis	family	expect	split	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	p_W	observed	agrees
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	median	41	7	13	17	4	0.00324243623884033	0.000131989850964246	high>low	yes
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	median	44	8	14	17	5	0.00379279851621842	0.000265386839049733	high>low	yes
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	median	2	1	1	0	0	0.000153266212492831	0.371093369522698	high>low	opposite
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	median	10	2	5	3	0	-4.01142171919832e-05	0.262192602406773	low>high	yes
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	median	2	0	1	1	0	2.55190382313781e-05	1	high>low	opposite
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	median	1	0	0	1	0	-5.63212503118022e-05	NA	low>high	yes
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	median	48	9	16	15	8	-0.00118573084788989	0.865613378187753	low>high	yes
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	median	49	9	16	16	8	-0.000758110469124814	0.795920996075038	low>high	yes
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	median	49	9	16	16	8	-0.000449343541860993	0.381377008739655	low>high	yes
FAMILY_barrier_inhibitory	family	barrier_inhibitory	high>low	median	57	10	18	20	9	0.00234373833333652	1.06179885156613e-08	high>low	yes
FAMILY_ifn_recruit_mhci	family	ifn_recruit_mhci	low>high	median	50	9	16	17	8	-0.000398318989640804	0.650041817202782	low>high	yes
JAM1_ITGAL_ITGB2	F11R	barrier_inhibitory	high>low	pctpos	42	5	12	16	9	0.00868864367659099	1.70889304776126e-08	high>low	yes
NECTIN2_TIGIT	NECTIN2-TIGIT	barrier_inhibitory	high>low	pctpos	52	8	17	19	8	0.00599868017258495	1.69921422072549e-09	high>low	yes
CDH1_ITGAE_ITGB7	CDH1	barrier_inhibitory	high>low	pctpos	43	6	15	18	4	0.0048613561682832	2.03716165918574e-08	high>low	yes
CDH1_KLRG1	CDH1	barrier_inhibitory	high>low	pctpos	33	2	10	17	4	0.00279882931475217	5.64472371695364e-07	high>low	yes
LGALS9_HAVCR2	LGALS9	barrier_inhibitory	high>low	pctpos	22	5	8	8	1	0.00240896346645441	0.00163735996027698	high>low	yes
LGALS9_CD44	LGALS9	barrier_inhibitory	high>low	pctpos	42	7	14	17	4	0.00946836936648444	2.91997232347107e-06	high>low	yes
LGALS9_CD45	LGALS9	barrier_inhibitory	high>low	pctpos	45	8	15	17	5	0.0120222602924514	2.51501042695988e-06	high>low	yes
CXCL9_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	pctpos	2	1	1	0	0	0.000111050085609328	0.371093369522698	high>low	opposite
CXCL10_CXCR3	CXCL9/10-CXCR3	ifn_recruit_mhci	low>high	pctpos	9	2	4	3	0	0.00019011007610075	0.123534253752569	high>low	opposite
CCL5_CCR5	CCL5	ifn_recruit_mhci	low>high	pctpos	2	0	1	1	0	4.43495715839266e-05	1	high>low	opposite
CCL5_CCR1	CCL5	ifn_recruit_mhci	low>high	pctpos	1	0	0	1	0	-5.63212503118022e-05	NA	low>high	yes
HLA-A_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	pctpos	48	9	16	15	8	0.00565275490080754	0.000537006551243558	high>low	opposite
HLA-B_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	pctpos	49	9	16	16	8	0.00579658680185027	0.000830899034277886	high>low	opposite
HLA-C_CD8A	HLA-CD8	ifn_recruit_mhci	low>high	pctpos	49	9	16	16	8	0.00655488010298024	0.000156846022685587	high>low	opposite
FAMILY_barrier_inhibitory	family	barrier_inhibitory	high>low	pctpos	57	10	18	20	9	0.00609506511989709	4.46075196703232e-10	high>low	yes
FAMILY_ifn_recruit_mhci	family	ifn_recruit_mhci	low>high	pctpos	50	9	16	17	8	0.00598070749642407	0.000305812133392178	high>low	opposite
