interaction_name	pathway_name	annotation	direction	ligand	receptor	ligand_genes	receptor_genes	ligand_class	prob_high	prob_low	delta_prob	pval_high	pval_low	sig_high	sig_low	contrast	dataset	kept_split
MDK_ITGA4_ITGB1	MK	Secreted Signaling	outgoing	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	0.2854935838468997	0.2275998760553603	0.0578937077915394	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
CLEC2B_KLRB1	CLEC	Cell-Cell Contact	outgoing	CLEC2B	KLRB1	CLEC2B	KLRB1	other	0.0700182310461324	0.0338912796369758	0.0361269514091566	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-E_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-E	CD8A	HLA-E	CD8A	inhibitory	0.2841340545834986	0.2536114039496474	0.0305226506338512	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-C_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-C	CD8A	HLA-C	CD8A	other	0.3488645041517707	0.3187666077179176	0.0300978964338531	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
LGALS9_CD44	GALECTIN	Secreted Signaling	outgoing	LGALS9	CD44	LGALS9	CD44	inhibitory	0.0222010638383897	0.0	0.0222010638383897	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-B_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-B	CD8A	HLA-B	CD8A	other	0.4306480593027381	0.4091901275739162	0.0214579317288218	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
NECTIN2_TIGIT	NECTIN	Cell-Cell Contact	outgoing	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	0.0337343064250932	0.0138406957473072	0.019893610677786	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
CD55_ADGRE5	ADGRE	Cell-Cell Contact	outgoing	CD55	ADGRE5	CD55	ADGRE5	other	0.0772397597511771	0.0578299149556101	0.0194098447955669	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-F_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-F	CD8A	HLA-F	CD8A	inhibitory	0.0509429430841463	0.0336965732719353	0.0172463698122109	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
COL1A1_CD44	COLLAGEN	ECM-Receptor	outgoing	COL1A1	CD44	COL1A1	CD44	other	0.070974328443348	0.057510368918624	0.0134639595247239	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
JAM1_ITGAL_ITGB2	JAM	Cell-Cell Contact	outgoing	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	0.0810226081576971	0.0685258716057587	0.0124967365519384	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
ICAM1_ITGAL_ITGB2	ICAM	Cell-Cell Contact	outgoing	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	0.0576537835789382	0.0482418316744178	0.0094119519045204	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-A_CD8A	MHC-I	Cell-Cell Contact	outgoing	HLA-A	CD8A	HLA-A	CD8A	other	0.4333112508498226	0.4265491164478569	0.0067621344019656	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-C_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-C	CD8B	HLA-C	CD8B	other	0.0528674713106333	0.0464833630167075	0.0063841082939258	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
ICAM1_SPN	ICAM	Cell-Cell Contact	outgoing	ICAM1	SPN	ICAM1	SPN	other	0.0378855639374536	0.0315925724984728	0.0062929914389808	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
ICAM1_ITGAL	ICAM	Cell-Cell Contact	outgoing	ICAM1	ITGAL	ICAM1	ITGAL	other	0.0361087728263259	0.0301016818657171	0.0060070909606088	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-B_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-B	CD8B	HLA-B	CD8B	other	0.0730453461596408	0.0672995214569052	0.0057458247027356	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-E_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-E	CD8B	HLA-E	CD8B	inhibitory	0.0397088127438022	0.0341891448718136	0.0055196678719886	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
LGALS9_P4HB	GALECTIN	Secreted Signaling	outgoing	LGALS9	P4HB	LGALS9	P4HB	inhibitory	0.0035487272070141	0.0	0.0035487272070141	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
CXCL16_CXCR6	CXCL	Secreted Signaling	outgoing	CXCL16	CXCR6	CXCL16	CXCR6	recruit	0.0030517312892881	0.0008762941851655	0.0021754371041226	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-F_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-F	CD8B	HLA-F	CD8B	inhibitory	0.0055611188681433	0.0036198423932718	0.0019412764748714	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
HLA-A_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-A	CD8B	HLA-A	CD8B	other	0.0737836588093734	0.0719201427447436	0.0018635160646297	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)
IGFBP3_TMEM219	IGFBP	Secreted Signaling	outgoing	IGFBP3	TMEM219	IGFBP3	TMEM219	other	0.0252687679835696	0.0315120886223675	-0.0062433206387979	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
PPIA_BSG	CypA	Secreted Signaling	outgoing	PPIA	BSG	PPIA	BSG	other	0.1585048503226015	0.1665307566894811	-0.0080259063668796	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
ITGAV_ITGB1_ADGRE5	ADGRE	Cell-Cell Contact	outgoing	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	0.0313351022321145	0.0414752239325584	-0.0101401217004439	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
CD99_CD99	CD99	Cell-Cell Contact	outgoing	CD99	CD99	CD99	CD99	other	0.3082781489652595	0.3188559252228923	-0.0105777762576327	0.99009900990099	0.0198019801980198	False	True	outgoing	GSE148071	median (eligible 25)
LAMC1_CD44	LAMININ	ECM-Receptor	outgoing	LAMC1	CD44	LAMC1	CD44	other	0.0001613528617083	0.0221428256941193	-0.021981472832411	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
LAMA3_CD44	LAMININ	ECM-Receptor	outgoing	LAMA3	CD44	LAMA3	CD44	other	0.0	0.0261537900554719	-0.0261537900554719	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
COL1A2_CD44	COLLAGEN	ECM-Receptor	outgoing	COL1A2	CD44	COL1A2	CD44	other	0.0303606112388988	0.0633346435225373	-0.0329740322836385	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
LAMC2_CD44	LAMININ	ECM-Receptor	outgoing	LAMC2	CD44	LAMC2	CD44	other	0.0153632120430758	0.0507278691975933	-0.0353646571545175	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
FN1_ITGA4_ITGB1	FN1	ECM-Receptor	outgoing	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	0.0025437180595392	0.0401815924523457	-0.0376378743928065	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
MIF_CD74_CXCR4	MIF	Secreted Signaling	outgoing	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	0.1933607110022923	0.2570995787092615	-0.0637388677069691	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
FN1_CD44	FN1	ECM-Receptor	outgoing	FN1	CD44	FN1	CD44	other	0.0046395881180683	0.0710789242905047	-0.0664393361724364	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
MIF_CD74_CD44	MIF	Secreted Signaling	outgoing	MIF	CD74_CD44	MIF	CD44|CD74	other	0.240412717554067	0.3136311624093237	-0.0732184448552566	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
LAMB3_CD44	LAMININ	ECM-Receptor	outgoing	LAMB3	CD44	LAMB3	CD44	other	0.2372094411603507	0.3107428655122718	-0.0735334243519211	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
SPP1_ITGA4_ITGB1	SPP1	Secreted Signaling	outgoing	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	0.1709294774440409	0.2797232028954459	-0.1087937254514049	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
SPP1_CD44	SPP1	Secreted Signaling	outgoing	SPP1	CD44	SPP1	CD44	other	0.2736957421763676	0.4151457958017864	-0.1414500536254188	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)
