interaction_name	pathway_name_148071	annotation_148071	direction	ligand_148071	receptor_148071	ligand_genes_148071	receptor_genes_148071	ligand_class_148071	prob_high_148071	prob_low_148071	delta_prob_148071	pval_high_148071	pval_low_148071	sig_high_148071	sig_low_148071	contrast_148071	dataset_148071	kept_split_148071	pathway_name_207422	annotation_207422	ligand_207422	receptor_207422	ligand_genes_207422	receptor_genes_207422	ligand_class_207422	prob_high_207422	prob_low_207422	delta_prob_207422	pval_high_207422	pval_low_207422	sig_high_207422	sig_low_207422	contrast_207422	dataset_207422	kept_split_207422	in_148071	in_207422	same_sign	both_sig_same_dir	pathway_name	annotation	ligand	receptor	ligand_class	contrast	mean_delta	min_abs_delta
CXCL16_CXCR6	CXCL	Secreted Signaling	outgoing	CXCL16	CXCR6	CXCL16	CXCR6	recruit	0.0030517312892881	0.0008762941851655	0.0021754371041226	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	recruit	0.1448394996635509	0.1255337379297946	0.0193057617337562	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	CXCL	Secreted Signaling	CXCL16	CXCR6	recruit	outgoing	0.0107405994189394	0.0021754371041226
HLA-E_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-E	CD8B	HLA-E	CD8B	inhibitory	0.0397088127438022	0.0341891448718136	0.0055196678719886	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	0.4477865792472148	0.4342908918150887	0.0134956874321261	0.0099009900990099	1.0	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MHC-I	Cell-Cell Contact	HLA-E	CD8B	inhibitory	outgoing	0.00950767765205735	0.0055196678719886
HLA-F_CD8B	MHC-I	Cell-Cell Contact	outgoing	HLA-F	CD8B	HLA-F	CD8B	inhibitory	0.0055611188681433	0.0036198423932718	0.0019412764748714	0.0099009900990099	1.0	True	False	outgoing	GSE148071	median (eligible 25)	MHC-I	Cell-Cell Contact	HLA-F	CD8B	HLA-F	CD8B	inhibitory	0.2039990181230093	0.1956003523102518	0.0083986658127575	0.0495049504950495	0.9603960396039604	True	False	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MHC-I	Cell-Cell Contact	HLA-F	CD8B	inhibitory	outgoing	0.00516997114381445	0.0019412764748714
IGFBP3_TMEM219	IGFBP	Secreted Signaling	outgoing	IGFBP3	TMEM219	IGFBP3	TMEM219	other	0.0252687679835696	0.0315120886223675	-0.0062433206387979	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	0.0123830206353049	0.0220189515882601	-0.0096359309529552	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	IGFBP	Secreted Signaling	IGFBP3	TMEM219	other	outgoing	-0.007939625795876551	0.0062433206387979
ITGAV_ITGB1_ADGRE5	ADGRE	Cell-Cell Contact	outgoing	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	0.0313351022321145	0.0414752239325584	-0.0101401217004439	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	0.3107417042581072	0.3199150342827129	-0.0091733300246057	0.9702970297029704	0.0396039603960396	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	other	outgoing	-0.0096567258625248	0.0091733300246057
PPIA_BSG	CypA	Secreted Signaling	outgoing	PPIA	BSG	PPIA	BSG	other	0.1585048503226015	0.1665307566894811	-0.0080259063668796	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	0.5306440173045823	0.5466570149614048	-0.0160129976568225	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	CypA	Secreted Signaling	PPIA	BSG	other	outgoing	-0.012019452011851051	0.0080259063668796
MIF_CD74_CXCR4	MIF	Secreted Signaling	outgoing	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	0.1933607110022923	0.2570995787092615	-0.0637388677069691	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	0.0	0.0090967153390686	-0.0090967153390686	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MIF	Secreted Signaling	MIF	CD74_CXCR4	other	outgoing	-0.03641779152301885	0.0090967153390686
MIF_CD74_CD44	MIF	Secreted Signaling	outgoing	MIF	CD74_CD44	MIF	CD44|CD74	other	0.240412717554067	0.3136311624093237	-0.0732184448552566	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	0.0	0.0061761322369416	-0.0061761322369416	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	MIF	Secreted Signaling	MIF	CD74_CD44	other	outgoing	-0.0396972885460991	0.0061761322369416
LAMA3_CD44	LAMININ	ECM-Receptor	outgoing	LAMA3	CD44	LAMA3	CD44	other	0.0	0.0261537900554719	-0.0261537900554719	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	0.1568249066539005	0.2168984222228907	-0.0600735155689902	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	LAMININ	ECM-Receptor	LAMA3	CD44	other	outgoing	-0.04311365281223105	0.0261537900554719
LAMB3_CD44	LAMININ	ECM-Receptor	outgoing	LAMB3	CD44	LAMB3	CD44	other	0.2372094411603507	0.3107428655122718	-0.0735334243519211	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	0.2522764191264217	0.2772453979701199	-0.0249689788436982	0.9603960396039604	0.0495049504950495	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	LAMININ	ECM-Receptor	LAMB3	CD44	other	outgoing	-0.04925120159780965	0.0249689788436982
LAMC1_CD44	LAMININ	ECM-Receptor	outgoing	LAMC1	CD44	LAMC1	CD44	other	0.0001613528617083	0.0221428256941193	-0.021981472832411	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	0.2041471121737989	0.2886865749431528	-0.0845394627693539	1.0	0.0099009900990099	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	LAMININ	ECM-Receptor	LAMC1	CD44	other	outgoing	-0.05326046780088245	0.021981472832411
SPP1_ITGA4_ITGB1	SPP1	Secreted Signaling	outgoing	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	0.1709294774440409	0.2797232028954459	-0.1087937254514049	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	SPP1	ITGA4|ITGB1	other	0.1965729404342822	0.2222385851815894	-0.0256656447473072	0.99009900990099	0.0198019801980198	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	SPP1	Secreted Signaling	SPP1	ITGA4_ITGB1	other	outgoing	-0.06722968509935605	0.0256656447473072
SPP1_CD44	SPP1	Secreted Signaling	outgoing	SPP1	CD44	SPP1	CD44	other	0.2736957421763676	0.4151457958017864	-0.1414500536254188	1.0	0.0099009900990099	False	True	outgoing	GSE148071	median (eligible 25)	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	0.3555445629944828	0.3918433058362913	-0.0362987428418085	0.99009900990099	0.0198019801980198	False	True	outgoing	GSE207422	median_post (12 post)	True	True	True	True	SPP1	Secreted Signaling	SPP1	CD44	other	outgoing	-0.08887439823361365	0.0362987428418085
