ModelID	CellLineName	StrippedCellLineName	ModelType	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	OncotreeCode	CLDN4_Chronos_24Q4	CLDN4_ExpressionPublic_log2TPM1	CLDN4_Chronos_26Q1	group	is_NSCLC
ACH-000667	HCC-44	HCC44	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0189549535713476	5.751410160064371	0.1055834108650171	LUAD	True
ACH-000681	A549	A549	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0193894614449345	2.204766750654613	0.1662898832306806	LUAD	True
ACH-000015	NCI-H1581	NCIH1581	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.0209149568609926	1.15704371014558	0.2671037276779224	other_NSCLC	True
ACH-000706	EKVX	EKVX	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0215844039867369	1.6780719051126378	0.1634450044250296	LUAD	True
ACH-000562	HCC-78	HCC78	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0264818971823197	8.728600810643192	0.1772002429835508	LUAD	True
ACH-000311	NCI-H2122	NCIH2122	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.027454996367824	8.631649992945023	0.2183169675351852	LUAD	True
ACH-000587	NCI-H1975	NCIH1975	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0277364087266782	7.45022149589718	0.136061232526047	LUAD	True
ACH-000257	COR-L279	CORL279	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0354085969181841	6.856363275069203	0.0865307752912939	SCLC_NET	False
ACH-000845	NCI-H1373	NCIH1373	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.036873471408618	7.982594354827899	-0.0099246286694244	LUAD	True
ACH-000837	NCI-H322	NCIH322	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0394527529023837	7.851686585733419	0.344756136466209	LUAD	True
ACH-000785	NCI-H2126	NCIH2126	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0437118706502145	7.608365723163637	0.239900882873536	LUAD	True
ACH-000665	SK-MES-1	SKMES1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0437426575606673	7.105908508571158	0.2047977273291449	LUSC	True
ACH-002531	SNU-2535	SNU2535	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0441323088227611	8.178266467781853	0.0986716221868259	LUAD	True
ACH-002052	Lu-139	LU139	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0446200385749464	2.805292455600712	0.1156199166059748	SCLC_NET	False
ACH-000826	CAL-12T	CAL12T	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	0.0499932089985047	8.59245703726808	0.2825785348265151	other_NSCLC	True
ACH-000787	LXF-289	LXF289	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0509674033871221	5.530757457461217	0.2591390336650355	LUAD	True
ACH-000975	HCC2450	HCC2450	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0543390378426666	1.1826922975161902	0.2512286350771578	LUSC	True
ACH-000841	NCI-H2087	NCIH2087	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0551016152821143	8.3387809438947	0.1685222401931337	LUAD	True
ACH-000525	NCI-H2171	NCIH2171	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0561779605988301	7.073498932290183	0.1801094225059378	SCLC_NET	False
ACH-000924	NCI-H2172	NCIH2172	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	0.0601109144785547	2.957914598632985	0.2271702911023936	other_NSCLC	True
ACH-000161	COR-L105	CORL105	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0603058573767082	4.739848102699328	0.2330151399036118	LUAD	True
ACH-000858	KNS-62	KNS62	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0623658020826375	7.26463025566923	0.1397341109628839	LUSC	True
ACH-001386	SCLC-22H	SCLC22H	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0627137997227117	6.463851292611099	0.2692637780619912	SCLC_NET	False
ACH-000638	NCI-H441	NCIH441	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.064461023522255	8.106484424292539	0.2287897697761817	LUAD	True
ACH-000757	A427	A427	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0646288214995473	0.8237493603082727	0.272553503159982	LUAD	True
ACH-000639	NCI-H211	NCIH211	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0656402101640341	1.6690267655096307	0.1740536623353804	SCLC_NET	False
ACH-000888	NCI-H1793	NCIH1793	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0663128566822492	7.454587186925478	0.2035569951226907	LUAD	True
ACH-000339	HCC-461	HCC461	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0664303217381711	3.4329594072761065	0.1266695369942753	LUAD	True
ACH-000290	NCI-H209	NCIH209	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0677206874607231	7.313790025443685	0.2133994491792832	SCLC_NET	False
ACH-000029	HCC-827-GR5	HCC827GR5	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0691107777185273	8.249540152313218	0.1723014083323422	LUAD	True
ACH-000337	NCI-H3122	NCIH3122	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0733355618402896	7.350497247084133	0.338852536791583	LUAD	True
ACH-000878	HCC-15	HCC15	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0781586402829762	7.320755428706466	0.1523003913446564	LUSC	True
ACH-000511	Calu-1	CALU1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0786344761173312	6.3466023752989855	0.1632683062651636	LUSC	True
ACH-000860	NCI-H358	NCIH358	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0878261118529151	7.9341036373619165	0.2099165907986521	LUAD	True
ACH-000030	PC-14	PC14	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.088661914574679	9.117279460053922	0.2956158003677785	LUAD	True
ACH-000521	NCI-H2030	NCIH2030	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.0889527548630884	1.070389327891398	0.2290091057828201	LUAD	True
ACH-000563	EBC-1	EBC1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC	0.0927674471486981	8.451087446957397	-0.0024270902360203	LUSC	True
ACH-000187	COR-L311	CORL311	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0949789739211413	6.727239777484807	0.1984503902200382	SCLC_NET	False
ACH-000718	NCI-H2291	NCIH2291	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.095258564324562	9.779932707234156	0.1075178530729521	LUAD	True
ACH-002051	Lu-134-A	LU134A	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.0960491677939419	6.302501844112321	0.1340679749436119	SCLC_NET	False
ACH-000444	LU99	LU99	Cell Line	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	GCLC	0.0962437104093173	1.6735564239901446	0.3274123867775956	other_NSCLC	True
ACH-000853	NCI-H661	NCIH661	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.0972270378651839	2.097610796626422	0.2573679302650334	other_NSCLC	True
ACH-000627	LCLC-103H	LCLC103H	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.1022805572220278	7.908272516291422	0.242992448237883	other_NSCLC	True
ACH-000559	NCI-H1836	NCIH1836	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.1028342446414757	6.854993016757	0.3430003906043902	SCLC_NET	False
ACH-000448	NCI-H1666	NCIH1666	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1034673891175899	6.976478203534362	0.1856402420810929	LUAD	True
ACH-000528	ABC-1	ABC1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1109505025585806	8.603477988254005	0.3093875053205618	LUAD	True
ACH-000980	NCI-H1155	NCIH1155	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.1152555523750995	5.060047383669939	0.2590392080603587	other_NSCLC	True
ACH-000774	RERF-LC-Ad2	RERFLCAD2	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1160455183666606	8.132319783167718	0.3679242594761579	LUAD	True
ACH-000890	SW 1271	SW1271	Cell Line	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor		0.1225573669663541	2.130930869826449	0.1823682805009496	other_lung	False
ACH-000431	NCI-H1694	NCIH1694	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.1261377990963032	1.879705766282288	0.2660850533564401	SCLC_NET	False
ACH-000343	NCI-H522	NCIH522	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1282734865562161	1.6461626571578936	0.3871813250212785	LUAD	True
ACH-000775	NCI-H727	NCIH727	Cell Line	Lung	Lung Neuroendocrine Tumor	Lung Carcinoid	LUCA	0.132546295335982	8.956985924612576	0.2989337328672365	SCLC_NET	False
ACH-000749	DMS 273	DMS273	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.1325859930290597	1.4059923596758368	0.2346700457209801	SCLC_NET	False
ACH-000867	ChaGo-K-1	CHAGOK1	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	0.1364819900490264	7.581049900945041	0.2265113354572278	other_NSCLC	True
ACH-000021	NCI-H1693	NCIH1693	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1375790060788053	6.397118409042582	0.1049028106373826	LUAD	True
ACH-000791	RERF-LC-Ad1	RERFLCAD1	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1381487459346362	9.783653086390071	0.2731847201890987	LUAD	True
ACH-001233	VMRC-LCD	VMRCLCD	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1389028530146171		0.2795519728041237	LUAD	True
ACH-002035	LCAM1	LCAM1	Cell Line	Lung	Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	NSCLCPD	0.1437222943662421	1.5410191531335593	0.3496441535865454	other_NSCLC	True
ACH-000790	SHP-77	SHP77	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.1545893865000198	6.3446509891484455	0.325621496270304	SCLC_NET	False
ACH-000012	HCC-827	HCC827	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1556820250287438	8.083532513265412	0.3039965629137159	LUAD	True
ACH-000861	HOP-62	HOP62	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1585272543931696	4.627606838129649	0.4939017237162945	LUAD	True
ACH-000510	NCI-H1299	NCIH1299	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.162135790607007	1.819668183496456	0.2693809228098618	other_NSCLC	True
ACH-000292	NCI-H841	NCIH841	Cell Line	Lung	SMARCA4-deficient undifferentiated tumor	SMARCA4-deficient undifferentiated tumor		0.1758611065302707	1.1890338243900171	0.3097446295245404	other_lung	False
ACH-000851	MOR/CPR	MORCPR	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1831918200298959	7.696202521253611	0.3179063407102802	LUAD	True
ACH-002490	NCI-H1882	NCIH1882	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.1865355748057151	5.090853430451113	0.410420227034373	SCLC_NET	False
ACH-002650	ETCC-016	ETCC016	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.1865405951077892	7.795455272044121	0.334583041898863	LUAD	True
ACH-000251	NCI-H2887	NCIH2887	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC	0.1977502036266236	9.220378327695228	0.4877944240927065	other_NSCLC	True
ACH-000886	NCI-H2009	NCIH2009	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.2027321959825704	7.349612971824522	0.2781046260752913	LUAD	True
ACH-000378	NCI-H647	NCIH647	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	LUAS	0.2062140609227713	6.661350569233997	0.4369391486701947	other_NSCLC	True
ACH-000666	NCI-H1355	NCIH1355	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.2096257283476155	1.263034405833794	0.3457357648458844	LUAD	True
ACH-000766	NCI-H1648	NCIH1648	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.2104751435906083	8.380677507222886	0.2720811305227075	LUAD	True
ACH-000672	IA-LM	IALM	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.2314249989854764	6.011227255423254	0.4635502551788407	other_NSCLC	True
ACH-000496	NCI-H1792	NCIH1792	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD	0.2504223426381799	7.153298682854903	0.4213921903355367	LUAD	True
ACH-000438	Lu-65	LU65	Cell Line	Lung	Non-Small Cell Lung Cancer	Giant Cell Carcinoma of the Lung	GCLC	0.323053515415877	7.421644094048272	0.2761364284203381	other_NSCLC	True
ACH-002077	Lu-165	LU165	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.3355902994333525	5.033863451866284	0.6053295246782139	SCLC_NET	False
ACH-000767	NCI-H526	NCIH526	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC	0.380935755211277	6.461561300001896	0.5048183130423757	SCLC_NET	False
ACH-000596	LCLC-97TM1	LCLC97TM1	Cell Line	Lung	Non-Small Cell Lung Cancer	Large Cell Lung Carcinoma	LCLC	0.3939579674136731	9.30108459093582	0.6037174389043123	other_NSCLC	True
ACH-002089	201T	201T	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
ACH-003153	ABM-T0794	ABMT0794	Cell Line	Lung	Non-Cancerous	Immortalized Epithelial Cells, Lung			4.0522419811811385		other_lung	False
ACH-003154	ABM-T0795	ABMT0795	Cell Line	Lung	Non-Cancerous	Immortalized Epithelial Cells, Lung			0.1890338243900171		other_lung	False
ACH-003152	ABM-T0796	ABMT0796	Cell Line	Lung	Non-Cancerous	Immortalized Epithelial Cells, Lung			0.2986583155645151		other_lung	False
ACH-003156	ABM-T0797	ABMT0797	Cell Line	Lung	Non-Cancerous	Immortalized Epithelial Cells, Lung			6.021923838554758		other_lung	False
ACH-003157	ABM-T0822	ABMT0822	Cell Line	Lung	Non-Cancerous	Immortalized MPLC Cells			0.1634987322828795		other_lung	False
ACH-000603	BEN	BEN	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC		8.753350480643723		other_NSCLC	True
ACH-002996	CI34601	CI34601	Cell Line	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NSCLC		0.7570232465074596		other_NSCLC	True
ACH-000803	COLO 668	COLO668	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.3474884972117955		SCLC_NET	False
ACH-000382	COR-L24	CORL24	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		7.717676423066396		SCLC_NET	False
ACH-001046	COR-L26	CORL26	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC		0.0426443374084937		SCLC_NET	False
ACH-002095	COR-L303	CORL303	Cell Line	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	SCLC				SCLC_NET	False
ACH-001489	COR-L32	CORL32	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	LUSC		5.876762490781555		LUSC	True
ACH-001490	COR-L321	CORL321	Cell Line	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	LUAD				LUAD	True
