tf	n_targets_used	n_targets_abc	n_repressor	weight_l1
SNAI1	5	5	3	5.0
SNAI2	64	64	3	64.0
SNAPC4	30	30	0	30.0
SOX10	43	43	1	43.0
SOX11	29	29	0	29.0
SOX13	41	41	0	41.0
SOX2	391	391	4	391.0
SOX6	29	29	0	29.0
SOX9	72	72	3	72.0
SP1	385	385	14	385.0
SP2	22	22	1	22.0
SP3	76	76	11	76.0
SP4	56	56	0	56.0
SPI1	577	577	17	577.0
SPIB	57	57	3	57.0
SREBF1	72	72	3	72.0
SREBF2	85	85	4	85.0
SRF	106	106	3	106.0
STAT1	1091	1091	35	1091.0
STAT2	104	104	1	104.0
STAT3	173	173	9	173.0
STAT4	13	13	1	13.0
STAT5A	67	67	4	67.0
STAT5B	77	77	1	77.0
STAT6	13	13	1	13.0
TAL1	412	412	3	412.0
TBP	44	44	2	44.0
TBX21	75	75	4	75.0
TCF12	76	76	0	76.0
TCF3	124	124	4	124.0
TCF4	61	61	1	61.0
TCF7	59	59	0	59.0
TCF7L1	5	5	0	5.0
TCF7L2	74	74	1	74.0
TEAD1	125	125	1	125.0
TEAD2	30	30	0	30.0
TEAD4	68	68	0	68.0
TFAP2A	126	126	11	126.0
TFAP2C	881	881	3	881.0
TFAP4	39	39	1	39.0
TFDP1	66	66	0	66.0
TGIF2	16	16	0	16.0
THAP1	53	53	0	53.0
THAP11	111	111	0	111.0
TP53	578	578	99	578.0
TP63	86	86	2	86.0
TP73	41	41	2	41.0
TWIST1	68	68	7	68.0
USF1	106	106	8	106.0
USF2	113	113	2	113.0
VDR	242	242	8	242.0
WT1	29	29	16	29.0
XBP1	15	15	0	15.0
YBX1	6	6	4	6.0
YY1	99	99	31	99.0
ZBED1	22	22	0	22.0
ZBTB11	20	20	0	20.0
ZBTB33	85	85	0	85.0
ZBTB7A	85	85	1	85.0
ZC3H8	6	6	0	6.0
ZEB1	97	97	8	97.0
ZEB2	53	53	2	53.0
ZFX	51	51	0	51.0
ZHX1	9	9	0	9.0
ZHX2	9	9	0	9.0
ZKSCAN1	40	40	0	40.0
ZNF143	49	49	0	49.0
ZNF197	6	6	0	6.0
ZNF217	10	10	0	10.0
ZNF24	20	20	0	20.0
ZNF263	428	428	0	428.0
ZNF274	18	18	0	18.0
ZNF384	63	63	0	63.0
ZNF584	7	7	0	7.0
ZNF592	13	13	0	13.0
ZNF639	26	26	0	26.0
ZNF644	7	7	0	7.0
ZNF740	38	38	0	38.0
