unit	unit_col	animal	n_mouseID	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_module	MHC_module	TJ_module	IFN_tpm	MHC_tpm	TJ_tpm	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
KP_12w_ND_m2	animal	KP_12w_ND_m2	1	KP	12w	06_KP_12w_ND	124	1	4.94185147227128	0.758064516129032	0.102394294234817	0.0333752401067031	0.26131290057134	1.80770762714631	3.07303633480099	2.60051776329387	7.16266517610644	0.0403225806451613	0.0564516129032258
KP_12w_ND_m3	animal	KP_12w_ND_m3	1	KP	12w	06_KP_12w_ND	74	1	4.57546254332969	0.77027027027027	0.0292476451968741	-0.0942536283627461	0.236547721342265	1.59061852685984	2.55480548444668	2.47597093412137	7.60309260367969	0.0135135135135135	0.027027027027027
KP_12w_ND_m4	animal	KP_12w_ND_m4	1	KP	12w	06_KP_12w_ND	62	1	3.71309203182425	0.435483870967742	0.118132613059321	0.212204181179137	0.243099613114539	1.61863274492334	3.09127418975456	2.21777522470265	6.364098839211	0.0161290322580645	0.032258064516129
KP_12w_ND_m5	animal	KP_12w_ND_m5	1	KP	12w	06_KP_12w_ND	48	1	4.50591666812429	0.666666666666667	0.0326511079271769	-0.0173449739707102	0.239044382935862	1.32178867562954	2.28160104171948	2.17446521574895	7.24309694370147	0.1875	0.375
KP_12w_ND_m6	animal	KP_12w_ND_m6	1	KP	12w	06_KP_12w_ND	52	1	3.4517444009703	0.519230769230769	0.0973341103713109	0.170086790976222	0.226708032020039	1.53534806914699	2.92393449134409	2.15434688592765	7.59424484176873	0.134615384615385	0.480769230769231
KP_20w_ND_m2	animal	KP_20w_ND_m2	1	KP	20w	07_KP_20w_ND	43	1	4.55638779101347	0.744186046511628	0.0921297779534597	0.132569985848897	0.242527121753079	1.62461472771454	2.99968348034414	2.27476830579023	7.30287797450187	0.0232558139534884	0.0697674418604651
KP_20w_ND_m3	animal	KP_20w_ND_m3	1	KP	20w	07_KP_20w_ND	60	1	5.9582871870398	0.816666666666667	0.121841998322678	0.160005551243327	0.264875223028121	1.71471527396279	3.14626987347252	2.39705664228095	7.5554025036619	0.0166666666666667	0.0166666666666667
KP_20w_ND_m4	animal	KP_20w_ND_m4	1	KP	20w	07_KP_20w_ND	173	1	3.01431181994714	0.560693641618497	0.0466186376927031	-0.0613886559047954	0.207800554801994	1.61436748566782	2.60211270423921	2.32558403171587	7.30483314536257	0.109826589595376	0.132947976878613
KP_20w_ND_m5	animal	KP_20w_ND_m5	1	KP	20w	07_KP_20w_ND	126	1	1.49456394394441	0.317460317460317	0.0616441868044656	-0.00113829121922598	0.143476788310377	1.35905685806964	2.1833106934132	1.75009057424467	6.15259589714505	0.00793650793650794	0.00793650793650794
KP_20w_ND_m6	animal	KP_20w_ND_m6	1	KP	20w	07_KP_20w_ND	136	1	1.59814944861281	0.330882352941176	0.0957053602537545	0.082960053712931	0.176445153041549	1.76864661188049	3.05873355339621	2.20540577029923	7.4299377720271	0.0147058823529412	0.0294117647058824
KP_2w_ND_m1	animal	KP_2w_ND_m1	1	KP	2w	02_KorKP_early_ND	4	1	0.585997337101301	0.25	0.207340416704642	0.524823192366081	0.232227147236354	1.91796681507543	4.26747437191527	2.05150015325327	6.78298467053407	0	0
KP_2w_ND_m2	animal	KP_2w_ND_m2	1	KP	2w	02_KorKP_early_ND	27	1	1.62249475116102	0.296296296296296	0.115731431920517	0.360011640553812	0.231323841531927	1.48986859112003	3.34023912657888	1.96159304780556	5.7278157629482	0	0
KP_30w_ND_m1	animal	KP_30w_ND_m1	4	KP	30w	08_KP_30w_ND	520	4	2.94470857047591	0.448076923076923	0.0340347113499875	-0.0264566687197998	0.18259962444175	1.17616858155232	1.90987521546654	1.81064253377039	5.13197654857386	0.025	0.0307692307692308
KP_30w_ND_m2	animal	KP_30w_ND_m2	5	KP	30w	08_KP_30w_ND	619	5	5.22593047666112	0.775444264943457	0.0261717015119946	-0.084096377039034	0.23969615303041	1.50029056050122	2.36896093071873	2.3807574194568	7.10084900532018	0.0161550888529887	0.0306946688206785
KP_30w_ND_m3	animal	KP_30w_ND_m3	3	KP	30w	08_KP_30w_ND	415	3	4.39150347493139	0.667469879518072	0.0407461445879458	-0.0465207217465637	0.224089675961349	1.60897797840195	2.67320199503035	2.38653721455963	7.46499318867624	0.0289156626506024	0.0337349397590361
T_0w_ND_f1	animal	T_0w_ND_f1	1	T	0w	01_T_early_ND	61	1	0.336381333425881	0.0655737704918033	0.30499890862762	0.76071532900244	0.252901214490002	2.16956985260251	4.9674499617926	2.08831034426722	5.10033198007581	0	0.0163934426229508
T_0w_ND_f2	animal	T_0w_ND_f2	1	T	0w	01_T_early_ND	54	1	0.24937699933193	0.0555555555555556	0.317540560193968	0.745046419142443	0.21979443254568	2.16264814521412	4.81776862779484	1.90805553065359	5.48500166478707	0.0185185185185185	0.037037037037037
T_0w_ND_m1	animal	T_0w_ND_m1	1	T	0w	01_T_early_ND	47	1	0.733767255634082	0.148936170212766	0.373201291928721	0.760914990049556	0.263834179407447	2.51989758950293	5.21819359657951	2.21480391004088	5.49388715279694	0.0425531914893617	0.0425531914893617
T_4w_ND_m1	animal	T_4w_ND_m1	1	T	4w	01_T_early_ND	37	1	0.0884145890821271	0.027027027027027	0.111107073654345	0.357829880150616	0.184974909104133	1.35771631776072	3.16787548896568	1.67404351575647	4.3230732427073	0.027027027027027	0.027027027027027
T_4w_ND_m2	animal	T_4w_ND_m2	1	T	4w	01_T_early_ND	7	1	0	0	0.118645129046276	0.549878993598671	0.184048592766089	1.34641352442999	3.77975188930863	1.59689218092609	3.35664161775535	0	0.428571428571429
