set	family	scope	contrast	n	n_q1	n_q4	n_genes_ranked	size	ES	NES	p	n_leading	leading_edge
HALLMARK_APICAL_JUNCTION		drop_GSE205335	q4_vs_q1	23	13	10	18091	183	-0.29648769351832	-1.58733958714489	7.13377539412455e-05	60	SIRPA,PECAM1,ACTG2,CALB2,CERCAM,THY1,VASP,MYL9,RHOF,EPB41L2,VCAM1,PTPRC,FBN1,ARPC2,ARHGEF6,ZYX,VCL,ITGB1,BMP1,MMP2,CD86,JAM3,CNN2,ICAM2,RAC2,NEGR1,CD34,VCAN,EVL,ADAM23,ADAMTS5,COL9A1,FYB1,VWF,CDH11,TRAF1,AKT3,FSCN1,CDH6,RRAS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		drop_GSE205335	q4_vs_q1	23	13	10	18091	194	-0.6202716889475	-3.35038852529647	1.22110612353188e-34	91	MMP14,WIPF1,MYLK,TPM2,GLIPR1,SGCD,LOXL2,ADAM12,ACTA2,EMP3,LOX,LUM,FBLN2,COL5A2,TGFBR3,FOXC2,TAGLN,SPP1,THY1,MYL9,LAMA2,TGFB1,COL3A1,CAPG,VCAM1,COL6A2,EDIL3,PDGFRB,VIM,FBN1,SPARC,COL5A3,DCN,CTHRC1,ECM2,ITGB1,POSTN,COL4A1,BMP1,MMP2
HALLMARK_INTERFERON_ALPHA_RESPONSE		drop_GSE205335	q4_vs_q1	23	13	10	18091	95	-0.411030021138436	-1.98825210272036	7.47542158699219e-06	43	GBP2,TMEM140,LAP3,TAP1,RTP4,GBP4,EPSTI1,SELL,B2M,IFITM1,UBE2L6,STAT2,PSMB9,IRF9,CXCL11,IFI35,PSME2,PSME1,ELF1,PROCR,IFITM3,IFI30,SAMD9L,C1S,HLA-C,CXCL10,IFI44L,BST2,OASL,SP110,RIPK2,LPAR6,MVB12A,IFIH1,CASP1,BATF2,LY6E,PSMB8,SAMD9,IRF1
HALLMARK_INTERFERON_GAMMA_RESPONSE		drop_GSE205335	q4_vs_q1	23	13	10	18091	196	-0.440348544981543	-2.3726124246589	2.25374238292151e-14	93	CSF2RB,CCL5,GZMA,PSMA2,IL10RA,FGL2,IRF8,CD69,SAMHD1,IL15RA,SERPING1,VCAM1,LAP3,TAP1,RTP4,FPR1,JAK2,GBP4,EPSTI1,XCL1,CD86,SELP,CCL7,FCGR1A,B2M,PFKP,LCP2,PTPN1,STAT4,TNFAIP3,STAT1,UBE2L6,TNFAIP6,STAT2,ITGB7,PSMB9,IRF9,IL18BP,CXCL11,GPR18
KEGG_TIGHT_JUNCTION		drop_GSE205335	q4_vs_q1	23	13	10	18091	146	0.324726640126214	1.34600750603697	0.0374738234321614	52	CLDN3,PRKAA2,F11R,CCND1,DLG3,CGNL1,LLGL2,MAPK9,MARVELD2,OCLN,PRKAB1,MAP2K7,ERBB2,EPB41L4B,CRB3,MYH14,CLDN15,CACNA1D,CDC42,JUN,MARVELD3,AMOT,NEDD4L,MAP3K1,AFDN,RAPGEF6,PRKACA,ROCK2,PATJ,SRC,TJP2,PARD6A,CLDN1,PPP2R2D,MAGI1,CGN,CLDN23,PPP2CB,WHAMM,MICALL2
CUSTOM_MHC_I_ANTIGEN_PRESENTATION		drop_GSE189357	q4_vs_q1	29	15	14	21045	21	-0.830083838995708	-2.80540566875143	2.51020133132324e-10	15	TAP2,TAP1,PSMB9,HLA-E,HLA-B,ERAP1,HLA-F,B2M,HLA-C,PSMB10,TAPBP,PSMB8,IRF1,HLA-A,TAPBPL
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY		drop_GSE189357	q4_vs_q1	29	15	14	21045	39	0.488084296068353	1.69904637338187	0.00431935349031629	10	TBCD,CLDN3,CLDN18,MARVELD2,STRN,SLC39A9,CLDN15,ESAM,OCLN,GRHL2
GOBP_TIGHT_JUNCTION_ORGANIZATION		drop_GSE189357	q4_vs_q1	29	15	14	21045	70	0.388739191291302	1.52390857879218	0.0150013044612575	18	TBCD,CLDN3,ABCC8,CLDN18,MARVELD2,ILDR1,STRN,SLC39A9,CLDN15,ESAM,OCLN,GRHL2,PRKACA,F11R,PATJ,CLDN12,FZD5,AFDN
HALLMARK_APICAL_JUNCTION		drop_GSE189357	q4_vs_q1	29	15	14	21045	188	-0.314214837643296	-1.6962847760549	3.60553090646031e-05	64	RHOF,ZYX,PECAM1,PTPRC,CD86,ACTG2,PFN1,CNN2,VASP,EPB41L2,VCAM1,ACTB,CD274,DSC3,FBN1,RSU1,ARPC2,MYL9,RAC2,BMP1,TRAF1,FSCN1,LAMC2,CRAT,FYB1,ARHGEF6,ITGB1,ICAM2,CERCAM,NEXN,VCL,ITGA2,CAP1,CDH11,RRAS,MMP2,ACTG1,SYMPK,ACTN4,MYH9
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		drop_GSE189357	q4_vs_q1	29	15	14	21045	199	-0.572038010757071	-3.10709951145122	5.31857491450821e-28	98	GLIPR1,MYLK,LOX,MMP14,EMP3,WIPF1,ITGA5,VIM,LAMA2,FOXC2,TNFAIP3,TPM2,FBLN2,COL6A2,LOXL2,SPP1,VCAM1,COL5A3,IL32,TGFB1,ACTA2,CAPG,DKK1,VEGFC,ADAM12,PDLIM4,FBN1,MFAP5,COL7A1,MYL9,PLAUR,COL5A2,ECM2,IL6,SERPINE1,BMP1,LUM,IGFBP3,COL3A1,TGFBR3
HALLMARK_INTERFERON_ALPHA_RESPONSE		drop_GSE189357	q4_vs_q1	29	15	14	21045	96	-0.694375865207441	-3.37432880083453	8.35589429973951e-25	60	GBP2,GBP4,PSME2,STAT2,TAP1,EPSTI1,IFI35,TMEM140,SAMD9L,IFITM1,LAP3,PSMB9,RTP4,CASP1,IFI44L,PSME1,UBE2L6,SP110,IRF9,OASL,SELL,SAMD9,CXCL11,ELF1,B2M,BST2,MX1,CXCL10,IFITM3,PARP12,IFIH1,RIPK2,HLA-C,ISG15,IL4R,PSMB8,CD74,IRF1,BATF2,LY6E
HALLMARK_INTERFERON_GAMMA_RESPONSE		drop_GSE189357	q4_vs_q1	29	15	14	21045	196	-0.702390776326636	-3.79449622044463	1.32829713413858e-49	125	CCL5,GZMA,CD69,GBP4,CSF2RB,PSME2,STAT2,STAT1,TAP1,JAK2,IL10RA,EPSTI1,IL15RA,IFI35,FGL2,LCP2,SAMD9L,SAMHD1,HLA-DQA1,CD86,OAS2,LAP3,PFKP,PSMB9,RTP4,CASP1,TNFAIP3,CFB,XAF1,IFI44L,STAT4,VCAM1,IRF8,PSME1,GPR18,UBE2L6,HLA-B,XCL1,ITGB7,SP110
KEGG_TIGHT_JUNCTION		drop_GSE189357	q4_vs_q1	29	15	14	21045	147	0.247931434803646	1.08250512930765	0.313528990694345	22	CLDN3,DLG3,PARD6A,PRKAA2,CGNL1,MAP2K7,MAGI1,AMOT,CLDN18,MARVELD2,ARHGEF2,CLDN15,CACNA1D,TJP2,SRC,OCLN,PRKACA,F11R,IGSF5,AMOTL1,LLGL2,PATJ
