set	family	scope	contrast	n	n_q1	n_q4	n_genes_ranked	size	ES	NES	p	n_leading	leading_edge	fdr_primary	fdr_fgsea_call
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	pooled	continuous_z	64			24083	73	0.41475672174929	1.60123265234184	0.00570269927765809	22	CLDN3,TBCD,MARVELD2,GRHL2,ILDR1,CLDN15,SLC39A9,ABCC8,PATJ,CLDN12,F11R,OCLN,MARVELD3,MPP7,AFDN,CLDN9,STRN,MICALL2,ROCK2,LSR,NPHP4,PRKACA		0.00731204542802691
HALLMARK_APICAL_JUNCTION	primary	pooled	continuous_z	64			24083	193	-0.296305851054715	-1.58766506242462	0.000245418783907906	53	VCAM1,RHOF,CDH6,FBN1,ACTG2,PTPRC,ZYX,EPB41L2,THY1,PECAM1,MYL9,BMP1,CD86,VASP,PFN1,LAYN,CNN2,MMP2,SIRPA,FLNC,AKT3,COL9A1,FYB1,VCL,ADAM23,VWF,ARHGEF6,DSC3,TRAF1,ITGB1,ACTB,NEXN,CERCAM,SYMPK,CD34,ARPC2,SLIT2,NEGR1,RRAS,RAC2	0.000294502540689487	0.000392670054252649
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	pooled	continuous_z	64			24083	199	-0.574312641587398	-3.08809098929768	1.70363599727009e-27	104	VCAM1,COL5A2,LAMA2,COL5A3,COL11A1,EMP3,LUM,ITGA5,MFAP5,CDH6,FBN1,DCN,LOX,WIPF1,FGF2,TPM2,FOXC2,ECM2,GLIPR1,ACTA2,COL3A1,FBLN2,MYLK,MMP14,LOXL2,THY1,PDGFRB,COL4A1,MYL9,ABI3BP,NID2,TNFAIP3,VIM,TGFBR3,COL12A1,BMP1,FSTL3,COMP,POSTN,SERPINE1	5.11090799181026e-27	6.81454398908035e-27
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	pooled	continuous_z	64			24083	96	-0.544071827217536	-2.61257779270977	8.74316973738939e-12	45	TAP1,GBP4,EPSTI1,TMEM140,CXCL11,PSMB9,STAT2,GBP2,CXCL10,SELL,LAP3,SAMD9L,RIPK2,ELF1,IFITM1,RTP4,OASL,LPAR6,IFI35,B2M,IFIH1,CASP1,ISG15,IRF1,SAMD9,BATF2,IRF9,UBE2L6,OAS1,PROCR,PSME2,IFI44L,HLA-C,C1S,IFITM3,MX1,IFI30,PSMB8,PSME1,IL4R	1.74863394747788e-11	2.3315119299705e-11
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	pooled	continuous_z	64			24083	198	-0.573725609858529	-3.08220197140283	3.58632745502919e-28	99	VCAM1,TAP1,GZMA,CCL5,CD69,CSF2RB,GBP4,EPSTI1,STAT1,CXCL11,IL10RA,PSMB9,STAT2,XCL1,LCP2,PFKP,FGL2,GPR18,OAS2,CXCL10,SERPING1,TNFAIP3,PDE4B,IL15RA,CD86,SELP,ITGB7,XAF1,LAP3,IRF8,MTHFD2,NCOA3,SAMD9L,PIM1,IL2RB,KLRK1,RIPK2,LATS2,STAT4,CD38	2.15179647301751e-27	2.86906196402335e-27
KEGG_TIGHT_JUNCTION	primary	pooled	continuous_z	64			24083	153	0.310311524172565	1.32415625236611	0.0450824397555632	34	DLG3,CLDN3,MARVELD2,CGNL1,CRB3,PARD6A,LLGL2,CLDN15,PRKAA2,AMOT,ACTR3C,JUN,RUNX1,MAPK9,PATJ,TUBAL3,F11R,OCLN,MARVELD3,AFDN,SRC,PRKAA1,CACNA1D,CLDN9,MAP2K7,ARHGEF2,NF2,EPB41L4B,AMOTL1,NEDD4L,IGSF5,PRKAB1,MICALL2,ROCK2	0.0450824397555632	0.0450824397555632
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE123902	continuous_z	13			13549	21	-0.703233253939157	-2.29616548440063	2.10198654392694e-05	10	B2M,HLA-C,TAP1,HLA-E,TAP2,HLA-B,HLA-G,PSMB9,PSMB8,HLA-F	3.15297981589041e-05	4.20397308785387e-05
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE123902	continuous_z	13			13549	35	0.217993834446648	0.730997854799304	0.876010370596309	15	TBCD,MARVELD2,CLDN3,OCLN,CLDN18,PARD3,GRHL2,PDCD6IP,STRN,PAK2,CLDN23,CLDN15,SLC39A9,POF1B,CHAF1B		0.876010370596309
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE123902	continuous_z	13			13549	63	0.351909986336629	1.32253072406552	0.0825635924399602	29	TBCD,MPP7,FZD5,AFDN,PATJ,MARVELD2,ROCK2,SRF,CLDN12,CLDN3,NPHP4,OCLN,ILDR1,CLDN18,TJP1,PARD3,TGFBR1,PRKACA,F11R,GRHL2,IKBKB,NPHP1,PDCD6IP,STRN,PAK2,ROCK1,CLDN23,CLDN15,SLC39A9		0.110084789919947
HALLMARK_APICAL_JUNCTION	primary	GSE123902	continuous_z	13			13549	161	-0.338857540037892	-1.68860715638536	0.000100800074431614	56	SIRPA,RAC2,VCAN,ACTG2,ARPC2,PECAM1,RHOF,THY1,TIAL1,VCAM1,ARHGEF6,CERCAM,MYH9,RSU1,MMP2,FBN1,MYL9,CDH6,LAMC2,CDH3,PARD6G,FSCN1,LIMA1,PFN1,MAP4K2,FLNC,CD99,ACTB,SLIT2,LAMB3,ADAMTS5,VCL,CD34,CNN2,YWHAH,CDK8,ITGA2,CAP1,MAPK11,VWF	0.000120960089317937	0.000161280119090582
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE123902	continuous_z	13			13549	180	-0.597322040630585	-3.0316967598718	7.4187433781127e-26	106	ACTA2,CTHRC1,VCAN,TAGLN,TPM4,EMP3,WIPF1,THY1,TIMP1,COL5A2,ITGA5,FBLN2,SPARC,IGFBP3,P3H1,MMP1,PRRX1,VCAM1,MMP14,GLIPR1,SERPINE2,SPP1,GADD45A,LGALS1,MYLK,PDGFRB,FSTL1,COL4A1,MMP2,SERPINE1,FBN1,ADAM12,EDIL3,MMP3,DKK1,TNFAIP3,PTX3,GREM1,COL3A1,COLGALT1	4.45124602686762e-25	5.93499470249016e-25
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE123902	continuous_z	13			13549	94	-0.517704239210723	-2.37734453729055	2.19971117203454e-09	41	SELL,LPAR6,B2M,CXCL11,HLA-C,EPSTI1,TAP1,ELF1,LAP3,TMEM140,ISG15,IL4R,GBP2,SAMD9L,PSME2,CASP1,BATF2,IFI30,OASL,PSMB9,RSAD2,PSMB8,UBE2L6,RIPK2,STAT2,RTP4,IFITM1,IRF9,NMI,IRF2,PSME1,CXCL10,IFI44,IFI35,IFITM3,BST2,MVB12A,IFI44L,OAS1,UBA7	4.39942234406907e-09	5.86589645875876e-09
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE123902	continuous_z	13			13549	189	-0.540334132133934	-2.75787933170057	5.15964711886767e-20	89	CSF2RB,IL15RA,SLAMF7,FGL2,ITGB7,IL10RA,GZMA,B2M,CXCL11,EPSTI1,TAP1,VCAM1,MYD88,LAP3,MTHFD2,CCL5,CD69,ISG15,ZBP1,IL4R,ARID5B,UPP1,TNFAIP3,SAMD9L,HLA-B,PSME2,HLA-G,PDE4B,PIM1,CCL2,SAMHD1,CASP1,CASP4,PTPN2,IRF8,TNFAIP2,CD38,BATF2,IFI30,OASL	1.5478941356603e-19	2.06385884754707e-19
KEGG_TIGHT_JUNCTION	primary	GSE123902	continuous_z	13			13549	136	0.237129603805894	1.00853367132992	0.44595798854233	45	MAPK9,AFDN,PATJ,NEDD4L,MARVELD2,PPP2CB,PRKAB1,RAPGEF6,ROCK2,CRB3,PRKCI,ERBB2,CGNL1,CCND1,CACNA1D,YBX3,PRKAG2,DLG3,LLGL2,EPB41L4B,PPP2R2D,SCRIB,EZR,CLDN3,PRKCZ,PRKAA2,PRKAA1,PRKCE,OCLN,MAPK10,ACTR3B,CLDN18,TJP1,CGN,PARD6B,PARD3,PRKACA,SRC,F11R,MAGI1	0.44595798854233	0.509666272619805
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE123902	q4_vs_q1	7	4	3	11874	20	-0.742153856096185	-2.30529554418745	6.27951696787921e-05	12	B2M,HLA-C,HLA-B,HLA-E,TAP1,PSMB9,TAP2,HLA-F,PSMB8,HLA-G,TAPBPL,HLA-A	9.41927545181881e-05	0.000125590339357584
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE123902	q4_vs_q1	7	4	3	11874	30	0.463668526710821	1.48765357923949	0.0384370015948963	8	TBCD,CLDN3,MARVELD2,OCLN,CLDN23,CLDN18,CLDN1,STRN		0.0439280018227387
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE123902	q4_vs_q1	7	4	3	11874	59	0.50400965269629	1.86042396010927	0.00026286340067975	16	FZD5,TBCD,CLDN3,ILDR1,F11R,CLDN12,MARVELD2,AFDN,MPP7,OCLN,CLDN23,PATJ,CLDN18,SRF,CLDN1,STRN		0.000350484534239667
HALLMARK_APICAL_JUNCTION	primary	GSE123902	q4_vs_q1	7	4	3	11874	143	-0.380986600699065	-1.77317111972279	0.000185633542987504	57	RAC2,CERCAM,RSU1,ACTG2,ARPC2,VCAN,SKAP2,FSCN1,PECAM1,MYH9,RHOF,ACTB,THY1,YWHAH,VCAM1,ICAM2,SPEG,PFN1,LIMA1,TIAL1,BMP1,MYL9,FBN1,CRAT,MMP2,EVL,LAMC2,ZYX,SLIT2,VASP,CNN2,STX4,LAMB3,SHC1,ITGB1,TRAF1,IRS1,CDH11,CAP1,CD99	0.000222760251585005	0.000297013668780007
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE123902	q4_vs_q1	7	4	3	11874	155	-0.660362875544546	-3.11640689716599	3.09202538125929e-25	86	EMP3,WIPF1,P3H1,GLIPR1,SERPINE2,LGALS1,MMP14,VCAN,TPM4,MMP1,ACTA2,TIMP1,CTHRC1,TAGLN,COLGALT1,IGFBP3,COL5A2,DKK1,COL6A2,MYLK,VIM,PDLIM4,THY1,SPARC,VCAM1,ITGA5,CD59,PPIB,PDGFRB,TNFAIP3,PLOD1,GPX7,SPP1,PLAUR,FBLN2,PLOD3,PTX3,COL4A1,COL3A1,BMP1	1.85521522875557e-24	2.47362030500743e-24
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE123902	q4_vs_q1	7	4	3	11874	89	-0.579890745912874	-2.50065566579866	7.05535656481913e-10	41	B2M,ELF1,OASL,LPAR6,MVB12A,EPSTI1,HLA-C,IRF2,GBP2,RTP4,UBE2L6,LAP3,IFI44,SAMD9L,CASP1,BST2,SAMD9,IFI44L,PSME2,IL4R,ISG15,TAP1,IFI35,TMEM140,IFITM1,IFI30,IFITM3,PSMB9,PSMB8,OGFR,LY6E,BATF2,STAT2,IFI27,OAS1,MX1,PROCR,SP110,IRF9,RSAD2	1.41107131296383e-09	1.8814284172851e-09
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE123902	q4_vs_q1	7	4	3	11874	177	-0.525458897870895	-2.52706695013992	1.88509177045421e-14	74	IL15RA,ARID5B,CSF2RB,B2M,CFH,SAMHD1,FGL2,TNFAIP2,OASL,EPSTI1,HLA-DQA1,IL10RA,IRF2,RTP4,HLA-B,UBE2L6,MYD88,PML,CD69,CCL5,VCAM1,GZMA,LAP3,IFI44,SAMD9L,PSMA2,CASP1,BST2,ITGB7,STAT4,SLAMF7,IFI44L,PSME2,TNFAIP3,TNFSF10,IL4R,SSPN,C1R,ISG15,PIM1	5.65527531136264e-14	7.54036708181685e-14
KEGG_TIGHT_JUNCTION	primary	GSE123902	q4_vs_q1	7	4	3	11874	126	0.290199212584409	1.20900245904629	0.133775021144629	24	CLDN3,F11R,PRKAB1,RAPGEF6,ERBB2,MARVELD2,NEDD4L,PPP2CB,SCRIB,MAPK9,AFDN,PRKAA2,EPB41L4B,OCLN,CLDN23,PATJ,PRKCI,MYH14,CLDN18,CRB3,CLDN1,LLGL2,PPP2R2D,CACNA1D	0.133775021144629	0.133775021144629
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE131907	continuous_z	21			17372	21	-0.268680325740056	-0.896383676933279	0.608643457382953	5	TAP1,TAP2,IRF1,ERAP1,PSMB9	0.766946191474493	0.759809207039602
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE131907	continuous_z	21			17372	37	0.446836913186223	1.5205294164201	0.028866867729427	15	GRHL2,CLDN3,MARVELD3,MARVELD2,TBCD,CLDN15,SLC39A9,MICALL2,OCLN,CLDN7,CLDN23,STRN,CLDN1,POF1B,ESAM		0.0648983438804363
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE131907	continuous_z	21			17372	64	0.378013806718717	1.43879445240935	0.0324491719402181	23	GRHL2,ILDR1,CLDN3,MARVELD3,MPP7,PRKCH,F11R,MARVELD2,CLDN12,TBCD,CLDN15,SLC39A9,MICALL2,OCLN,CLDN7,CLDN23,IKBKB,STRN,EPHB2,CLDN1,POF1B,LSR,ESAM		0.0648983438804363
HALLMARK_APICAL_JUNCTION	primary	GSE131907	continuous_z	21			17372	170	0.214765988980729	0.936635241385169	0.612822647793505	37	MPZL2,CRB3,CDH1,HADH,PCDH1,STX4,PARVA,NF2,SYK,INSIG1,LAMB3,RASA1,CLDN15,ICAM1,CX3CL1,EGFR,MAPK13,MYH9,SPEG,ADAM15,CDH3,CTNND1,CDSN,MMP9,COL16A1,MPZL1,MDK,ITGA3,RAC2,CLDN7,HRAS,TMEM8B,GRB7,CDH15,PIK3R3,WASL,ICAM4	0.766946191474493	0.759809207039602
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE131907	continuous_z	21			17372	179	-0.349663764767036	-1.83955410570402	4.8318691250223e-06	56	LUM,COL5A2,MFAP5,TPM2,COL12A1,VCAM1,FBN1,LAMA2,FGF2,DCN,MATN3,LAMC1,CDH6,CAP2,SLIT2,ID2,COMP,SFRP4,DKK1,FSTL3,TGFBR3,LOXL2,MMP14,MYL9,THY1,TGFB1,COL3A1,WIPF1,EMP3,FBLN2,BDNF,BMP1,COLGALT1,LOX,ITGB1,P3H1,SFRP1,COL1A2,CDH2,APLP1	2.89912147501338e-05	3.86549530001784e-05
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE131907	continuous_z	21			17372	95	0.221304933736974	0.896458445159779	0.664833056159652	32	CD47,IRF7,IRF2,CASP8,ISG20,LGALS3BP,TRIM5,IL7,NUB1,TRIM14,CCRL2,NCOA7,TDRD7,UBA7,IL4R,CD74,CNP,DHX58,TXNIP,CSF1,PSMA3,IL15,IFITM2,TRAFD1,MVB12A,CASP1,LAMP3,NMI,RSAD2,ELF1,HERC6,DDX60	0.766946191474493	0.759809207039602
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE131907	continuous_z	21			17372	190	0.196579001294039	0.86894618971841	0.766946191474493	49	ST3GAL5,PTGS2,PLA2G4A,PELI1,IRF7,VAMP8,IRF2,CASP8,ICAM1,IRF5,ISG20,AUTS2,LGALS3BP,CASP4,MX2,NFKBIA,MVP,IL7,ST8SIA4,MYD88,CASP3,APOL6,BANK1,TRIM14,SOCS1,TDRD7,IFNAR2,TNFAIP2,CDKN1A,HLA-DMA,SPPL2A,SECTM1,SLAMF7,PTPN6,IL4R,PNP,FAS,TNFSF10,CD74,DHX58	0.766946191474493	0.766946191474493
KEGG_TIGHT_JUNCTION	primary	GSE131907	continuous_z	21			17372	141	0.392352294626659	1.67627863034183	0.000268692756967588	43	CRB3,DLG3,CLDN3,LLGL2,MARVELD3,RUNX1,ACTR3C,CCND1,JUN,CGNL1,PRKCE,SLC9A3R1,F11R,TUBA4A,MARVELD2,PRKAA2,ACTR3,PARD6A,NF2,TJP2,CLDN15,MICALL2,ERBB2,MAP3K1,MYH9,MAPK9,ARPC5L,TJP3,AMOT,MYH14,OCLN,CDC42,ARHGEF2,CD1A,AMOTL1,CLDN7,CLDN23,MAP3K5,CACNA1D,STK11	0.000806078270902762	0.00107477102787035
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE131907	q4_vs_q1	11	6	5	15738	21	-0.327567791491052	-1.10359425630692	0.303123927222794	5	TAP2,TAP1,PSMB9,PSMB10,IRF1	0.454685890834192	0.404165236297059
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE131907	q4_vs_q1	11	6	5	15738	34	0.393284572317307	1.25211798717406	0.159791052772569	13	TBCD,ESAM,CLDN3,STRN,CLDN15,GRHL2,POF1B,MICALL2,SLC39A9,MARVELD3,MARVELD2,CLDN1,OCLN		0.270540037243948
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE131907	q4_vs_q1	11	6	5	15738	60	0.341991109734838	1.2157039666187	0.169087523277467	20	TBCD,F11R,ESAM,CLDN3,STRN,MPP7,CLDN15,GRHL2,POF1B,MICALL2,CLDN12,SLC39A9,IKBKB,ILDR1,MARVELD3,PRKCH,MARVELD2,CLDN1,OCLN,PRKACA		0.270540037243948
HALLMARK_APICAL_JUNCTION	primary	GSE131907	q4_vs_q1	11	6	5	15738	159	-0.157238437556175	-0.810186754762662	0.952380952380952	51	PTPRC,VASP,CNN2,EPB41L2,VCL,CLDN6,PBX2,ITGB1,ZYX,AKT3,RHOF,DLG1,SYMPK,RRAS,CLDN11,MYL9,SIRPA,PECAM1,FBN1,LAMA3,COL9A1,ALOX15B,BMP1,NEXN,EVL,GNAI1,DSC3,MYL12B,PLCG1,DHX16,ACTG1,MADCAM1,PFN1,SLIT2,CADM2,AKT2,ACTB,CDH6,MYH10,NFASC	0.952380952380952	0.952380952380952
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE131907	q4_vs_q1	11	6	5	15738	162	-0.324672651519823	-1.68319536945386	2.80922653110533e-05	54	MMP14,TPM2,ID2,DKK1,WIPF1,LUM,CAPG,SPP1,TGFBR3,LOX,DST,TGFB1,DCN,MYLK,ITGB1,LOXL2,FBLN2,EDIL3,MFAP5,MATN3,MYL9,GLIPR1,FSTL3,COL5A2,LAMC1,LAMA2,FBN1,LAMA3,ANPEP,BDNF,COL1A2,CAP2,VEGFC,ADAM12,EFEMP2,BMP1,COL3A1,VIM,TNFAIP3,IL6	0.000168553591866319	0.000224738122488426
HALLMARK_INTERFERON_ALPHA_RESPONSE	primary	GSE131907	q4_vs_q1	11	6	5	15738	94	-0.208127141539927	-0.984603109552896	0.49859943977591	26	STAT2,GBP4,GBP2,PSME1,TAP1,CMTR1,IFITM1,IRF9,LAP3,MOV10,PSME2,TMEM140,RTP4,PNPT1,IFI30,PSMB9,CXCL10,TRIM26,IRF1,PLSCR1,C1S,IFI35,PARP12,IFITM3,EPSTI1,PROCR	0.598319327731092	0.569827931172469
HALLMARK_INTERFERON_GAMMA_RESPONSE	primary	GSE131907	q4_vs_q1	11	6	5	15738	183	-0.252480455716207	-1.32437218238775	0.0186711971186674	52	PSMA2,IRF8,CD69,CCL5,LCP2,GZMA,JAK2,IL10RA,STAT1,PFKP,STAT2,GBP4,FGL2,IL18BP,PSME1,CCL2,TAP1,SERPING1,IL2RB,PTPN1,LATS2,CMTR1,SAMHD1,IRF9,HLA-DRB1,FPR1,LAP3,PTPN2,MT2A,PSME2,RTP4,CFB,NCOA3,TNFAIP3,IL6,PNPT1,IFI30,GBP6,BPGM,PSMB9	0.0560135913560022	0.0746847884746696
KEGG_TIGHT_JUNCTION	primary	GSE131907	q4_vs_q1	11	6	5	15738	133	0.303605763759484	1.2078419685102	0.136860906452333	39	DLG3,PRKAA2,F11R,CGNL1,CLDN3,CCND1,MAP3K1,CDC42,PARD6A,LLGL2,AMOT,CLDN15,TJP2,MAP2K7,ARHGEF2,MICALL2,WHAMM,CRB3,CACNA1D,TUBA4A,MAPK9,ACTR3,MARVELD3,RAC1,JUN,ARPC5L,ACTR2,MYH14,MARVELD2,SLC9A3R1,MAGI1,AMOTL1,CLDN1,NEDD4,STK11,OCLN,PRKACA,MYH9,SRC	0.273721812904666	0.270540037243948
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	primary	GSE205335	continuous_z	21			20393	21	-0.892639727783056	-3.01160628463341	4.41618051294209e-14	18	TAP1,HLA-B,TAP2,ERAP1,PSMB9,HLA-F,HLA-E,PSMB10,ERAP2,PSMB8,NLRC5,TAPBPL,HLA-C,B2M,TAPBP,HLA-A,CANX,IRF1	8.83236102588418e-14	1.17764813678456e-13
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	secondary	GSE205335	continuous_z	21			20393	41	-0.218433920207054	-0.875862306046955	0.687659846547315	6	PECAM1,CLDN16,CLDN10,PDCD6IP,CLDN8,POF1B		0.687659846547315
GOBP_TIGHT_JUNCTION_ORGANIZATION	secondary	GSE205335	continuous_z	21			20393	72	-0.199090883079748	-0.906019825456831	0.672516803584765	12	PECAM1,CLDN16,PLEC,CLDN10,PDCD6IP,EPHA2,CLDN8,ACTG1,MPP7,POF1B,IKBKB,CLDN1		0.687659846547315
HALLMARK_APICAL_JUNCTION	primary	GSE205335	continuous_z	21			20393	188	-0.271807883683272	-1.45165114940586	0.00196511535616477	36	ZYX,CD86,PTPRC,RHOF,PFN1,CNN2,FYB1,PECAM1,CAP1,MSN,RAC2,TRAF1,CD274,SHC1,RSU1,ADAM15,ACTG2,ACTB,CLDN8,DSC3,ITGA2,MYH9,ACTG1,ARPC2,CD99,NECTIN4,CRAT,LAMC2,MPZL2,LAMB3,B4GALT1,VCAM1,CDH3,ADAM9,VASP,ACTN4	0.00294767303424715	0.00393023071232953
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	primary	GSE205335	continuous_z	21			20393	195	-0.267372169037004	-1.4328939738587	0.00527202274373035	83	ITGA5,IL32,TNFAIP3,LOX,COL5A3,GLIPR1,EMP3,FAS,VIM,IL15,AREG,IGFBP3,FOXC2,ITGA2,LAMA2,LAMC2,MFAP5,VCAM1,ITGB5,PDLIM4,TGM2,COL6A3,CD44,WIPF1,PLOD2,CCN1,TGFB1,PMP22,COL7A1,GADD45B,NNMT,VEGFC,POSTN,SPP1,ECM2,COL6A2,CXCL1,IL6,MYLK,CCN2	0.00632642729247643	0.00843523638996857
