set	n_boot_ok	nes_boot_median	ci_lo	ci_hi	scope	contrast	B	nperm
KEGG_TIGHT_JUNCTION	200	0.936957310003263	-1.37997052009081	1.49755206264284	GSE123902	continuous_z	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.30068298069809	-1.11253330075586	1.83746537457332	GSE123902	continuous_z	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	0.885364676666057	-1.52333673758343	1.51300975340218	GSE123902	continuous_z	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-1.91818738388421	-2.61603930319789	0.827380595531096	GSE123902	q4_vs_q1	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-2.15324862831503	-2.71997371018339	-1.01904702208493	GSE123902	q4_vs_q1	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-1.79207949463452	-2.29510868448387	-1.05775773273803	GSE123902	q4_vs_q1	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-2.39144177499349	-3.14426444557763	-1.14331027631405	GSE123902	q4_vs_q1	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.43981053787048	-2.21299706964219	2.14431679823439	GSE123902	q4_vs_q1	200	1000
KEGG_TIGHT_JUNCTION	200	1.13161256170546	-1.25166352827446	2.32235440330669	GSE123902	q4_vs_q1	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.49001205676871	-1.14659288686037	2.68816931880153	GSE123902	q4_vs_q1	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.22529657965452	-1.24350176480901	2.57442018857155	GSE123902	q4_vs_q1	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	0.701695874748154	-2.16792720189514	1.91283873671063	GSE131907	continuous_z	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	0.762943790539435	-2.05174399405325	1.814895113926	GSE131907	continuous_z	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-0.993536510143703	-2.24706339295737	1.57808779619926	GSE131907	continuous_z	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-1.78699498725539	-2.41797784695119	0.74859252083098	GSE131907	continuous_z	200	1000
HALLMARK_APICAL_JUNCTION	200	-0.94144778209893	-1.41232355735549	1.23164622531884	GSE131907	continuous_z	200	1000
KEGG_TIGHT_JUNCTION	200	1.47108188243834	0.715795001205363	1.86940215536576	GSE131907	continuous_z	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.33264508490255	0.741768362494449	1.69146732642362	GSE131907	continuous_z	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.40289628503076	0.821102098695423	1.73837001921253	GSE131907	continuous_z	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-0.54174900986396	-2.69715963896081	1.68291434393155	GSE131907	q4_vs_q1	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-1.0788678272751	-2.51021097645188	1.37186997194268	GSE131907	q4_vs_q1	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-0.798615836336311	-2.30620133748656	1.62154565368003	GSE131907	q4_vs_q1	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-1.42865875531165	-2.15785560922717	0.910594741600432	GSE131907	q4_vs_q1	200	1000
HALLMARK_APICAL_JUNCTION	200	-0.727238005342261	-1.3622368569874	1.09398300436815	GSE131907	q4_vs_q1	200	1000
KEGG_TIGHT_JUNCTION	200	1.07700785077565	-0.854796096595235	1.46984023859314	GSE131907	q4_vs_q1	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	1.11866205759659	-1.01319809931541	1.53477625280222	GSE131907	q4_vs_q1	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.14915296195488	-0.977229375317842	1.5107261515341	GSE131907	q4_vs_q1	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-3.07029394380522	-3.61239608375934	-0.973941531213696	GSE205335	continuous_z	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-3.42568225094989	-3.85270833734653	-1.80832757807827	GSE205335	continuous_z	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-2.62535970501273	-3.00687399473712	-0.81406608704324	GSE205335	continuous_z	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-1.42671796572535	-2.16313404037206	0.988279992365159	GSE205335	continuous_z	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.24376193195837	-1.99508177828303	1.35884814442634	GSE205335	continuous_z	200	1000
KEGG_TIGHT_JUNCTION	200	-1.25624407846036	-1.68808241614072	1.06754995599082	GSE205335	continuous_z	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	-0.794062006735983	-1.60468090994748	1.3848460969194	GSE205335	continuous_z	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	-0.641339403644465	-1.40883522214458	1.40526088750862	GSE205335	continuous_z	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-3.08971005632683	-3.50861599735971	-2.17575784351656	GSE205335	q4_vs_q1	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-3.4051803115334	-3.79645359966247	-2.56424449825069	GSE205335	q4_vs_q1	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	-2.43858688995553	-2.82310650041415	-1.64237607950106	GSE205335	q4_vs_q1	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-1.64003085284543	-2.29264918191654	0.831167286110867	GSE205335	q4_vs_q1	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.35199432579143	-2.06585910739741	1.24220151425588	GSE205335	q4_vs_q1	200	1000
KEGG_TIGHT_JUNCTION	200	-1.24908579043578	-1.61121473473681	0.978625465303724	GSE205335	q4_vs_q1	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	-1.00606804235959	-1.66314920631426	1.27788034512862	GSE205335	q4_vs_q1	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	-0.753726793060765	-1.36199679189046	1.49735918280278	GSE205335	q4_vs_q1	200	1000
HALLMARK_INTERFERON_ALPHA_RESPONSE	200	-1.10230530168122	-1.90177538008703	1.29169047210949	GSE189357	continuous_z	200	1000
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	-1.34260709031819	-2.45508763974818	1.08471296174589	GSE189357	continuous_z	200	1000
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	200	0.499772443780212	-2.11770757169275	1.5945912714589	GSE189357	continuous_z	200	1000
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	-2.45351392315644	-2.85024341741854	-1.53627745026763	GSE189357	continuous_z	200	1000
HALLMARK_APICAL_JUNCTION	200	-1.36889153191187	-1.595787788033	1.06148330023761	GSE189357	continuous_z	200	1000
KEGG_TIGHT_JUNCTION	200	-0.968381963845076	-1.347662501549	1.09444580944379	GSE189357	continuous_z	200	1000
GOBP_TIGHT_JUNCTION_ORGANIZATION	200	0.822651072548635	-1.14072596467531	1.34723833714154	GSE189357	continuous_z	200	1000
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	200	1.04172946999939	-1.06840374456537	1.39636226884948	GSE189357	continuous_z	200	1000
