cohort	patient	rule	n_mal	n_high	n_low	n_B	n_TLS	n_TNK	mean_CLDN4_high	mean_CLDN4_low	eligible_mal_split	eligible_B	eligible_TLS	eligible_TNK
GSE131907	P3007	tertile	5108	1703	1703	54	59	166	2.506802797317505	0.8928715586662292	True	True	True	True
GSE131907	P3012	median	2811	1406	1405	9	10	22	2.3224027156829834	1.0512793064117432	True	False	True	True
GSE131907	P3012	tertile	2811	937	937	9	10	22	2.5042495727539062	0.7345614433288574	True	False	True	True
GSE131907	P3013	median	1352	676	676	656	867	1780	2.02864146232605	0.48940354585647583	True	True	True	True
GSE131907	P3013	tertile	1352	451	451	656	867	1780	2.233691453933716	0.1304539293050766	True	True	True	True
GSE131907	P3016	median	79	79	0	256	366	385	0.07498374581336975		False	False	False	False
GSE131907	P3016	tertile	79	79	70	256	366	385	0.07498374581336975	0.0	True	True	True	True
GSE131907	P3017	median	1112	556	556	70	84	410	2.7972183227539062	1.4115321636199951	True	True	True	True
GSE131907	P3017	tertile	1112	371	371	70	84	410	3.0094125270843506	1.0616858005523682	True	True	True	True
GSE131907	P3019	median	755	378	377	74	76	370	1.7262089252471924	0.30799388885498047	True	True	True	True
GSE131907	P3019	tertile	755	252	252	74	76	370	1.9270130395889282	0.005892206449061632	True	True	True	True
GSE241934_IIT	P343	median	188	94	94	648	1076	3307	2.5514020919799805	1.0601890087127686	True	True	True	True
GSE241934_IIT	P343	tertile	188	63	63	648	1076	3307	2.8081789016723633	0.7656314373016357	True	True	True	True
GSE241934_IIT	P438	median	63	32	31	935	1582	3994	2.0837044715881348	0.5716933608055115	True	True	True	True
GSE241934_IIT	P438	tertile	63	21	21	935	1582	3994	2.3894124031066895	0.31093600392341614	True	True	True	True
GSE241934_IIT	P519	median	41	21	20	2016	2565	3100	2.1591579914093018	0.8420454263687134	True	True	True	True
GSE241934_IIT	P519	tertile	41	14	14	2016	2565	3100	2.436333417892456	0.6618933081626892	True	True	True	True
GSE241934_IIT	P529	median	61	31	30	1592	2342	4761	2.209318161010742	0.5723628997802734	True	True	True	True
GSE241934_IIT	P529	tertile	61	21	21	1592	2342	4761	2.5040411949157715	0.34350404143333435	True	True	True	True
GSE241934_IIT	P531	median	32	16	16	1142	1544	4061	2.0317130088806152	0.8334848284721375	True	True	True	True
GSE241934_IIT	P531	tertile	32	11	11	1142	1544	4061	2.148350477218628	0.49125298857688904	True	True	True	True
GSE241934_IIT	P547	median	394	197	197	673	736	2680	2.5930657386779785	0.7894636988639832	True	True	True	True
GSE241934_IIT	P547	tertile	394	132	132	673	736	2680	2.8533079624176025	0.3905751705169678	True	True	True	True
GSE241934_IIT	P549	median	298	149	149	1560	1665	2870	2.5219674110412598	0.9502657651901245	True	True	True	True
GSE241934_IIT	P549	tertile	298	100	100	1560	1665	2870	2.762376308441162	0.6134516000747681	True	True	True	True
GSE241934_IIT	P586	median	106	53	53	1937	2165	3250	2.052122116088867	0.6514655351638794	True	True	True	True
GSE241934_IIT	P586	tertile	106	36	36	1937	2165	3250	2.2234432697296143	0.31343525648117065	True	True	True	True
GSE241934_IIT	P589	median	368	184	184	137	163	3521	3.24365496635437	1.7357720136642456	True	True	True	True
GSE241934_IIT	P589	tertile	368	123	123	137	163	3521	3.4285335540771484	1.3469089269638062	True	True	True	True
GSE241934_IIT	P590	median	72	36	36	1561	1917	5663	2.861114740371704	1.4711941480636597	True	True	True	True
GSE241934_IIT	P590	tertile	72	24	24	1561	1917	5663	3.106395959854126	1.1588706970214844	True	True	True	True
GSE241934_IIT	P591	median	76	38	38	855	945	3505	2.8286423683166504	0.9138604402542114	True	True	True	True
GSE241934_IIT	P591	tertile	76	26	26	855	945	3505	3.002310037612915	0.4693918228149414	True	True	True	True
