set_name	gene	role	source
Hallmark_IFN_alpha	Herc6	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cmpk2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifitm3	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Rtp4	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Stat2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Samd9l	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ly6e	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifitm2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Helz2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cxcl11	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trim21	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Parp14	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trim26	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Parp12	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Nmi	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Rnf31	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Casp1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trim14	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Tdrd7	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Dhx58	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Parp9	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Pnpt1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trim25	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Psme1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Epsti1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Uba7	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Psme2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	B2m	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trim5	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Lap3	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Lamp3	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Gbp4	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ncoa7	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Tmem140	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cd74	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Gmpr	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Psma3	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Procr	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Il7	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ifi30	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Irf2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Csf1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Il15	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cnp	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cmtr1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Cd47	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Lpar6	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Mov10	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Casp8	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Txnip	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Slc25a28	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Sell	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Trafd1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Batf2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ripk2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ccrl2	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Nub1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Ogfr	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Mvb12a	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_alpha	Elf1	secondary	MSigDB Hallmark 2020 interferon alpha response
Hallmark_IFN_gamma	Stat1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Isg15	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifit1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Mx1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifit3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifi35	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifit2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Oas2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tap1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Eif2ak2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rsad2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Mx2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Oas3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tnfsf10	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf9	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cxcl10	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifi44	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Bst2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Xaf1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Sp110	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psmb8	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifi44l	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifitm3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ddx60	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Lgals3bp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Gbp4	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf8	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psmb9	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pml	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifih1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ube2l6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifi27	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Adar	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ly6e	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Stat2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cxcl9	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il10ra	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pla2g4a	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Trim21	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Usp18	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ptgs2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Epsti1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ddx58	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il15	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nlrc5	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nmi	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ido1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psmb10	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cxcl11	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Itgb7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Samhd1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Herc6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cmpk2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Samd9l	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rtp4	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ptpn2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Parp14	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tnfaip2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifitm2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Plscr1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Socs1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Casp1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Icam1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psme1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Isg20	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Trim14	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Socs3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Jak2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Parp12	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tnfaip6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Trim26	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Vcam1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd274	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ciita	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nampt	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Selp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Gpr18	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Fpr1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Helz2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psme2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Serping1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ccl5	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rnf31	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Sod2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Trim25	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Lap3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psma3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rnf213	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Peli1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cfb	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd86	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Txnip	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Gch1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pnp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ccl7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ptpn6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Sppl2a	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pnpt1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Dhx58	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Btg1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Casp8	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifi30	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ccl2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Fgl2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Casp7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il15ra	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd40	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Trafd1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Gbp6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Lcp2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ripk1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Klrk1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Upp1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psmb2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tdrd7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Hif1a	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Eif4e3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Vamp8	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pfkp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd38	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Zbp1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Bank1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tor1b	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rbck1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pde4b	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Mvp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Bpgm	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cmtr1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Auts2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	B2m	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ripk2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd69	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Myd88	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Psma2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Pim1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nod1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cfh	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tapbp	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Slc25a28	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ptpn1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Tnfaip3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Sspn	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nup93	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Mthfd2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cdkn1a	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf4	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nfkb1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Batf2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Lats2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Irf5	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Slamf7	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Isoc1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	P2ry14	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Stat3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ncoa3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Il6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Gzma	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ifnar2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cd74	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Rapgef6	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Casp4	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Fas	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Ogfr	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Arl4a	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Sri	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Lysmd2	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Csf2rb	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	St3gal5	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Casp3	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Cmklr1	secondary	MSigDB Hallmark 2020 interferon gamma response
Hallmark_IFN_gamma	Nfkbia	secondary	MSigDB Hallmark 2020 interferon gamma response
