symbol	naive_KO_vs_WT_logFC	naive_KO_vs_WT_logCPM	naive_KO_vs_WT_FDR	VILI_WT_vs_naive_WT_logFC	VILI_WT_vs_naive_WT_logCPM	VILI_WT_vs_naive_WT_FDR	VILI_KOhigh_vs_WT_logFC	VILI_KOhigh_vs_WT_logCPM	VILI_KOhigh_vs_WT_FDR	VILI_KOlow_vs_WT_logFC	VILI_KOlow_vs_WT_logCPM	VILI_KOlow_vs_WT_FDR	interaction_high	interaction_low
Rad52	-0.05466887	3.487122602	1.0	-0.341036918	3.407841616	0.639491154	-0.18228566	3.004784462	1.0	-0.09489634	3.003428634	1.0	-0.12761678999999998	-0.040227469999999994
Palb2	-0.220970346	1.354966643	1.0	-0.089498151	1.495617577	1.0	-0.06342538	1.357665485	1.0	-0.577545029	1.018535527	1.0	0.157544966	-0.35657468300000006
Rpa1	0.026201765	6.038532543	1.0	-0.198229434	5.95322646	0.601046754	0.029837066	5.81956959	1.0	0.004363542	5.810783556	1.0	0.0036353010000000005	-0.021838222999999997
Rpa2	0.090870812	4.183730459	1.0	0.050349975	4.18987872	1.0	-0.357226758	3.933525779	1.0	-0.289102388	3.957134982	1.0	-0.44809756999999995	-0.3799732
Rpa3	-0.254317189	2.09862689	1.0	-0.332804684	2.133047497	0.891533504	-0.671377253	1.536635626	1.0	-0.560957038	1.562856043	1.0	-0.41706006399999995	-0.30663984899999996
Nbn	0.281562005	4.350766655	0.683901271	0.338766106	4.397154938	0.404735525	-0.137339777	4.371212017	1.0	-0.034730545	4.4165666	1.0	-0.418901782	-0.31629255
Rbbp8	0.321606388	3.928701889	0.627311121	0.899795018	4.302972499	0.000505347	-0.177201461	4.487726026	1.0	-0.118829683	4.515722067	1.0	-0.498807849	-0.44043607100000004
Atm	-0.147208945	5.638647269	0.961422135	-0.506052615	5.490599502	0.018799105	-0.352024849	4.974040939	0.912654445	-0.298282162	4.99390586	1.0	-0.20481590399999997	-0.151073217
Atr	-0.391793517	4.884351796	0.250979419	-0.290068196	4.944078077	0.478579286	-0.520238852	4.462635045	0.900853554	-0.282914141	4.562856043	1.0	-0.128445335	0.10887937599999997
Chek1	0.729038678	0.736056811	0.742821096	1.178337241	1.080580077	0.297039429	-0.608421474	1.153306987	1.0	-0.524420959	1.134012744	1.0	-1.337460152	-1.253459637
Chek2	0.250172255	1.572558079	1.0	-1.440572591	1.05361303	0.083351613	0.909234536	0.839198396	1.0	0.750972452	0.562856043	1.0	0.659062281	0.500800197
Exo1	0.725140159	0.250629984	0.888817422	-0.313157885	0.026132293	1.0	0.40053793	0.089176649	1.0	-0.465663572	-0.244498879	1.0	-0.32460222899999996	-1.190803731
Cdkn1a	0.920669029	5.315642134	1.95148e-06	2.571799601	6.590721518	1.98558e-58	1.197950199	8.090712793	6.57972e-05	0.802456301	7.836052198	0.035791677	0.2772811700000001	-0.11821272800000004
Gadd45a	0.0	3.811344938	1.0	1.819731235	4.996348824	2.59936e-21	0.604285144	5.90354063	0.172874305	0.091946248	5.62463224	1.0	0.604285144	0.091946248
Gadd45b	-0.250453371	5.385056304	0.864466962	0.666918097	5.885069666	0.003798436	0.805162967	6.603442397	0.01170712	-0.292084393	6.016655793	1.0	1.055616338	-0.04163102200000002
Gadd45g	0.095645575	3.676894738	1.0	2.377030014	5.282794617	1.0525e-20	0.497245804	6.253626521	0.574747307	0.470099429	6.244947719	0.817740597	0.40160022900000003	0.37445385400000003
Bbc3	0.781012572	3.448338142	0.023745949	0.809872276	3.500618258	0.019605112	-0.044308897	3.695834221	1.0	0.278553824	3.842963962	1.0	-0.8253214689999999	-0.502458748
Pmaip1	1.108319232	4.442429485	5.68387e-07	1.485281475	4.737203563	5.10546e-09	-0.384690198	5.037012795	1.0	0.208539032	5.325356729	1.0	-1.4930094299999999	-0.8997801999999999
Mdm2	-0.261637393	6.141806108	0.452300509	0.409864104	6.508707576	0.03699092	0.30595777	6.84284925	0.944031308	0.150069485	6.759440606	1.0	0.567595163	0.411706878
Ccng1	-0.259666432	6.940627955	0.508942092	-0.242555691	6.976295597	0.467561478	-0.27428175	6.706560628	1.0	0.036839008	6.858264217	1.0	-0.014615317999999988	0.29650544
Trp53	0.038219322	5.262975174	1.0	-0.371749733	5.08391579	0.178031583	0.08408829	4.836759351	1.0	-0.144506642	4.725894659	1.0	0.045868967999999996	-0.182725964
Ddb2	-0.290923803	4.79443516	0.519826358	-0.359141369	4.781019795	0.256473622	-0.146898072	4.411104744	1.0	-0.079774439	4.439197575	1.0	0.144025731	0.21114936399999998
H2afx	0.500512179	4.029364228	0.223636169	-0.197138992	3.692014789	0.940575149	0.618377178	3.794651957	0.500835771	0.121445626	3.505035388	1.0	0.11786499900000003	-0.37906655300000003
Mdc1	-0.028647157	5.910269171	1.0	-0.389994034	5.768636071	0.066495788	-0.060286299	5.470522954	1.0	-0.109571095	5.448988078	1.0	-0.031639142	-0.080923938
Rnf8	0.154696484	4.890151583	1.0	0.093549797	4.872587035	1.0	-0.141889571	4.751278548	1.0	0.05149198	4.842963962	1.0	-0.296586055	-0.103204504
Rnf168	-0.007795737	5.4678607	1.0	-0.023155656	5.466522346	1.0	-0.208903343	5.291523128	1.0	0.101829656	5.439197575	1.0	-0.201107606	0.109625393
Trp53bp1	-0.012359853	6.122227249	1.0	-0.162299983	6.070526413	0.717031444	-0.1861004	5.862165958	1.0	-0.26096433	5.831247659	1.0	-0.173740547	-0.24860447700000002
Kat5	-0.081104174	5.219872588	1.0	0.338103119	5.457549536	0.172830236	0.229107849	5.672772314	1.0	0.117428124	5.617208407	1.0	0.310212023	0.198532298
Ube2n	0.172517151	6.274661485	0.877508179	0.040844422	6.228821252	1.0	0.1807388	6.307464672	1.0	-0.00163803	6.222291358	1.0	0.008221648999999998	-0.17415518100000002
Bard1	0.693720816	1.642947406	0.461007405	-0.102180395	1.325692575	1.0	0.0	1.214707531	1.0	0.238512087	1.240927948	1.0	-0.693720816	-0.455208729
Aim2	-0.686161223	2.543411733	0.261065477	0.298818981	3.046791764	0.818552497	-0.664815808	2.759028048	0.900853554	-0.631668882	2.718975245	0.919170593	0.02134541500000009	0.054492341
Zbp1	0.997190466	2.572558079	0.046295608	-0.356430942	1.925605417	0.907671216	0.510737916	1.877672544	1.0	-0.411314413	1.433573026	1.0	-0.4864525500000001	-1.408504879
Ifi202b	0.338524605	1.176629402	1.0	-0.544996093	0.817545671	0.883450233	1.108059746	1.056009785	0.870474471	1.153474481	0.988161877	1.0	0.769535141	0.814949876
Ifi203	-0.203004948	5.821244705	0.782806359	-0.683358037	5.63857553	0.000479002	-0.550024075	4.938084061	0.611175107	-0.779906116	4.847200955	0.036520919	-0.3470191269999999	-0.576901168
Ifi204	0.021334142	3.047642961	1.0	-0.085518071	3.039938093	1.0	0.506959989	3.121598127	1.0	0.071039337	2.842963962	1.0	0.48562584700000005	0.049705194999999994
Pycard	0.341036918	3.471733709	0.808159367	-0.239425618	3.214435824	0.934182103	0.595957508	3.266369651	0.692940185	0.331205908	3.077429216	1.0	0.25492059	-0.009831010000000029
Casp1	0.053315815	2.736056811	1.0	-1.396159489	2.244555812	0.02016037	0.472068444	1.607024954	1.0	0.48133987	1.521035867	1.0	0.418752629	0.428024055
Trex1	0.0	-2.071298111	1.0	0.0	-1.674307425	1.0	0.0	-1.370254969	1.0	0.0	-1.566426974	1.0	0.0	0.0
Ddx58	0.159132744	6.274661485	0.907447441	-0.373380515	6.045081396	0.079232595	-0.069727693	5.765454317	1.0	-0.046848486	5.778978273	1.0	-0.22886043699999997	-0.20598123
Mavs	0.220660619	5.589589159	0.694995137	-0.722179425	5.166470499	0.000365988	-0.074220264	4.632560046	1.0	0.125835216	4.725894659	1.0	-0.294880883	-0.094825403
Adar	0.221657554	6.267438271	0.687704255	0.03726296	6.191425846	1.0	0.057162778	6.201497674	1.0	-0.044433564	6.16149348	1.0	-0.164494776	-0.266091118
Ripk1	0.258783844	6.001504423	0.463823129	0.359267741	6.079744943	0.123007822	0.305930066	6.378776413	1.0	0.099508419	6.275137374	1.0	0.047146222000000015	-0.15927542499999997
Ripk3	0.09770921	3.428547776	1.0	-0.211073557	3.314377262	0.94118768	0.285514653	3.199600639	1.0	0.089963377	3.077429216	1.0	0.18780544300000002	-0.0077458330000000075
Lmnb1	0.36545547	4.835592484	0.376994602	0.380669086	4.870657008	0.270967832	0.73378885	5.36952564	0.176229428	0.216581096	5.068384076	1.0	0.36833338000000004	-0.148874374
Lmnb2	0.443225093	4.152703563	0.327510653	-0.202105407	3.837445229	0.917962684	0.156421765	3.685027466	1.0	0.06172899	3.603498027	1.0	-0.286803328	-0.38149610300000003
Banf1	0.253181066	5.450302328	0.560621402	-0.017065098	5.322872056	1.0	0.269659706	5.387968245	1.0	0.118409462	5.300851765	1.0	0.01647863999999999	-0.13477160400000002
Lemd3	-0.013436139	5.268551892	1.0	0.403178415	5.505601665	0.074894119	-0.057686647	5.607024954	1.0	0.024401343	5.650318884	1.0	-0.044250508	0.037837482
Tmpo	-0.136394472	7.362548097	0.997100603	-0.333252322	7.294359368	0.118767706	-0.289562893	6.972375329	0.91212577	-0.225873963	7.010057373	1.0	-0.153168421	-0.08947949100000002
Sun1	0.080502155	6.977869761	1.0	-0.1570267	6.887934999	0.732080426	0.058273586	6.818951865	1.0	0.110357242	6.847200955	1.0	-0.022228569000000004	0.02985508699999999
Sun2	0.029586352	7.293383745	1.0	-0.079935961	7.27077057	1.0	0.379957719	7.436294653	0.635916164	0.190604936	7.341590287	1.0	0.35037136700000004	0.161018584
Emd	0.114322648	6.411005671	1.0	0.553296357	6.687088108	0.0027021	0.514832368	7.203865466	0.257255409	0.17123582	7.013360355	1.0	0.40050971999999996	0.05691317200000001
