symbol	logFC	logCPM	FDR	contrast	role
Nhej1	0.797811149	1.330184749	0.964802279	VILI_KOhigh_vs_WT	companion_injury
Poll	0.174644603	3.316245558	1.0	VILI_KOhigh_vs_WT	companion_injury
Polm	-0.115284871	3.896531571	1.0	VILI_KOhigh_vs_WT	companion_injury
Fen1	-0.046231834	4.207173859	1.0	VILI_KOhigh_vs_WT	companion_injury
Dntt	0.770518154	-0.122327456	1.0	VILI_KOhigh_vs_WT	companion_injury
Mre11a	0.0	3.184333882	1.0	VILI_KOhigh_vs_WT	companion_injury
Rad50	-0.446502837	4.545624409	0.761317823	VILI_KOhigh_vs_WT	companion_injury
Trp53bp1	-0.1861004	5.862165958	1.0	VILI_KOhigh_vs_WT	companion_injury
Mb21d1	-0.179168846	1.799670032	1.0	VILI_KOhigh_vs_WT	companion_injury
Tmem173	0.858823937	4.487726026	0.220954487	VILI_KOhigh_vs_WT	companion_injury
Tbk1	-0.175490568	5.725142053	1.0	VILI_KOhigh_vs_WT	companion_injury
Ikbke	0.522193453	3.295080948	0.868520996	VILI_KOhigh_vs_WT	companion_injury
Irf3	0.130573512	5.066456573	1.0	VILI_KOhigh_vs_WT	companion_injury
Ddx41	0.109243847	4.695834221	1.0	VILI_KOhigh_vs_WT	companion_injury
Trex1	0.0	-1.370254969	1.0	VILI_KOhigh_vs_WT	companion_injury
Ifnb1	0.0	-1.370254969	1.0	VILI_KOhigh_vs_WT	companion_injury
Stat1	0.212370502	6.033822167	1.0	VILI_KOhigh_vs_WT	companion_injury
Irf7	-0.086156644	3.901208059	1.0	VILI_KOhigh_vs_WT	companion_injury
Isg15	1.129691077	2.089176649	0.375530071	VILI_KOhigh_vs_WT	companion_injury
Cxcl10	1.071384633	1.560482368	0.5516354	VILI_KOhigh_vs_WT	companion_injury
Cxcl9	2.722466024	-0.282792128	0.645266237	VILI_KOhigh_vs_WT	companion_injury
Ifng	0.0	-1.370254969	1.0	VILI_KOhigh_vs_WT	companion_injury
Tnf	2.005217709	4.411104744	3.7571e-08	VILI_KOhigh_vs_WT	companion_injury
Il1b	1.728691073	6.559003439	2.60194e-07	VILI_KOhigh_vs_WT	companion_injury
Egr1	2.134492522	10.82546326	3.30042e-17	VILI_KOhigh_vs_WT	companion_injury
Cldn4	-12.69283342	6.133145479	3.84e-122	VILI_KOlow_vs_WT	companion_injury
Xrcc6	0.316935106	3.662391716	1.0	VILI_KOlow_vs_WT	companion_injury
Xrcc5	0.045264734	4.04090334	1.0	VILI_KOlow_vs_WT	companion_injury
Prkdc	-0.576285377	4.652741546	0.357401161	VILI_KOlow_vs_WT	companion_injury
Dclre1c	0.117467267	3.786719851	1.0	VILI_KOlow_vs_WT	companion_injury
Lig4	-0.245411038	3.427926463	1.0	VILI_KOlow_vs_WT	companion_injury
Xrcc4	0.012252261	3.358385529	1.0	VILI_KOlow_vs_WT	companion_injury
Nhej1	-0.244418728	0.85983778	1.0	VILI_KOlow_vs_WT	companion_injury
Poll	0.192216661	3.29775917	1.0	VILI_KOlow_vs_WT	companion_injury
Polm	-0.137298901	3.85983778	1.0	VILI_KOlow_vs_WT	companion_injury
Fen1	-0.0402171	4.208360085	1.0	VILI_KOlow_vs_WT	companion_injury
Dntt	-0.691877705	-0.566426974	1.0	VILI_KOlow_vs_WT	companion_injury
Mre11a	-0.461637912	2.957134982	1.0	VILI_KOlow_vs_WT	companion_injury
Rad50	-0.175531057	4.662391716	1.0	VILI_KOlow_vs_WT	companion_injury
Trp53bp1	-0.26096433	5.831247659	1.0	VILI_KOlow_vs_WT	companion_injury
Mb21d1	-0.15935576	1.755501121	1.0	VILI_KOlow_vs_WT	companion_injury
Tmem173	0.517129574	4.256940266	0.638446692	VILI_KOlow_vs_WT	companion_injury
Tbk1	-0.033052878	5.796612656	1.0	VILI_KOlow_vs_WT	companion_injury
Ikbke	-0.135484356	2.909306457	1.0	VILI_KOlow_vs_WT	companion_injury
Irf3	0.166824614	5.084624717	1.0	VILI_KOlow_vs_WT	companion_injury
Ddx41	-0.00994109	4.633245371	1.0	VILI_KOlow_vs_WT	companion_injury
Trex1	0.0	-1.566426974	1.0	VILI_KOlow_vs_WT	companion_injury
Ifnb1	0.0	-1.566426974	1.0	VILI_KOlow_vs_WT	companion_injury
Stat1	-0.108736911	5.872364878	1.0	VILI_KOlow_vs_WT	companion_injury
Irf7	-0.101729887	3.876516522	1.0	VILI_KOlow_vs_WT	companion_injury
Isg15	0.632695112	1.700359566	1.0	VILI_KOlow_vs_WT	companion_injury
Cxcl10	-0.725140159	0.755501121	1.0	VILI_KOlow_vs_WT	companion_injury
Cxcl9	0.530514717	-0.865987256	1.0	VILI_KOlow_vs_WT	companion_injury
Ifng	2.321928095	-1.396501973	1.0	VILI_KOlow_vs_WT	companion_injury
Tnf	0.598780321	3.381940257	1.0	VILI_KOlow_vs_WT	companion_injury
Il1b	0.675012105	5.830177807	0.604088108	VILI_KOlow_vs_WT	companion_injury
Egr1	0.542752473	9.680387835	0.798093185	VILI_KOlow_vs_WT	companion_injury
