sample	lineage	n
P21	NK	2
P21	Plasma	82
P21	T	10
P21	Unassigned	1
P22	B	1
P22	Endothelial	4
P22	Epithelial	153
P22	Fibroblast	46
P22	Mast	13
P22	Myeloid	119
P22	NK	53
P22	Neutrophil	49
P22	Plasma	9
P22	T	178
P22	Unassigned	19
P23	B	4
P23	Endothelial	12
P23	Epithelial	1466
P23	Fibroblast	273
P23	Mast	109
P23	Myeloid	187
P23	NK	7
P23	Neutrophil	2
P23	Plasma	295
P23	T	25
P23	Unassigned	7
P24	B	6
P24	Epithelial	88
P24	Fibroblast	9
P24	Mast	40
P24	Myeloid	70
P24	NK	5
P24	Neutrophil	8
P24	Plasma	92
P24	T	59
P24	Unassigned	9
P25	B	1
P25	Endothelial	111
P25	Epithelial	3212
P25	Fibroblast	346
P25	Myeloid	61
P25	NK	1
P25	Neutrophil	11
P25	Plasma	131
P25	T	1
P25	Unassigned	154
P26	B	26
P26	Endothelial	4
P26	Epithelial	69
P26	Fibroblast	28
P26	Mast	30
P26	Myeloid	20
P26	NK	16
P26	Neutrophil	269
P26	Plasma	18
P26	T	66
P26	Unassigned	24
P27	B	2
P27	Endothelial	5
P27	Epithelial	34
P27	Mast	11
P27	Myeloid	235
P27	NK	21
P27	Neutrophil	202
P27	Plasma	7
P27	T	66
P27	Unassigned	124
P28	B	8
P28	Endothelial	17
P28	Epithelial	693
P28	Fibroblast	120
P28	Mast	119
P28	Myeloid	1207
P28	NK	7
P28	Neutrophil	9
P28	Plasma	123
P28	T	57
P28	Unassigned	13
P29	B	1
P29	Epithelial	337
P29	Fibroblast	506
P29	Myeloid	118
P29	NK	1
P29	Neutrophil	2
P29	Unassigned	4
P3	B	1
P3	Endothelial	26
P3	Epithelial	7107
P3	Fibroblast	46
P3	Mast	7
P3	Myeloid	76
P3	NK	4
P3	Neutrophil	1
P3	Plasma	481
P3	T	13
P3	Unassigned	73
P30	Epithelial	563
P30	Fibroblast	6
P30	Myeloid	154
P30	Plasma	6
P30	T	4
P30	Unassigned	9
P31	Endothelial	1
P31	Epithelial	339
P31	Fibroblast	2
P31	Myeloid	23
P31	Neutrophil	2
P31	Plasma	16
P31	T	4
P32	B	25
P32	Endothelial	2
P32	Epithelial	381
P32	Fibroblast	1
P32	Mast	10
P32	Myeloid	64
P32	NK	3
P32	Neutrophil	3
P32	Plasma	19
P32	T	76
P32	Unassigned	11
P33	Epithelial	311
P33	Fibroblast	1
P33	Myeloid	28
P33	Plasma	7
P33	Unassigned	3
P34	Endothelial	1
P34	Epithelial	428
P34	Fibroblast	1
P34	Myeloid	433
P34	NK	1
P34	Neutrophil	67
P34	Plasma	26
P34	T	13
P34	Unassigned	2
P35	B	6
P35	Endothelial	4
P35	Epithelial	673
P35	Fibroblast	25
P35	Mast	82
P35	Myeloid	91
P35	Neutrophil	12
P35	Plasma	145
P35	T	15
P35	Unassigned	26
P36	B	2
P36	Epithelial	155
P36	Fibroblast	9
P36	Mast	1
P36	Myeloid	136
P36	Neutrophil	118
P36	Plasma	27
P36	T	3
P36	Unassigned	49
P37	B	2
P37	Endothelial	3
P37	Epithelial	16
P37	Fibroblast	7
P37	Mast	26
P37	Myeloid	1783
P37	NK	13
P37	Neutrophil	559
P37	Plasma	26
P37	T	30
P37	Unassigned	21
P38	B	9
P38	Endothelial	10
P38	Epithelial	179
P38	Fibroblast	16
P38	Mast	40
P38	Myeloid	894
P38	NK	52
P38	Neutrophil	20
P38	Plasma	26
P38	T	98
P38	Unassigned	14
P39	B	22
P39	Endothelial	5
P39	Epithelial	511
P39	Fibroblast	7
P39	Mast	22
P39	Myeloid	796
P39	NK	13
P39	Neutrophil	32
P39	Plasma	265
P39	T	214
P39	Unassigned	9
P4	B	4
P4	Endothelial	66
P4	Epithelial	112
P4	Fibroblast	1694
P4	Mast	28
P4	Myeloid	1445
P4	NK	35
P4	Neutrophil	52
P4	Plasma	828
P4	T	269
P4	Unassigned	25
P40	B	66
P40	Endothelial	2
P40	Epithelial	284
P40	Fibroblast	6
P40	Mast	74
P40	Myeloid	131
P40	NK	84
P40	Neutrophil	132
P40	Plasma	47
P40	T	289
P40	Unassigned	40
P41	B	2
P41	Endothelial	16
P41	Epithelial	5471
P41	Fibroblast	338
P41	Mast	16
P41	Myeloid	136
P41	Plasma	206
P41	T	3
P41	Unassigned	34
P42	B	16
P42	Endothelial	2
P42	Epithelial	151
P42	Fibroblast	65
P42	Mast	6
P42	Myeloid	113
P42	NK	35
P42	Neutrophil	43
P42	Plasma	89
P42	T	419
P42	Unassigned	62
P5	B	6
P5	Endothelial	27
P5	Epithelial	1456
P5	Fibroblast	129
P5	Mast	5
P5	Myeloid	575
P5	NK	6
P5	Neutrophil	18
P5	Plasma	180
P5	T	30
P5	Unassigned	22
P6	B	13
P6	Endothelial	24
P6	Epithelial	2273
P6	Fibroblast	118
P6	Mast	3
P6	Myeloid	364
P6	NK	20
P6	Neutrophil	19
P6	Plasma	115
P6	T	68
P6	Unassigned	102
P7	B	139
P7	Endothelial	16
P7	Epithelial	240
P7	Fibroblast	55
P7	Mast	128
P7	Myeloid	659
P7	NK	90
P7	Neutrophil	28
P7	Plasma	699
P7	T	970
P7	Unassigned	35
P8	B	62
P8	Endothelial	7
P8	Epithelial	422
P8	Fibroblast	41
P8	Mast	91
P8	Myeloid	491
P8	NK	1
P8	Neutrophil	35
P8	Plasma	106
P8	T	65
P8	Unassigned	21
P9	B	1
P9	Endothelial	252
P9	Epithelial	2126
P9	Fibroblast	655
P9	Mast	38
P9	Myeloid	205
P9	NK	10
P9	Neutrophil	3
P9	Plasma	177
P9	T	52
P9	Unassigned	1
