n	rho	p	cut	family	predictor	target	ci95_low	ci95_high	q
36	-0.22960102960102963	0.17795934052487	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	XRCC4			0.3114288459185225
36	0.2572881143110101	0.12980251572306992	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	LIG4			0.3114288459185225
36	-0.09034749034749036	0.600259342775709	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	TP53BP1			0.7003025665716605
36	0.23963963963963963	0.1592192406297776	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	STING1			0.3114288459185225
36	-0.007207207207207207	0.9667238292927839	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	CGAS			0.9667238292927839
36	-0.11454311454311455	0.5059233271720144	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	STAT1			0.7003025665716605
36	-0.2725868725868726	0.10774175724650119	other_NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ			0.32322527173950355
36	0.07181467181467181	0.6772494702365282	other_NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_STING			0.6772494702365282
36	0.09498069498069499	0.5816198043342667	other_NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR			0.6772494702365282
36	0.0833976833976834	0.6286907191689098	other_NSCLC	score_vs_score	sig_NHEJ	sig_STING			0.937057997366878
36	0.013642213642213644	0.937057997366878	other_NSCLC	score_vs_score	sig_NHEJ	sig_SENSOR			0.937057997366878
