names,scores,logfoldchanges,pvals,pvals_adj
CLIC5,2.00298,0.36028177,0.04517944282338142,0.08474020584836413
WAC,2.0025651,0.5432258,0.04522399127535074,0.08481495060190182
ACVR1,2.0024822,0.006014172,0.04523290540796418,0.0848228566874392
HEBP1,2.0023162,-0.0079850145,0.0452507381168884,0.08484748392440655
CCND3,2.0018184,0.15907012,0.04530427180654065,0.08493904028699535
YBEY,2.0009058,-0.20845272,0.04540255556071782,0.0851144689031816
GGT7,1.9991633,0.015375343,0.045590687242812074,0.08545827814292248
SLC16A13,1.9990803,0.044498213,0.045599662255014745,0.08546622743872312
NFRKB,1.9987484,0.062251776,0.04563557719320698,0.08552466262524298
LETMD1,1.9973379,0.075684614,0.04578848169841603,0.08579340530373686
PIP4P2,1.9967571,-0.060300868,0.04585156770717819,0.08590269321478704
CYFIP2,1.9961764,-0.0021456075,0.04591472691904902,0.08601209557638186
MAPK4,1.9955956,0.06397984,0.0459779593976418,0.08612161247205098
POP4,1.9950148,-0.111989446,0.046041265206594115,0.08623124398533495
ATP13A5,1.9927746,1.0565383,0.04628613283093507,0.08665389982338181
LRRIQ3,1.9912812,0.35705233,0.04644998634362539,0.0869426234796754
TMEM63C,1.9897047,1.4906454,0.04662347228082268,0.0872582982672291
APOL2,1.9892899,0.22423302,0.04666921700699408,0.08733485794830144
SPEG,1.9887091,-0.29138952,0.04673332307699831,0.08744575886287836
FAAH,1.9882942,0.38199022,0.04677915848251506,0.0875224529054663
FBXO10,1.9879624,0.04166073,0.046815854038132834,0.08757295751221761
PPP1R12A,1.9866349,0.15501568,0.046962878564416555,0.08783887761328346
SDHAF1,1.9859711,0.030815303,0.04703653637702068,0.08795842046968659
USP51,1.9859711,0.25409487,0.04703653637702068,0.08795842046968659
KCTD11,1.9854733,0.10250886,0.04709184349276201,0.08805272403675118
SZRD1,1.9851414,0.08056661,0.047128745285803075,0.08811259720843029
RARB,1.9848095,0.015847113,0.047165671398829476,0.08817250344445153
ALG11,1.9843947,0.13333924,0.047211863258309464,0.08824971706380831
ARHGEF37,1.9841458,-0.06798385,0.047239596632673145,0.08829241515784743
PRPF18,1.9838969,0.087008804,0.04726734370721203,0.0883351300151448
UAP1L1,1.9824034,0.02658263,0.047434114140862016,0.08863762163181678
TNNC2,1.9822375,0.39447492,0.047452674692480795,0.08866312732595277
C9orf152,1.9819885,0.89806366,0.04748052696945682,0.08870598710334306
L3MBTL3,1.9805781,-0.006062193,0.04763861629547285,0.0889737161165085
MBLAC2,1.9798313,-0.020867515,0.04772248962995263,0.08911192648836729
ADD3,1.9785868,0.16910368,0.04786255434393547,0.08936422521161104
BRAP,1.9779229,-0.0392081,0.04793739668504099,0.08948545366094973
POC1A,1.977674,0.33123374,0.047965487906578806,0.08952863453034193
MITD1,1.9773421,0.09442609,0.04800296438544698,0.0895800616136525
ACOT11,1.9763465,0.036301225,0.04811554148009315,0.08978086515143377
DAPK1,1.9754338,0.22140777,0.048218931934245354,0.08995519047317674
TRAPPC10,1.975019,0.13627501,0.04826598925716777,0.09003367473234652
SMCO4,1.9741063,-0.08310691,0.048369651172759084,0.0902177200766422
NUDCD3,1.9736085,0.17272983,0.048426272811409446,0.09031399825045194
ANG,1.972281,0.11615538,0.04857753606513226,0.09058674295876795
GABRA3,1.972198,0.5831111,0.048587003177615995,0.09059503907927097
ZNFX1,1.9717002,0.16413751,0.04864383839361738,0.09068228154894409
BORCS8,1.9717002,0.057305545,0.04864383839361738,0.09068228154894409
FLG,1.9708705,0.48485982,0.04873868780511211,0.09083927711189232
CCDC15,1.9707875,0.41209424,0.048748181280674284,0.09083927711189232
TINAGL1,1.9707875,-0.06907291,0.048748181280674284,0.09083927711189232
ABCC4,1.9707875,0.13872278,0.048748181280674284,0.09083927711189232
RNASEH2B,1.9697919,0.24397786,0.04886222413362988,0.0910329961077833
MARC2,1.9697089,0.057624135,0.04887173780594637,0.09104132521006601
SLC10A5,1.9690452,0.45686916,0.048947903177317814,0.09116439658105009
SNRPD3,1.9690452,0.4887457,0.048947903177317814,0.09116439658105009
DCAF15,1.9681325,-0.0098994225,0.04905279322917043,0.09134090522601482
RUFY1,1.9676347,0.19760656,0.04911008545228094,0.09143815724732135
TRIM46,1.9674687,0.18611617,0.04912919533504928,0.09146430477298594
INPP5K,1.9653945,0.02803319,0.04936859586276047,0.09190052187156267
ZNF268,1.9646478,0.028517693,0.049455019303289514,0.09205190880320503
CBX8,1.9637351,-0.14747365,0.04956082027506301,0.09222982047476679
HELZ2,1.9627395,0.05314951,0.04967645598164728,0.09242595690370796
CYP2C8,1.9622416,0.75112396,0.04973435863732972,0.09252415256386166
MYRF,1.9595037,0.8121006,0.050053835878173004,0.0930993096135027
C2orf91,1.9592547,0.7855505,0.05008296438337084,0.0931438916259394
CDKL4,1.9573464,1.7055007,0.050306755349751806,0.09355045883076528
CLIC1,1.9570146,0.21364427,0.050345760941539065,0.09360370981231768
TIMM8B,1.9565167,0.096484475,0.05040431684953405,0.09369327966275105
ASXL1,1.9552722,0.19199401,0.0505509563506533,0.09394651173546882
SPRED3,1.9551892,0.15214318,0.05056074501330538,0.09395503136646444
TMEM265,1.9549403,0.34000745,0.05059012053042235,0.09399994297403402
IGFL4,1.9546084,0.43545318,0.05062931012838892,0.0940630787020485
CCNI2,1.9540277,0.46811876,0.05069795312399741,0.09417122623186802
MARF1,1.9536958,0.020976653,0.05073721268480459,0.09423445479411288
REEP1,1.9521192,0.22465183,0.0509240435477305,0.09457172700001838
ELP4,1.9508747,0.044341,0.05107194828603332,0.094826893181915
COQ2,1.9502939,0.025425524,0.05114109350183176,0.09494551223658668
TBCC,1.9497961,0.030356128,0.0512004232001017,0.09504588586441501
PID1,1.9474729,0.35152796,0.05147805760600866,0.09555144704516495
PRKD1,1.9458965,0.0022437125,0.05166716911383902,0.09588275123480015
EDA,1.9456476,-0.14143421,0.05169708190308017,0.09592840164418813
PIGB,1.9454817,-0.044432096,0.05171703181226436,0.09595555758548904
ZNF404,1.9449009,0.41946816,0.05178690723155543,0.09607533000218581
ANAPC2,1.944652,0.18489519,0.05181687801184682,0.09612105412534634
SMIM7,1.9427437,0.1907107,0.0520471364525123,0.09652834953536105
TSFM,1.9425777,-0.017746411,0.05206719930961864,0.09654572197376184
IFNAR1,1.9425777,0.096386276,0.05206719930961864,0.09654572197376184
CPN2,1.9421629,0.6563742,0.05211738475470395,0.09662885354592486
DEPDC1,1.9419969,-0.04393725,0.05213747025768914,0.09665616662169461
RTL8B,1.9410013,0.39354926,0.05225811927696309,0.09686988677554313
MCF2L2,1.9407524,0.01865854,0.0522883179851572,0.0969159142285465
SCARB1,1.9398397,-0.009386902,0.052399171461376605,0.09711140975179466
TTLL1,1.9388441,0.22931318,0.05252032656578859,0.09732595519320278
CAPN13,1.9385952,0.32062092,0.052550651907479394,0.09736216326823947
USP34,1.9385952,0.18985981,0.052550651907479394,0.09736216326823947
LRP5L,1.9380144,0.330441,0.05262146796716264,0.09748336184824906
ATP2A1,1.9378484,0.35207695,0.05264171577288834,0.09751086546767425
ALKBH7,1.9368528,0.15585399,0.05276333941445664,0.09772612767509857
VPS26B,1.9329532,0.1155551,0.05324196222913087,0.09860249734535287
DERPC,1.9315428,0.6445809,0.05341597188611239,0.09891461077648855
B9D2,1.9310449,0.17388579,0.05347750035240348,0.09900823647440672
ANKUB1,1.9305471,0.7141209,0.05353908799526706,0.09911209552692334
PLCB3,1.9299663,0.00065360067,0.05361101509343567,0.09921472634359754
ERMARD,1.9298834,0.058223184,0.0536212969768312,0.09922358285390874
FPGS,1.9292196,0.105970435,0.05370361133393783,0.0993657164509152
ECHDC2,1.9287218,0.13609992,0.053765416313875415,0.09946987709719132
NLRX1,1.928058,0.4816785,0.05384791531583823,0.09960209172098643
SYT13,1.927975,0.8698353,0.05385823511737599,0.09961097413932883
PIGK,1.9268965,0.08197833,0.05399254284233043,0.09984914729897473
MMP10,1.9267305,0.5260541,0.054013230360237675,0.0998771737881154
PAM,1.9263985,0.21587734,0.05405462524352361,0.09993324623874365
