Sample	timing	paper_group	lineage	n
BD_immune13	post	NMPR	plasma	46
BD_immune14	post	MPR	B	1712
BD_immune14	post	MPR	NK	345
BD_immune14	post	MPR	T	2341
BD_immune14	post	MPR	endothelial	55
BD_immune14	post	MPR	epithelial	174
BD_immune14	post	MPR	fibroblast	19
BD_immune14	post	MPR	mast	63
BD_immune14	post	MPR	myeloid	377
BD_immune14	post	MPR	neutrophil	204
BD_immune14	post	MPR	other	164
BD_immune14	post	MPR	plasma	92
BD_immune15	post	NMPR	B	376
BD_immune15	post	NMPR	NK	528
BD_immune15	post	NMPR	T	892
BD_immune15	post	NMPR	endothelial	67
BD_immune15	post	NMPR	epithelial	522
BD_immune15	post	NMPR	fibroblast	16
BD_immune15	post	NMPR	mast	58
BD_immune15	post	NMPR	myeloid	3741
BD_immune15	post	NMPR	neutrophil	1691
BD_immune15	post	NMPR	other	178
BD_immune15	post	NMPR	plasma	17
