ModelID,CellLineName,StrippedCellLineName,ModelType,DepmapModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,PrimaryOrMetastasis,TACSTD2,CLDN4
ACH-001591,NCI-H1417,NCIH1417,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.0426443374084937,6.861583231807768
ACH-000830,NCI-H1436,NCIH1436,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3895668117627256,6.280956313831056
ACH-003119,NCI-H1450,NCIH1450,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,4.297191416565856,5.628481994383899
ACH-000506,NCI-H146,NCIH146,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.9560566524124028,2.111031312388744
ACH-003120,NCI-H1607,NCIH1607,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,4.954661620837898,6.050719347751264
ACH-000179,NCI-H1618,NCIH1618,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3219280948873623,7.90026304356897
ACH-002170,NCI-H1688,NCIH1688,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.1505596765753812,6.019479533703628
ACH-000431,NCI-H1694,NCIH1694,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.4005379295837288,1.879705766282288
ACH-000559,NCI-H1836,NCIH1836,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,1.232660756790275,6.854993016757
ACH-000586,NCI-H1876,NCIH1876,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.1243281350022014,6.044175512639209
ACH-002490,NCI-H1882,NCIH1882,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,4.304511041809953,5.090853430451113
ACH-000870,NCI-H1930,NCIH1930,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.4114262457264649,2.1667154449664223
ACH-000729,NCI-H1963,NCIH1963,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.5160151470036647,3.6322682154995127
ACH-000298,NCI-H2029,NCIH2029,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,1.0071955014042038,8.810507370724526
ACH-000394,NCI-H2081,NCIH2081,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3895668117627256,6.338602690352632
ACH-000290,NCI-H209,NCIH209,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.6599245584023783,7.313790025443685
ACH-000639,NCI-H211,NCIH211,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.963474123974886,1.6690267655096307
ACH-000525,NCI-H2171,NCIH2171,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.1505596765753814,7.073498932290183
ACH-000399,NCI-H2196,NCIH2196,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,5.420549772116318,7.545968369105292
ACH-000610,NCI-H2227,NCIH2227,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.3448284969974411,2.114367024952
ACH-000912,NCI-H2286,NCIH2286,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,1.1309308698264486,0.9411063109464316
ACH-003121,NCI-H2679,NCIH2679,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.7398481026993275,5.414135532984451
ACH-000800,NCI-H446,NCIH446,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3895668117627256,0.7048719644563528
ACH-000871,NCI-H510,NCIH510,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,2.4905701304462013,8.014578464922891
ACH-000816,NCI-H524,NCIH524,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3561438102252753,4.606442228131607
ACH-000767,NCI-H526,NCIH526,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3895668117627256,6.461561300001896
ACH-000358,NCI-H69,NCIH69,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3673710656485294,4.549053029337288
ACH-000775,NCI-H727,NCIH727,Cell Line,LUCA,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,Primary,1.8237493603082728,8.956985924612576
ACH-003071,NCI-H748,NCIH748,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.879705766282288,4.993221467368938
ACH-003061,NCI-H774,NCIH774,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.6507645591169022,5.731454807698346
ACH-000355,NCI-H82,NCIH82,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3895668117627256,0.722466024471091
ACH-000297,NCI-H889,NCIH889,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3561438102252753,6.15704371014558
ACH-000670,SBC-5,SBC5,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.3219280948873623,1.807354922057604
ACH-000659,SCLC-21H,SCLC21H,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.4436066514756145,6.321206566969903
ACH-001386,SCLC-22H,SCLC22H,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Metastatic,0.2016338611696504,6.463851292611099
ACH-000790,SHP-77,SHP77,Cell Line,SCLC,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Primary,0.3561438102252753,6.3446509891484455
ACH-003153,ABM-T0794,ABMT0794,Cell Line,ZIMMEPCL,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,7.410493751910778,4.0522419811811385
ACH-003154,ABM-T0795,ABMT0795,Cell Line,ZIMMEPCL,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,2.996388746447621,0.1890338243900171
ACH-003152,ABM-T0796,ABMT0796,Cell Line,ZIMMEPCL,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,0.0,0.2986583155645151
ACH-003156,ABM-T0797,ABMT0797,Cell Line,ZIMMEPCL,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,8.855927424942402,6.021923838554758
ACH-003157,ABM-T0822,ABMT0822,Cell Line,ZIMMMPLC,Lung,Non-Cancerous,Immortalized MPLC Cells,,0.0285691521967709,0.1634987322828795
ACH-000064,SALE,SALE,Cell Line,ZIMMLUNG,Lung,Non-Cancerous,Immortalized Lung Cells,,9.762282367216285,7.568336182133747
ACH-000757,A427,A427,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.2016338611696504,0.8237493603082727
ACH-000681,A549,A549,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.2016338611696504,2.204766750654613
ACH-003012,A549_CRAF_KD,A549CRAFKD,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.0,1.8439838440483265
ACH-000528,ABC-1,ABC1,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.385689870739212,8.603477988254005
ACH-000603,BEN,BEN,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Metastatic,0.5753123306874368,8.753350480643723
ACH-000826,CAL-12T,CAL12T,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Primary,9.267582613736998,8.59245703726808
ACH-002996,CI34601,CI34601,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Metastatic,4.034743949324734,0.7570232465074596
ACH-000161,COR-L105,CORL105,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,0.7484612330040357,4.739848102699328
ACH-000662,COR-L23,CORL23,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,7.484863164322325,7.970911158577129
ACH-001489,COR-L32,CORL32,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,0.0,5.876762490781555
ACH-000511,Calu-1,CALU1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,6.24412594328373,6.3466023752989855
ACH-000392,Calu-3,CALU3,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.265755676027326,7.484863164322325
ACH-000264,Calu-6,CALU6,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,0.5260688116675876,3.5360529002402097
ACH-000867,ChaGo-K-1,CHAGOK1,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Metastatic,7.084702108011991,7.581049900945041
ACH-000925,DV-90,DV90,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.058099988493412,9.36187799586609
ACH-000563,EBC-1,EBC1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,7.840652055941782,8.451087446957397
ACH-000706,EKVX,EKVX,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,1.613531652917927,1.6780719051126378
ACH-000585,EPLC-272H,EPLC272H,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,8.924070185585345,7.23035674505615
ACH-002650,ETCC-016,ETCC016,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.676944359106912,7.795455272044121
ACH-000843,HARA,HARA,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,5.270528942380718,3.2078928516413328
ACH-000578,HCC-1171,HCC1171,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.982565834895489,9.614378575081137
ACH-000868,HCC-1195,HCC1195,Cell Line,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Primary,6.915759896038,8.80135269277206
ACH-000901,HCC-1359,HCC1359,Cell Line,GCLC,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Primary,0.6507645591169022,2.867896463992655
ACH-000891,HCC-1438,HCC1438,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Primary,6.668884984266247,1.599317793698226
ACH-000878,HCC-15,HCC15,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,4.805808348701467,7.320755428706466
ACH-000712,HCC-1833,HCC1833,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.5849625007211562,8.312746845558241
ACH-000314,HCC-2108,HCC2108,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.6780719051126377,4.928844036712568
ACH-000731,HCC-2279,HCC2279,Cell Line,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Primary,5.03738222200308,5.9342805936400245
ACH-000690,HCC-2814,HCC2814,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,6.095080491901415,7.300123724569014
ACH-000575,HCC-364,HCC364,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,1.5897634869849773,7.328315891666071
ACH-000840,HCC-366,HCC366,Cell Line,LUAS,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Primary,4.655351828612554,1.835924074254375
ACH-000667,HCC-44,HCC44,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,4.516015147003665,5.751410160064371
ACH-000339,HCC-461,HCC461,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,4.007195501404204,3.4329594072761065
ACH-000562,HCC-78,HCC78,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,9.636479618780534,8.728600810643192
ACH-000012,HCC-827,HCC827,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.326968711587892,8.083532513265412
ACH-000029,HCC-827-GR5,HCC827GR5,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.195347598322218,8.249540152313218
ACH-000454,HCC-95,HCC95,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,8.221393782341856,7.283273598920621
ACH-000143,HCC2429,HCC2429,Cell Line,NUTCL,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,Primary,4.371558862611963,0.4750848829487829
ACH-000975,HCC2450,HCC2450,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,4.129283016944966,1.1826922975161902
ACH-000150,HCC2935,HCC2935,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.589388984726849,9.901002620158811
ACH-000066,HCC4006,HCC4006,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.941282410432874,7.705701496845794
ACH-000872,HCC515,HCC515,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,5.92837032301897,4.513490745588118
ACH-000861,HOP-62,HOP62,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,1.6369145803558778,4.627606838129649
ACH-000825,HOP-92,HOP92,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Primary,8.219700960636958,7.353499735245657
ACH-000672,IA-LM,IALM,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.4329594072761062,6.011227255423254
ACH-000858,KNS-62,KNS62,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,7.16400181665555,7.26463025566923
ACH-001113,LC-1/sq-SF,LC1SQSF,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,3.0669502439246266,6.349082146391089
ACH-000705,LC-1F,LC1F,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,0.5945485495503542,8.272769732436512
ACH-002035,LCAM1,LCAM1,Cell Line,NSCLCPD,Lung,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,Primary,4.531069492725954,1.5410191531335593
ACH-000627,LCLC-103H,LCLC103H,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,4.305240965954483,7.908272516291422
ACH-000596,LCLC-97TM1,LCLC97TM1,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Primary,7.790315911515695,9.30108459093582
ACH-000769,LK-2,LK2,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,5.211790976252541,2.541019153133559
ACH-000176,LOU-NH91,LOUNH91,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,0.4114262457264649,7.581953750848818
ACH-000444,LU99,LU99,Cell Line,GCLC,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Metastatic,3.582556003014061,1.6735564239901446
ACH-000390,LUDLU-1,LUDLU1,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,7.742882021000409,8.913009056991898
ACH-000787,LXF-289,LXF289,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,3.711494906650088,5.530757457461217
ACH-000438,Lu-65,LU65,Cell Line,GCLC,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Primary,3.613531652917927,7.421644094048272
ACH-000851,MOR/CPR,MORCPR,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,6.603181229013857,7.696202521253611
ACH-000980,NCI-H1155,NCIH1155,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.3561438102252753,5.060047383669939
ACH-000510,NCI-H1299,NCIH1299,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,0.1634987322828795,1.819668183496456
ACH-000666,NCI-H1355,NCIH1355,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,4.462706750670158,1.263034405833794
ACH-000845,NCI-H1373,NCIH1373,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.475247047287838,7.982594354827899
ACH-000737,NCI-H1385,NCIH1385,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,0.5160151470036647,7.925584109389362
ACH-000327,NCI-H1395,NCIH1395,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.3561438102252753,3.016139702655253
ACH-000852,NCI-H1435,NCIH1435,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.705943353973835,9.144556281982275
ACH-000589,NCI-H1437,NCIH1437,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,6.179909090014935,7.278356528010724
ACH-000892,NCI-H1563,NCIH1563,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,5.00943675560809,0.8399595874895318
ACH-000869,NCI-H1568,NCIH1568,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,6.552745936748446,8.339627347580395
ACH-000921,NCI-H157-DM,NCIH157DM,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,1.2141248053528475,0.765534746362977
ACH-000916,NCI-H1573,NCIH1573,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.812113112983306,8.778898476008376
ACH-000015,NCI-H1581,NCIH1581,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Primary,0.1505596765753814,1.15704371014558
ACH-000744,NCI-H1623,NCIH1623,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,6.357727932310624,8.588864518190148
ACH-000766,NCI-H1648,NCIH1648,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,9.097847785326554,8.380677507222886
ACH-000035,NCI-H1650,NCIH1650,Cell Line,NSCLC,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Metastatic,9.811824211241978,7.974471952285043
ACH-000893,NCI-H1651,NCIH1651,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,0.1890338243900171,6.492333914544719
ACH-000448,NCI-H1666,NCIH1666,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.693591496830619,6.976478203534362
ACH-000021,NCI-H1693,NCIH1693,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,5.864681405572597,6.397118409042582
ACH-000747,NCI-H1703,NCIH1703,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Primary,0.3785116232537298,0.8718436485093178
ACH-000675,NCI-H1734,NCIH1734,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,1.4698859762744636,7.9066501263953795
ACH-000282,NCI-H1755,NCIH1755,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,4.305970520984387,7.779325391448742
ACH-000379,NCI-H1781,NCIH1781,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.715447262875877,9.610046680169242
ACH-000496,NCI-H1792,NCIH1792,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,4.558879853475442,7.153298682854903
ACH-000888,NCI-H1793,NCIH1793,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,8.835545165508693,7.454587186925478
ACH-000033,NCI-H1819,NCIH1819,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,7.580899204225743,8.275239901744591
ACH-000733,NCI-H1838,NCIH1838,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,7.210330413537888,8.839707698350368
ACH-000894,NCI-H1869,NCIH1869,Cell Line,LUSC,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Metastatic,9.039522271711608,8.397845735630698
ACH-000434,NCI-H1915,NCIH1915,Cell Line,LCLC,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Metastatic,1.7907720378619998,1.6182386555954549
ACH-000414,NCI-H1944,NCIH1944,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,0.7048719644563528,5.127633279725874
ACH-000587,NCI-H1975,NCIH1975,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,5.3125199674749455,7.45022149589718
ACH-000886,NCI-H2009,NCIH2009,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,8.03842520687726,7.349612971824522
ACH-000781,NCI-H2023,NCIH2023,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,1.7782085763980875,1.599317793698226
ACH-000521,NCI-H2030,NCIH2030,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Metastatic,0.4329594072761062,1.070389327891398
ACH-000590,NCI-H2073,NCIH2073,Cell Line,LUAD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Primary,6.330737650206952,6.471187460386985
