CCLE_ID,Name,Site_Primary,Histology,TACSTD2_RPKM,CLDN4_RPKM
HCC827_LUNG,HCC827,lung,carcinoma,208.689,72.3594
HCC95_LUNG,HCC-95,lung,carcinoma,196.522,41.1071
HLFA_FIBROBLAST,HLF-a,lung,carcinoma,0.178731,0.228704
HOP62_LUNG,HOP-62,lung,carcinoma,1.4318,6.29784
HOP92_LUNG,HOP-92,lung,carcinoma,216.235,47.4709
HS229T_FIBROBLAST,Hs 229.T,lung,carcinoma,0.212042,1.32874
HS618T_FIBROBLAST,Hs 618.T,lung,carcinoma,0.132262,0.545018
IALM_LUNG,IA-LM,lung,carcinoma,0.270826,16.738
KNS62_LUNG,KNS-62,lung,carcinoma,122.378,52.9822
LC1F_LUNG,LC-1F,lung,carcinoma,0.377295,87.7821
LCLC103H_LUNG,LCLC-103H,lung,carcinoma,12.767,62.3734
LCLC97TM1_LUNG,LCLC-97TM1,lung,carcinoma,152.331,177.866
LK2_LUNG,LK-2,lung,carcinoma,22.8629,1.32356
LOUNH91_LUNG,LOU-NH91,lung,carcinoma,0.210014,46.8414
LU65_LUNG,LU65,lung,carcinoma,7.69585,47.3527
LU99_LUNG,LU99,lung,carcinoma,7.37304,0.613234
LUDLU1_LUNG,LUDLU-1,lung,carcinoma,146.139,135.702
LXF289_LUNG,LXF-289,lung,carcinoma,7.69876,11.3916
MORCPR_LUNG,MOR/CPR,lung,carcinoma,80.7229,71.061
NCIH1048_LUNG,NCI-H1048,lung,carcinoma,0.0643022,1.65177
NCIH1092_LUNG,NCI-H1092,lung,carcinoma,0.163516,12.375
NCIH1105_LUNG,NCI-H1105,lung,carcinoma,0.204834,11.8899
NCIH1155_LUNG,NCI-H1155,lung,carcinoma,0.177336,7.47147
NCIH1184_LUNG,NCI-H1184,lung,carcinoma,0.0955328,0.388026
NCIH1299_LUNG,NCI-H1299,lung,carcinoma,0.077974,0.978435
NCIH1339_LUNG,NCI-H1339,lung,carcinoma,0.908383,0.229238
NCIH1341_LUNG,NCI-H1341,lung,carcinoma,0.232073,5.85377
NCIH1355_LUNG,NCI-H1355,lung,carcinoma,13.8027,0.545893
NCIH1373_LUNG,NCI-H1373,lung,carcinoma,125.613,70.6029
NCIH1385_LUNG,NCI-H1385,lung,carcinoma,0.326155,65.6535
NCIH1395_LUNG,NCI-H1395,lung,carcinoma,0.286899,2.58434
NCIH1435_LUNG,NCI-H1435,lung,carcinoma,274.887,155.286
NCIH1436_LUNG,NCI-H1436,lung,carcinoma,0.158577,17.5944
NCIH1437_LUNG,NCI-H1437,lung,carcinoma,53.5324,47.2179
NCIH146_LUNG,NCI-H146,lung,carcinoma,0.633413,1.67119
NCIH1563_LUNG,NCI-H1563,lung,carcinoma,19.1561,0.192647
NCIH1568_LUNG,NCI-H1568,lung,carcinoma,56.243,79.1588
NCIH1573_LUNG,NCI-H1573,lung,carcinoma,142.244,114.218
NCIH1581_LUNG,NCI-H1581,lung,carcinoma,0.108778,0.602858
NCIH1618_LUNG,NCI-H1618,lung,carcinoma,0.151349,52.7394
NCIH1623_LUNG,NCI-H1623,lung,carcinoma,57.6492,110.712
NCIH1648_LUNG,NCI-H1648,lung,carcinoma,376.724,95.1961
NCIH1650_LUNG,NCI-H1650,lung,carcinoma,586.503,64.522
NCIH1651_LUNG,NCI-H1651,lung,carcinoma,0.109494,20.9993
NCIH1666_LUNG,NCI-H1666,lung,carcinoma,308.021,37.8586
NCIH1693_LUNG,NCI-H1693,lung,carcinoma,45.5388,26.9502
NCIH1694_LUNG,NCI-H1694,lung,carcinoma,0.173571,0.779082
NCIH1703_LUNG,NCI-H1703,lung,carcinoma,0.218175,0.293837
NCIH1734_LUNG,NCI-H1734,lung,carcinoma,1.04903,56.7739
NCIH1755_LUNG,NCI-H1755,lung,carcinoma,11.9402,55.4698
NCIH1781_LUNG,NCI-H1781,lung,carcinoma,258.092,198.769
NCIH1792_LUNG,NCI-H1792,lung,carcinoma,14.0302,34.6985
NCIH1793_LUNG,NCI-H1793,lung,carcinoma,313.042,48.5063
NCIH1836_LUNG,NCI-H1836,lung,carcinoma,0.797491,27.5852
NCIH1838_LUNG,NCI-H1838,lung,carcinoma,99.3322,128.203
NCIH1869_LUNG,NCI-H1869,lung,carcinoma,439.491,114.793
NCIH1876_LUNG,NCI-H1876,lung,carcinoma,0.720389,14.6218
NCIH1915_LUNG,NCI-H1915,lung,carcinoma,2.09594,0.834211
NCIH1930_LUNG,NCI-H1930,lung,carcinoma,0.193133,1.1209
NCIH1944_LUNG,NCI-H1944,lung,carcinoma,0.571017,10.2723
NCIH1963_LUNG,NCI-H1963,lung,carcinoma,0.221449,4.03467
NCIH196_LUNG,NCI-H196,lung,carcinoma,0.237883,0.75355
NCIH1975_LUNG,NCI-H1975,lung,carcinoma,26.045,47.3406
NCIH2009_LUNG,NCI-H2009,lung,carcinoma,169.867,43.2457
NCIH2023_LUNG,NCI-H2023,lung,carcinoma,1.62798,0.671145
NCIH2029_LUNG,NCI-H2029,lung,carcinoma,0.631081,105.269
NCIH2030_LUNG,NCI-H2030,lung,carcinoma,0.257696,0.397444
NCIH2066_LUNG,NCI-H2066,lung,carcinoma,0.51697,10.631
NCIH2073_LUNG,NCI-H2073,lung,carcinoma,69.0252,31.537
NCIH2081_LUNG,NCI-H2081,lung,carcinoma,0.199157,21.6384
NCIH2085_LUNG,NCI-H2085,lung,carcinoma,160.882,106.016
NCIH2087_LUNG,NCI-H2087,lung,carcinoma,183.415,84.2911
NCIH209_LUNG,NCI-H209,lung,carcinoma,0.351915,36.129
NCIH2106_LUNG,NCI-H2106,lung,carcinoma,0.40574,19.1254
NCIH2110_LUNG,NCI-H2110,lung,carcinoma,299.351,133.165
NCIH211_LUNG,NCI-H211,lung,carcinoma,0.625188,0.557008
NCIH2122_LUNG,NCI-H2122,lung,carcinoma,120.06,123.873
NCIH2126_LUNG,NCI-H2126,lung,carcinoma,278.591,50.677
NCIH2170_LUNG,NCI-H2170,lung,carcinoma,118.64,142.408
NCIH2171_LUNG,NCI-H2171,lung,carcinoma,0.0646109,34.2247
NCIH2172_LUNG,NCI-H2172,lung,carcinoma,58.1402,1.82202
NCIH2196_LUNG,NCI-H2196,lung,carcinoma,23.448,43.2247
NCIH2227_LUNG,NCI-H2227,lung,carcinoma,0.151289,1.30285
NCIH2228_LUNG,NCI-H2228,lung,carcinoma,20.8654,19.5247
NCIH226_LUNG,NCI-H226,lung,carcinoma,0.289058,0.52301
NCIH2286_LUNG,NCI-H2286,lung,carcinoma,0.702906,0.300805
NCIH2291_LUNG,NCI-H2291,lung,carcinoma,249.677,231.092
NCIH2342_LUNG,NCI-H2342,lung,carcinoma,165.932,142.545
NCIH2347_LUNG,NCI-H2347,lung,carcinoma,376.385,108.111
NCIH23_LUNG,NCI-H23,lung,carcinoma,0.295554,0.54019
NCIH2405_LUNG,NCI-H2405,lung,carcinoma,1.03635,35.8147
NCIH2444_LUNG,NCI-H2444,lung,carcinoma,111.509,203.562
NCIH292_LUNG,NCI-H292,lung,carcinoma,581.171,89.1033
NCIH322_LUNG,NCI-H322,lung,carcinoma,164.43,65.094
NCIH3255_LUNG,NCI-H3255,lung,carcinoma,454.61,470.641
NCIH358_LUNG,NCI-H358,lung,carcinoma,122.079,68.0814
NCIH441_LUNG,NCI-H441,lung,carcinoma,351.553,67.6561
NCIH446_LUNG,NCI-H446,lung,carcinoma,0.206492,0.21493
NCIH460_LUNG,NCI-H460,lung,carcinoma,0.144193,7.34674
NCIH510_LUNG,NCI-H510,lung,carcinoma,2.82778,62.125
NCIH520_LUNG,NCI-H520,lung,carcinoma,0.927327,1.96421
NCIH522_LUNG,NCI-H522,lung,carcinoma,0.114026,0.750345
NCIH524_LUNG,NCI-H524,lung,carcinoma,0.199956,6.10713
NCIH526_LUNG,NCI-H526,lung,carcinoma,0.197349,19.7678
NCIH596_LUNG,NCI-H596,lung,carcinoma,477.106,51.9554
NCIH647_LUNG,NCI-H647,lung,carcinoma,46.7127,27.1219
NCIH650_LUNG,NCI-H650,lung,carcinoma,14.7573,0.480226
NCIH661_LUNG,NCI-H661,lung,carcinoma,0.690844,0.886049
NCIH69_LUNG,NCI-H69,lung,carcinoma,0.220246,7.2547
NCIH727_LUNG,NCI-H727,lung,carcinoid-endocrine_tumour,1.53911,127.728
NCIH810_LUNG,NCI-H810,lung,carcinoma,0.263696,27.3533
NCIH82_LUNG,NCI-H82,lung,carcinoma,0.186123,0.251907
NCIH838_LUNG,NCI-H838,lung,carcinoma,6.5673,0.176583
NCIH841_LUNG,NCI-H841,lung,carcinoma,0.124403,0.486421
NCIH854_LUNG,NCI-H854,lung,carcinoma,6.52464,121.711
NCIH889_LUNG,NCI-H889,lung,carcinoma,0.1841,18.3912
PC14_LUNG,PC-14,lung,carcinoma,302.119,158.308
RERFLCAD1_LUNG,RERF-LC-Ad1,lung,carcinoma,633.055,206.648
RERFLCAD2_LUNG,RERF-LC-Ad2,lung,carcinoma,260.333,86.7492
RERFLCAI_LUNG,RERF-LC-AI,lung,carcinoma,15.716,2.07064
RERFLCKJ_LUNG,RERF-LC-KJ,lung,carcinoma,353.136,57.1786
RERFLCMS_LUNG,RERF-LC-MS,lung,carcinoma,7.30827,15.4137
RERFLCSQ1_LUNG,RERF-LC-Sq1,lung,carcinoma,5.68765,7.9464
SALE_LUNG,SALE,lung,other,603.685,52.0736
SBC5_LUNG,SBC-5,lung,carcinoma,0.231896,1.11462
SCLC21H_LUNG,SCLC-21H,lung,carcinoma,0.365827,20.8551
SHP77_LUNG,SHP-77,lung,carcinoma,0.278329,21.7984
SKLU1_LUNG,SK-LU-1,lung,carcinoma,1.36132,0.531534
SKMES1_LUNG,SK-MES-1,lung,carcinoma,117.238,35.2488
SQ1_LUNG,Sq-1,lung,carcinoma,371.19,104.459
SW1271_LUNG,SW 1271,lung,carcinoma,0.364365,1.28915
SW1573_LUNG,SW 1573,lung,carcinoma,1.15689,2.67943
SW900_LUNG,SW 900,lung,carcinoma,69.9247,89.6817
T3M10_LUNG,T3M-10,lung,carcinoma,15.5627,8.55461
TIG3TD_FIBROBLAST,TIG-3 TD,lung,other,0.145362,0.448384
