ModelID,TACSTD2,CLDN1,CLDN3,CLDN4,CLDN5,CLDN7,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-001046,0.070389327891398,2.2016338611696504,0.0,0.0426443374084937,0.0426443374084937,0.2750070474998697,0.0426443374084937,0.137503523749935,0.6959938131099002,1.1953475983222193,0.3103401206121505,COR-L26,CORL26,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL26_LUNG,NET
ACH-000179,0.3219280948873623,0.1505596765753814,6.724650271732967,7.90026304356897,0.632268215499513,6.6915341649192,0.5260688116675876,8.561058776196717,8.678776174123884,7.596264312101166,9.86953215533549,NCI-H1618,NCIH1618,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1618_LUNG,NET
ACH-000578,8.982565834895489,3.5921580021253603,4.597531174224212,9.614378575081137,0.1763227726404628,7.19918154876397,0.0565835283663675,8.14067642036902,9.859177562548592,9.9028423694934,11.169236050271184,HCC-1171,HCC1171,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC1171_LUNG,NSCLC
ACH-000033,7.580899204225743,1.8914191868460783,4.737145919776202,8.275239901744591,0.4541758931858022,7.68873986801449,0.0,8.433585441150495,12.664847236971424,12.811414834716686,9.873736313261256,NCI-H1819,NCIH1819,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1819_LUNG,NSCLC
ACH-000481,7.403693786262805,0.4005379295837288,5.85872702377863,8.974787405160122,0.1505596765753814,6.783063710045979,0.01435529297707,8.313064414946362,10.045623165328758,9.126678664114294,9.892633883424438,NCI-H2170,NCIH2170,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NCIH2170_LUNG,NSCLC
ACH-000871,2.4905701304462013,3.438292851579147,7.154615611326894,8.014578464922891,2.408711861029429,7.279657006533684,0.5459683691052926,9.484359707760118,8.896695681159022,9.316009940058503,5.398145116504409,NCI-H510,NCIH510,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH510_LUNG,NET
ACH-000690,6.095080491901415,3.203201156316611,1.82781902461732,7.300123724569014,0.4436066514756145,5.413458688007979,0.0285691521967709,8.398230642487235,7.553898034427972,7.823112436965232,7.028900615734332,HCC-2814,HCC2814,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC2814_LUNG,NSCLC
ACH-000858,7.16400181665555,5.688180358586926,0.6415460290875237,7.26463025566923,0.0285691521967709,6.168321115739722,0.0565835283663675,7.01245693628882,8.296962078806317,9.317209084434596,9.56902012195893,KNS-62,KNS62,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,KNS62_LUNG,NSCLC
ACH-000787,3.711494906650088,7.087144564591868,2.5058909297299574,5.530757457461217,0.3673710656485294,4.699329525673156,0.1890338243900171,2.4672794804599825,8.57459352733761,8.589164236699773,8.65974620790075,LXF-289,LXF289,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,LXF289_LUNG,NSCLC
ACH-000749,0.5849625007211562,0.1763227726404628,0.7311832415722002,1.4059923596758368,2.3950627995175777,0.722466024471091,0.0565835283663675,1.655351828612554,1.655351828612554,2.538538163629804,2.521050736900963,DMS 273,DMS273,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS273_LUNG,NET
ACH-000358,0.3673710656485294,0.903038270112912,5.815319245777306,4.549053029337288,6.349436051713823,5.583458910130768,0.2986583155645151,7.461397589926158,8.082202276351051,5.930973825562906,7.785288980704021,NCI-H69,NCIH69,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH69_LUNG,NET
ACH-000594,1.3950627995175775,2.339137384919585,6.790772037862,7.937462100716437,2.19534759832222,5.699884728697476,2.381283372503784,9.291861369585218,9.168270965568832,9.099952642324055,9.05346436245648,DMS 153,DMS153,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,DMS153_LUNG,NET
ACH-000868,6.915759896038,4.2539892662307865,6.747655932932393,8.80135269277206,0.4750848829487829,8.100977647724822,0.1890338243900171,8.797596684170076,10.2001629739997,10.462911199765786,9.561440704255515,HCC-1195,HCC1195,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,HCC1195_LUNG,NSCLC
ACH-000186,7.261154672615572,5.441284271927038,4.192194165283345,9.399705168175638,0.0285691521967709,7.997800468423478,0.070389327891398,7.67581593117227,11.11556391523799,11.011506820396688,10.964557472408227,NCI-H2444,NCIH2444,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2444_LUNG,NSCLC
ACH-000677,1.632268215499513,3.624100894628114,0.7907720378619999,3.056583528366368,0.0,1.0,0.3561438102252753,2.983677694698067,11.129798173187144,11.83415498140132,7.330379127580632,SW 1573,SW1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SW1573_LUNG,NSCLC
ACH-000672,0.4329594072761062,2.794935662803536,0.9855004303048848,6.011227255423254,0.0426443374084937,4.417515002885087,0.0565835283663675,5.032100843167024,8.79937876943219,8.439249118590352,7.892694591414973,IA-LM,IALM,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,IALM_LUNG,NSCLC
ACH-000530,0.3448284969974411,0.3448284969974411,2.855989697308481,0.9855004303048848,0.3448284969974411,0.4222330006830478,0.1243281350022017,4.344118334521428,1.6040713236688608,4.075532631167357,0.8875252707415875,DMS 114,DMS114,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,DMS114_LUNG,other
ACH-000012,8.326968711587892,4.844486087757799,4.43095427138573,8.083532513265412,0.070389327891398,7.658354316774077,0.1110313123887439,8.358079723348917,10.805018312338165,11.02278391504765,10.851514818663553,HCC-827,HCC827,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC827_LUNG,NSCLC
ACH-003120,4.954661620837898,5.793635820350628,2.2078928516413328,6.050719347751264,0.3561438102252753,6.717128026199244,0.01435529297707,8.306198431292895,8.63354019307246,8.217085275922054,8.483493351284395,NCI-H1607,NCIH1607,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1607_LUNG,NET
ACH-002074,0.0,3.2927817492278457,2.908812907739548,6.180108068712015,0.1243281350022017,5.49761236561836,5.032541697270039,8.339003729855097,8.657354181523703,8.245647773636751,6.838195439259188,Lu-143,LU143,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU143_LUNG,NET
ACH-000945,4.558879853475442,3.872828759534885,1.3103401206121503,1.15704371014558,0.0840642647884745,0.4114262457264649,0.2630344058337938,3.1342209397606338,6.95303237725324,7.91055279343005,1.38404980679516,NCI-H650,NCIH650,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH650_LUNG,NSCLC
ACH-000662,7.484863164322325,1.372952097911829,3.729008870337863,7.970911158577129,0.1110313123887439,8.04193288184217,0.0285691521967709,8.634593268445757,11.39462346147424,11.585150339409124,10.95317792025875,COR-L23,CORL23,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,CORL23_LUNG,NSCLC
ACH-000282,4.305970520984387,5.106850796450224,3.4208865749755315,7.779325391448742,0.2387868595871165,3.4019034716079584,0.1110313123887439,5.34801990922869,9.383920248621584,8.888103938579423,5.7309116243181,NCI-H1755,NCIH1755,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1755_LUNG,NSCLC
ACH-000261,4.621172752683435,6.0916998341368105,1.6040713236688608,3.125981653854716,0.0840642647884745,3.1127001327493624,0.2868811477881615,2.538538163629804,9.632359108241133,9.320597496979792,8.00450139223494,RERF-LC-AI,RERFLCAI,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,RERFLCAI_LUNG,NSCLC
ACH-000681,0.2016338611696504,6.07724299893246,0.9927684307689242,2.204766750654613,0.0285691521967709,0.722466024471091,0.0426443374084937,2.9523335663696857,11.292954255062073,11.673706579134386,5.274261661257048,A549,A549,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A549_LUNG,NSCLC
ACH-000866,0.1243281350022017,6.7389029142817645,3.82781902461732,2.780310099043376,0.2868811477881615,6.443440891144429,0.4436066514756145,7.138527801422274,6.183288001209558,7.785288980704021,4.937815168803419,NCI-H1048,NCIH1048,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1048_LUNG,NET
ACH-000586,1.1243281350022014,0.8237493603082727,6.500961352460057,6.044175512639209,0.3219280948873623,5.9590746011405145,0.3448284969974411,8.402841532551294,8.474395481080592,7.22486992494269,7.584511588062105,NCI-H1876,NCIH1876,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1876_LUNG,NET
ACH-000394,0.3895668117627256,0.5753123306874368,7.307519601549772,6.338602690352632,4.387500406480984,5.979568100095187,0.2141248053528473,8.563539503172189,7.736604875314248,6.77623561482759,6.611615037692342,NCI-H2081,NCIH2081,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2081_LUNG,NET
ACH-000379,8.715447262875877,5.028569152196771,8.082894152617435,9.610046680169242,0.1243281350022017,8.20755126408418,0.0285691521967709,8.987718780204565,11.683871868622605,11.151904468342726,11.0322524019603,NCI-H1781,NCIH1781,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1781_LUNG,NSCLC
ACH-000901,0.6507645591169022,7.737686761409861,0.4222330006830478,2.867896463992655,0.1634987322828795,2.715893370547605,0.070389327891398,0.8559896973084807,8.868266971645479,8.85763893635931,1.883620816285672,HCC-1359,HCC1359,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,HCC1359_LUNG,NSCLC
ACH-000816,0.3561438102252753,0.8718436485093178,3.889473542531109,4.606442228131607,2.0669502439246266,0.2141248053528473,0.1243281350022017,5.192194165283345,1.726831217032493,3.1651079851445365,1.459431618637297,NCI-H524,NCIH524,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH524_LUNG,NET
ACH-000511,6.24412594328373,2.7463127664254587,0.7398481026993275,6.3466023752989855,0.0976107966264223,3.2600256559614555,0.1763227726404628,4.0522419811811385,10.261624835579122,10.27356251172028,11.049644380045656,Calu-1,CALU1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,CALU1_LUNG,NSCLC
ACH-002077,0.1505596765753814,2.049630767724601,3.073820233291672,5.033863451866284,0.1890338243900171,4.893362210763872,0.1243281350022017,7.623515741490549,6.170926525287385,5.428611418467134,5.622051819456376,Lu-165,LU165,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU165_LUNG,NET
ACH-000975,4.129283016944966,4.561937059622433,0.1763227726404628,1.1826922975161902,0.0285691521967709,0.8559896973084807,0.1634987322828795,3.070389327891398,9.273096223726276,7.758822824764127,3.130930869826449,HCC2450,HCC2450,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC2450_LUNG,NSCLC
ACH-000109,9.574479999326677,5.947198584262056,7.403097261532003,10.91513244895065,0.0840642647884745,8.637784110291324,0.0285691521967709,8.848685528878226,11.523512950637729,11.38710185259527,11.12728504721522,NCI-H3255,NCIH3255,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH3255_LUNG,NSCLC
ACH-000712,0.5849625007211562,2.3673710656485296,6.565140168815646,8.312746845558241,5.402926780581626,8.372386258332641,0.0426443374084937,8.744800207852558,11.242280950302444,10.979210811641222,5.891419186846079,HCC-1833,HCC1833,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC1833_LUNG,NSCLC
ACH-000523,0.2387868595871165,0.2387868595871165,3.748461233004035,0.8953026213333066,3.1984941536390834,0.84799690655495,0.2387868595871165,3.150559676575381,1.922197848396367,3.5185351389821804,4.104336659814735,NCI-H1184,NCIH1184,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1184_LUNG,NET
ACH-000890,0.4854268271702416,6.29130885982897,0.1505596765753814,2.130930869826449,0.1634987322828795,0.4436066514756145,0.2265085298086797,0.6959938131099002,6.096767854714688,10.086534337997012,1.709290635723358,SW 1271,SW1271,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,SW1271_LUNG,other
ACH-000562,9.636479618780534,5.881175155349276,5.959770155211468,8.728600810643192,0.0976107966264223,8.186361891252986,0.01435529297707,8.839802161931408,10.676309727000683,10.321364432039449,11.121533517340032,HCC-78,HCC78,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC78_LUNG,NSCLC
ACH-000399,5.420549772116318,0.1243281350022017,6.661635602335959,7.545968369105292,2.440952198029637,5.4356285940520905,0.070389327891398,8.691603953045512,9.158862106208456,8.781753122164345,7.150356580208341,NCI-H2196,NCIH2196,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2196_LUNG,NET
ACH-000066,7.941282410432874,7.863628772821544,4.390942772802543,7.705701496845794,0.070389327891398,8.063502942306158,0.0840642647884745,8.593054921669879,9.664056112718225,9.436045208753905,10.230981111646502,HCC4006,HCC4006,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC4006_LUNG,NSCLC
ACH-000314,0.6780719051126377,4.4535175792154975,2.0107798387532423,4.928844036712568,0.1505596765753814,3.860962797858116,0.0285691521967709,2.713695814843359,7.815255192897375,7.708876959723136,7.084595820389672,HCC-2108,HCC2108,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC2108_LUNG,NSCLC
ACH-000893,0.1890338243900171,6.015470807639381,4.303780748177103,6.492333914544719,0.0840642647884745,5.29020320512607,0.4329594072761062,1.5945485495503542,11.48089115592885,11.03665443076853,1.3391373849195856,NCI-H1651,NCIH1651,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1651_LUNG,NSCLC
ACH-002650,8.676944359106912,4.081510068120917,1.7949356628035362,7.795455272044121,0.0565835283663675,7.228145275667782,0.0,7.642484978057139,11.949206612505629,11.857592285697526,11.15146057192876,ETCC-016,ETCC016,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,ETCC016_LUNG,NSCLC
ACH-000187,0.1634987322828795,0.2387868595871165,5.167919865551935,6.727239777484807,0.070389327891398,6.6796208433757,0.0565835283663675,7.965322548367254,9.526968649961743,10.25455625190949,1.15704371014558,COR-L311,CORL311,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,CORL311_LUNG,NET
ACH-000924,6.455656002220498,2.8011586560936985,0.933572638261024,2.957914598632985,0.0426443374084937,3.2479275134435857,0.0976107966264223,1.584962500721156,9.770003091329167,9.604219619402238,3.460742563789644,NCI-H2172,NCIH2172,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2172_LUNG,NSCLC
ACH-002034,0.0840642647884745,1.3219280948873624,0.0,0.6507645591169022,0.2868811477881615,3.574101508089389,0.0,7.1626934322112366,3.647314509547136,3.3088850574117634,3.980939266085512,T3M-11,T3M11,Cell Line,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,T3M11_LUNG,NSCLC
ACH-000639,0.963474123974886,0.722466024471091,0.6870606883398922,1.6690267655096307,0.1890338243900171,5.144454313926194,0.1634987322828795,9.405290406263102,7.001464493588573,7.044503410297552,6.105594275795191,NCI-H211,NCIH211,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH211_LUNG,NET
ACH-000590,6.330737650206952,2.636914580355878,3.782408564927373,6.471187460386985,0.4114262457264649,6.109151579170521,0.137503523749935,8.638870286246128,10.51402360423735,9.668459556915382,6.971198645384546,NCI-H2073,NCIH2073,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH2073_LUNG,NSCLC
ACH-000553,9.11097913063484,6.757423346821803,6.026357446963839,8.568070117946721,0.0285691521967709,7.3049672876759635,0.0,9.405460608152774,11.571278618514595,11.338346412294236,10.815863580467884,Sq-1,SQ1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,SQ1_LUNG,NSCLC
ACH-000339,4.007195501404204,1.01435529297707,0.5058909297299573,3.4329594072761065,0.070389327891398,1.978195629681652,0.137503523749935,3.382667252745041,9.549707670827658,9.312474587576514,1.4750848829487828,HCC-461,HCC461,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC461_LUNG,NSCLC
ACH-000789,0.4436066514756145,0.2265085298086797,4.708739041359579,6.785419772149728,0.7990873060740036,6.7718855785153655,4.886550147324343,8.700231622118293,9.077323122690942,7.1430260038899736,7.614783449127387,NCI-H810,NCIH810,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH810_LUNG,NSCLC
ACH-002170,1.1505596765753812,3.37851162325373,1.3448284969974411,6.019479533703628,0.0,6.670585440262214,2.189033824390017,8.800996938924023,6.802968651005583,7.948425639108456,4.075532631167357,NCI-H1688,NCIH1688,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1688_LUNG,NET
ACH-000670,0.3219280948873623,0.6690267655096305,0.6780719051126377,1.807354922057604,0.1110313123887439,0.8155754288625725,0.1505596765753814,1.250961573533219,2.2898344651775093,1.9855004303048849,1.584962500721156,SBC-5,SBC5,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,SBC5_LUNG,NET
ACH-000744,6.357727932310624,6.11582397743624,2.513490745588118,8.588864518190148,0.1634987322828795,6.39780296186249,0.1634987322828795,7.67008968093448,9.912589990852627,9.855896287751364,8.73060599376938,NCI-H1623,NCIH1623,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1623_LUNG,NSCLC
ACH-000525,0.1505596765753814,0.2509615735332187,2.4195388915137843,7.073498932290183,5.051372101721025,6.037162550127378,3.576522137920503,7.922197848396367,7.919101679559393,3.4356285940520905,5.36702153323231,NCI-H2171,NCIH2171,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2171_LUNG,NET
ACH-003154,2.996388746447621,3.177917792195843,0.0,0.1890338243900171,0.01435529297707,3.326249700837456,0.0840642647884745,1.883620816285672,8.17057607102209,8.505374908881944,1.063502942306158,ABM-T0795,ABMT0795,Cell Line,Lung,Non-Cancerous,"Immortalized Epithelial Cells, Lung",,,other
ACH-000853,0.8237493603082727,0.5558161550616396,4.697106574476975,2.097610796626422,1.2265085298086795,2.0669502439246266,0.070389327891398,6.017253838968937,3.424922088210688,7.567119487951671,1.819668183496456,NCI-H661,NCIH661,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NCIH661_LUNG,NSCLC
ACH-000675,1.4698859762744636,4.950001749083499,5.088311235888661,7.9066501263953795,0.3895668117627256,6.261530815243406,0.2986583155645151,8.396604781181859,10.005203467795484,9.598964367498468,9.387284985620676,NCI-H1734,NCIH1734,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1734_LUNG,NSCLC
ACH-002490,4.304511041809953,3.4867143730307024,2.0806576633452254,5.090853430451113,0.2016338611696504,6.80025280637239,0.0426443374084937,8.631540867341485,9.480345915885351,9.165937055274178,7.227182708884751,NCI-H1882,NCIH1882,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1882_LUNG,NET
