layer,dataset,cohort,partner,adjustment,family,note,n,partial_spearman,partial_p,unadjusted_spearman_same_n,unadjusted_spearman_p_same_n,partial_q_bh_cldn4_cldn7
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",7,,,,,
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",9,-0.32854123009922437,0.42687792242100664,0.8333333333333333,0.005265691029161747,
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",9,-0.24305608834954295,0.5619002907272792,0.21666666666666667,0.5755148957119259,
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",0,,,,,
protein,Gygi_CCLE_MS,lung_suffix_LUSC,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman. CLDN18 protein is isoform A2 only.",2,,,,,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN1,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.5324729459604287,5.3892873613434365e-17,0.4669611859380081,5.480139911560395e-13,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN1,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.23746930514166453,0.0005035774887657204,0.4669611859380081,5.480139911560395e-13,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN1,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.26009448806838315,0.0001375936620842354,0.4669611859380081,5.480139911560395e-13,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN4,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.5055051434166076,3.231108864302987e-15,0.6074923026927191,5.636455165585778e-23,1.8671212314304267e-14
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN4,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.08651743594351077,0.21070796980659254,0.6074923026927191,5.636455165585778e-23,0.24080910835039146
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN4,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.08066476432303694,0.24447914168466267,0.6074923026927191,5.636455165585778e-23,0.24447914168466267
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN7,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.5029608060630767,4.667803078576067e-15,0.5947691792090892,7.289729573166664e-22,1.8671212314304267e-14
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN7,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.19174608257338988,0.005194686223313585,0.5947691792090892,7.289729573166664e-22,0.006926248297751447
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN7,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,0.23401002845725025,0.0006297299509014406,0.5947691792090892,7.289729573166664e-22,0.0010075679214423048
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN3,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.14851090239538028,0.030256167875401106,0.14607028448901696,0.032697541874671915,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN3,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.11985962227944591,0.0823895776367592,0.14607028448901696,0.032697541874671915,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN3,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.17379048710521128,0.011647173360589659,0.14607028448901696,0.032697541874671915,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN5,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.431107010345455,4.734954270257968e-11,-0.33099181396572874,7.270961913461952e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN5,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.1888479197712774,0.005928993401676056,-0.33099181396572874,7.270961913461952e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN5,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.2114603338572547,0.002063225219514883,-0.33099181396572874,7.270961913461952e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN18,EPCAM,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.3113276546321071,3.6112148566728397e-06,-0.33746468615827835,4.2613053557306856e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN18,KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.132501106395365,0.054638722187800276,-0.33746468615827835,4.2613053557306856e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_cell_lines,CLDN18,EPCAM+KRT8+KRT18+KRT19,primary_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",214,-0.13346231649939092,0.053463649172128716,-0.33746468615827835,4.2613053557306856e-07,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.32698328128821874,7.134390995795817e-05,0.2400974683930902,0.00387303096288995,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN1,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.1502328860835913,0.07644235609482229,0.2400974683930902,0.00387303096288995,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN1,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.20819775377538186,0.013914501679675697,0.2400974683930902,0.00387303096288995,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.47354256509327936,2.651841219786674e-09,0.667437179146622,8.811122112650595e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN4,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.2417602137208199,0.004005676573861697,0.667437179146622,8.811122112650595e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN4,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.16510087609887236,0.052102747620731825,0.667437179146622,8.811122112650595e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.44363880397283256,3.209565333389719e-08,0.6671673458892021,9.227389173502131e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN7,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.33736084351635665,4.580272609048202e-05,0.6671673458892021,9.227389173502131e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN7,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.26210638848380113,0.0018272361906158097,0.6671673458892021,9.227389173502131e-20,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.018437632652889658,0.8275956051915528,0.3925151565259315,1.243127257999703e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN3,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.07925451336141147,0.35195192771458345,0.3925151565259315,1.243127257999703e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN3,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.060080300331868446,0.482320719803492,0.3925151565259315,1.243127257999703e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.2635170108507929,0.0015316894162232776,-0.17052435679998337,0.04172861876317658,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN5,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.07800210388388303,0.35963779190857625,-0.17052435679998337,0.04172861876317658,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN5,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.13257932792250574,0.11974410458992922,-0.17052435679998337,0.04172861876317658,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.10675042330070784,0.20606817030592722,-0.27776117427172836,0.0007830109267318901,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN18,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,-0.024197423748036923,0.7765771014985061,-0.27776117427172836,0.0007830109267318901,
RNA,DepMap_Public_24Q4_log2TPM,lung_NSCLC_cell_lines,CLDN18,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",143,0.020077177679113857,0.8145249806297306,-0.27776117427172836,0.0007830109267318901,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.03502700128719578,0.7592555388913687,-0.01638566078897316,0.8852944845130695,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN1,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.04221325640647613,0.7154670130114927,-0.01638566078897316,0.8852944845130695,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN1,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.004005315997073077,0.9726068522595464,-0.01638566078897316,0.8852944845130695,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.5151013359187487,1.1908546821668393e-06,0.7561387264786419,5.108416933686581e-16,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN4,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.39793010346040375,0.00033847011552124676,0.7561387264786419,5.108416933686581e-16,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN4,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.2545077576820798,0.026510729633578697,0.7561387264786419,5.108416933686581e-16,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.34539714009797295,0.0018234952323242753,0.6901276386742039,1.4281728188119206e-12,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN7,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.3526092411746195,0.0016597173345262015,0.6901276386742039,1.4281728188119206e-12,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN7,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.15436078669206282,0.18306432482961774,0.6901276386742039,1.4281728188119206e-12,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN3,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.08594432295783534,0.45138437564694417,0.5090924008362298,1.4198973655387829e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN3,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.25404383375422657,0.025782179566404363,0.5090924008362298,1.4198973655387829e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN3,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.04821708616560891,0.6791516719807381,0.5090924008362298,1.4198973655387829e-06,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN5,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.14451569545121998,0.20383814644676906,-0.047981037844021565,0.6725544758471325,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN5,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.013164101720265973,0.9095310868431798,-0.047981037844021565,0.6725544758471325,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN5,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.07799043423242297,0.5030760269665024,-0.047981037844021565,0.6725544758471325,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN18,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.02511709631605325,0.8260877364066352,-0.2703017460368392,0.015311517458047473,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN18,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,-0.0377162340389186,0.7446806795785814,-0.2703017460368392,0.015311517458047473,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUAD_cell_lines,CLDN18,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",80,0.06331066850991618,0.5869040595135033,-0.2703017460368392,0.015311517458047473,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN1,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.6492430791177217,0.00033247617139206385,0.557997557997558,0.0024910892402369837,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN1,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.5672763526354578,0.003841354134464519,0.557997557997558,0.0024910892402369837,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN1,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.6318640520225519,0.0012196987714260406,0.557997557997558,0.0024910892402369837,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN4,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.45399572070571664,0.01982148615466932,0.5317460317460317,0.0043096289274127475,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN4,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.11933031358641821,0.5786349834716901,0.5317460317460317,0.0043096289274127475,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN4,EPCAM+KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.06538377442556115,0.7669245807699246,0.5317460317460317,0.0043096289274127475,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN7,EPCAM,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.40188608376405033,0.04183464144187327,0.48412698412698413,0.01050321314209015,
RNA,DepMap_Public_24Q4_log2TPM,lung_LUSC_cell_lines,CLDN7,KRT8+KRT18+KRT19,histology_partial,"Spearman partial correlation (rank, then residual Pearson). Not the slide statistic. Slide remains unadjusted protein TACSTD2–CLDN4 Spearman.",27,0.2913142370816524,0.16723926856020346,0.48412698412698413,0.01050321314209015,
