ModelID,TACSTD2,CLDN1,CLDN4,CLDN7,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,CCLEName,disease_group
ACH-000186,7.261154672615572,5.441284271927038,9.399705168175638,7.997800468423478,NCI-H2444,NCIH2444,Cell Line,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NCIH2444_LUNG,NSCLC
ACH-000677,1.632268215499513,3.624100894628114,3.056583528366368,1.0,SW 1573,SW1573,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,SW1573_LUNG,NSCLC
ACH-000672,0.4329594072761062,2.794935662803536,6.011227255423254,4.417515002885087,IA-LM,IALM,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,IALM_LUNG,NSCLC
ACH-000530,0.3448284969974411,0.3448284969974411,0.9855004303048848,0.4222330006830478,DMS 114,DMS114,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,DMS114_LUNG,other
ACH-000012,8.326968711587892,4.844486087757799,8.083532513265412,7.658354316774077,HCC-827,HCC827,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC827_LUNG,NSCLC
ACH-003120,4.954661620837898,5.793635820350628,6.050719347751264,6.717128026199244,NCI-H1607,NCIH1607,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1607_LUNG,NET
ACH-002074,0.0,3.2927817492278457,6.180108068712015,5.49761236561836,Lu-143,LU143,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU143_LUNG,NET
ACH-000945,4.558879853475442,3.872828759534885,1.15704371014558,0.4114262457264649,NCI-H650,NCIH650,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH650_LUNG,NSCLC
ACH-000662,7.484863164322325,1.372952097911829,7.970911158577129,8.04193288184217,COR-L23,CORL23,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,CORL23_LUNG,NSCLC
ACH-000282,4.305970520984387,5.106850796450224,7.779325391448742,3.4019034716079584,NCI-H1755,NCIH1755,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1755_LUNG,NSCLC
ACH-000261,4.621172752683435,6.0916998341368105,3.125981653854716,3.1127001327493624,RERF-LC-AI,RERFLCAI,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,RERFLCAI_LUNG,NSCLC
ACH-000681,0.2016338611696504,6.07724299893246,2.204766750654613,0.722466024471091,A549,A549,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,A549_LUNG,NSCLC
ACH-000866,0.1243281350022017,6.7389029142817645,2.780310099043376,6.443440891144429,NCI-H1048,NCIH1048,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1048_LUNG,NET
ACH-000586,1.1243281350022014,0.8237493603082727,6.044175512639209,5.9590746011405145,NCI-H1876,NCIH1876,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1876_LUNG,NET
ACH-000394,0.3895668117627256,0.5753123306874368,6.338602690352632,5.979568100095187,NCI-H2081,NCIH2081,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH2081_LUNG,NET
ACH-000379,8.715447262875877,5.028569152196771,9.610046680169242,8.20755126408418,NCI-H1781,NCIH1781,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH1781_LUNG,NSCLC
ACH-000901,0.6507645591169022,7.737686761409861,2.867896463992655,2.715893370547605,HCC-1359,HCC1359,Cell Line,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,HCC1359_LUNG,NSCLC
ACH-000816,0.3561438102252753,0.8718436485093178,4.606442228131607,0.2141248053528473,NCI-H524,NCIH524,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH524_LUNG,NET
ACH-000511,6.24412594328373,2.7463127664254587,6.3466023752989855,3.2600256559614555,Calu-1,CALU1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,CALU1_LUNG,NSCLC
ACH-002077,0.1505596765753814,2.049630767724601,5.033863451866284,4.893362210763872,Lu-165,LU165,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,LU165_LUNG,NET
ACH-000975,4.129283016944966,4.561937059622433,1.1826922975161902,0.8559896973084807,HCC2450,HCC2450,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,HCC2450_LUNG,NSCLC
ACH-000109,9.574479999326677,5.947198584262056,10.91513244895065,8.637784110291324,NCI-H3255,NCIH3255,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NCIH3255_LUNG,NSCLC
ACH-000712,0.5849625007211562,2.3673710656485296,8.312746845558241,8.372386258332641,HCC-1833,HCC1833,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,HCC1833_LUNG,NSCLC
ACH-000523,0.2387868595871165,0.2387868595871165,0.8953026213333066,0.84799690655495,NCI-H1184,NCIH1184,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NCIH1184_LUNG,NET
