group	group_stem	gene	model	is_lung	accession	n_baseline	n_icb	n_responder	n_nonresponder	mean_baseline	mean_icb	mean_responder	mean_nonresponder	tismo_deseq2_pvalue	tismo_deseq2_label	srx_ids	delta	log2fc	direction
CT26_GSE153239_FcS_antiPD1(n=10)	CT26_GSE153239_FcS_antiPD1	Cldn4	CT26	False	GSE153239	5	5	0	5	0.2936265918777111	0.47664327082002866		0.47664327082002866	0.999953620793337		SRX8615904;SRX8615905;SRX8615906;SRX8615907;SRX8615908;SRX8615909;SRX8615910;SRX8615911;SRX8615912;SRX8615913	0.18301667894231755	0.6970458912101767	up
CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10)	CT26_GSE153239_FcS_antiTGFb_antiPD1	Cldn4	CT26	False	GSE153239	5	5	5	0	0.40726674503123766	0.6708006399438484	0.6708006399438484		0.989431937816084		SRX8615914;SRX8615915;SRX8615916;SRX8615917;SRX8615918;SRX8615939;SRX8615940;SRX8615941;SRX8615942;SRX8615943	0.26353389491261076	0.7185211108214954	up
D3UV2_GSE159344_antiPD1(n=6)	D3UV2_GSE159344_antiPD1	Cldn4	D3UV2	False	GSE159344	3	3	3	0	0.10005597973651033	0.5758237067181168	0.5758237067181168		0.460067257325625		SRX9273260;SRX9273261;SRX9273262;SRX9273263;SRX9273264;SRX9273265	0.47576772698160646	2.512975766584106	up
D4M.3A.3_GSE159344_antiPD1(n=6)	D4M.3A.3_GSE159344_antiPD1	Cldn4	D4M.3A.3	False	GSE159344	3	3	0	3	0.09632113449793633	0.0		0.0	0.999991667614612		SRX9273251;SRX9273252;SRX9273253;SRX9273254;SRX9273255;SRX9273256	-0.09632113449793633	-6.604681233135413	down
E0771_GSE174053_high.fat.diet_antiPD1(n=16)	E0771_GSE174053_high.fat.diet_antiPD1	Cldn4	E0771	False	GSE174053	8	8	0	8	0.8743712081873632	0.8382443371357469		0.8382443371357469	0.711770180725961		SRX10815534;SRX10815535;SRX10815536;SRX10815537;SRX10815538;SRX10815539;SRX10815540;SRX10815541;SRX10815542;SRX10815543;SRX10815544;SRX10815545;SRX10815546;SRX10815547;SRX10815548;SRX10815549	-0.03612687105161638	-0.06080403584817212	down
EMT6_GSE107801_antiPDL1(n=20)	EMT6_GSE107801_antiPDL1	Cldn4	EMT6	False	GSE107801	10	10	10	0	0.21473811868799192	0.45843769101455356	0.45843769101455356		0.746566048549853		SRX3453162;SRX3453163;SRX3453164;SRX3453165;SRX3453166;SRX3453167;SRX3453168;SRX3453169;SRX3453170;SRX3453171;SRX3453182;SRX3453183;SRX3453184;SRX3453185;SRX3453186;SRX3453187;SRX3453188;SRX3453189;SRX3453190;SRX3453191	0.24369957232656164	1.0905881080640902	up
EMT6_GSE107801_antiTGFb_trap_antiPDL1(n=20)	EMT6_GSE107801_antiTGFb_trap_antiPDL1	Cldn4	EMT6	False	GSE107801	10	10	10	0	0.23495080701674637	0.97220228367741	0.97220228367741		0.0135050657257688	*	SRX3453172;SRX3453173;SRX3453174;SRX3453175;SRX3453176;SRX3453177;SRX3453178;SRX3453179;SRX3453180;SRX3453181;SRX3453192;SRX3453193;SRX3453194;SRX3453195;SRX3453196;SRX3453197;SRX3453198;SRX3453199;SRX3453200;SRX3453201	0.7372514766606637	2.0442535997529943	up
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	4	3	3	0	4.99337729084064	5.239179754576163	5.239179754576163		0.963953546944547		SRX5100711;SRX5100714;SRX5100820;SRX5100822;SRX5100823;SRX5100861;SRX5100863	0.24580246373552317	0.06931149050271862	up
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1(n=10)	KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	4	6	6	0	3.7428033598192023	3.5385546534677754	3.5385546534677754		0.617159811457574		SRX5100619;SRX5100620;SRX5100621;SRX5100707;SRX5100708;SRX5100709;SRX5100712;SRX5100713;SRX5100715;SRX5100716	-0.2042487063514269	-0.08093680861311661	down
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1(n=10)	KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	6	4	4	0	6.758494650473035	5.6035902436552005	5.6035902436552005		0.889105932989905		SRX5100590;SRX5100604;SRX5100605;SRX5100608;SRX5100766;SRX5100767;SRX5100773;SRX5100776;SRX5100777;SRX5100779	-1.1549044068178347	-0.2703064923574742	down
KPB25L_GSE124821_day3_antiCTLA4&antiPD1(n=10)	KPB25L_GSE124821_day3_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	5	5	5	0	6.488255875465209	5.035062679020874	5.035062679020874		0.53813495325332		SRX5100588;SRX5100589;SRX5100591;SRX5100594;SRX5100595;SRX5100596;SRX5100598;SRX5100609;SRX5100617;SRX5100618	-1.4531931964443352	-0.3657568145168489	down
KPB25L_GSE124821_day7_antiCTLA4&antiPD1(n=8)	KPB25L_GSE124821_day7_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	4	4	4	0	6.60477798042025	6.220481558311325	6.220481558311325		0.999861192789984		SRX5100680;SRX5100686;SRX5100687;SRX5100689;SRX5100690;SRX5100691;SRX5100692;SRX5100693	-0.38429642210892556	-0.08647030279526591	down
KPB25L_GSE124821_end_antiCTLA4&antiPD1(n=9)	KPB25L_GSE124821_end_antiCTLA4&antiPD1	Cldn4	KPB25L	False	GSE124821	6	3	3	0	7.042788403929737	6.677427960786484	6.677427960786484		0.999910030472736		SRX5100586;SRX5100587;SRX5100592;SRX5100593;SRX5100597;SRX5100599;SRX5100853;SRX5100854;SRX5100855	-0.36536044314325267	-0.07684302532431063	down
MC38_GSE172162_antiPD1(n=8)	MC38_GSE172162_antiPD1	Cldn4	MC38	False	GSE172162	4	4	4	0	0.00729893102448615	0.0	0.0				SRX10606802;SRX10606803;SRX10606804;SRX10606805;SRX10606806;SRX10606807;SRX10606808;SRX10606809	-0.00729893102448615	-3.052925516580858	down
MC38_GSE172162_exercise_antiPD1(n=8)	MC38_GSE172162_exercise_antiPD1	Cldn4	MC38	False	GSE172162	4	4	4	0	0.01227009468723	0.008352666095568225	0.008352666095568225				SRX10606794;SRX10606795;SRX10606796;SRX10606797;SRX10606798;SRX10606799;SRX10606800;SRX10606801	-0.003917428591661776	-0.5047290777490723	down
MC38_GSE93017_antiPDL1(n=6)	MC38_GSE93017_antiPDL1	Cldn4	MC38	False	GSE93017	3	3	3	0	0.08786849771900233	0.0806197927224359	0.0806197927224359				SRX2452242;SRX2452243;SRX2452244;SRX2452245;SRX2452246;SRX2452247	-0.007248704996566435	-0.12275305347811893	down
MOC22_RU31562203_antiPD1(n=6)	MOC22_RU31562203_antiPD1	Cldn4	MOC22	False	RU31562203	3	3	3	0	7.024313305980783	6.345834165330583	6.345834165330583		0.432380611634145		Ravi_MOC22_invivo_C4_1;Ravi_MOC22_invivo_C4_4;Ravi_MOC22_invivo_C4_5;Ravi_MOC22_invivo_P3_2;Ravi_MOC22_invivo_P3_3;Ravi_MOC22_invivo_P3_5	-0.6784791406502002	-0.14652541891079024	down
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	4	0	0.43886252111421586	0.5133300696725511	0.5133300696725511		0.652915639202253		SRX5100632;SRX5100638;SRX5100675;SRX5100722;SRX5100857;SRX5100860;SRX5100862;SRX5100864	0.07446754855833526	0.22564182119758974	up
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	4	0	0.0687192597445351	0.21920802218765834	0.21920802218765834		0.042032818767114	*	SRX5100651;SRX5100652;SRX5100653;SRX5100654;SRX5100655;SRX5100656;SRX5100657;SRX5100848	0.15048876244312323	1.6592378706909392	up
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1(n=8)	T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	4	0	0.21360330766742103	0.6973077323139635	0.6973077323139635		0.999300924725397		SRX5100642;SRX5100724;SRX5100816;SRX5100817;SRX5100824;SRX5100825;SRX5100859;SRX5100867	0.48370442464654245	1.702190635239885	up
T11_GSE124821_UV_day3_antiCTLA4&antiPD1(n=7)	T11_GSE124821_UV_day3_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	3	3	0	0.1460028748812642	0.3650869964384477	0.3650869964384477		0.139418502044318		SRX5100601;SRX5100842;SRX5100843;SRX5100844;SRX5100845;SRX5100850;SRX5100851	0.21908412155718351	1.3163421598330298	up
T11_GSE124821_UV_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_UV_day7_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	4	0	0.48075480872890597	0.7730771214372439	0.7730771214372439		0.577835901699376		SRX5100688;SRX5100710;SRX5100787;SRX5100788;SRX5100789;SRX5100790;SRX5100793;SRX5100794	0.292322312708338	0.6841782423535994	up
T11_GSE124821_UV_end_antiCTLA4&antiPD1(n=9)	T11_GSE124821_UV_end_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	5	5	0	0.553389462325364	0.408287305294665	0.408287305294665		0.567387735053989		SRX5100600;SRX5100602;SRX5100603;SRX5100641;SRX5100681;SRX5100684;SRX5100723;SRX5100858;SRX5100866	-0.145102157030699	-0.43778591544209733	down
T11_GSE124821_day3_antiCTLA4&antiPD1(n=8)	T11_GSE124821_day3_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	0	4	0.38341037208189027	0.10824127226688234		0.10824127226688234			SRX5100758;SRX5100759;SRX5100763;SRX5100764;SRX5100765;SRX5100808;SRX5100809;SRX5100810	-0.2751690998150079	-1.8151292416304552	down
T11_GSE124821_day7_antiCTLA4&antiPD1(n=8)	T11_GSE124821_day7_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	4	4	0	4	0.29420518717486	0.7654152631990858		0.7654152631990858	0.815609708973067		SRX5100624;SRX5100625;SRX5100626;SRX5100627;SRX5100628;SRX5100658;SRX5100659;SRX5100660	0.4712100760242258	1.3764082208814505	up
T11_GSE124821_end_antiCTLA4&antiPD1(n=10)	T11_GSE124821_end_antiCTLA4&antiPD1	Cldn4	T11	False	GSE124821	5	5	0	5	0.2905390590170265	0.20306492981144392		0.20306492981144392	0.96790140221435		SRX5100762;SRX5100768;SRX5100769;SRX5100807;SRX5100812;SRX5100813;SRX5100814;SRX5100846;SRX5100847;SRX5100849	-0.08747412920558256	-0.5146609167928666	down
YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8)	YTN16_GSE146027_anti_IL17_day10_antiPD1	Cldn4	YTN16	False	GSE146027	4	4	4	0	0.9864255019440428	1.2754117868132027	1.2754117868132027		0.431582498296806		SRX7813714;SRX7813715;SRX7813716;SRX7813717;SRX7813722;SRX7813723;SRX7813724;SRX7813725	0.2889862848691599	0.37035002539224476	up
YTN16_GSE146027_day10_antiPD1(n=8)	YTN16_GSE146027_day10_antiPD1	Cldn4	YTN16	False	GSE146027	4	4	0	4	1.5323433375286375	1.0878747763168308		1.0878747763168308	0.275654846253517		SRX7813710;SRX7813711;SRX7813712;SRX7813713;SRX7813718;SRX7813719;SRX7813720;SRX7813721	-0.44446856121180667	-0.49384272366710025	down
YTN16_GSE146027_day14_antiCTLA4(n=9)	YTN16_GSE146027_day14_antiCTLA4	Cldn4	YTN16	False	GSE146027	4	5	5	0	2.1198041382353887	3.9712919617959046	3.9712919617959046		0.0178314156676923	*	SRX7813695;SRX7813696;SRX7813697;SRX7813699;SRX7813731;SRX7813732;SRX7813733;SRX7813734;SRX7813735	1.8514878235605159	0.9053602738543975	up
YTN16_GSE146027_day21_antiCTLA4(n=10)	YTN16_GSE146027_day21_antiCTLA4	Cldn4	YTN16	False	GSE146027	5	5	5	0	6.065160740408489	4.344375541065988	4.344375541065988		4.9775224865536e-07	***	SRX7813705;SRX7813706;SRX7813707;SRX7813708;SRX7813709;SRX7813736;SRX7813737;SRX7813738;SRX7813739;SRX7813740	-1.720785199342501	-0.4813028621452926	down
YTN16_GSE146027_day7_antiCTLA4(n=9)	YTN16_GSE146027_day7_antiCTLA4	Cldn4	YTN16	False	GSE146027	4	5	5	0	1.6592985325519836	3.7022047505238502	3.7022047505238502		6.21962096871058e-06	***	SRX7813685;SRX7813686;SRX7813688;SRX7813689;SRX7813726;SRX7813727;SRX7813728;SRX7813729;SRX7813730	2.0429062179718667	1.157331647538184	up
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2(n=7)	YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2	Cldn4	YUMM1.7	False	GSE103725	3	4	2	2	0.07508670675454167	0.0536043475666061	0.0338198692588792	0.073388825874333			SRX3178236;SRX3178237;SRX3178238;SRX3178239;SRX3178240;SRX3178241;SRX3178242	-0.02148235918793557	-0.47862859763421084	down
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1(n=13)	p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	Cldn4	p53-2225L	False	GSE124821	8	5	0	5	6.989574430276287	7.509093416883822		7.509093416883822	0.735460062643864		SRX5100606;SRX5100607;SRX5100650;SRX5100700;SRX5100701;SRX5100728;SRX5100729;SRX5100730;SRX5100731;SRX5100732;SRX5100756;SRX5100781;SRX5100782	0.5195189866075349	0.1034198435378545	up
p53-2225L_GSE124821_end_antiCTLA4&antiPD1(n=9)	p53-2225L_GSE124821_end_antiCTLA4&antiPD1	Cldn4	p53-2225L	False	GSE124821	6	3	0	3	7.1924304029985	7.094858643919037		7.094858643919037	0.997707392100415		SRX5100674;SRX5100694;SRX5100698;SRX5100699;SRX5100702;SRX5100734;SRX5100735;SRX5100736;SRX5100737	-0.09757175907946358	-0.019702657051415363	down
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1(n=8)	p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	Cldn4	p53-2336R	False	GSE124821	3	5	0	5	1.3966837133176833	1.7834035121096157		1.7834035121096157	0.99965767764384		SRX5100666;SRX5100667;SRX5100668;SRX5100669;SRX5100695;SRX5100696;SRX5100703;SRX5100704	0.3867197987919324	0.35240396758126147	up
p53-2336R_GSE124821_end_antiCTLA4&antiPD1(n=13)	p53-2336R_GSE124821_end_antiCTLA4&antiPD1	Cldn4	p53-2336R	False	GSE124821	8	5	0	5	2.3698386213059734	4.89586858502922		4.89586858502922	0.370937180303095		SRX5100633;SRX5100634;SRX5100635;SRX5100636;SRX5100637;SRX5100640;SRX5100662;SRX5100663;SRX5100664;SRX5100670;SRX5100671;SRX5100672;SRX5100673	2.5260299637232464	1.046462015112825	up
