keys	study	model	cancer	icb_group	is_lung	n_baseline	n_icb	tac_baseline	tac_icb	cld_baseline	cld_icb	tac_delta	cld_delta	tac_direction	cld_direction
('GSE124821', 'p53-2336R', 'WT', 'end', 'antiCTLA4&antiPD1')	GSE124821	p53-2336R	Mammary cancer, NOS	antiCTLA4&antiPD1	False	8	5	0.15173360467199243	2.1695551360803136	2.369838621305974	4.895868585029219	2.017821531408321	2.526029963723245	up	up
('GSE130472', '4T1', 'WT', 'old', 'antiCTLA4')	GSE130472	4T1	Mammary carcinoma	antiCTLA4	False	7	8	2.5142974899806885	2.1010339942529184	6.069634781563108	6.056395227828863	-0.4132634957277701	-0.013239553734245568	down	down
('GSE130472', '4T1', 'WT', 'old', 'antiPDL1')	GSE130472	4T1	Mammary carcinoma	antiPDL1	False	7	8	2.5142974899806885	1.9181712442543737	6.069634781563108	5.909861270494181	-0.5961262457263148	-0.15977351106892712	down	down
('GSE130472', '4T1', 'WT', 'young', 'antiCTLA4')	GSE130472	4T1	Mammary carcinoma	antiCTLA4	False	7	12	1.8280023370479468	2.022329043801923	5.477910590715585	5.062594008527849	0.19432670675397623	-0.41531658218773604	up	down
('GSE130472', '4T1', 'WT', 'young', 'antiPDL1')	GSE130472	4T1	Mammary carcinoma	antiPDL1	False	7	10	1.8280023370479468	1.5139798472963628	5.477910590715585	5.608436736607781	-0.314022489751584	0.1305261458921958	down	up
('GSE146027', 'YTN16', 'WT', 'day10', 'antiPD1')	GSE146027	YTN16	Gastric adenocarcinoma	antiPD1	False	4	4	1.079894304614907	1.212621240319013	1.5323433375286362	1.0878747763168297	0.1327269357041061	-0.44446856121180645	up	down
('GSE146027', 'YTN16', 'WT', 'day14', 'antiCTLA4')	GSE146027	YTN16	Gastric adenocarcinoma	antiCTLA4	False	4	5	3.0538525391849163	5.657948923475283	2.119804138235389	3.9712919617959046	2.604096384290367	1.8514878235605154	up	up
('GSE146027', 'YTN16', 'WT', 'day21', 'antiCTLA4')	GSE146027	YTN16	Gastric adenocarcinoma	antiCTLA4	False	5	5	5.0806946706266105	4.937752145814988	6.065160740408489	4.344375541065988	-0.14294252481162228	-1.720785199342501	down	down
('GSE146027', 'YTN16', 'WT', 'day7', 'antiCTLA4')	GSE146027	YTN16	Gastric adenocarcinoma	antiCTLA4	False	4	5	2.376880852939733	5.586954268432	1.6592985325519833	3.70220475052385	3.2100734154922668	2.0429062179718667	up	up
('GSE148856', '402230', 'WT', 'radiation', 'antiPD1')	GSE148856	402230	Sarcoma	antiPD1	False	4	4	0.7853871758966533	0.9710154722618503	0.23825551047153581	0.1545814411431652	0.18562829636519695	-0.08367406932837063	up	down
('GSE151829', 'B16', 'WT', 'Aire_KO', 'antiCTLA4')	GSE151829	B16	Melanoma	antiCTLA4	False	5	6	0.6228288226342722	1.0310100854793471	0.30674180521963124	0.13393350758353925	0.40818126284507494	-0.17280829763609198	up	down
('GSE153239', 'CT26', 'WT', 'FcS', 'antiPD1')	GSE153239	CT26	Colorectal carcinoma	antiPD1	False	5	5	0.22018524472062867	0.37525780047409457	0.2936265918777111	0.4766432708200288	0.1550725557534659	0.18301667894231766	up	up
('GSE174053', 'E0771', 'luciferase', 'high.fat.diet', 'antiPD1')	GSE174053	E0771	Mammary adenocarcinoma	antiPD1	False	8	8	0.5992002718011494	0.6090158168355535	0.8743712081873629	0.8382443371357464	0.009815545034404072	-0.036126871051616494	up	down
('GSE90885', 'B16', 'WT', 'ARE-del.het', 'antiPD1')	GSE90885	B16	Melanoma	antiPD1	False	4	3	0.0	0.11827033912383832	0.07132803458222452	0.10199309113500032	0.11827033912383832	0.030665056552775807	up	up
