Study_ID	GSM_ID	IN_VIVO	Cancer_type	Cell_Line	sub_clone	Condition	ICB	ICB_study	ICB_group	ICB_Baseline_TYPE	Baseline	Cell_treatment	Cell_genotype	Tumor	Mouse_genotype	Mouse_strain	Mouse_treatment	Timepoint	Implantation	Implantation_site	SRX_ID	SampleName	Tacstd2	Cldn4
GSE124821	GSM3554832	in_vivo	Mammary cancer, NOS	p53-2336R	p53-2336R	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100663	SRX5100663	0.7854417439493147	5.705700225261178
GSE124821	GSM3554833	in_vivo	Mammary cancer, NOS	p53-2336R	p53-2336R	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100636	SRX5100636	4.624919125797459	6.179799819139396
GSE124821	GSM3554834	in_vivo	Mammary cancer, NOS	p53-9263-3	p53-9263-3	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100639	SRX5100639	4.116284734141016	4.787504973583927
GSE124821	GSM3554835	in_vivo	Mammary cancer, NOS	p53-9263-3	p53-9263-3	day3	0				1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100719	SRX5100719	4.914543476065278	5.171478628429273
GSE124821	GSM3554836	in_vivo	Mammary cancer, NOS	p53-9263-3	p53-9263-3	day3	0				1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100720	SRX5100720	4.393996086312659	4.711806869487599
GSE124821	GSM3554837	in_vivo	Mammary cancer, NOS	p53-9263-3	p53-9263-3	day3	0				1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100717	SRX5100717	4.481458536026016	4.633967558369645
GSE124821	GSM3554838	in_vivo	Mammary cancer, NOS	p53-9263-3	p53-9263-3	day3	0				1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100718	SRX5100718	4.334182666461672	4.943377940341288
GSE124821	GSM3554839	in_vivo	Mammary cancer, NOS	p53-T1	p53-T1	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100677	SRX5100677	5.380394740719656	5.301964366149331
GSE124821	GSM3554840	in_vivo	Mammary cancer, NOS	p53-T12	p53-T12	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100705	SRX5100705	0.05188435023914154	0.16589393527521137
GSE124821	GSM3554841	in_vivo	Mammary cancer, NOS	p53-T2	p53-T2	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100649	SRX5100649	4.5009680426501	6.138572463866278
GSE124821	GSM3554842	in_vivo	Mammary cancer, NOS	p53-T6	p53-T6	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100856	SRX5100856	3.1203529357846405	6.999122585928708
GSE124821	GSM3554843	in_vivo	Mammary cancer, NOS	p53-T7	p53-T7	end	0				1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100733	SRX5100733	0.6293071887117837	8.261196057807684
GSE124821	GSM3554847	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100724	SRX5100724	0.035653467082435955	0.06704251836527475
GSE124821	GSM3554848	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100723	SRX5100723	0.06471871155007139	0.08154006359493986
GSE124821	GSM3554849	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100722	SRX5100722	0.4572769848711818	0.6506836924151402
GSE124821	GSM3554850	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100642	SRX5100642	0.0844289755448669	0.10619151087230408
GSE124821	GSM3554851	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100641	SRX5100641	0.40051388446600417	0.8495837995253208
GSE124821	GSM3554852	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100638	SRX5100638	0.4675309518548695	0.7046896246037003
GSE124821	GSM3554853	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100632	SRX5100632	0.5778072932267425	0.8739399452614648
GSE124821	GSM3554854	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100675	SRX5100675	0.22655168670713202	0.08703370295374346
GSE124821	GSM3554855	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	0	Baseline		R	0		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100860	SRX5100860	0.06870657667807281	0.148231290458889
GSE124821	GSM3554856	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100859	SRX5100859	0.7753944710188038	1.6790111544481376
GSE124821	GSM3554857	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100858	SRX5100858	0.38632205760176563	0.6217663572980835
GSE124821	GSM3554858	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100857	SRX5100857	0.2263124579287063	0.3876570058712956
GSE124821	GSM3554859	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100864	SRX5100864	0.03698854626270587	0.08642372669475355
GSE124821	GSM3554860	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100862	SRX5100862	0.40318590366535323	0.8701113748880805
GSE124821	GSM3554861	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100867	SRX5100867	0.48231033368683673	0.9369857455701355
GSE124821	GSM3554862	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100866	SRX5100866	0.28946740158771345	0.6606676288831121
GSE124821	GSM3554863	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100816	SRX5100816	0.01773096090667842	0.1754505083739224
GSE124821	GSM3554864	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100817	SRX5100817	0.02545126149660667	0.07144554353052568
GSE124821	GSM3554865	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100824	SRX5100824	0.0	0.03854434461027238
GSE124821	GSM3554866	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_end	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100825	SRX5100825	0.32687899861367686	0.5689728341549645
GSE124821	GSM3554883	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100790	SRX5100790	0.9270393027514425	1.3624322954290147
GSE124821	GSM3554884	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100789	SRX5100789	0.29333634413847864	0.4964418965570305
GSE124821	GSM3554885	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100788	SRX5100788	0.5330858592407617	1.1713996436655265
GSE124821	GSM3554886	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100787	SRX5100787	0.03296267534938642	0.06203465009740429
GSE124821	GSM3554887	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100794	SRX5100794	0.16463569462052682	0.45804491593702384
GSE124821	GSM3554888	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100793	SRX5100793	0.24841582103276338	0.9619166526309445
GSE124821	GSM3554889	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100688	SRX5100688	1.037535445300459	0.31801829189357556
GSE124821	GSM3554890	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100681	SRX5100681	0.41513559920626447	0.2889113171109543
GSE124821	GSM3554891	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100710	SRX5100710	0.1788268021725307	0.18503937445407936
GSE124821	GSM3554892	in_vivo	Mammary cancer, NOS	T11	parental	day7	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100624	SRX5100624	0.466111285563775	1.373969424020526
GSE124821	GSM3554893	in_vivo	Mammary cancer, NOS	T11	parental	day7	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100625	SRX5100625	0.0	0.08194630450015523
GSE124821	GSM3554894	in_vivo	Mammary cancer, NOS	T11	parental	day7	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100626	SRX5100626	0.4168267738092343	1.0646993997299352
GSE124821	GSM3554895	in_vivo	Mammary cancer, NOS	T11	parental	day7	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100627	SRX5100627	0.22634328860624314	0.541045924545718
GSE124821	GSM3554896	in_vivo	Mammary cancer, NOS	T11	parental	day7	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100628	SRX5100628	0.16164909408407638	0.0
GSE124821	GSM3554897	in_vivo	Mammary cancer, NOS	T11	parental	day7	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100660	SRX5100660	0.22827690488027613	0.44199651184685745
GSE124821	GSM3554898	in_vivo	Mammary cancer, NOS	T11	parental	day7	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100659	SRX5100659	0.02209789283055945	0.102123277749099
GSE124821	GSM3554899	in_vivo	Mammary cancer, NOS	T11	parental	day7	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100658	SRX5100658	0.39438243308752274	0.632700959103484
GSE124821	GSM3554900	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100657	SRX5100657	0.6309850425940063	0.08845371725175945
GSE124821	GSM3554901	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100656	SRX5100656	0.25450213329658233	0.32439702916115787
GSE124821	GSM3554902	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100655	SRX5100655	0.0	0.0
GSE124821	GSM3554903	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100654	SRX5100654	0.23003696473980825	0.03601373659680597
GSE124821	GSM3554904	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100653	SRX5100653	0.020854187068765313	0.058697469184754124
GSE124821	GSM3554905	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100652	SRX5100652	0.0	0.09968705240833331
GSE124821	GSM3554906	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day7	orthotopic	mammary gland	SRX5100651	SRX5100651	0.4701921909532044	0.4279676057409098
GSE124821	GSM3554907	in_vivo	Mammary cancer, NOS	T11	T11-Apobec	Apobec_day7	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day7	orthotopic	mammary gland	SRX5100848	SRX5100848	0.39891288983982026	0.11649251738505251
GSE124821	GSM3554908	in_vivo	Mammary cancer, NOS	T11	parental	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100849	SRX5100849	0.02358750657239093	0.02242321145438153
GSE124821	GSM3554909	in_vivo	Mammary cancer, NOS	T11	parental	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100846	SRX5100846	0.11406579343275107	0.08220389466419954
GSE124821	GSM3554910	in_vivo	Mammary cancer, NOS	T11	parental	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100847	SRX5100847	0.0	0.027492386818037576
GSE124821	GSM3554911	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100844	SRX5100844	0.26348998507777216	0.05980103197382072
GSE124821	GSM3554912	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100845	SRX5100845	0.0	0.2744668299623233
GSE124821	GSM3554913	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100842	SRX5100842	0.04445007735358842	0.19999578632229084
GSE124821	GSM3554914	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	0	Baseline		R	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100843	SRX5100843	0.10275621113846634	0.049747851266622053
GSE124821	GSM3554915	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100850	SRX5100850	0.3197647394471307	0.48664538970959653
GSE124821	GSM3554916	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100851	SRX5100851	0.36080474402451834	0.40496087237684997
GSE124821	GSM3554917	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_day3	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100601	SRX5100601	0.23141151748265956	0.20365472722889624
GSE124821	GSM3554918	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100600	SRX5100600	0.20570153945255887	0.3415303869973002
GSE124821	GSM3554919	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100603	SRX5100603	0.28458756905380556	0.6508876883436145
GSE124821	GSM3554920	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100602	SRX5100602	0.374838065736197	0.6161534654353596
GSE124821	GSM3554921	in_vivo	Mammary cancer, NOS	T11	parental	end	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100768	SRX5100768	0.0	0.05687342545320852
GSE124821	GSM3554922	in_vivo	Mammary cancer, NOS	T11	parental	end	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100769	SRX5100769	0.25204137209723515	0.7872686265768702
GSE124821	GSM3554923	in_vivo	Mammary cancer, NOS	T11	parental	end	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100762	SRX5100762	0.04126541463343188	0.039250716155561007
GSE124821	GSM3554924	in_vivo	Mammary cancer, NOS	T11	parental	day3	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100763	SRX5100763	0.0	0.026369487817278152
GSE124821	GSM3554925	in_vivo	Mammary cancer, NOS	T11	parental	day3	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100764	SRX5100764	0.0	0.03246059022774081
GSE124821	GSM3554926	in_vivo	Mammary cancer, NOS	T11	parental	day3	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100765	SRX5100765	0.5304143904168592	1.2300375797699834
GSE124821	GSM3554927	in_vivo	Mammary cancer, NOS	T11	parental	day3	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	day3	orthotopic	mammary gland	SRX5100758	SRX5100758	0.12410046240826503	0.2447738305125622
GSE124821	GSM3554928	in_vivo	Mammary cancer, NOS	T11	parental	day3	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100759	SRX5100759	0.07720607640681085	0.03720789314200614
GSE124821	GSM3554929	in_vivo	Mammary cancer, NOS	T11	parental	day3	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100810	SRX5100810	0.0	0.26832180027974833
GSE124821	GSM3554930	in_vivo	Mammary cancer, NOS	T11	parental	day3	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100809	SRX5100809	0.2199943189683878	0.08232517780985212
GSE124821	GSM3554931	in_vivo	Mammary cancer, NOS	T11	parental	day3	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	day3	orthotopic	mammary gland	SRX5100808	SRX5100808	0.02390397560595288	0.04511021783592313
GSE124821	GSM3554932	in_vivo	Mammary cancer, NOS	T11	parental	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100807	SRX5100807	0.042946851445831366	0.040843346627065
GSE124821	GSM3554933	in_vivo	Mammary cancer, NOS	T11	parental	end	1	NR	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100814	SRX5100814	0.37481915150009626	0.8423618094935358
GSE124821	GSM3554934	in_vivo	Mammary cancer, NOS	T11	parental	end	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100813	SRX5100813	0.037195239420815915	0.0527497482966169
GSE124821	GSM3554935	in_vivo	Mammary cancer, NOS	T11	parental	end	0	Baseline		NR	1		WT	primary	WT	BALB/cJ	no_treatment	end	orthotopic	mammary gland	SRX5100812	SRX5100812	0.26219980584004576	0.5165527786028757
GSE124821	GSM3554936	in_vivo	Mammary cancer, NOS	T11	T11-UV	UV_end	1	R	antiCTLA4&antiPD1		0		WT	primary	WT	BALB/cJ	antiPD1; antiCTLA4;	end	orthotopic	mammary gland	SRX5100684	SRX5100684	0.01758702139448993	0.14395366858609612
GSE126988	GSM3619440	in_vivo	Sarcoma	MCA205	parental		0				1		WT	primary	WT	C57BL/6	vehicle		subcutaneous	flank	SRX5417014	SRX5417014	1.3075765759955829	1.0031682835863935
GSE126988	GSM3619441	in_vivo	Sarcoma	MCA205	parental		0				1		WT	primary	WT	C57BL/6	vehicle		subcutaneous	flank	SRX5417015	SRX5417015	0.021076000589274196	0.03981500311341606
GSE126988	GSM3619442	in_vivo	Sarcoma	MCA205	parental		0				1		WT	primary	WT	C57BL/6	vehicle		subcutaneous	flank	SRX5417016	SRX5417016	0.020386276206963497	0.16580905784950442
GSE126988	GSM3619443	in_vivo	Sarcoma	MCA205	parental		0				1		WT	primary	WT	C57BL/6	vehicle		subcutaneous	flank	SRX5417017	SRX5417017	0.07624165361993822	0.10753120621948624
GSE126988	GSM3619444	in_vivo	Sarcoma	MCA205	parental		0				0		WT	primary	WT	C57BL/6	cisplatin; crizotinib		subcutaneous	flank	SRX5417018	SRX5417018	1.3283602733135806	1.7992241068762214
GSE126988	GSM3619445	in_vivo	Sarcoma	MCA205	parental		0				0		WT	primary	WT	C57BL/6	cisplatin; crizotinib		subcutaneous	flank	SRX5417019	SRX5417019	0.10194718958383164	0.07818898726620645
GSE126988	GSM3619446	in_vivo	Sarcoma	MCA205	parental		0				0		WT	primary	WT	C57BL/6	cisplatin; crizotinib		subcutaneous	flank	SRX5417020	SRX5417020	0.970288979001973	0.7741675822521348
GSE126988	GSM3619447	in_vivo	Sarcoma	MCA205	parental		0				0		WT	primary	WT	C57BL/6	cisplatin; crizotinib		subcutaneous	flank	SRX5417021	SRX5417021	0.13319392753029852	0.08204443950964888
GSE130472	GSM3739244	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768452	SRX5768452	1.850550681316739	5.791289383955889
GSE130472	GSM3739245	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768453	SRX5768453	2.4493020381759294	5.848253161025631
GSE130472	GSM3739246	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768454	SRX5768454	1.7753267983293874	5.983552126727743
GSE130472	GSM3739247	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768455	SRX5768455	2.0359388940499032	6.373280167335919
GSE130472	GSM3739248	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768456	SRX5768456	1.708037380188607	5.622111416088729
GSE130472	GSM3739249	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768457	SRX5768457	1.869505659909368	6.288191763097595
GSE130472	GSM3739250	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768458	SRX5768458	2.511159467637284	6.309359474205052
GSE130472	GSM3739251	in_vivo	Mammary carcinoma	4T1	parental	old	1	NR	antiCTLA4		0		WT	primary	WT	BALB/c	antiCTLA4; old;		orthotopic	mammary fat pad	SRX5768459	SRX5768459	2.608451034416128	6.235124330194343
GSE130472	GSM3739252	in_vivo	Mammary carcinoma	4T1	parental	old	0	Baseline		NR	1		WT	primary	WT	BALB/c	isotype; old;		orthotopic	mammary fat pad	SRX5768460	SRX5768460	2.2674398078222002	6.103192723460326
GSE130472	GSM3739253	in_vivo	Mammary carcinoma	4T1	parental	old	0	Baseline		NR	1		WT	primary	WT	BALB/c	isotype; old;		orthotopic	mammary fat pad	SRX5768461	SRX5768461	2.525747042903249	6.100552274724149
GSE130472	GSM3739254	in_vivo	Mammary carcinoma	4T1	parental	old	0	Baseline		NR	1		WT	primary	WT	BALB/c	isotype; old;		orthotopic	mammary fat pad	SRX5768462	SRX5768462	1.9981328604662907	5.590329264384441
GSE130472	GSM3739255	in_vivo	Mammary carcinoma	4T1	parental	old	0	Baseline		NR	1		WT	primary	WT	BALB/c	isotype; old;		orthotopic	mammary fat pad	SRX5768463	SRX5768463	2.901907747603171	6.3540104408441795
GSE130472	GSM3739256	in_vivo	Mammary carcinoma	4T1	parental	old	0	Baseline		NR	1		WT	primary	WT	BALB/c	isotype; old;		orthotopic	mammary fat pad	SRX5768464	SRX5768464	2.676250322926325	6.1482276798134405
