cohort,cell_line,cancer_type,study,regimen,n_baseline,n_icb,mean_baseline,mean_icb,delta,tismo_within_cohort_p
EMT6_GSE107801_antiPDL1,EMT6,Mammary carcinoma,GSE107801,antiPDL1;,10,10,0.14814397911812333,0.19311695139532664,0.044972972277203316,0.0223871957549608
EMT6_GSE107801_antiTGFb_trap_antiPDL1,EMT6,Mammary carcinoma,GSE107801,M7824 (anti_PDL1_TGFb_Trap),10,10,0.09675844901627804,0.7434342386994304,0.6466757896831523,0.0223871957549608
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,3,1.9996642373180524,3.03820159527341,1.0385373579553576,0.564876481884934
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,6,1.9267391105229015,2.2441641278254147,0.31742501730251327,0.955094155118968
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,6,4,3.376535004092348,2.034580232234338,-1.3419547718580098,0.636481726367842
KPB25L_GSE124821_day3_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,5,5,3.029181049806108,3.0910298932539133,0.06184884344780528,0.740090616556492
KPB25L_GSE124821_day7_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,2.992719406727982,2.7426183942685523,-0.25010101245942984,0.999861192789984
KPB25L_GSE124821_end_antiCTLA4&antiPD1,KPB25L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,6,3,3.4126520817840915,3.78826684370036,0.3756147619162684,0.999910030472736
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,LLC,Lung carcinoma,GSE155972,antiPD1; antiCTL4;,10,7,0.2803433444414772,1.004972502977412,0.7246291585359348,0.970249595965875
LLC_GSE155972_antiCTLA4&antiPD1,LLC,Lung carcinoma,GSE155972,antiPD1; antiCTL4;,10,6,0.15694832791755048,0.28954265590410805,0.13259432798655757,0.467050119678299
MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma,GSE172162,antiPD1,4,4,0.015763892114444476,0.035893998652544695,0.02013010653810022,
MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma,GSE172162,antiPD1; exercise,4,4,0.012811111085799826,0.0,-0.012811111085799826,
MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma,GSE93017,antiPDL1,3,3,0.0,0.09954429880361666,0.09954429880361666,
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.24153950286932843,0.3745505974293625,0.13301109456003404,0.38390004317808
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.10494176922714632,0.3964290828959,0.2914873136687537,0.0586628136990498
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.09251530525424052,0.34444681183323594,0.25193150657899543,0.999300924725397
T11_GSE124821_UV_day3_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,3,0.1026740683924566,0.30399366698476965,0.20131959859231305,0.146947980431004
T11_GSE124821_UV_day7_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.4073534407815702,0.44660604537001763,0.039252604588447426,0.994537411615673
T11_GSE124821_UV_end_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,5,0.2852555138013886,0.2595699589686632,-0.025685554832725388,0.849890094522889
T11_GSE124821_day3_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.163628713206281,0.08027609274528794,-0.08335262046099307,
T11_GSE124821_day7_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,4,4,0.2016015812206086,0.277320336994813,0.07571875577420442,0.947161800271999
T11_GSE124821_end_antiCTLA4&antiPD1,T11,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,5,5,0.11854036639830576,0.11108386059021387,-0.007456505808091887,0.995894560673228
YTN16_GSE146027_anti_IL17_day10_antiPD1,YTN16,Gastric adenocarcinoma,GSE146027,antiPD1; antiIL17,4,4,1.2627168801482025,1.4053435272237125,0.14262664707550998,0.66765587031771
YTN16_GSE146027_day10_antiPD1,YTN16,Gastric adenocarcinoma,GSE146027,antiPD1,4,4,1.0798943046149072,1.2126212403190129,0.13272693570410565,0.825764641592501
YTN16_GSE146027_day14_antiCTLA4,YTN16,Gastric adenocarcinoma,GSE146027,antiCTLA4,4,5,3.053852539184915,5.657948923475284,2.604096384290369,0.0758691866407999
YTN16_GSE146027_day21_antiCTLA4,YTN16,Gastric adenocarcinoma,GSE146027,antiCTLA4,3,5,3.9768461088323135,4.937752145814989,0.9609060369826756,0.502636341700963
YTN16_GSE146027_day7_antiCTLA4,YTN16,Gastric adenocarcinoma,GSE146027,antiCTLA4,4,5,2.3768808529397325,5.586954268432,3.210073415492267,2.05295984296767e-23
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2,YUMM1.7,Melanoma,GSE103725,BRAFi; antiPDL2;,3,4,0.06187295047089236,0.12016964543363072,0.05829669496273836,
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1,p53-2225L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,8,5,3.898453633121589,3.78174653612252,-0.11670709699906867,0.525496937586661
p53-2225L_GSE124821_end_antiCTLA4&antiPD1,p53-2225L,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,6,3,3.394043055323935,3.2997633084773565,-0.09427974684657858,0.997707392100415
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1,p53-2336R,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,3,5,0.0,0.17639883432466702,0.17639883432466702,
p53-2336R_GSE124821_end_antiCTLA4&antiPD1,p53-2336R,"Mammary cancer, NOS",GSE124821,antiPD1; antiCTLA4;,8,5,0.1517336046719925,2.169555136080314,2.0178215314083214,0.0002323536976123
