leiden	n	score_Epithelial	score_T/NK	score_B/Plasma	score_Myeloid	score_Mast	score_Endothelial	score_Fibroblast	score_normal_lung	frac_marker_epi	frac_marker_tnk	cluster_lineage	cluster_malignant
16	3113	0.01839335580839237	0.03402684801614937	0.04250227572614054	1.9277190388009802	0.013943167400281307	0.2914765603449833	0.01659663667988258	0.07947642859260026	0.00064246707356248	0.00064246707356248	Myeloid	False
17	818	0.06487452074692249	0.0539802383249528	0.034123589531725285	0.5057958117868493	0.00954665921808618	0.0794256882766671	0.039293031247405796	0.0597853796741914	0.08557457212713937	0.03667481662591687	Myeloid	False
18	4823	1.4665055462704342	0.004027407004506127	0.0029699285541907325	0.01580120671967288	0.008142021520150759	0.023431580701800046	0.03958793586036009	0.06279617049613095	0.998133941530168	0.0	Epithelial	True
19	1586	0.04949288051342593	0.03914698609521292	0.037712574320232485	0.09307213983846915	4.547521463381974	0.018974721960721485	0.02314237961386344	0.05038385422668806	0.0012610340479192938	0.0	Mast	False
20	527	0.12255447188611925	0.08073000556812454	0.7862123331698727	0.16435940098113766	0.013592237979418817	0.14568176166078067	0.02206903507936811	0.04694480423005535	0.03795066413662239	0.017077798861480076	B/Plasma	False
21	3430	1.1415836969876834	0.03403835294708028	0.02784702832768097	0.07450645374104721	0.014535940222121799	0.023772780133358897	0.11039374182437123	1.6073700357853555	0.9629737609329446	0.004664723032069971	Epithelial	False
22	990	0.9688819303358444	0.03762089643386388	0.024604523478783218	0.09379441647027707	0.01643573569765866	0.01638443375940724	0.027918643817569786	1.1634866773517498	0.9707070707070707	0.011111111111111112	Epithelial	False
23	395	1.3160662644504733	0.01323957098254687	0.04790033771859378	0.08041436729153416	0.015986933810435415	0.023896958126850165	0.046133452779396074	0.01656907123744087	0.9949367088607595	0.002531645569620253	Epithelial	True
24	5150	0.04330697062231649	0.038464730681576804	1.6777558967902835	0.057589105894144864	0.022436309376976285	0.19462406231321572	0.054677514633557175	0.041968151415636167	0.0011650485436893205	0.0015533980582524273	B/Plasma	False
25	2830	0.06639080661293832	0.09439497534271053	0.017489683311824822	1.4695278228245687	0.006144100706105012	0.2619028105116597	0.010867860320462101	0.021132985151312185	0.0	0.00035335689045936394	Myeloid	False
26	3535	0.051533261579922746	0.06143814676467857	0.06272680763354721	0.09733115276176844	0.015439409056749863	2.1692410591618025	0.0629257210707208	0.0766086202826903	0.0016973125884016972	0.005940594059405941	Endothelial	False
27	2431	0.059731198672145984	0.031231576091837895	0.03647884431450624	0.07028202936788343	0.01395755783533105	0.013772040118188493	4.041326994077371	0.05433855999735525	0.0008227067050596463	0.0	Fibroblast	False
