contrast	filter	set	arm	method	n_A	n_B	n_genes	effect	alternative	p	n_perm	thesis	n_KO_in_low	fdr_sweep	fdr_full10
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	4	173	0.19717947454024873	greater	1.4458709705250704e-12	0	True		4.1207322659964505e-11	
Trop2KO_minus_WT	all10	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	5	173	0.15599464342220848	greater	1.823836577420749e-12	0	True		5.0646538803760796e-11	3.4652894970994235e-11
Trop2KO_minus_WT	all10	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	5	5	184	0.12689615897120524	greater	2.3724899021710753e-12	0	True		6.423516410128186e-11	3.6061846513000344e-11
Trop2KO_minus_WT	drop_control170	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	4	38	-1.883084382427945	less	2.647781597788152e-12	0	True		6.994018220498948e-11	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	4	173	0.17116456181569129	greater	2.973614241185777e-12	0	True		7.667676721914753e-11	
Trop2KO_minus_WT	all10	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	5	5	184	0.12689615897120524	greater	3.596079991338847e-12	0	True		9.057103792139468e-11	4.555034655695873e-11
Trop2KO_minus_WT	drop_KO165	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	5	184	0.13824395407524373	greater	4.761944805875679e-12	0	True		1.172087778355309e-10	
Trop2KO_minus_WT	drop_KO164	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	5	173	0.13822751743012923	greater	6.574185840739832e-12	0	True		1.582187392338053e-10	
Trop2KO_minus_WT	drop_KO165	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	5	184	0.13824395407524373	greater	7.070750333198169e-12	0	True		1.6647005675768734e-10	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	4	173	0.17116456181569129	greater	9.035651466310482e-12	0	True		2.082044795322181e-10	
Trop2KO_minus_WT	drop_KO172	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	5	184	0.11517150090503836	greater	1.2739235942096203e-11	0	True		2.874290109435456e-10	
Trop2KO_minus_WT	drop_KO164	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	5	173	0.13822751743012923	greater	1.6825223404463926e-11	0	True		3.6904321619759085e-10	
Trop2KO_minus_WT	drop_KO172	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	5	184	0.11517150090503836	greater	1.7131120096666243e-11	0	True		3.6904321619759085e-10	
Trop2KO_minus_WT	drop_KO172	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	5	173	0.14424921187002163	greater	1.7378766413736967e-11	0	True		3.6904321619759085e-10	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	5	4	178	0.14087974097871037	greater	2.3862225112926316e-11	0	True		4.969767268711384e-10	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	5	4	178	0.14087974097871037	greater	4.140397637867707e-11	0	True		8.30433208639218e-10	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	5	4	92	0.18433855520944534	greater	4.140664198201087e-11	0	True		8.30433208639218e-10	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IFNA	ifn_alpha	gene_rank_welch	5	4	92	0.18433855520944534	greater	4.433314673376746e-11	0	True		8.729599620485483e-10	
Trop2KO_minus_WT	drop_KO172	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	5	173	0.14424921187002163	greater	4.972385504247604e-11	0	True		9.616238394821706e-10	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	5	4	80	0.20079284905330325	greater	1.2531101180170187e-10	0	True		2.380909224232336e-09	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_KERATINIZATION	epithelial_program	gene_rank_modt	5	4	38	-1.2855321382118319	less	1.4887073671065352e-10	0	True		2.7797759975454785e-09	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	4	5	173	0.11058838635313524	greater	2.0989723105946685e-10	0	True		3.852859343006824e-09	
Trop2KO_minus_WT	drop_KO164	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	5	184	0.10803354989345396	greater	2.275722406938801e-10	0	True		4.1076789445245355e-09	
Trop2KO_minus_WT	drop_KO164	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	5	184	0.10803354989345396	greater	2.466198563897117e-10	0	True		4.378513188033734e-09	
Trop2KO_minus_WT	drop_control170	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	4	173	0.12659006082485624	greater	3.952914637087083e-10	0	True		6.904849277363405e-09	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	5	4	80	0.20079284905330325	greater	4.369643370469779e-10	0	True		7.511625032093287e-09	
Trop2KO_minus_WT	drop_RESUB-170R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	4	135	-0.26428041594569834	less	4.5949534794227204e-10	0	True		7.775522840960635e-09	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	4	5	173	0.11058838635313524	greater	6.784824790605781e-10	0	True		1.1304561920347786e-08	
Trop2KO_minus_WT	drop_KO162	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	4	5	178	0.1621088443833022	greater	6.957538917871933e-10	0	True		1.1416688860689853e-08	
Trop2KO_minus_WT	drop_KO162	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	4	5	178	0.1621088443833022	greater	1.0238684632075434e-09	0	True		1.654999321871298e-08	
Trop2KO_minus_WT	drop_control170	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	4	173	0.12659006082485624	greater	1.1418716675108557e-09	0	True		1.8185985528150834e-08	
Trop2KO_minus_WT	drop_RESUB-169R	GOBP_KERATINIZATION	epithelial_program	gene_rank_welch	5	4	38	-1.2855321382118319	less	1.2541070010972007e-09	0	True		1.9684027278090844e-08	
Trop2KO_minus_WT	drop_RESUB-170R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	5	4	135	-0.26428041594569834	less	1.3499822988219383e-09	0	True		2.088615470891656e-08	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_ALLOGRAFT	immune	gene_rank_modt	5	4	173	0.10302828953086224	greater	1.7306966381726618e-09	0	True		2.639921773438018e-08	
Trop2KO_minus_WT	drop_RESUB-170R	BARRIER_STRUCT	barrier	gene_rank_modt	5	4	21	-0.7872291794639865	less	2.1808779871849195e-09	0	True		3.2804039723906494e-08	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	BARRIER_STRUCT	barrier	gene_rank_modt	4	4	21	-0.8901748882000013	less	3.1445856255633895e-09	0	True		4.665186619842673e-08	
Trop2KO_minus_WT	drop_RESUB-171R	HALLMARK_ALLOGRAFT	immune	gene_rank_welch	5	4	173	0.10302828953086224	greater	3.85885292862193e-09	0	True		5.6474834076993926e-08	
Trop2KO_minus_WT	drop_RESUB-170R	BARRIER_STRUCT	barrier	gene_rank_welch	5	4	21	-0.7872291794639865	less	4.149756800025607e-09	0	True		5.992248819236977e-08	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	5	4	178	0.12919750117146064	greater	4.570045442158408e-09	0	True		6.512314755075732e-08	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	4	4	62	-0.45631494013853247	less	5.086492470789079e-09	0	True		7.154118630992952e-08	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	BARRIER_STRUCT	barrier	gene_rank_welch	4	4	21	-0.8901748882000013	less	6.1301574909977536e-09	0	True		8.435922057543563e-08	
Trop2KO_minus_WT	drop_KO165	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	4	5	178	0.13592841435642602	greater	6.153627354994843e-09	0	True		8.435922057543563e-08	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	5	4	184	0.12768954896947526	greater	6.354359228870319e-09	0	True		8.602213806083193e-08	
Trop2KO_minus_WT	drop_KO165	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	4	5	178	0.13592841435642602	greater	6.854076361804734e-09	0	True		9.072600632360649e-08	
Trop2KO_minus_WT	drop_KO162	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	4	5	80	0.21738945207765634	greater	6.869374440014526e-09	0	True		9.072600632360649e-08	
Trop2KO_minus_WT	drop_KO172	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	4	5	178	0.10825912638098112	greater	7.040410830734224e-09	0	True		9.186463770705017e-08	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	5	184	0.09584661013428371	greater	7.472175917478305e-09	0	True		9.63376966503453e-08	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	5	4	178	0.12919750117146064	greater	7.917221533464507e-09	0	True		1.0087471671461249e-07	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	5	4	184	0.12768954896947526	greater	8.060860986237121e-09	0	True		1.0151060986156746e-07	
Trop2KO_minus_WT	drop_KO162	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	4	5	80	0.21738945207765634	greater	9.088389436698765e-09	0	True		1.131347788499398e-07	
Trop2KO_minus_WT	drop_KO162	BARRIER_STRUCT	barrier	gene_rank_modt	4	5	21	-0.7313242867773042	less	9.224027202566337e-09	0	True		1.1351842568612889e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	4	4	135	-0.2760892919336571	less	9.633329202057886e-09	0	True		1.1722354523403022e-07	
Trop2KO_minus_WT	drop_RESUB-171R	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	5	4	13	-2.5637057295427366	less	1.0175412660114932e-08	0	True		1.22444132343383e-07	
Trop2KO_minus_WT	drop_RESUB-168R	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	5	4	13	-2.54769477656544	less	1.0387454490809821e-08	0	True		1.236221232257916e-07	
Trop2KO_minus_WT	drop_RESUB-171R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	4	135	-0.26902176740955613	less	1.0635434578885198e-08	0	True		1.2519756140144206e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	4	4	62	-0.45631494013853247	less	1.1836835676548213e-08	0	True		1.3698077274304625e-07	
Trop2KO_minus_WT	drop_KO172	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	4	5	178	0.10825912638098112	greater	1.18893745501813e-08	0	True		1.3698077274304625e-07	
Trop2KO_minus_WT	drop_KO172	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	4	5	13	-2.3387978737040758	less	1.2786080130015263e-08	0	True		1.45761313482174e-07	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	5	184	0.09584661013428371	greater	1.3559477258987623e-08	0	True		1.5296785282795413e-07	
Trop2KO_minus_WT	all10	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	5	5	178	0.1134339882034419	greater	1.4418696397545329e-08	0	True		1.6098400204682053e-07	1.5065468332878567e-07
Trop2KO_minus_WT	all10	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	5	5	13	-2.1731784114279367	less	1.7680841378703455e-08	0	True		1.9277404668183768e-07	1.5065468332878567e-07
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	4	4	135	-0.2760892919336571	less	1.781869535818099e-08	0	True		1.9277404668183768e-07	
Trop2KO_minus_WT	all10	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	5	5	178	0.1134339882034419	greater	1.7840686183671987e-08	0	True		1.9277404668183768e-07	1.5065468332878567e-07
Trop2KO_minus_WT	drop_KO172	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	4	5	13	-2.3387978737040758	less	1.7978004353523182e-08	0	True		1.9277404668183768e-07	
Trop2KO_minus_WT	drop_KO164	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	4	5	135	-0.23954488894475165	less	2.0309011508697118e-08	0	True		2.1563391631293116e-07	
Trop2KO_minus_WT	drop_control170	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	5	4	184	0.09846886687343442	greater	2.534621573978774e-08	0	True		2.6650438491446723e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_IFNG	ifn_gamma	gene_rank_modt	4	4	184	0.13903734407351376	greater	2.6563880756882672e-08	0	True		2.7574721713593977e-07	
Trop2KO_minus_WT	drop_RESUB-KO163R	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	4	5	13	-2.116411978425003	less	2.6945440426375493e-08	0	True		2.7574721713593977e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	4	4	184	0.13903734407351376	greater	2.6989108971754028e-08	0	True		2.7574721713593977e-07	
Trop2KO_minus_WT	drop_RESUB-168R	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	5	4	13	-2.54769477656544	less	2.9790822185894693e-08	0	True		2.99350718925913e-07	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	5	4	80	0.18325299005548673	greater	2.985214925576972e-08	0	True		2.99350718925913e-07	
Trop2KO_minus_WT	drop_RESUB-169R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	5	4	80	0.18325299005548673	greater	3.013312229429749e-08	0	True		2.9939606830022185e-07	
Trop2KO_minus_WT	drop_RESUB-170R	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	5	4	13	-2.2780666948818316	less	3.056549980484464e-08	0	True		3.0093123898769767e-07	
Trop2KO_minus_WT	drop_KO164	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	4	5	13	-2.0407515522217183	less	3.151640867052342e-08	0	True		3.0749793324483655e-07	
Trop2KO_minus_WT	drop_KO162	BARRIER_STRUCT	barrier	gene_rank_welch	4	5	21	-0.7313242867773042	less	3.376551073313926e-08	0	True		3.265004296784805e-07	
Trop2KO_minus_WT	drop_KO164	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	4	5	135	-0.23954488894475165	less	3.6169044483030695e-08	0	True		3.4664668296568355e-07	
Trop2KO_minus_WT	drop_RESUB-171R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_welch	5	4	135	-0.26902176740955613	less	3.948867462546325e-08	0	True		3.751424089419009e-07	
Trop2KO_minus_WT	drop_KO165	BARRIER_STRUCT	barrier	gene_rank_modt	4	5	21	-0.7778598085060683	less	4.02503180538228e-08	0	True		3.7905299523730513e-07	
Trop2KO_minus_WT	drop_RESUB-170R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_modt	5	4	62	-0.3993447718173429	less	4.1292377388320674e-08	0	True		3.855141785478559e-07	
Trop2KO_minus_WT	drop_RESUB-171R	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	5	4	13	-2.5637057295427366	less	4.274558758516194e-08	0	True		3.956706953395759e-07	
Trop2KO_minus_WT	drop_RESUB-169R	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	4	135	-0.2649219028082453	less	4.7584936846234994e-08	0	True		4.367329373260381e-07	
Trop2KO_minus_WT	all10	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	5	5	13	-2.1731784114279367	less	4.913710376713412e-08	0	True		4.471889359647584e-07	3.505738372552133e-07
Trop2KO_minus_WT	all10	KEGG_TIGHT_JUNCTION	barrier	gene_rank_modt	5	5	135	-0.2494657047348924	less	5.0740950129044035e-08	0	True		4.5793707491462243e-07	3.505738372552133e-07
Trop2KO_minus_WT	drop_control170	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	5	4	13	-2.071305119857688	less	5.352599522726126e-08	0	True		4.790797754638343e-07	
Trop2KO_minus_WT	drop_control170	HALLMARK_IFNG	ifn_gamma	gene_rank_welch	5	4	184	0.09846886687343442	greater	5.506838068510773e-08	0	True		4.887858249697248e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	4	4	178	0.15868618218570124	greater	5.551307153395767e-08	0	True		4.887858249697248e-07	
Trop2KO_minus_WT	drop_RESUB-168R	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	5	4	92	0.1499849627949175	greater	5.666090494619038e-08	0	True		4.948690327155175e-07	
Trop2KO_minus_WT	drop_KO164	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	4	5	13	-2.0407515522217183	less	6.009036244867699e-08	0	True		5.206229002553374e-07	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	5	4	178	0.1361917560327171	greater	6.107351214661326e-08	0	True		5.249413782125569e-07	
Trop2KO_minus_WT	drop_KO165	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	4	5	13	-2.1996203877619864	less	6.17901528214604e-08	0	True		5.269191772097764e-07	
Trop2KO_minus_WT	drop_RESUB-170R	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_welch	5	4	178	0.1361917560327171	greater	6.29227709725188e-08	0	True		5.323856325252958e-07	
Trop2KO_minus_WT	drop_KO165_and_RESUB-170R_Cldn4gap	HALLMARK_INFLAMMATORY	inflammatory	gene_rank_modt	4	4	178	0.15868618218570124	greater	6.714573200112379e-08	0	True		5.637118430792021e-07	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_welch	4	5	80	0.1483751397719854	greater	6.855562512600912e-08	0	True		5.711210923959067e-07	
Trop2KO_minus_WT	drop_KO165	BARRIER_STRUCT	barrier	gene_rank_welch	4	5	21	-0.7778598085060683	less	7.624607744955682e-08	0	True		6.303397089913743e-07	
Trop2KO_minus_WT	drop_RESUB-KO163R	HALLMARK_IL6_STAT3	inflammatory	gene_rank_modt	4	5	80	0.1483751397719854	greater	7.847391230234174e-08	0	True		6.438427804805766e-07	
Trop2KO_minus_WT	drop_RESUB-KO163R	KRT_EPITHELIAL	epithelial_program	gene_rank_welch	4	5	13	-2.116411978425003	less	7.971821086614367e-08	0	True		6.461146127037255e-07	
Trop2KO_minus_WT	drop_RESUB-170R	GOBP_TJ_ORGANIZATION	barrier	gene_rank_welch	5	4	62	-0.3993447718173429	less	8.05366873886335e-08	0	True		6.461146127037255e-07	
Trop2KO_minus_WT	drop_RESUB-168R	APM_MHCI	apm	gene_rank_welch	5	4	22	0.2625566377714729	greater	8.054060269160013e-08	0	True		6.461146127037255e-07	
Trop2KO_minus_WT	drop_RESUB-168R	APM_MHCI	apm	gene_rank_modt	5	4	22	0.2625566377714729	greater	8.11634542825699e-08	0	True		6.463236837354647e-07	
Trop2KO_minus_WT	all10	BARRIER_STRUCT	barrier	gene_rank_modt	5	5	21	-0.674914099770053	less	8.342936043798939e-08	0	True		6.595182288638139e-07	5.283859494405995e-07
Trop2KO_minus_WT	drop_KO162	KRT_EPITHELIAL	epithelial_program	gene_rank_modt	4	5	13	-2.1703102650268997	less	8.439204581064299e-08	0	True		6.622940986443939e-07	
Trop2KO_minus_WT	drop_KO162	HALLMARK_IFNA	ifn_alpha	gene_rank_modt	4	5	92	0.16912703614146118	greater	8.682749974299056e-08	0	True		6.765049080694876e-07	
