model	histology	proteotype	pdx_stability	median_human_log2	CLDN4	PRKDC	XRCC5	XRCC6	STING1	CGAS	TBK1	IRF3	IFI16	STAT1	STAT2	IRF9	MAVS	DDX58	IFIH1	IRF7	NFKB1	RELA	JAK1	TYK2	DNAPK_score	STING_score	n_sting_members
PHLC148	LUAD	LUAD3	stable	21.26516342	15.37415314	28.11042786	26.9569416	27.79036331	17.32044983	18.51561928	21.93921661	18.50786591	25.55602074	26.27840042	21.8806839	19.84125328	21.05690765	23.3509407	20.3739624		23.79646683	23.04989815	20.38704491	17.36650848	-0.04376892693237872	-0.34972103600481097	4
PHLC149	LUSC	LUSC2	stable	21.51176357		27.55569077	26.76626587	27.70290947			21.14234352	18.78440666	25.84573555	25.02653122	20.83690834	19.27731705	21.74118423	22.65782928	19.51535797		23.35536385	21.92754936	20.51638603		-0.6807342626018316	-0.2865190198967429	2
PHLC151	LUAD	LUAD1	stable	21.07595062		28.11062622	27.13885689	27.97079086	20.3566761	18.62804604	21.31052589	18.33075523	22.6871624	25.25726128	21.08782768	20.34147644	22.18494987	22.41718864	20.0091095		22.73527527	22.12532043	20.82377815	17.52135658	0.23527276876696582	-0.22730865718621135	4
PHLC152	LUSC	LUSC1	stable	21.29730225	13.69737816	28.32898331	27.56474686	28.24722672	13.68293762	19.68170166	21.65816879	19.11791801	21.70211792	25.40919876	20.30097771	18.74249268	20.88090515	22.42961884	17.24337578		23.09828186	22.29683495	20.94285965	17.04838371	0.7048492789412669	-0.08306859128345562	4
PHLC153	LUAD	LUAD1	stable	21.97768021		28.44825745	27.08891296	27.78507614		18.42980003	21.12948799	19.35441208	25.41851425	26.69235992	21.63547325	20.58658028	21.84227371	24.97056961	21.64690971		23.70866966	22.48210335	20.97913742	16.7918911	0.27682102829932054	0.09330228261319433	3
PHLC154	LUAD	LUAD3	stable	21.32104492	16.22721672	28.14744186	26.37809944	27.19146729	20.45974922	19.18034172	21.92937279	18.34095955	26.03479385	27.18074417	22.3280983	23.4253006	21.59824944	24.00977898	21.03140068		23.21684837	22.24396896	20.58390808	16.66283798	-0.926227127651004	0.2307496723495673	4
PHLC156	LUSC	LUSC2	stable	21.631879804999997	15.29110241	27.69701195	27.12091827	27.78092766	19.61038208	18.22175789	21.15253067		24.34887123	26.46925735	21.71588516	20.32845116	21.53802109	24.16592026		14.95738697	23.20681953	22.58833694	19.98526764		-0.3011140545524582	0.024497712028879626	3
PHLC162	LUSC	LUSC1	stable	21.320540424999997		27.72749901	27.32548714	28.19048119	18.43339539	20.06918526	22.23068619	19.02148438	26.08632088	28.19973946	22.36633682	20.61258888	21.05690193	23.33231926	21.53582382		24.2311306	22.6129818	21.33390045	17.45444298	0.10914099685241453	0.8815553694176156	4
PHLC164	LUAD	LUAD3	stable	21.71437073	15.88579559	29.00193024	27.42919731	28.26122856	21.8258152	18.25214958	22.05385971		25.86564445	25.97212791	21.40786934	18.8999424	22.15623665	23.17061043		14.96364403	23.09473038	22.56701469	20.39480019		1.283826094196934	0.6234568291567927	3
PHLC168	LUAD	LUAD1	non-stable	21.43991089	15.95819378	27.90472794	27.42463875	28.23840523	22.0148468	18.22908783	21.17872429		24.46240997	26.1121254	21.87106705	19.01383209	22.00226212	23.15121651	20.19779778		23.06137657	22.89315414	20.73508072	16.98269272	0.5217412243014228	0.11835011188229594	3
PHLC169	LUAD	LUAD3	stable	21.45098686		27.98622704	26.89380074	27.62661743	17.65530777	18.97723198	21.79167366	20.00195885	25.3739357	27.12861824	21.32828903	18.5502758	22.24175262	23.88680267		14.31930542	23.64810944	23.12687492	20.67855072		-0.3058402864879055	0.46084827026968667	4
PHLC171	LUSC	LUSC2	stable	20.92244911	14.54790497	28.07772636	27.18242645	28.05557442	18.53689766	16.94246101	21.35923195	19.24711418	25.71009827	25.00980949	20.79572868	18.45831108	21.02750206	21.3728199	18.6335144	13.18005753	23.05838013	22.33071136	19.39124107	15.87153435	0.16328756295359695	0.007117740978609677	4
PHLC178	LUAD	LUAD3	stable	21.31450272	15.4096117	27.46997261	27.25345802	28.24872589	21.38811874	17.0965538	21.53986549	18.39251709	24.77305603	26.01010323	20.49668884	19.23401642	21.36283684	23.07859612	18.61253548		23.95779991	22.79784203	20.21375084	17.24556541	0.11101638211254095	-0.3631144034607575	4
PHLC181	LUAD	LUAD3	stable	21.29262733	13.99013042	27.99921608	26.63776779	27.5389843	21.53622627	18.90788269	20.1677227	19.13156509	23.62499237	25.27388573	21.1511631	19.41618538	22.42176056	23.0771656	20.07437325	16.2664566	22.89366341	22.33808327	20.26263618	17.26270103	-0.5556497524398599	-0.11924079278278174	4
PHLC188	LUSC	LUSC2	stable	21.482984545		28.45927811	27.48644257	28.36258698	18.44907379	18.58634377	21.43033028		25.41772842	25.58533096	21.19585991	19.38756943	21.56575394	22.16490173	18.9957695		22.88142395	22.45219421	20.49164391		0.8105091080049629	0.10146904104692396	3
PHLC189	LUAD	LUAD1	stable	21.23857117		28.60931587	27.41824722	28.24743271	20.38442802	18.77436256	21.31742096	19.22308922	22.5824337	25.19396973	21.56229401	20.56983948	22.55072594	22.57916641	19.59304237		23.23101425	22.31911659	20.52685928	17.3630619	0.9997511541759927	0.23808381209773508	4
PHLC191	LUAD	LUAD1	stable	21.722892765		28.10142708	27.25466537	27.91243744	19.50153923	16.56722069	21.93127441	18.24914742	22.80711555	25.05017281	21.55468369	19.08215523	22.0253849	21.64534187			23.35186386	22.09009933	20.6683712	16.91065788	0.2670854733406393	-0.6853625938854946	4
PHLC192	LUAD	LUAD1	stable	21.86963463		28.55821228	27.00192642	27.81882286	22.85758018	18.24476814	21.18468285	19.0650425	22.38713837	26.0936985	20.67920303	20.64993477	22.23677826	23.53997803	20.75134468		23.11816216	22.52841949	20.06813812	16.28480721	0.31433366665163476	0.33214673872139344	4
PHLC193	LUSC	LUSC2	stable	21.338610645		28.17115402	27.31143188	28.14151382		18.47758865	21.03471947		25.68577194	25.08568573	20.6281147	18.94992638	22.29069138	21.67673302	18.88349724		22.17055702	21.51723862	20.15512085		0.3649273129416099	-0.265657764531104	2
PHLC194	LUAD	LUAD2	stable	21.06973839	16.14065742	27.71520996	26.9281044	27.81454086	20.20186996	17.85009384	21.25974655	18.92704964	21.32884598	25.76134491	21.87082481	18.97665977	21.68113136	23.52505493	19.68826675	13.28566265	22.79159546	22.27840424	22.12473106	15.67763901	-0.3121436293086321	-0.21213376866872657	4
PHLC196	LUAD	LUAD1	stable	21.40014648		28.03825569	27.25570869	28.0413456	21.35818863	17.11261559	21.35328865	19.2630024	23.31690788	25.6618042	21.80586624	18.58860207	21.20417023	22.72803688			23.14425278	22.10915375	20.91219139	16.53211975	0.3290687662434458	-0.041705730855655015	4
PHLC198	Pleom LUSC	LUSC2	stable	21.34124851		27.89349747	27.42198753	28.21690941	18.53084564	18.37923813	21.48230362		25.60223389	25.95115089	20.97385216	18.22237396	21.63540077	22.10229492			22.74721909	22.02568054	19.71274185		0.30768531047747405	-0.10072846591659153	3
PHLC200	LUSC	LUSC2	stable	21.15115356		28.15886116	27.43427849	28.23083878	18.94475365	18.00848961	21.64341354	18.03039551	25.02557373	25.40446281	20.52274323	18.73023796	21.6706295	21.57512665		14.01649189	22.80504227	22.4057045	19.90560532		0.4941343500227739	-0.10481667380324708	4
PHLC204	LUSC	LUSC1	stable	21.38746643	15.80878162	28.24875641	27.67868423	28.52126503	18.28285027	19.23871803	21.88570213	17.85790443	22.16364098	25.34950256	20.11652184	19.45795822	22.02880478	21.80700874	19.88920975		22.5315361	22.55705833	20.39925766	17.14591026	0.8969946257957488	0.06807762723945932	4
PHLC205	LUSC	LUSC2	stable	21.32338142		27.45968628	27.05961609	27.81464005	19.94020271	17.63145828	21.87144852	18.78438568	25.12804985	26.28210258	21.14359093	19.01944542	21.72108078	22.08112907			22.69089699	22.02149582	23.242033		-0.47934503919573057	0.39677304863829244	4
PHLC207	LUAD	LUAD2	stable	21.19438171		27.89904213	26.81124878	27.57525253	20.64927483	18.67718315	21.40848351	18.46538734	24.97233582	26.46948814	21.65733719	20.16974449	21.91395378	22.95573235		15.16857243	22.87849045	21.74089622	20.08987808		-0.4666569105717384	-0.061228121893763254	4
PHLC211	LUAD	LUAD1	stable	21.513648035000003		28.74926376	27.00428772	27.81894302	19.36719131	18.90195084	21.46898651	18.83026505	22.41106796	25.846138	21.82534981	18.31199265	22.34282494	23.12396431		14.92334652	23.48188019	22.38398361	20.36568642		0.4450787676077428	0.004628262729718511	4
PHLC215	LUAD	LUAD1	stable	21.5748806		28.02124786	26.97802353	27.5739193	20.68169022		21.33210564	19.08911324	22.50399208	26.01293564	22.89980125	20.36952782	21.25004959	24.20821381			22.37446785	22.65420151	20.52267456		-0.2628242230781637	0.15290806231835144	3
PHLC220	LUSC	LUSC2	stable	21.29085922		27.7638092	26.49963951	27.22744942	16.68979263	18.14966965	21.32899094		25.23858452	24.09964943	20.57371521	18.09997559	21.68086815	22.2177124	19.33626938		23.28760719	22.26815987	20.23646164		-1.0143399249243334	-0.375618266295125	3
PHLC223	LUSC	LUSC2	stable	21.06505203	17.65793419	28.25276947	27.05726051	27.9093132	18.49674606	14.18750572	21.61815453	18.80549431	25.14830208	24.50588036	20.48737526	18.69044495	21.7635479	20.94655609	17.30443954		22.25393105	21.92756844	19.34530067	16.15577316	0.10572853198079359	-0.4757828408148611	4
PHLC225	LUSC	LUSC2	stable	21.36732769		28.20723915	26.97922897	27.76391411	17.81818771		21.80301476	18.55080605	23.97582626	26.98270607	22.07607841	19.03713608	22.04852486	22.93704224			22.29271698	22.18870544	19.99112129		-0.06664943640203581	0.021406152902050436	3
PHLC228	LUSC	LUSC1	stable	21.15312195		28.51989365	27.65682411	28.47898483	19.48544693	18.81956482	21.10577011	18.63494492	23.86005402	25.24343681	20.83693123	19.92045975	22.2895546	22.06303787	19.33156967		22.76437569	22.52631569	19.87816238	16.33813858	1.0368038409844444	0.04574199319542259	4
PHLC229	LUAD	LUAD2	stable	21.04058266	15.56927299	27.6370945	26.37896919	27.20088196	19.90153122	19.01152229	22.22773552	17.64746475	24.85801697	25.79543686	21.93513298	21.97874832	22.3565712	23.12262344	20.25558472		22.83556366	21.84047127	19.9922924	16.372715	-1.2623684290351929	-0.08874127187338998	4
PHLC234	LCNEC		stable	21.39328384		26.88484383	27.54163551	28.28343201		18.75778008	21.5535202		23.1588707	26.11956596	20.79624939	18.13768959	22.41208267	22.67431259	19.93932343		22.47681999	22.35989952	19.99733543		-0.2368193667419979	0.2736257931732215	2
PHLC235	LUAD	LUAD3	stable	21.302309035		27.56079292	26.6786747	27.40405655	21.07918549	18.90447617	21.7428894	18.93655968	24.80317307	25.11306953	21.16403198	19.41330338	21.63291359	23.27157593		14.74493599	23.30422974	23.19120789	20.6761055		-0.9301400156353187	0.4411470449655582	4
PHLC236	LUAD	LUAD1	stable	21.490182875		27.71251297	26.51171494	27.6873455	21.75611877	17.05522346	22.03159332	19.64963531	25.35103798	26.75572205	21.68468475	20.16762352	22.2039566	24.06516266	20.29777145		23.66748428	22.65412331	20.08826828		-0.7221415263199068	0.4945852815304126	4
PHLC237	LUAD	LUAD2	stable	21.25841141	16.52576256	28.47412682	27.29268646	28.19380951	20.23114204	18.39407349	22.03069305	19.16690445	22.76276207	25.77155495	20.7031002	18.99979591	22.14924812	23.41647911	19.9413929	13.86307144	22.92077255	22.04616737	19.67775536	17.29865837	0.7731466503996623	0.4094780461964291	4
PHLC239	LUAD	LUAD2	stable	21.02749634	15.14840221	27.49444199	26.89560699	27.73392296	17.99563026	19.68183327	21.49211502	18.65164948	24.30064011	26.09996605	21.79744911	21.17841721	21.3089962	23.3678627	20.31321335		23.68612671	22.58503151	20.01737785	16.76272202	-0.5499120246947328	-0.05969098879136707	4
PHLC240	LCNEC		stable	21.03290939		27.80220413	25.82462502	26.68533707	20.3284626	17.50484657	22.14044952	18.56440163	26.61373711	27.21644974	22.3358345	19.92999268	20.5746727	23.49921417	20.71564484		23.00959396	22.77527237	20.29073524	16.16814613	-1.8075891997845723	0.22826569702595828	4
PHLC242	LUSC	LUSC1	stable	21.515169139999998		28.82047844	28.08234024	28.89627838	19.97583008		21.57644844	18.55881691	24.56778717	25.62592125	21.29423141	18.38947487	22.05593109	24.11880112			23.40709496	21.95812798	20.28705788		1.7795476917109603	0.2394732828155737	3
PHLC243	LUAD	LUAD3	stable	21.25638008	14.46418953	28.21857071	26.85321236	27.82669449	20.04524231	18.40717888	21.67939568	19.01773262	25.11679459	26.44263268	21.97026253	18.94932747	22.28892517	23.24415779	20.74535751		23.18346214	22.19886017	20.97908401	17.47055054	-0.017689569620457563	0.15404967900260808	4
PHLC247	LUSC	LUSC1	stable	21.15032387	16.13519859	29.0011158	27.10936546	27.92237473	17.75255203	18.78754044	21.31818008	19.60446167	21.79696083	26.05544662	20.82459259	19.26915741	22.92050934	23.14123535	18.83147621		22.12914085	22.54115677	19.43742752	15.94586468	0.6470193619917793	0.3211098602170106	4
PHLC251	LUAD	LUAD1	stable	21.318367		27.5159359	26.73564339	27.57141495	20.91789627		21.87046432	19.11103058	23.89828682	25.55891228	21.51125526	19.19316292	22.34416962	23.08457375			23.01950455	22.29937363	20.47372055		-0.7837643080790672	0.5435574292595899	3
PHLC252	LUSC	LUSC2	stable	21.08579063		28.01101112	27.17861176	27.92595863	18.60584831	11.91894817	21.01233101	17.82022285	25.89262962	25.11179161	20.78616142	17.92481422	21.58395004	20.77990913	18.3918438		22.74296379	22.27492332	18.96070671		0.036213238181758284	-1.556368783690759	4
PHLC255	LUSC	LUSC1	stable	21.316757199999998		28.26871872	26.83767319	27.63928413	21.63494301		21.97633934	18.71899796	24.43052673	25.24045563	20.91713142	19.17941856	21.09068298	22.50655174			23.45035362	22.03718948	19.76835442		-0.1974352495192991	0.9109111231976815	3
PHLC256	LUAD	LUAD1	stable	21.47637939	16.54760361	28.1611805	27.11347008	27.82249832	18.88234329	18.43455124	22.05215836		23.29814911	26.22976112	20.89468765	18.88705063	21.52853966	22.9806881		13.99886322	23.14739037	22.16354179	19.8170948		0.13128757019639625	0.0928901176784906	3
PHLC267	LUSC	LUSC1	stable	21.760486605	15.60377693	28.26418114	27.82993317	28.56208229	18.42339516	19.23561668	22.1049366		21.25037956	25.02190781	20.16981316	17.48679543	22.03227043	21.56617928		14.60858917	22.63401985	22.4727726	20.36859131		1.0336897512160905	0.729793828595823	3
PHLC268	LUSC	LUSC1	stable	21.13277435	13.73396301	28.54753494	27.28857803	28.08720779	13.46118164	19.59646034	21.20111084	19.70454597	25.84265518	25.29728508	21.86676216	19.32723427	21.21944809	21.96533585	17.34701538		22.82406235	22.34832573	20.25156784	17.28927803	0.5667268347234348	-0.1396300267411716	4
PHLC271	LUSC	LUSC2	stable	21.195714950000003		27.56657028	27.00626564	27.86527824	19.90006638	18.41983032	21.60731888		25.3914299	24.89113808	20.72106171	17.75450897	21.21050644	22.13935089	19.00855064		23.26563263	21.94123268	19.73389053		-0.41257244872326543	0.45095879010787304	3
PHLC272	LUSC	LUSC2	stable	20.91810417		27.14110565	26.04244423	26.7874794			19.96678925	19.54240799	23.96182632	24.53467751	19.7230072	18.47904587	20.46800041	21.85148048	18.58666801		22.37805939	21.72613716	19.21318054		-2.0068056267026084	-0.9646381694643906	2
PHLC273	LUSC	LUSC2	stable	21.59700012		28.31010818	27.39079666	28.22732353	21.21694183	18.40475273	21.98404121	19.33987045	25.17380905	26.81623268	22.1998558	20.46857452	22.54166794	23.65571404			24.0441246	22.18732452	19.79017067	16.94194984	0.5635903330355614	0.9758646687745627	4
PHLC274	LUSC	LUSC2	stable	21.49818802	15.77309513	27.9412899	27.02373505	27.75215721	19.9412384	17.50557327	21.79992104		24.91864967	25.68047142	21.54812241	19.79154396	22.84605026	22.47497177		14.1400528	23.33981133	22.12703705	20.48919106		-0.2212423735576091	0.4041438876895856	3
PHLC277	LUAD	LUAD1	stable	21.5040321325		28.478734975000002	27.404299735000002	28.39960575	20.14021206	17.594760895	21.650847435000003	18.55830765	21.729913709999998	26.007583615	21.548960685	18.740014074999998	22.064458845	21.941864969999997	19.58940983		23.09049702	22.679897305	20.787148475	16.7773037	1.0239838629659148	-0.28580266279066435	4
PHLC282	LUAD	LUAD1	stable	21.727576255000002		27.31328201	26.76703453	27.61814499		18.00982857	21.41503334		23.90115356	25.36121368	21.84160614	20.41083145	22.05428314	22.80786133	19.30883026		23.7602272	23.03976822	20.99050331		-0.8598165492585063	-0.3189790222751761	2
PHLC286	LUSC	LUSC2	stable	21.129770275	15.01044369	28.33800125	27.11757851	28.03278542	13.87224102	19.52644348	21.33784676	18.69487381	24.1036377	25.81868744	21.6806488	18.11563873	21.82030678	22.28710365	18.07738495		22.19597244	21.99861908	18.29284477	16.70722198	0.2791440093735799	-0.43022132828509724	4
PHLC295	LUSC	LUSC2	stable	21.51705456		27.96634865	26.93232536	27.8091011		17.86096573	21.37822914		26.20668411	24.70712852	20.9070797	19.60245895	22.34964371	22.66952133	17.83807373		22.79590988	22.31621552	20.06295967		-0.23052979693263734	-0.08560333493803766	2
PHLC296	LUSC	LUSC2	stable	21.46772957		28.01628876	27.18889618	27.93483734		18.81537437	21.74310493		26.10921478	26.42933273	21.74682808	20.52136993	22.15884209	23.62919044	20.11611366		23.78267479	22.06912804	20.33565903		0.05209558437538459	0.6209893294800528	2
PHLC299	LUSC	LUSC1	stable	21.578095435		28.25536728	26.79735947	27.67974854	20.63995361	18.68861198	21.21030617	19.13542366	24.93848419	25.84480286	21.80825615	19.8042202	21.83615112	22.68042183		14.82342911	23.53549194	22.64235687	20.90669441		-0.20829641284505365	0.43722900464663245	4
PHLC309	LUAD	LUAD1	stable	21.269578935	15.62063789	28.70074654	27.60342789	28.523283	20.39422035	20.00136948	21.09029961	19.58672142	22.03145218	25.86190987	21.71287346	18.70459175	22.89912987	22.59636688	20.08949661		23.17530823	22.67944717	20.60294724	16.77430534	1.419619158943984	0.6474251850745225	4
PHLC311	LUAD	LUAD1	non-stable	21.56795692		28.08271408	27.18194389	28.05647469	20.15465355	18.66937065	21.44755173		24.05405807	25.25521469	21.53479195	19.99127769	22.85055161	22.94189644			23.17379761	22.41949844	19.1095314		0.3170966404287077	0.06877995104136823	3
PHLC314	Pleom LUAD	LUAD3	stable	21.01049614		27.89734459	27.62882805	28.52151489	19.67544746	18.8015976	21.46463966	19.20138168	25.5825882	26.01760101	21.27319145	20.26350021	21.78022385	22.10652161	19.9328022		23.03467178	23.20056725	20.16966629	16.85248947	0.6455436628145975	0.3191972050605263	4
PHLC321	LUSC	LUSC1	stable	21.542984005		28.68778992	27.5753994	28.35474205	17.16688347	19.18164444	21.26644707	18.87558365	25.15610886	25.29045296	21.54475784	17.67453194	21.63294792	20.98473358			23.49964142	22.84123611	21.40373611		1.017358594073172	-0.01661603654684378	4
PHLC322	LUSC	LUSC2	stable	21.21706009		28.03284073	25.77807617	26.53380775	18.75774193	18.22265816	21.52755737	18.2018528	24.961689	27.13286591	21.59582901	20.01487732	21.12104797	25.19098282	21.03582001		22.85804367	22.79668617	19.93220139		-1.7466008814277545	-0.08945695943844148	4
PHLC325	LUSC	LUSC1	stable	21.67620754	16.08573914	28.39377213	27.61939812	28.49357796	18.75644493	14.66271496	20.1108532		23.54940796	23.27908134	19.60259819	17.52780342	21.58916855	21.85978889			22.16597748	21.38171959	19.86793518		0.9367897752402077	-1.6487207453069619	3
PHLC328	LUSC	LUSC2	stable	21.51915073		27.32672119	26.47277641	27.22766685		18.20671463	20.87315559	17.66806221	25.54528046	24.8444767	21.4377594	17.75638962	22.03009224	21.77738571	18.218153		22.98403931	22.00725746	19.63908386	17.16846275	-1.3232555441022271	-0.910106811022889	3
PHLC334	LUAD	LUAD1	stable	21.48201084		28.92030334	27.23460197	28.05677414	21.86991501	19.94387245	21.23476601	19.43564034	22.9669342	25.61058617	21.13049889	18.18364525	22.12695885	22.58460426	19.02796364		22.69392776	22.18951607	19.13248825		0.9211745749144696	0.8515762241822324	4
PHLC339	Pleom LUSC	LUSC1	stable	21.939237595		28.81560135	28.05908203	28.96699333	20.9703598	17.54200935	21.59178352	19.24279213	22.01642036	25.68317986	21.1329689	19.4873848	22.33015251	20.10923767			22.78825951	22.81941032	19.75268364	17.50121689	1.827746284847376	0.32750716402703905	4
PHLC344	LUAD	LUAD1	stable	21.1901226	14.98272324	28.16160774	26.94696808	27.85754967	20.38067055	19.15491676	21.34805107	19.28606224	26.17137718	27.23018837	22.7070446	20.8897953	21.66170692	25.06044388	20.30758286	15.44808578	23.20871353	22.38721657	19.73684502	17.08252525	0.03756534516659499	0.3870501931264556	4
PHLC353	LUSC	LUSC2	stable	21.472922325		28.10477257	27.04214096	27.90010262	19.53276062		21.47017288	18.443367	25.70964241	24.55919075	21.2881813	18.19703674	21.807024	22.52034569			22.7318325	22.0815258	21.70437431		-0.00863701313122246	0.021312868209120355	3
PHLC356	LUSC	LUSC2	stable	21.39994049		27.72894669	27.17569733	27.94278908	21.1337471	17.5883007	22.28429031	18.95720291	25.3272934	25.90183258	20.84824562	18.32518578	21.89801407	22.6682682			22.4312706	22.1267662	22.31904984		-0.14317570227240728	0.8442205579192809	4
PHLC360	LCNEC		stable	21.75939369		28.50448227	27.71739006	28.76934052	19.73089981	17.77016068	22.24693108	18.83209229	22.28956032	25.00219154	20.66284561	16.40988731	22.47839546	22.74449921			21.98416328	22.45855522	20.43911362		1.2670891943126783	0.36679796275859966	4
PHLC362	LUAD	LUAD2	stable	21.46666718		28.21706009	27.06844902	27.80241966			20.98502541	19.96690369	24.8907795	24.82355309	21.13043785	19.04367638	21.3537178	22.19186592	19.02293396		23.34239769	21.43552017	19.94135284		0.11976392448104507	0.546858466628065	2
PHLC365	LUSC	LUSC2	stable	21.323026655	15.14343548	28.60756683	26.90542603	27.7175827	17.11545563	16.22146034	21.04915428	18.25680161	26.01320267	26.39783478	21.04136276	19.85872459	21.14531708	24.03886604	19.8856926		23.33794212	22.03759384	20.18901443	16.6540451	0.12193488026524235	-0.8672585467349037	4
PHLC366	LUSC	LUSC2	stable	21.42912865		27.86237526	26.64461899	27.39864349	19.05456352	18.29401588	21.02433205		25.88342667	25.19720268	20.82862854	18.37721825	22.67017555	22.40825653	19.8599205		22.80472946	22.7248764	20.01867294		-0.7459086990235072	-0.15182158038047355	3
PHLC369	LUSC	LUSC1	stable	21.32681751		28.02661514	26.96224022	27.80556107	19.69156265	18.62777138	21.88990021	18.93028831	24.87535095	26.57548523	22.15554428	20.2313385	21.19186401	23.41914368	20.36195374		23.77314377	22.72278976	20.87667274	15.80882263	-0.17256712776412556	0.5926760584253157	4
PHLC377	LUSC	LUSC2	stable	21.5507431		28.11597633	27.35294533	28.23801994	17.83435631	17.00650787	21.65184212	18.52537537	25.58581734	25.85777664	21.58691788	20.26081467	21.8183136	22.33240128			23.49642944	22.5314579	20.52940559	15.90581989	0.4155927534776988	-0.20677892892450322	4
PHLC379	LUAD	LUAD2	stable	21.560647965		27.95881844	27.80389977	28.76774216	18.64040375	18.19052887	22.05021858	18.34665489	21.15590858	25.35180283	20.97987175	17.5890789	21.74435425	21.21098137			22.86001968	22.16879845	19.6572361	14.99044323	1.2631062815502023	-0.26392233311900304	4
PHLC390	Pleom LUAD	LUAD3	stable	21.24146652	14.17016697	28.40384483	26.62746239	27.51948738	20.51362991	19.08349991	21.66872215	18.86994362	25.67411804	25.81669807	21.58656883	20.19576263	22.07483864	22.49024963	19.68718719		23.54879379	22.66457939	20.26834297	16.80338287	-0.33498901734090375	0.4475255192355712	4
