gsm,patient,tissue,cell_type,genotype,n_cells,mean_libsize,TACSTD2_mean,TACSTD2_pct_pos,EPCAM_pct_pos,EPCAM_mean,PTPRC_pct_pos,PTPRC_mean,CD3E_pct_pos,CD3E_mean,CD8A_pct_pos,CD8A_mean,STK11_pct_pos,STK11_mean
GSM8592793,11318-141,tumor,Mixed CD45+/-,KRASmutSTK11mut,7002,18012.981433876037,0.5955727048557627,43.173379034561556,49.30019994287346,0.8505836039553639,37.01799485861182,0.7915219462325955,18.437589260211368,0.37497699475148977,9.468723221936589,0.20584886531513302,21.422450728363323,0.11385005007677221
GSM8592795,11318-139,tumor,Mixed CD45+/-,KRASmutSTK11mut,5795,24414.005004314065,0.3165966553596745,27.230371009490938,30.094909404659187,0.48479696711191433,46.79896462467645,0.9568864977350797,30.526315789473685,0.6799996888774958,15.979292493528904,0.3537988608234017,32.01035375323555,0.14968896664832892
GSM8592797,11318-143,tumor,Mixed CD45+/-,KRASmutSTK11wt,934,7984.140256959315,0.04320090331757531,3.640256959314775,2.462526766595289,0.019313658298322725,51.070663811563165,1.2920240808685461,37.47323340471092,0.8017782399889708,15.952890792291221,0.3530890243162263,10.706638115631693,0.07478699408571139
GSM8592799,11318-145,tumor,Mixed CD45+/-,KRASmutSTK11wt,5220,10685.294827586207,0.4867874900172166,24.444444444444443,29.88505747126437,0.41018386372432974,57.79693486590038,1.4869283794613422,33.69731800766284,0.7244701363523203,17.203065134099617,0.40363103784609566,16.590038314176244,0.10733291649073522
GSM8592801,MD043-132,normal,Mixed CD45+/-,KRASmutSTK11wt,4877,1106.1681361492722,0.3617090222713256,12.733237646093908,3.3832273938896864,0.08702407552361738,41.19335657166291,1.1643463736867015,9.267992618412958,0.2425952081502993,6.130818125897068,0.16153686396160508,1.8043879434078327,0.036293333003834624
GSM8592803,MD043-132,normal,Mixed CD45+/-,KRASmutSTK11wt,3985,6320.818067754078,0.10967681934145404,5.771643663739021,4.742785445420326,0.05589766533414119,81.0288582183187,2.064100862036587,33.099121706398996,0.7025924982134445,18.268506900878293,0.39115936210576446,12.170639899623588,0.10742398715656262
GSM8592805,MD043-132,tumor,Mixed CD45+/-,KRASmutSTK11wt,2777,4785.93698235506,0.07744497393765108,3.348937702556716,2.6287360460929063,0.03034039734578525,90.16924738926899,2.334756616329961,70.68779258192293,1.6187680238013176,31.724882967230823,0.7235691398867814,9.722722362261434,0.1097540536535694
GSM8592807,MD043-132,tumor,Mixed CD45+/-,KRASmutSTK11wt,1739,4608.38125359402,0.09091877305706507,4.025301897642323,2.875215641173088,0.035210853310409095,85.91144335825187,2.19952698961393,64.74985623921793,1.463091017269499,26.73950546290972,0.6055911404552945,7.7055779183438755,0.08867058621704901
GSM8592809,01-130,normal,Sorted T cells,KRASmutSTK11wt,9933,4419.363636363636,0.46667702338186035,24.202154434712575,18.514044095439445,0.26168754498137714,51.57555622671902,1.2853212012074882,32.24604852511829,0.6719292208730718,7.087486157253599,0.14983163929043078,8.869425148494917,0.1032132692141226
GSM8592811,01-130,tumor,Sorted T cells,KRASmutSTK11wt,7596,6895.830568720379,0.5987717905668499,34.531332280147446,31.47709320695103,0.5056627705621421,44.70774091627172,0.8738156535738043,19.246972090573987,0.37054914325852534,5.186940494997367,0.10068333290263369,14.296998420221168,0.12826467143495315
