gene	spearman_r	spearman_p	n_expr	padj
VAMP8	0.161121479556711	3.286737895639204e-81	12159	3.7478044420106135e-79
GLUL	0.1605525911085422	1.2113464964633797e-80	8769	1.3735586502076657e-78
CD47	0.1599533400885307	4.761430736038177e-80	10900	5.369042202742604e-78
JAK1	0.15973797396087713	7.777078327434495e-80	4848	8.72106954762088e-78
CUTA	0.15972693357354337	7.975015147155942e-80	10038	8.893894639660667e-78
SLC39A7	0.15971084293389284	8.272524494768707e-80	4470	9.175269380891827e-78
MACC1	0.1592026805933632	2.6249656028191877e-79	5656	2.8955938500228833e-77
DDX3X	0.15875895549081656	7.172176985977898e-79	7532	7.868847366723967e-77
PRRC2C	0.15874010338618075	7.484608245361897e-79	8987	8.16747814817798e-77
RP3-340N1.2	0.15859071018426324	1.0491411698120859e-78	1853	1.1387389477901555e-76
HLA-E	0.15823417466875794	2.3457107293067905e-78	9940	2.5324941847202087e-76
SON	0.15812964185470615	2.9687332226868176e-78	9786	3.188168159834621e-76
FNBP1L	0.15807220138447498	3.3787248273593917e-78	3814	3.6093672537322934e-76
RAP2B	0.15713555263656914	2.7660770174244204e-77	4030	2.924117980347055e-75
TMEM123	0.156843533562925	5.313559652049735e-77	9462	5.559243312250179e-75
KDM5B	0.156546890589173	1.0299879270639318e-76	4138	1.072085382339314e-74
LAPTM4A	0.15645194200472376	1.2726737544217163e-76	10026	1.3179315915049784e-74
FOS	0.15601457901350582	3.366792705723885e-76	10837	3.4513026034382675e-74
PRSS8	0.15594091456560139	3.9651154616908637e-76	8348	4.0442185188914305e-74
GNB1	0.1553549979531867	1.4522676094807857e-75	6618	1.4738337834815754e-73
CLIC5	0.1553087288956698	1.6086964371297505e-75	2020	1.6244632629065945e-73
THSD7A	0.15524856904176107	1.8374638788987664e-75	1305	1.8462873440598152e-73
TTC9	0.1551972053414363	2.0582684555227408e-75	2856	2.0579642779184766e-73
TJP1	0.15502305196756305	3.0232539946218655e-75	5930	3.00798952592353e-73
FUCA1	0.15502065649128932	3.039274853031508e-75	4978	3.0091786191210013e-73
PIM1	0.1546078588319335	7.546740924742267e-75	3716	7.435737890752125e-73
IRF2BP2	0.1545178664268363	9.198641605940687e-75	7513	9.019556940858846e-73
SAMD4B	0.15444154902632284	1.0878879140890958e-74	5193	1.0615798553974219e-72
PLA2G16	0.15418086470579628	1.9283114093327716e-74	10281	1.8726763959438881e-72
VASP	0.1541292608727914	2.159412165025088e-74	5534	2.0871232720721052e-72
ARL5B	0.15410341567861513	2.285333090616961e-74	3851	2.198360461623339e-72
TSPAN13	0.15407066674358272	2.4554559462473687e-74	8283	2.3508674217444737e-72
ARHGDIB	0.1539674624617104	3.0786139832227717e-74	7264	2.919935888666944e-72
BASP1	0.15396398545510953	3.102153119764403e-74	2132	2.928576831249213e-72
ERBB2	0.15390326958978193	3.543359397188357e-74	6458	3.3296095224413e-72
MTAP	0.15387246734443866	3.790571864984165e-74	2074	3.545494799243484e-72
IRF1	0.15383984602104692	4.071152245368692e-74	5835	3.7904668405618505e-72
C1orf198	0.1536130771104577	6.6851899391922905e-74	3651	6.195858456428581e-72
ANXA1	0.15356382120415146	7.44484538931844e-74	11357	6.868546675772562e-72
TNFRSF21	0.15333870692515833	1.2169745124308432e-73	4868	1.1126545801265236e-71
MAML2	0.15331901494695052	1.2703853767088441e-73	2501	1.1562785646214982e-71
HNRNPUL1	0.15286137402319416	3.441524003188443e-73	6295	3.118420209496242e-71
NOTCH2	0.15277200289032852	4.179424713173439e-73	2854	3.770212595701391e-71
CTSC	0.15263876605031262	5.582075355890527e-73	6915	5.0132470574561956e-71
ODF2L	0.15228518156317425	1.2016277421033335e-72	5395	1.0697122053276912e-70
MAGED1	0.1521414092343548	1.6403325297677068e-72	4541	1.453879011209395e-70
CEACAM6	0.15211295120239596	1.7444954719995326e-72	10083	1.5394793302249788e-70
BRD2	0.15183440072111026	3.1849968785988236e-72	8821	2.7985230149316157e-70
SEC62	0.15179298648351017	3.4828645025373365e-72	10205	3.0470560693103586e-70
MYLIP	0.15178901757765847	3.5128290378234667e-72	4578	3.060081157970082e-70
SFPQ	0.15170283686586425	4.2307510091919303e-72	8425	3.669724497161052e-70
ICAM1	0.1516652476938399	4.588043720075785e-72	9478	3.962703122824604e-70
EDN1	0.15142143352855422	7.75871408653465e-72	2540	6.644667502717038e-70
C10orf10	0.1511486632853964	1.3950712383599465e-71	1787	1.1897378539912537e-69
TMED9	0.1511224343438164	1.4759539031539616e-71	9220	1.2534492205989942e-69
MYO6	0.15066592550658364	3.929808400938161e-71	7230	3.3234717130767443e-69
RP11-1260E13.1	0.1505482274944472	5.055983786783748e-71	1429	4.2581453493921057e-69
UPK2	0.15053632805224418	5.1863842490619244e-71	885	4.349919053851648e-69
PPL	0.15036588252171376	7.46745027800656e-71	5028	6.237318448259223e-69
PLEKHA5	0.15020990096712383	1.04203567758426e-70	3431	8.668113995052345e-69
ATF3	0.15019901119728535	1.0665460847528961e-70	9377	8.835790156012054e-69
TAPBP	0.15004311610652982	1.487451162291539e-70	8122	1.2222994429567356e-68
RGCC	0.1496453484085734	3.4700433218599825e-70	2716	2.8285730644093196e-68
PLK3	0.14942294651083474	5.566602067062464e-70	5390	4.501407257177961e-68
TRAPPC6A	0.14914093072122406	1.012528022496611e-69	5372	8.137945424584479e-68
KCNQ1OT1	0.14910232164472487	1.0988472235022178e-69	5889	8.780827596623825e-68
LRP10	0.14906716894189126	1.1838004869233726e-69	7143	9.422587640424977e-68
CSNK1E	0.1490601515321154	1.201527526434184e-69	5139	9.526329767201028e-68
CLPTM1	0.1490302402974342	1.2801034898902164e-69	4519	1.0109829001673822e-67
HIST1H2BG	0.14899031791935602	1.393013792858268e-69	2173	1.095891509831173e-67
CD2AP	0.14892835918769934	1.5882135076205622e-69	5613	1.2446320295048089e-67
TJP2	0.1488779959849624	1.7667919925024195e-69	4060	1.3792529643008312e-67
TMBIM6	0.14856767618642458	3.40381475530464e-69	11661	2.6369171026113847e-67
NFE2L2	0.14846698178433765	4.20959717811414e-69	8026	3.2487526206913575e-67
SRSF5	0.14822757143593654	6.972221631141062e-69	8720	5.360423577548111e-67
C1orf116	0.1482198724249904	7.08617609388382e-69	5770	5.4274760821720715e-67
FSTL1	0.14819842110161857	7.413566771213657e-69	2342	5.656885893057278e-67
NPEPPS	0.14816784536795571	7.906436818638186e-69	6806	6.010372588310834e-67
CTSD	0.14797556508187398	1.1847702559312804e-68	12034	8.972866374864627e-67
INADL	0.14793210530431825	1.2980847024961632e-68	4460	9.794507511734062e-67
PLS3	0.14783336354316728	1.5973012334726201e-68	6777	1.19632557696656e-66
SEC31A	0.1476822492790902	2.1934616362526153e-68	6365	1.6367901040815932e-66
ANKRD13A	0.14765238943373993	2.3352344858303106e-68	3581	1.7361997933662204e-66
AHR	0.14745827437486775	3.507663978472118e-68	7341	2.598359699673306e-66
ACTN1	0.1471207608109154	7.106493145225661e-68	2897	5.226104759733524e-66
SLC25A37	0.14707062770287244	7.891144673880411e-68	6842	5.78218640598378e-66
IFI27	0.14681660405870406	1.340796385029486e-67	8278	9.789260513289022e-66
CLIC1	0.14677733238892385	1.4551845564442634e-67	11209	1.0586337255250615e-65
ABCF1	0.1467221922875357	1.6323880713881044e-67	4563	1.183306453034441e-65
TUG1	0.14651744835944075	2.5001128675974762e-67	4319	1.8058644439012802e-65
RHPN2	0.1464869894630575	2.6636590733887637e-67	1305	1.917173340871338e-65
ASAH1	0.14646118952385012	2.810500977528794e-67	9891	2.0157151357209164e-65
TINAGL1	0.14622861076970164	4.55701132712926e-67	3509	3.245391540587459e-65
KDM6B	0.14620115689496457	4.82429324210384e-67	4017	3.4237300676567007e-65
S100A2	0.1461962350720132	4.8738360429137156e-67	4581	3.446837984774205e-65
ANXA3	0.14612640114595138	5.633940487481484e-67	4132	3.970558683139294e-65
HNMT	0.14600129630740336	7.302832062432485e-67	4980	5.128912884816337e-65
SLC44A2	0.1459557236157431	8.026250778401191e-67	3399	5.617545243076171e-65
MX2	0.14593280288610738	8.416652082167684e-67	3730	5.8705425193043805e-65
CTNNA1	0.14592136979521073	8.618405034841283e-67	9164	5.990676951786764e-65
H2AFJ	0.1458490192944323	1.001172000176431e-66	7535	6.935422555488403e-65
OFD1	0.14568659885092144	1.4011662185776827e-66	4545	9.673289366826948e-65
CAPNS1	0.14557825264010066	1.7529752493144678e-66	7937	1.202031710653235e-64
UBC	0.14546721478928246	2.2049611408779983e-66	12918	1.506871928498341e-64
PSENEN	0.14544879422187812	2.2904487796770473e-66	7608	1.560041573191444e-64
LITAF	0.14540641015904038	2.499899558610218e-66	8585	1.6970053960237993e-64
PLAC8	0.14535162047872838	2.7991780590611606e-66	2574	1.8938305688254793e-64
FAM63B	0.1453487717536461	2.815680101795011e-66	4438	1.89866641282835e-64
NFKBIZ	0.14524356713731343	3.4980214590062496e-66	7314	2.3509715746175448e-64
SNCG	0.14483119946313439	8.175745560368426e-66	2818	5.458654856539406e-64
RHOC	0.14476265500668759	9.412583549743527e-66	8949	6.263842895381782e-64
PBXIP1	0.14468645196616745	1.1007558591353124e-65	3389	7.301320808127267e-64
HNRNPL	0.14448509665396747	1.6639696995094157e-65	3847	1.1001170355355899e-63
CGN	0.14439193371377596	2.01413075749961e-65	4037	1.3272990904210905e-63
SUN1	0.14435000723697078	2.194807324913799e-65	5839	1.441682986206323e-63
UNC93B1	0.14422956243819007	2.8087501864735017e-65	5444	1.839006533382344e-63
STK17B	0.14410058073331747	3.6569530417692654e-65	4810	2.3866616041411828e-63
IGFBP3	0.14407449483843074	3.857314149804839e-65	5023	2.509355939057334e-63
B3GALT4	0.1438795459536292	5.744764385349573e-65	1700	3.7252869881610317e-63
DAAM1	0.14382188969190304	6.462295787898922e-65	3488	4.177236229521797e-63
FXYD3	0.14379503858036405	6.826281452927556e-65	10891	4.3985090365101783e-63
UCP2	0.14362018998881745	9.750679820122604e-65	4575	6.262960389526219e-63
KLF10	0.14339852459103108	1.531325390520624e-64	4411	9.804830110850822e-63
ANPEP	0.14333853184144307	1.730090953217998e-64	1858	1.1042659143857141e-62
MX1	0.14324211044045743	2.104775131029347e-64	4099	1.3392044148746915e-62
PDP1	0.14298204751173305	3.568918919730658e-64	2783	2.2636983535554115e-62
TMEM51	0.14284742559639982	4.68900576401988e-64	2189	2.9648831773305766e-62
SLC2A1	0.14283286766997977	4.8293994013569165e-64	3909	3.044171417681408e-62
ZFHX3	0.1425926541071757	7.854323765176816e-64	3958	4.935579240303215e-62
NYNRIN	0.1424344605476671	1.0814459785691053e-63	1268	6.753879700620656e-62
SLC38A2	0.1423788851650511	1.2099373734796635e-63	6471	7.510121978445484e-62
SRSF11	0.1422156460319584	1.682147214255208e-63	8600	1.0409311587724987e-61
INSR	0.14218764292479216	1.7798993229937585e-63	2673	1.0980734516353896e-61
CD82	0.14199592267742253	2.619467889789229e-63	4185	1.61113150785006e-61
EGR1	0.14192777907048343	3.004723530122432e-63	8981	1.8425037308427496e-61
XBP1	0.14186640913000167	3.399750803893006e-63	8999	2.078456086343866e-61
TEAD3	0.14186393140283962	3.4167431025637276e-63	2341	2.0825716141962758e-61
PPP1R11	0.14127002905678432	1.1258618251762027e-62	5630	6.821378347940713e-61
TSPAN1	0.14104866653953166	1.7536177930266985e-62	6064	1.0561774583104716e-60
MACF1	0.1409157071612729	2.287590382302594e-62	5890	1.37370479259159e-60
TMEM41A	0.14091066656571954	2.3107480556934003e-62	4687	1.3835177960592608e-60
TAF7	0.14074605167740128	3.2101104721926754e-62	7407	1.9146209750932765e-60
MMP14	0.14074503020975213	3.216661341611112e-62	2612	1.9146209750932765e-60
EFNB2	0.14040390244549816	6.349037967651941e-62	2045	3.757038589779342e-60
MAP7D1	0.1403848296070877	6.594726245743986e-62	5491	3.891080192147258e-60
TMBIM1	0.14019833971657134	9.55650453007334e-62	6876	5.606022325054871e-60
OPN3	0.14004788228381934	1.28858458877584e-61	2281	7.537291469274704e-60
NIPBL	0.14003381022145578	1.3250945591422435e-61	4671	7.728575938767274e-60
IRS2	0.13985557995452064	1.8872123667526916e-61	3819	1.0944214116565536e-59
EIF4A2	0.1398356008680364	1.9634659085746497e-61	10513	1.1353979357931527e-59
ADSS	0.1397886394044201	2.1550065626619432e-61	5154	1.2426184148394733e-59
RERE	0.13962757178006743	2.9647758032041886e-61	4561	1.7047040928508615e-59
BPTF	0.13957517246292328	3.2887274573263114e-61	6115	1.8803183437000603e-59
ATP6AP1	0.13952980953777017	3.597511547017507e-61	4960	2.051086850275684e-59
LBH	0.13952148657631794	3.657224221499521e-61	1832	2.079290756968509e-59
CX3CL1	0.13946401061179556	4.097426706646644e-61	2236	2.3230578174527075e-59
KIAA0355	0.13934562578137868	5.177407840235098e-61	2090	2.9190513037014383e-59
TIMP2	0.13893523685817386	1.1631351618582044e-60	4292	6.539654952973955e-59
RNF5	0.13878321787812015	1.568809259190266e-60	6223	8.79616616955382e-59
MBOAT2	0.1387540675315083	1.6613837646148644e-60	5335	9.289560956029724e-59
NT5E	0.13874743500941428	1.6831957115235598e-60	2649	9.385665757360905e-59
LAD1	0.13869767310822545	1.856205128882367e-60	5133	1.0322026164637096e-58
AHNAK	0.13862704576262747	2.1325890788880296e-60	6715	1.1794321671441508e-58
TTYH1	0.1386010661088786	2.2442597961466917e-60	502	1.2378190511518859e-58
MARCKS	0.13845602844609825	2.9836034865122334e-60	4346	1.6367081071821298e-58
TCF7L2	0.13840267428949266	3.312840388020747e-60	4411	1.812418365381593e-58
PHLDA1	0.13839433451608846	3.367476903986978e-60	3566	1.837356954844723e-58
C2orf54	0.13837541798478453	3.4947551895721455e-60	1319	1.9016902435052503e-58
NR2F2	0.13830752797899992	3.992301013560752e-60	4013	2.166623894979748e-58
PARP14	0.13821615592413644	4.7750501575540653e-60	6400	2.5845118146099965e-58
TUBB4B	0.13804475746486436	6.67866267752111e-60	9247	3.6052344778097335e-58
LSM14A	0.13789300614256222	8.985510319906526e-60	5730	4.824838702728644e-58
MAGI1	0.13774354218328233	1.203125400496442e-59	3079	6.443228563028043e-58
OCLN	0.13767379243512576	1.3785444157140924e-59	6411	7.363241054144457e-58
FOXN3	0.13758810065365373	1.6292905780291785e-59	2607	8.679714137075653e-58
GRB7	0.13749795184450445	1.9422314198949436e-59	2922	1.0319756840211432e-57
TNFSF10	0.13739991610173824	2.350825653429819e-59	5555	1.2425705283246103e-57
VMP1	0.13738914873368968	2.4006222909297197e-59	9837	1.2655956010130006e-57
PCF11	0.13734287436388787	2.626870944906792e-59	4283	1.3812849629215845e-57
CEACAM5	0.13730435982477937	2.8312879082522638e-59	2535	1.484926373999902e-57
ATP6AP2	0.13729334915519262	2.892587243835805e-59	6308	1.5131660641271996e-57
RGMA	0.1372709997971399	3.0211069194313505e-59	1141	1.5763343738739877e-57
EIF4A3	0.13716746473534427	3.694758372370708e-59	5328	1.922884889333545e-57
GADD45A	0.13712876610951555	3.983307313575871e-59	4902	2.067754182702032e-57
YIF1A	0.137120762085746	4.045733058037236e-59	7464	2.0948021397699435e-57
STK38	0.13700948557144546	5.021632260071187e-59	2541	2.5934877858184446e-57
SLC16A3	0.13699215481739452	5.193428289632019e-59	6758	2.6754064465650025e-57
GOLPH3	0.13690982501320936	6.092974137053903e-59	6181	3.1308631913869135e-57
ZFP36L2	0.13682225494791928	7.220596241587818e-59	7912	3.700920250391615e-57
HS3ST1	0.13653732042435782	1.2536696196198074e-58	2475	6.409504349980663e-57
CCDC64B	0.13646345823348932	1.4461456681198562e-58	4964	7.374979554228322e-57
ARF6	0.1363620521307731	1.7592024820872088e-58	6730	8.949005709003528e-57
ACBD3	0.13629119523299815	2.0171718561759507e-58	5507	1.0235634291200818e-56
KRT15	0.13625104786648162	2.1797165846826636e-58	4086	1.103284476790624e-56
PPP1R10	0.1362216361352385	2.307015781674702e-58	4440	1.1648134159366026e-56
