gene	log2FC_high_minus_low	t_stat	p_ttest	spearman_r_vs_TACSTD2	padj_ttest	spearman_p_vs_TACSTD2	spearman_padj_vs_TACSTD2
EPHA2	1.386727286135697	15.046625543666083	8.127530811697347e-44	0.4844373585807224	8.342910378207326e-41	5.787133671674463e-61	9.900821189956393e-58
BCL10	0.6266404129793504	14.890518773813149	1.4075152159076198e-43	0.464066073271915	1.3760136848849254e-40	1.8900842247030804e-55	1.5521371653261695e-52
PVRL4	1.4183971976401235	14.870473730337736	3.459563004887638e-42	0.5196965657846031	2.7317241727055078e-39	1.9612591033718425e-71	8.052929878444785e-68
RHOV	2.003568289085534	14.828568453908778	4.4076432421013245e-43	0.4738720091500056	4.113132534560917e-40	4.6633692760972096e-58	5.631704190486806e-55
CLDN1	2.347327138643076	14.784750404840484	5.393431883336512e-43	0.4364464250627822	4.814224198473851e-40	1.516626532399099e-48	5.874781643425189e-46
GNA15	1.1792048672566384	14.754481617845318	1.117175528896933e-42	0.4727460917683856	9.556505670105846e-40	9.385377337675697e-58	1.0704544263471226e-54
SDC1	1.1178063421828828	14.73852206631678	1.8298242055329906e-42	0.4753919644884145	1.502651637583692e-39	1.8065150278371003e-58	2.3179845950934793e-55
MPZL2	1.2151638643067812	14.628137150947571	3.9004920215414606e-41	0.4721978817809667	2.426578824310491e-38	1.3180714003648484e-57	1.3530002924745167e-54
KRT78	2.4376485250737465	14.60785722226566	1.298345474105898e-41	0.4448209440119584	8.885010861131361e-39	1.4259527236958043e-50	6.653365776698832e-48
WNT7B	1.804012094395277	14.596074935237558	3.2245076490130634e-41	0.4676713470607413	2.135456194652845e-38	2.1258925464590482e-56	1.905737022831957e-53
HSPB1	1.2340258112094311	14.57554991358646	4.7885071440624565e-42	0.4579676036589994	3.641038950651935e-39	7.17841275905739e-54	5.081821170463732e-51
KRT16	4.574960324483771	14.545658431969455	7.170130665350466e-42	0.4338228695383186	5.257242234273038e-39	6.371423518052743e-48	2.2948302600986456e-45
GJB4	2.94959144542773	14.534944677013756	8.052285922740762e-42	0.4405207925890197	5.7004631032368215e-39	1.5918242218496851e-49	6.536030254914807e-47
GRHL3	2.6228209439528003	14.40040520874725	3.524838829437296e-41	0.4471519035998298	2.2614044115108646e-38	3.800332837129576e-51	2.0005341832376972e-48
TMEM79	1.174946312684359	14.369800304917216	2.281931635479493e-40	0.4288303325794033	1.2328435914840524e-37	9.449995583062173e-47	3.0794985606391495e-44
?|653553	1.1789674041298015	14.32816127229859	7.457986726147421e-41	0.4550894574814556	4.5033078672884275e-38	3.8944626585309985e-53	2.498541199363794e-50
SPRR3	4.645954277286135	14.290765162005464	3.305390131989147e-40	0.4103538160055635	1.6964914852434295e-37	1.3884795378701033e-42	3.3535864602909672e-40
C10orf99	3.5371424778761087	14.265970971914244	1.9148332049755778e-39	0.3809745624194264	8.545983847423613e-37	1.7845057980138802e-36	2.713770669127775e-34
ANXA8	3.573489528023596	14.26558332065598	1.5272922146699806e-40	0.4450601166882073	8.958659762049916e-38	1.2456181365765677e-50	5.947102405562079e-48
GIPC1	0.7200395280235945	14.261319885081909	1.5729601790329687e-40	0.4632438807513941	8.97024235431857e-38	3.0995923462916877e-55	2.2726653881917268e-52
IL1RN	1.8990682890855464	14.251134058741268	2.962400975038241e-40	0.4418518961316861	1.559438256859874e-37	7.57111118668286e-50	3.172141074746921e-47
EPHA1	1.33399395280237	14.248000198325508	1.7027440783190044e-39	0.4674861984693895	7.768296872864257e-37	2.37985766834187e-56	2.0357699137941077e-53
GBP6	3.622674483775812	14.227625764539882	2.2621612849682166e-40	0.4219608991858092	1.2328435914840524e-37	3.590463185771681e-45	1.0097562904642823e-42
S100A11	0.8962550147492756	14.206555394331753	6.591412465272831e-40	0.4676643203623687	3.2219451883821714e-37	2.1350195579705313e-56	1.905737022831957e-53
TMEM40	2.8423221238938066	14.18913962388117	3.507431096322442e-40	0.4423115958121467	1.75628196115853e-37	5.852864921464601e-50	2.5033191007847553e-47
SPRR1A	4.298916371681419	14.161095364514049	1.5802949978785642e-39	0.3945083025070927	7.373512796919755e-37	3.26494080768011e-39	5.931790688643598e-37
GRHL1	1.4281460176991203	14.109628173293068	2.9792740971957144e-39	0.4446513811338928	1.2742603586547502e-36	1.569302964125648e-50	7.159508856333234e-48
ANXA2	0.8938800884955622	14.096916243229089	1.3260434726202335e-39	0.4277478893641517	6.331086626254278e-37	1.685709411116047e-46	5.407439720345694e-44
LAD1	1.1887135693215267	14.08267879171493	3.1274201560048245e-39	0.4632522256095044	1.3103252204648788e-36	3.0840908918122126e-55	2.2726653881917268e-52
RND3	1.3493980825958651	14.047256637269854	2.4984728858913548e-39	0.4335446283818883	1.0913542201563728e-36	7.413546392758712e-48	2.624139783505799e-45
C1orf170	1.3217044247787628	14.02274271259854	4.1717075920635305e-39	0.454704429216003	1.6793168012757698e-36	4.877123676077346e-53	2.9449220314667033e-50
DENND2C	1.5878520648967598	13.98813065254909	3.8530963986782505e-39	0.4077669144762759	1.5820813812972898e-36	5.075259406391287e-42	1.1325551697088383e-39
SERPINB2	3.526783923303833	13.982568756154548	1.1294474433776839e-38	0.3881992026723983	4.293991854174787e-36	6.398077704245593e-38	1.0855581427120829e-35
CSTA	2.706738495575226	13.96768171479582	4.706352459836137e-39	0.4233962894273501	1.8581041538545364e-36	1.690732707077673e-45	4.958677496614946e-43
PRSS27	1.5695445427728618	13.930640118602136	1.3448474380335006e-38	0.4329109717729616	4.930306768362101e-36	1.0462225245558264e-47	3.640499733751037e-45
PPP1R13L	1.0600078171091472	13.92253839383087	6.86562236730754e-39	0.4492040066817064	2.659457116996675e-36	1.1763450917880757e-51	6.527125603894376e-49
S100A9	2.572929056047201	13.91186495931514	1.3102099551700298e-38	0.4363361668656598	4.890656432661948e-36	1.6113370660676306e-48	6.0146818120669924e-46
TMPRSS11D	3.918618141592917	13.885662977077754	2.356171250781724e-38	0.4081349354842829	8.062032629758135e-36	4.223547121243184e-42	9.528507955947535e-40
RNASE7	2.779616371681418	13.882184403415517	2.8166596852388283e-38	0.410604318987769	9.479675957041498e-36	1.2239563621595216e-42	2.991407632754164e-40
S100A16	1.2762765486725716	13.881195231418472	1.586690260283808e-38	0.4770694843298086	5.7148686041450144e-36	6.307739688621394e-59	8.633193053826481e-56
OVOL1	1.6881131268436649	13.83569825351418	2.0461471044236195e-38	0.4463923857996029	7.242655181692569e-36	5.85377508937669e-51	3.004450064622586e-48
GJB2	2.4260803834808176	13.804307897132588	2.3114850409818094e-38	0.4180159178783431	8.043184388365517e-36	2.7922935315156566e-44	7.256428633166637e-42
SPRR1B	4.368185840707966	13.792995116840087	3.5582296006829163e-38	0.4036082861794359	1.1782331242261332e-35	3.9816776403973995e-41	8.341208362995777e-39
PSCA	2.8312954277286133	13.762102525508835	5.338406629627607e-38	0.4475682018728047	1.7124607516602307e-35	2.9976912310533427e-51	1.6195421308822403e-48
PPM1J	1.283277433628318	13.749159801450478	5.900543276134738e-38	0.4156026158831242	1.863663899369941e-35	9.662333462192524e-44	2.448984024429784e-41
HES2	2.329510029498529	13.738759521001429	5.090165112814949e-38	0.4216545608933232	1.6587474566046177e-35	4.2145351438347584e-45	1.1692487365260485e-42
CLCA2	4.670246312684375	13.69060387960313	8.039777672593517e-38	0.4241665654513731	2.5008581154294686e-35	1.1269448737560723e-45	3.4023791556194358e-43
ANXA8L2	3.061045280235992	13.645357057376296	1.4032172431094878e-37	0.4271392540074143	4.299708955378774e-35	2.331906945094174e-46	7.365238397351291e-44
PLEKHN1	1.428626253687316	13.631700323072868	3.2851734393959586e-37	0.4508493683534354	9.499240945182959e-35	4.5674140423451545e-52	2.6791145796956005e-49
VTCN1	2.6487774336283145	13.586528148658786	2.5170067506180576e-37	0.4012431724646395	7.599139498557165e-35	1.2682904966095481e-40	2.5780201876627746e-38
ANXA2P2	0.8766224188790481	13.583326652115572	3.492484365466305e-37	0.4121003034008506	9.958431114308783e-35	5.750308688522688e-43	1.4396809436020828e-40
CLCA4	3.3634631268436594	13.544773396007251	3.1666753312149945e-36	0.3783569838817834	8.12648056873048e-34	5.838947251315609e-36	8.267143935828238e-34
C12orf54	2.385998820058994	13.474664960489482	3.8015183007456526e-36	0.3784614200547964	9.494758818460344e-34	5.570373097955094e-36	7.941649979237367e-34
TMEM159	0.8956508849557547	13.468924943904211	1.7017023666382393e-36	0.4357629189404891	4.6581266116110745e-34	2.207027581635953e-48	8.091120759104664e-46
SERPINB13	4.474293215339237	13.466749729214184	2.081063431898272e-36	0.3706012263197487	5.477465673957887e-34	1.8379468690864488e-34	2.2868514680208968e-32
KRT19	1.5790163716814032	13.443419366544411	1.842740510067046e-36	0.4836333253510794	4.9131769703475915e-34	9.710130008676301e-61	1.5334536082932652e-57
PPL	1.1553430678465997	13.417664609671997	1.6832893778971314e-36	0.4456565749225959	4.6581266116110745e-34	8.886729548938275e-51	4.432285547967112e-48
RARG	1.0732253687315492	13.415777564031243	1.839689653623473e-36	0.4252269414363763	4.9131769703475915e-34	6.43623875467709e-46	1.9721788303510547e-43
TMBIM1	0.730414749262529	13.413781597005167	1.522449173661701e-36	0.4376565483964669	4.28162760757188e-34	7.789381528205281e-49	3.1356078975304783e-46
IL1F9	3.028084808259589	13.374850266265872	7.567180637061839e-36	0.3917010387121382	1.827696687986818e-33	1.2368186110078131e-38	2.207990094260035e-36
CAPN1	0.5702812684365917	13.32752580096316	3.8105543267961386e-36	0.4363761756849527	9.494758818460344e-34	1.5763090305664453e-48	5.9928934069498366e-46
GJB5	3.2356342182890856	13.327231295496311	3.838601957779876e-36	0.4317068745730869	9.494758818460344e-34	2.009192760583205e-47	6.653020544318258e-45
SPRR2A	4.539690412979359	13.317799543507205	1.5341362687736573e-35	0.3718563953883215	3.620208919301515e-33	1.058418364180529e-34	1.3580830635391413e-32
GJB6	3.6729097345132784	13.278471247733114	6.392258706157252e-36	0.3934655490793187	1.5622984671120046e-33	5.362720103512852e-39	9.657600326764812e-37
ITGB4	1.666896312684356	13.264066586786196	3.8886042742601096e-35	0.4168833791097711	8.677504972886961e-33	5.006256673306181e-44	1.2847306187871988e-41
S100A8	2.8323321533923416	13.23818342036572	4.4189270313925823e-35	0.4004761487614005	9.754900210160184e-33	1.842991829434813e-40	3.6034878341234956e-38
ULBP2	1.9096554572271272	13.235574749455903	1.0589021730046569e-35	0.3852203941131039	2.527821117649489e-33	2.5493280291914347e-37	4.153786066611124e-35
TNS4	2.7140784660767	13.225073313685686	1.7610655638074497e-35	0.4232672690913875	4.108485911928062e-33	1.809418162524773e-45	5.232021813610365e-43
C9orf169	1.7403395280235965	13.195355275808131	2.3013993093392118e-35	0.418074146856209	5.3087334630038226e-33	2.70955863791626e-44	7.131697286720619e-42
CAPNS2	3.285635988200587	13.147595544017898	3.2206939760122466e-35	0.3889062897577143	7.266027178849608e-33	4.5986008931895793e-38	7.933552633376644e-36
RHOC	0.6980814159292148	13.1472607083082	2.687984419610488e-35	0.4091487214112084	6.131591126067034e-33	2.5432446753130634e-42	5.866608222941258e-40
CD58	0.7182529498525119	13.093570417956808	4.4925525011703177e-35	0.4253054333746763	9.811925835002834e-33	6.17433318276148e-46	1.920591821849897e-43
TMEM54	0.734537463126836	13.069475929578369	7.546001523979141e-35	0.4323494171780087	1.630730645129387e-32	1.4188434877743953e-47	4.854809467334723e-45
TMPRSS4	2.124362241887905	13.05063518008696	2.647860218544444e-34	0.4493259076230025	5.382234681853213e-32	1.096912352433689e-51	6.255447387628787e-49
IL1RAP	1.233968731563424	13.043128377959423	8.708091079090105e-35	0.3865947431595409	1.8622615609762483e-32	1.3495724014668737e-37	2.2525789757817007e-35
?|729884	2.883177728613574	13.012212850064232	1.155342443884125e-34	0.3950405222097944	2.4452763271073288e-32	2.5326853205900886e-39	4.6843269938481546e-37
DTX2	0.7857340707964688	13.011878185259068	1.4590336260305787e-34	0.4224322102399016	3.056526565551814e-32	2.804978127947457e-45	7.998083467605735e-43
DGKA	1.067153834808254	12.970528958060465	1.6405211571503319e-34	0.4065408682712099	3.4020100359895264e-32	9.343835036540223e-42	2.0407333329805402e-39
C16orf74	1.7832042772861405	12.929949802876711	2.5264803123007913e-34	0.4189429421001375	5.186864081153524e-32	1.7286062519691445e-44	4.6088683575229267e-42
TTC22	1.174099705014748	12.88498225626752	8.410274494159147e-34	0.4319336274238193	1.6602205323566084e-31	1.7772160607677536e-47	5.981351758616719e-45
SYTL1	1.0268560471976471	12.88057117809758	7.085052625927269e-34	0.4212264590080111	1.412195440876571e-31	5.270998340707589e-45	1.4428479457963573e-42
TMEM154	1.1239715339233074	12.876732743218575	4.8880822432039675e-34	0.4009106802590961	9.838463573821315e-32	1.4915143472018795e-40	2.972892189131513e-38
ST6GALNAC2	1.807092330383485	12.873483244653972	9.642562794196445e-34	0.3779321160551729	1.885350611093838e-31	7.070556813112889e-36	9.942365162548466e-34
IL1A	2.407298377581127	12.807017706036918	1.0980878139998924e-33	0.3915267835294159	2.1267681906997915e-31	1.3428481982553656e-38	2.376609785360574e-36
CLCA3P	1.630728318584071	12.801713627335266	1.543505364890823e-32	0.4033908294827174	2.708390183009281e-30	4.4309568117223364e-41	9.188640741884803e-39
GLTP	0.7791256637168154	12.792074861015092	1.823768885765967e-33	0.3974494261154999	3.466849557849564e-31	7.977099167548126e-40	1.4888167809978458e-37
RAB38	1.3940191740412953	12.7308432622688	2.0782502311940865e-33	0.4000536872018884	3.914355710680238e-31	2.2632676887316034e-40	4.342512677538301e-38
TGM1	2.1833619469026555	12.723033476779776	9.128588973450151e-33	0.364547804612771	1.658494970132138e-30	2.5436630494514345e-33	2.9011890225132192e-31
ITGB8	1.834932300884951	12.68300605049502	1.1676327434814e-32	0.367120883938418	2.102763177515188e-30	8.382823561183922e-34	9.834249583491766e-32
SYPL1	0.6392070796460168	12.678888147599864	4.2536498244242376e-33	0.400073231809019	7.867336116705369e-31	2.2418754066521223e-40	4.3420473677894407e-38
TP53TG1	0.8404296460176983	12.598287631548706	8.154889604373973e-33	0.4007127113071578	1.4948203890874793e-30	1.642522847532263e-40	3.2424032749843617e-38
SPRR2D	3.834839675516229	12.594911582996277	1.6300581872512178e-32	0.3583467019452226	2.8133531813734525e-30	3.5424982931550313e-32	3.5826349733237834e-30
CDH3	1.7593146017699155	12.594241820593426	2.1921017819316848e-32	0.4062959211266579	3.7503207985881255e-30	1.0552355370165931e-41	2.2804195342053326e-39
SPRR2C	2.707274336283186	12.585262281634078	6.880541617977724e-32	0.3559654044878899	1.1035743704459587e-29	9.591443684664705e-32	9.201511161035813e-30
TRIM29	3.4407292035398225	12.567416749740024	1.456186994843875e-32	0.4051530630498091	2.5771999141504103e-30	1.8587949458662063e-41	3.934129921508579e-39
IL1F5	2.7463938053097348	12.554326275144522	1.2274007605421602e-32	0.3691943373724207	2.191177183820048e-30	3.401917864698081e-34	4.108316103661859e-32
MOBKL2C	0.5931700589970461	12.544905577406524	1.63073077731827e-32	0.4012015774214902	2.8133531813734525e-30	1.2942891317302586e-40	2.6050741053355106e-38
C12orf36	2.4515550147492604	12.481279093551878	4.064967797686954e-32	0.3882678245371406	6.840474498894522e-30	6.19649031929035e-38	1.0601162187919241e-35
BLCAP	0.7043020648967548	12.46906077419729	3.1582360281770206e-32	0.3894536413946676	5.3585607982210106e-30	3.5592738476604937e-38	6.192533228175418e-36
FXYD3	2.003852212389376	12.438207999434251	4.511345214710815e-32	0.4237696176605471	7.529911972196183e-30	1.3891429309089435e-45	4.1332035321102335e-43
CYP2S1	1.9137202064896712	12.39362107134146	6.289127626820425e-32	0.3860151363280553	1.0410832602045784e-29	1.7654336587424123e-37	2.899548241118538e-35
CROT	0.8350109144542781	12.392080890676407	6.33879237825486e-32	0.4085481757079751	1.0410832602045784e-29	3.435378192041167e-42	7.836479364733906e-40
SEMA4B	0.993532890855466	12.38989380669846	6.559682501508921e-32	0.3981803934994566	1.0688117599680808e-29	5.607563762009276e-40	1.056176917743582e-37
PROM2	1.4857442477876148	12.388656775492462	6.72950681038079e-32	0.4437371117136123	1.0878486206072257e-29	2.627934914260188e-50	1.1728587780382971e-47
PHLDA3	0.9356019174041404	12.32228906596533	2.253698335185273e-31	0.3848394015258513	3.5319409787292866e-29	3.0392646432281572e-37	4.874695556677662e-35
EMP1	1.026882153392334	12.244299881463656	3.017601222508435e-31	0.3716418739929336	4.6932843256134975e-29	1.1633098503607406e-34	1.4742439029571605e-32
DAPP1	1.0948227138643023	12.218908171767996	8.27091466374252e-31	0.3730887324973136	1.2394297667637512e-28	6.142009943134218e-35	8.031558225002897e-33
GSDMC	1.9543029498525095	12.1910685858781	5.029333891575528e-31	0.410191393499192	7.763325172484631e-29	1.506707562563092e-42	3.5968263092349163e-40
ANXA1	1.3658190265486656	12.189833321527177	7.96167705699822e-31	0.4027200786776457	1.2107646665198035e-28	6.15884820535249e-41	1.2644115365588662e-38
SERPINB4	3.4306999999999985	12.182885078119869	8.22317378363348e-31	0.3719819344640304	1.2394297667637512e-28	1.0014455176500563e-34	1.293061413670167e-32
PGM2	0.8601597345132781	12.167757120948432	6.433484998691856e-31	0.3682881248112203	9.856675150980879e-29	5.049590746212638e-34	5.957936667801462e-32
KIAA1522	0.62099823008848	12.13381071716466	9.657102688181508e-31	0.4099428100949274	1.4366689723794662e-28	1.7072880458930546e-42	4.028807308297058e-40
SERPINB7	2.728628613569327	12.104302749275664	1.4451121624959505e-30	0.3647583825929835	2.134399474535385e-28	2.3236588259113315e-33	2.6650679159753987e-31
A2ML1	3.733377286135692	12.103883697683456	1.5884495869341398e-30	0.3458515305844434	2.3293478585541348e-28	6.00363616096715e-30	4.758866810218362e-28
RAET1L	2.6045858407079656	12.077027737561068	1.72547020968919e-30	0.365112877386804	2.510877862651844e-28	1.9951178215871822e-33	2.3011106110778007e-31
SPRR2E	3.5556730088495554	12.072375985327817	6.2268245401640094e-30	0.3205339341860516	8.696374680922932e-28	9.876938034271551e-26	5.510150484880297e-24
PDLIM1	0.6677606194690355	12.064987838944006	1.7367007135731213e-30	0.3764699720222768	2.510877862651844e-28	1.3631990455957966e-35	1.8782870071195773e-33
SERPINB3	3.771516224188784	12.030918806730982	3.1402625628546125e-30	0.3789749241439138	4.446178649338289e-28	4.417977531022136e-36	6.342732777054857e-34
P2RY2	1.0984904129793458	12.026184107387444	2.9396360227638444e-30	0.3848085591110812	4.191022746343176e-28	3.082792319489253e-37	4.906180334815067e-35
IL20RB	2.2836359882005945	11.952455010954427	8.812329309732498e-30	0.3539611205196174	1.2224129778973523e-27	2.2035520128480045e-31	2.0286512477026694e-29
ANXA8L1	1.1653637168141595	11.944352927972751	4.588712029925586e-29	0.3519583620422625	5.962421390783056e-27	5.029207610952675e-31	4.4123774467033503e-29
FAT2	3.2985011799410096	11.878252613207623	1.0950394991944364e-29	0.3560315736979846	1.5088027462054886e-27	9.330689671986487e-32	9.035804668202008e-30
JUP	0.8931264011799431	11.854596482208606	1.4583621775082362e-29	0.3722611594975824	1.9960117002829397e-27	8.854040151842652e-35	1.1504648374514535e-32
TMPRSS11F	2.144647050147492	11.817935044804484	4.7721039810059114e-29	0.3547198205654051	6.161716649688766e-27	1.6094795993559654e-31	1.4951410033836187e-29
LOC642587	3.3002707964601736	11.812677831216185	2.126909459161713e-29	0.3690056941121604	2.8917517348735077e-27	3.6938252466356102e-34	4.434750427685911e-32
TMPRSS11A	3.097885398230085	11.80811454236564	6.439662787393024e-29	0.3266959159861606	8.160881297850541e-27	1.0107486867745239e-26	6.085240627413775e-25
TP63	3.2685600294985333	11.807597677417942	2.5344197638945006e-29	0.3469187293616833	3.4007606374349086e-27	3.907782569777877e-30	3.1095649673465048e-28
GNG12	0.7181588495575237	11.794009580508934	2.8852265301867944e-29	0.381009744053028	3.821529075144186e-27	1.7561698889796135e-36	2.6906095388620497e-34
CD9	1.014324483775816	11.793723048622905	2.666659571376492e-29	0.3594325475099425	3.554968896127232e-27	2.2430308634397188e-32	2.325728465980678e-30
LRRC8A	0.7749471976401328	11.773304898105726	4.0251290172338e-29	0.371263050340804	5.2634330397331145e-27	1.3743235431901723e-34	1.7309731497971923e-32
FAM83C	3.1575988200589986	11.762684591045227	6.837109191247454e-29	0.314579972460301	8.537569912797462e-27	8.502436376073161e-25	4.331390044684417e-23
VGLL1	2.129537168141596	11.7483733428465	3.9423264157895305e-29	0.3793969928340448	5.188202648471735e-27	3.6504921241218166e-36	5.353185950587207e-34
NTF4	1.52679631268437	11.73328942731654	9.549148039864427e-29	0.3571259138610729	1.1669286265381946e-26	5.909245477190636e-32	5.860715441870713e-30
MT1X	1.3372637168141637	11.700655279704767	6.861661157387145e-29	0.3591612618562501	8.537569912797462e-27	2.5147442410484863e-32	2.594356747172132e-30
RAET1E	1.7041290560471998	11.700057512644646	7.286297598959627e-29	0.3898777591185673	9.011306608833804e-27	2.9174474185542065e-38	5.119247478881868e-36
FUT3	1.5953879056047224	11.697168389798316	1.2792470744169303e-28	0.3811714594562368	1.518089158253155e-26	1.631558672677478e-36	2.5184886879750843e-34
SAMD9	1.0814690265486693	11.668731758231557	9.217621109920255e-29	0.3532447847615145	1.1331602478243286e-26	2.962115234393876e-31	2.6672028843029067e-29
S100A12	1.992772271386431	11.66851394321548	2.7339260060237757e-28	0.3446174076473552	3.1009669007551445e-26	9.84391207554043e-30	7.684240110678519e-28
C4orf36	0.8106825958702033	11.659714172023213	1.0304398134076968e-28	0.3533137292841328	1.2444076099564715e-26	2.879060300098753e-31	2.6153587593374956e-29
SERINC2	0.9926873156342104	11.649670146464263	1.0393892576665954e-28	0.3751263356167031	1.247874939175158e-26	2.484703117271241e-35	3.334049346246966e-33
GPC1	1.5464674041298068	11.644064718069057	1.1273797584915963e-28	0.3610429206258684	1.345645723362353e-26	1.1351868741106506e-32	1.2013085837882296e-30
DHRS3	0.8917284660766942	11.642306351249273	1.2890618748937779e-28	0.3815225242904922	1.520944844343061e-26	1.3904362478673471e-36	2.1790577228027968e-34
KRT4	2.8472744837758084	11.62193119909024	2.249662024965461e-28	0.3631669223712471	2.5946944591315117e-26	4.59581985111328e-33	5.072697932438475e-31
KRT6C	4.138546460176995	11.614416109504033	1.537497767336655e-28	0.363906828350628	1.793456202467132e-26	3.348614942324871e-33	3.7981803738082653e-31
SPINT1	0.6338154867256698	11.597086131184104	2.1375728594099286e-28	0.394662162379536	2.4793429832590868e-26	3.033968232833074e-39	5.56137212679134e-37
NCCRP1	2.2702073746312603	11.570640871671104	2.2931159996230176e-28	0.3814110922837053	2.6300375124167906e-26	1.4628675748260172e-36	2.2752023720589494e-34
SMAD3	0.6787292035398274	11.562797724335311	2.457179922681109e-28	0.3521662174009432	2.8025502118135097e-26	4.617699016382142e-31	4.1039550132608385e-29
RAPGEFL1	1.5532230088495638	11.552997840873202	3.1183455977864917e-28	0.3512304279654137	3.5175623693712456e-26	6.778261213619007e-31	5.896512826932128e-29
REEP4	0.7035222713864222	11.55015203312926	5.821199803476079e-28	0.3651499354423096	6.390868019538177e-26	1.963554477550944e-33	2.27750132339666e-31
FGFBP1	2.6300483775811205	11.535131089640688	3.47415144674309e-28	0.3573658374182041	3.897504327958232e-26	5.344841414834549e-32	5.35266313397821e-30
LAMC2	1.581224041297931	11.526373351397424	3.5641064008522206e-28	0.3565343692726957	3.976690457037831e-26	7.565952023454928e-32	7.396618811501412e-30
MXD1	0.794119911504426	11.51564356518868	6.796990911194461e-28	0.3694957609570853	7.422458691852249e-26	2.9822722972306136e-34	3.6662305546194313e-32
CRCT1	2.125995575221238	11.514087299679822	1.5687457872715702e-27	0.3757442316603598	1.6516077442402738e-25	1.8859581836816217e-35	2.5641537424492512e-33
KRT6B	4.291700147492629	11.443904260093062	7.839579524375205e-28	0.3596663920093882	8.515691409281638e-26	2.0323180116909182e-32	2.11794359289414e-30
IRF6	1.2066110619468944	11.417685545365485	1.0439613896867292e-27	0.3517124455814953	1.1221218497522802e-25	5.563222363591052e-31	4.8601257499797566e-29
AHNAK2	1.750828466076701	11.416337918547704	1.2373054623790523e-27	0.379055632062889	1.3230146428459346e-25	4.259769955675663e-36	6.158667407747982e-34
MAP3K5	0.6750438053097287	11.385666733838717	1.4903793498756342e-27	0.3805020215966581	1.5771901058219983e-25	2.2120933231225846e-36	3.31491065136545e-34
RHOD	0.9928323008849632	11.38143313555736	1.3978487926440196e-27	0.3778977786974978	1.4869344929006072e-25	7.18068415776697e-36	1.0028533725099041e-33
RAP2B	0.7268690265486732	11.370012879300557	1.690376413195425e-27	0.362312268273232	1.7705830491276568e-25	6.618135324839716e-33	7.1136292261235274e-31
SULT2B1	1.5559351032448443	11.37000193442648	2.087751191370726e-27	0.3623246145983284	2.1538458270774374e-25	6.583414733042706e-33	7.1136292261235274e-31
