gene	spearman_r	spearman_p	n_expr	padj
RFX3-AS1	-0.027316284552683007	0.005839048034176247	108	0.010946067653476197
KLC4	-0.02731700753345282	0.005837744925809163	1393	0.010944519256903193
EDA	-0.02731798849334664	0.0058359772521966976	149	0.010942099575845009
ANKEF1	-0.02731966052020676	0.005832965399236344	1675	0.010937346548490417
KIF20B	-0.027320263117531926	0.005831880273019566	2462	0.010936205829179433
MTCO1P9	-0.027320702207510063	0.005831089697012678	30	0.010935617322383845
AP006296.1	-0.027321658471719315	0.005829368289550585	194	0.010933282896623984
AL604028.2	-0.027331967817561146	0.005810839113062439	23	0.010899421667791825
ITM2B	-0.02733230912207512	0.005810226589144118	9519	0.010899164008978392
ALDH6A1	-0.02733452943150805	0.005806243319975771	3143	0.010892582749129322
NES	-0.02734410475365344	0.005789093230375615	155	0.010862185727472872
PPIAP75	-0.027350076564341724	0.005778420424139855	37	0.010843047094970549
FTH1P4	-0.027350179152349715	0.0057782372341765	264	0.010843047094970549
AP003108.3	-0.027350594366465072	0.005777495845648276	53	0.010843047094970549
GTF2I	-0.027351866252111952	0.0057752253548223765	3289	0.01084059895162976
AC024257.3	-0.027354964641426803	0.005769697670091829	51	0.010831109350729713
LINC01970	-0.0273613310768023	0.005758354591880303	92	0.010810700411569028
CLYBL	-0.027361523276039874	0.00575801246336277	961	0.010810700411569028
PCDHGA10	-0.027362364718598823	0.0057565148506088445	61	0.01080901585160983
NCR3LG1	-0.027365778403061206	0.005750442722931778	219	0.010798498172624571
GPD1	-0.02737505051844149	0.0057339789834211456	64	0.010769344953878181
DDTL	-0.027389533732439873	0.00570834735380014	230	0.010722082509127711
H2BFM	-0.02742166653277092	0.005651848955383359	33	0.010618569198016504
SLC25A19	-0.02742193666991706	0.005651376124631168	770	0.010618550585418557
RPL21P40	-0.027423250937732034	0.005649076223457123	68	0.01061509874773978
AL669831.3	-0.02742610335711422	0.005644087540174975	299	0.010606593478333079
AC114271.1	-0.027427601119576893	0.005641469649050622	81	0.010602542467015417
TMED8	-0.027428160598671276	0.005640492034430538	1757	0.010601573769728588
EIF3LP3	-0.027437912018280775	0.005623477261479848	21	0.010573059133100391
LINC02289	-0.027441262452707196	0.005617641948019918	18	0.01056295360305606
AC097478.1	-0.027447946227250834	0.005606017407301311	73	0.010541959935126863
MCEMP1	-0.027454301295847687	0.005594984687295367	110	0.010522075818412817
BMPER	-0.027455419621983432	0.005593045244613435	47	0.010520153490852233
PDGFD	-0.02746295605666306	0.005579991087554378	79	0.010498182051043498
RPL21P8	-0.02747222631991395	0.005563971401446565	27	0.010468901321169823
AC139713.2	-0.02747675108211295	0.005556167364044993	48	0.010455932972062027
AC098590.1	-0.02747973175127735	0.005551031882444361	87	0.01044712580567023
ZKSCAN2	-0.02748085738681325	0.005549093606574995	422	0.010444334877132784
PPM1M	-0.027489962631393215	0.005533437363668512	371	0.010416576630925593
MRPS21P6	-0.027504026364644215	0.005509333438491909	24	0.010372052725880451
AC084198.1	-0.02751524855390115	0.005490167666751601	14	0.010338516208845598
PSMG3-AS1	-0.02751534611032931	0.005490001319526378	501	0.010338516208845598
NKX6-1	-0.02751753386515865	0.005486272089002885	47	0.01033287701597407
AC079089.1	-0.02751763711077357	0.005486096153802682	25	0.01033287701597407
LARGE1	-0.027520753115485245	0.005480788735930402	397	0.010324245054181782
GATA2	-0.02752169152373825	0.005479191275271526	447	0.010322083563746571
AC104689.1	-0.027522076964618527	0.005478535257608167	20	0.010321695420042392
RPL19P11	-0.027523458515617067	0.005476184449892246	87	0.010318113924070014
AC026471.3	-0.02752629806567769	0.005471355610848722	51	0.010309862400529696
UPF3AP3	-0.027537873512957937	0.005451710550933658	121	0.010275376878990652
RPL7P15	-0.02754118792965701	0.00544609728529737	72	0.010265640523473668
DNAH17-AS1	-0.02755099182736139	0.005429524018313493	27	0.010237765880154123
AC011447.3	-0.027553992668623583	0.005424460271829662	120	0.010229058674385793
KREMEN2	-0.027559684725607048	0.005414866964563939	80	0.01021180781329998
COPA	-0.027563203651210774	0.005408943883706329	7898	0.010202315171816113
CSNK1A1P1	-0.027565004545740696	0.005405914868196201	25	0.010197440398576025
AC103740.1	-0.027567882734385315	0.005401077076410658	33	0.010189990621706503
FAM192BP	-0.02757104274768867	0.005395770082184053	117	0.010180815509183008
SNHG17	-0.02757870584813087	0.005382920051105182	2406	0.010157405407391467
AC008610.1	-0.02758046268702514	0.005379977954708379	105	0.010152688961341078
POC5	-0.02758352256817163	0.005374857180097467	1248	0.01014385996355732
NOL8	-0.027583687787211736	0.00537458080786254	4086	0.01014385996355732
AL359510.1	-0.02758393917597262	0.005374160318751754	20	0.01014385996355732
GPR173	-0.027590999099992655	0.005362363555923742	94	0.010124446065172344
C2CD5	-0.02759250871695025	0.005359844101320002	2865	0.01012135539607131
