cohort	patient	family	thesis_expect	n_pairs	n_pairs_detected	sum_high	sum_low	delta_sum	mean_detected_delta	outdeg_high	outdeg_low	delta_outdeg	indeg_high	indeg_low	flowbet_high	flowbet_low	info_high	info_low	pval_high_median	pval_low_median	frac_edge_p05_high	frac_edge_p05_low	p_label_greater	p_label_less	p_label_two	p_label_outdeg_greater	p_label_outdeg_less	n_label_perm
GSE123902	LX680	barrier_inhibitory	high>low	7	6	0.00172634078104777	0.000318249100878408	0.00140809168016936	0.000234681946694894	0.00172634078104777	0.000322765204919957	0.00140357557612781	0	8.85494318815309e-05	0	0	0	0.499741918639474	0.5	0.705	0.5	0	0.02	1	0.02	0.02	1	49
GSE123902	LX680	ifn_recruit	low>high	7	4	0.0126952485795279	0.00697242393284639	0.0057228246466815	0.00143070616167037	0.0126952485795279	0.00697242393284639	0.0057228246466815	0	0	0	0	0	0	0	0.115	0.75	0	0.02	1	0.02	0.02	1	49
GSE123902	LX681	barrier_inhibitory	high>low	7	6	0.00301964286102372	1.3322134333221e-05	0.0030063207266905	0.000501053454448416	0.00304676427290968	1.3322134333221e-05	0.00303344213857646	2.71214118859597e-05	0	0	0	0	0	0	1	1	0.166666666666667	0.02	1	0.02	0.02	1	49
GSE123902	LX681	ifn_recruit	low>high	7	3	0.000480446695911293	9.17176941228616e-05	0.000388729001788431	0.000129576333929477	0.000480446695911293	9.17176941228616e-05	0.000388729001788431	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE123902	LX682	barrier_inhibitory	high>low	7	6	0.00504662064781832	0.00635102570389111	-0.0013044050560728	-0.000217400842678799	0.00597714205578025	0.00799626213769792	-0.00201912008191767	0.00217748479496971	0.00175467738404933	0.00132330857479143	0.00101967852573344	0.310710920321441	0.307147686361323	0	0	0.833333333333333	0.666666666666667	0.76	0.26	0.54	0.78	0.24	49
GSE123902	LX682	ifn_recruit	low>high	7	5	0.0428723034898593	0.0384982564244197	0.00437404706543956	0.00087480941308791	0.0431624915014366	0.0387563407913707	0.00440615071006593	0.00108808378873764	0	0.000258084366950989	0	0.228843938288421	0.225627419301288	0	0	1	0.6	0.02	1	0.02	0.02	1	49
GSE123902	LX684	barrier_inhibitory	high>low	7	5	0.00606439301689456	0.00105245298049137	0.00501194003640319	0.00100238800728064	0.00661340241318168	0.00113531888164281	0.00547808353153887	0.000678295767313534	0.000193328658136018	0.000186448251059752	0.000174990056831798	0.29009012643579	0.252923984469045	0	0.01	1	0.6	0.02	1	0.02	0.02	1	49
GSE123902	LX684	ifn_recruit	low>high	7	3	0.0155490570512762	0.015291481094367	0.000257575956909152	8.58586523030507e-05	0.0155490570512762	0.015291481094367	0.000257575956909152	0	0	0	0	0	0	0	0	1	1	0.48	0.54	0.78	0.48	0.54	49
GSE123902	LX699	barrier_inhibitory	high>low	7	7	0.00104937786864858	0.00245473967106824	-0.00140536180241966	-0.000200765971774237	0.00105046558798322	0.00254095095410121	-0.00149048536611799	4.35404022119035e-05	4.37586001557028e-05	4.2452682877267e-05	0	0.499997866502777	0.500002133497223	0	0.05	0.571428571428571	0.428571428571429	0.82	0.2	0.36	0.82	0.2	49
GSE123902	LX699	ifn_recruit	low>high	7	3	0.020856540254077	0.0182561112022658	0.00260042905181113	0.000866809683937045	0.0209180618857634	0.0183088683992708	0.00260919348649266	0.0021757910953539	0	5.27571970049268e-05	0	0.223817636643868	0.222391222140969	1	1	0	0	0.3	0.72	0.58	0.3	0.72	49
GSE123902	LX701	barrier_inhibitory	high>low	7	1	3.63647130068517e-05	2.14630872759282e-05	1.49016257309235e-05	1.49016257309235e-05	3.63647130068517e-05	2.14630872759282e-05	1.49016257309235e-05	0	0	0	0	0	0	0	0	1	1	0.32	0.7	0.66	0.32	0.7	49
GSE123902	LX701	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE131907	BRONCHO_11	barrier_inhibitory	high>low	7	5	0.0137514552227123	0.00566650364243496	0.00808495158027729	0.00161699031605546	0.0144123768432679	0.00596914467342653	0.00844323216984137	0.000776280680732422	0.000187281970814789	0.000244069580253704	0.000128710520076925	0.500023676630416	0.499976323369584	0	0	1	0.8	0.02	1	0.02	0.02	1	49
GSE131907	BRONCHO_11	ifn_recruit	low>high	7	3	0.0163472890370671	0.00807951680490047	0.00826777223216667	0.00275592407738889	0.0163472890370671	0.00807951680490046	0.00826777223216667	0	0	0	0	0	0	0	0.51	1	0	0.02	1	0.02	0.02	1	49
GSE131907	BRONCHO_58	barrier_inhibitory	high>low	7	7	0.00748846508657285	0.000928902201204584	0.00655956288536827	0.000937080412195467	0.00841095455458236	0.000928902201204584	0.00748205235337778	0.000604458404063616	0.00031803106394589	0	0.00031803106394589	0	0	0	1	1	0.285714285714286	0.02	1	0.02	0.02	1	49
GSE131907	BRONCHO_58	ifn_recruit	low>high	7	3	0.0367115859140932	0.0315805448504893	0.00513104106360391	0.0017103470212013	0.0373073635231658	0.0320855406109662	0.00522182291219966	0.00238784152541352	0	0.000504995760476828	0	0.236300734548882	0.228669985431611	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_06	barrier_inhibitory	high>low	7	4	0.00222567706226995	0.00040049780806174	0.00182517925420821	0.000456294813552052	0.00222567706226995	0.00040049780806174	0.00182517925420821	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_06	ifn_recruit	low>high	7	3	0.00040461939093527	6.07990868141141e-05	0.000343820304121156	0.000114606768040385	0.00040461939093527	6.07990868141141e-05	0.000343820304121156	0	0	0	0	0	0	0.02	1	1	0.333333333333333	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_10	barrier_inhibitory	high>low	7	6	0.00297093576795715	0.00118512910210694	0.00178580666585021	0.000297634444308368	0.00299968283543849	0.00120132673399694	0.00179835610144155	2.81719129982908e-05	2.50361548896993e-05	1.29514296364392e-05	1.74146827782644e-05	0.257669133801251	0.25401015849766	0	0	1	0.666666666666667	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_10	ifn_recruit	low>high	7	3	0.0126864426207731	0.0104382589257584	0.00224818369501472	0.000749394565004906	0.0126864426207731	0.0104382589257584	0.00224818369501472	0	0	0	0	0	0	0	0	1	1	0.02	1	0.04	0.02	1	49
GSE131907	EBUS_12	barrier_inhibitory	high>low	7	6	0.0263457424341557	0.0171110592208406	0.00923468321331509	0.00153911386888585	0.0280133202900029	0.0182322653368356	0.00978105495316731	0.00234062965366867	0.00126391313052789	0.00125023450821068	0.000876248929913718	0.293361347279519	0.277103327571006	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_12	ifn_recruit	low>high	7	6	0.00226451294805702	0.00202204949845052	0.000242463449606497	4.04105749344161e-05	0.00226451294805702	0.00202204949845052	0.000242463449606497	0	0	0	0	0	0	0.005	0	0.833333333333333	0.833333333333333	0.06	0.96	0.08	0.06	0.96	49
GSE131907	EBUS_13	barrier_inhibitory	high>low	7	4	0.00075917847700038	0.000517609306568732	0.000241569170431649	6.03922926079122e-05	0.000760960386517764	0.000517841374214404	0.00024311901230336	5.2492736028812e-05	3.25255723826185e-05	8.24929598333448e-07	8.24929598333542e-07	0.225591865868438	0.224398089714863	0.455	0.495	0.5	0.5	0.18	0.84	0.28	0.18	0.84	49
GSE131907	EBUS_13	ifn_recruit	low>high	7	4	0.000966883340615447	0.000786933239334121	0.000179950101281326	4.49875253203316e-05	0.000966883340615447	0.000786933239334121	0.000179950101281326	0	0	0	0	0	0	0	0	1	1	0.1	0.92	0.18	0.1	0.92	49
GSE131907	EBUS_15	barrier_inhibitory	high>low	7	7	0.0094125668581452	0.00069407376057344	0.00871849309757176	0.00124549901393882	0.00988743085554724	0.00069407376057344	0.0091933570949738	0.000416042149521363	5.88218478806744e-05	0	5.88218478806742e-05	0	0	0	1	1	0.428571428571429	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_15	ifn_recruit	low>high	7	4	0.0199439271059979	0.0150616379194001	0.00488228918659782	0.00122057229664945	0.0199439602264644	0.0150616379194001	0.0048823223070643	3.31204664781067e-08	0	0	0	0.496396696907359	0	0	0	1	0.75	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_19	barrier_inhibitory	high>low	7	6	0.0222647694286342	0.0143691061250291	0.00789566330360505	0.00131594388393418	0.0259645213727992	0.0166353968643333	0.00932912450846588	0.00352746654537785	0.00243857613809127	0.00133994257712713	0.00151222797591425	0.50006298307519	0.49993701692481	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_19	ifn_recruit	low>high	7	4	0.0205189565266241	0.0186910862393562	0.00182787028726788	0.00045696757181697	0.0205189565266241	0.0186911448087044	0.00182781171791966	0	5.85693482174856e-08	0	0	0	0.494134246089888	0.005	0.02	0.75	0.75	0.04	0.98	0.06	0.04	0.98	49
GSE131907	EBUS_28	barrier_inhibitory	high>low	7	3	0.00316390994482407	0.00131513162804169	0.00184877831678237	0.000616259438927458	0.00316390994482407	0.00131513162804169	0.00184877831678237	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_28	ifn_recruit	low>high	7	3	0.0136018894292166	0.0115090159164725	0.00209287351274418	0.000697624504248059	0.0136018894292166	0.0115090159164725	0.00209287351274418	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_49	barrier_inhibitory	high>low	7	4	0.00399154916151895	0	0.00399154916151895	0.000997887290379739	0.00399154916151895	0	0.00399154916151895	0	0	0	0	0	0	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_49	ifn_recruit	low>high	7	3	0.00494002481944578	0.00132420193567925	0.00361582288376653	0.00120527429458884	0.00495230449521946	0.00132744655210578	0.00362485794311368	0.000446162001191531	0	3.24461642653645e-06	0	0.22340216382033	0.222309735924656	1	1	0	0	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_51	barrier_inhibitory	high>low	7	3	0.00663372761878638	0.00331991687542261	0.00331381074336377	0.00110460358112126	0.0124535515348097	0.00622748691232691	0.00622606462248281	0.0053554486190944	0.00337194533383324	0.00178699283417915	0.00225136813110809	0.500122178393172	0.499877821606828	0	0	1	0.666666666666667	0.02	1	0.02	0.02	1	49
GSE131907	EBUS_51	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE131907	NS_02	barrier_inhibitory	high>low	7	5	0.00206458490080066	6.2408154091597e-05	0.00200217674670906	0.000400435349341813	0.00219250669946013	6.2408154091597e-05	0.00213009854536853	8.53596957441682e-05	4.2562102915297e-05	0	4.25621029152968e-05	0	0	0	1	1	0.4	0.02	1	0.02	0.02	1	49
GSE131907	NS_02	ifn_recruit	low>high	7	3	0.000912335294764297	0.000446590985531591	0.000465744309232706	0.000155248103077569	0.000912335294764297	0.000446590985531591	0.000465744309232706	0	0	0	0	0	0	0.02	0.02	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_03	barrier_inhibitory	high>low	7	6	0.00472316631981056	0.00233526026390145	0.00238790605590911	0.000397984342651518	0.00546236893807757	0.00240460493944044	0.00305776399863713	0.000477051370858918	0.000331495922947079	4.09278511906809e-05	0.000303079098598772	0.500020382327401	0.499979617672599	0	0	1	0.833333333333333	0.02	1	0.02	0.02	1	49
GSE131907	NS_03	ifn_recruit	low>high	7	3	0.0106889760112438	0.00943196046542226	0.00125701554582152	0.000419005181940508	0.0106889760112438	0.00943196046542226	0.00125701554582152	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_04	barrier_inhibitory	high>low	7	5	0.00884252662819301	0.00527180286129166	0.00357072376690134	0.000714144753380268	0.00917030644553377	0.00547655940081047	0.0036937470447233	0.000329823022093957	0.000202713334765614	0.000126820823255568	0.000124777618502374	0.500006252638555	0.499993747361445	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_04	ifn_recruit	low>high	7	3	0.00786005893157429	0.00646870094580664	0.00139135798576765	0.000463785995255884	0.00786005893157429	0.00646870094580664	0.00139135798576765	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_06	barrier_inhibitory	high>low	7	3	0.00166095673457819	0.000648062622340366	0.00101289411223782	0.00033763137074594	0.00166095673457819	0.000648062622340366	0.00101289411223782	6.5123136527957e-05	0	0	0	0.499666173311125	0	0	1	1	0.333333333333333	0.1	0.92	0.24	0.1	0.92	49
GSE131907	NS_06	ifn_recruit	low>high	7	6	0.0417578251150704	0.0351604074147095	0.00659741770036088	0.00109956961672681	0.0417578251150704	0.0351604074147095	0.00659741770036089	0	0	0	0	0	0	0.525	1	0.333333333333333	0	0.06	0.96	0.14	0.06	0.96	49
GSE131907	NS_07	barrier_inhibitory	high>low	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE131907	NS_07	ifn_recruit	low>high	7	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	1	1	1	1	1	49
GSE131907	NS_12	barrier_inhibitory	high>low	7	3	0	1.25824274519836e-05	-1.25824274519836e-05	-4.19414248399453e-06	0	1.2888540187445e-05	-1.2888540187445e-05	3.06112735461448e-07	0	0	0	0.5	0.5	1	0	0	1	0.68	0.34	0.56	0.66	0.36	49
GSE131907	NS_12	ifn_recruit	low>high	7	3	0.00185165793945195	0.00160183821620946	0.000249819723242488	8.32732410808293e-05	0.00185165793945195	0.00160183821620946	0.000249819723242488	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_13	barrier_inhibitory	high>low	7	1	0.000217797780270595	0.000155986794111362	6.18109861592338e-05	6.18109861592338e-05	0.000217797780270595	0.000155986794111362	6.18109861592338e-05	0	0	0	0	0	0	0	0	1	1	0.24	0.78	0.42	0.24	0.78	49
GSE131907	NS_13	ifn_recruit	low>high	7	3	0.0115693496258776	0.00915426732485113	0.00241508230102651	0.000805027433675503	0.0115693496258776	0.00915426732485113	0.00241508230102651	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_16	barrier_inhibitory	high>low	7	4	0.00206426277216152	0.000502343458298552	0.00156191931386297	0.000390479828465743	0.00207797740876741	0.000503574283127819	0.00157440312563959	1.49454614351533e-05	0	1.23082482926702e-06	0	0.50000068572884	0.49999931427116	0	0.27	1	0.25	0.1	0.92	0.1	0.1	0.92	49
GSE131907	NS_16	ifn_recruit	low>high	7	3	0.023473453876339	0.0219878741804651	0.00148557969587394	0.000495193231957981	0.023473453876339	0.0219878741804651	0.00148557969587394	0	0	0	0	0	0	0.69	0.91	0	0	0.18	0.84	0.46	0.18	0.84	49
GSE131907	NS_17	barrier_inhibitory	high>low	7	4	0.00249803070588878	0.00141789891960772	0.00108013178628106	0.000270032946570264	0.00269910321420182	0.00156720733496171	0.0011318958792401	0.000246174029071062	0.000104206894595973	0.000104905937980807	5.98044172227855e-05	0.50000484290932	0.49999515709068	0	0	1	1	0.02	1	0.04	0.02	1	49
GSE131907	NS_17	ifn_recruit	low>high	7	3	0.0210911265903479	0.0143256608665688	0.00676546572377918	0.00225515524125973	0.0210911265903479	0.0143256608665688	0.00676546572377918	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE131907	NS_19	barrier_inhibitory	high>low	7	4	0.00133253306260784	1.51792428102434e-05	0.00131735381979759	0.000329338454949398	0.00139977283860703	1.51792428102434e-05	0.00138459359579678	8.08102781431417e-05	0	0	0	0.499990429342684	0	0	0.5	1	0.5	0.02	1	0.02	0.02	1	49
GSE131907	NS_19	ifn_recruit	low>high	7	3	0.00323645572699261	0.0027911821378945	0.000445273589098108	0.000148424529699369	0.00323645572699261	0.0027911821378945	0.000445273589098108	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P0031	barrier_inhibitory	high>low	7	5	0.00284564032218709	4.54930083623407e-05	0.00280014731382475	0.00056002946276495	0.00310621411082596	5.35414909445363e-05	0.00305267261988142	2.42975761302356e-05	0.000244324695090826	0	4.54930083623405e-05	0.500000812446794	0.499999187553206	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE205335	P0031	ifn_recruit	low>high	7	3	0.0165770260541379	0.019822750857581	-0.00324572480344308	-0.00108190826781436	0.0178785581675143	0.021390374903516	-0.00351181673600173	0	0.00962702035568806	0	0.00130153211337635	0	0.496037217196067	0.08	0	0.333333333333333	1	0.92	0.1	0.18	0.92	0.1	49
GSE205335	P1006	barrier_inhibitory	high>low	7	3	0.00397832435419667	0.00134077413975646	0.0026375502144402	0.000879183404813402	0.00397832435419667	0.00134077413975646	0.0026375502144402	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
GSE205335	P1006	ifn_recruit	low>high	7	3	0.000505800176937721	0.000557506132210329	-5.17059552726075e-05	-1.72353184242025e-05	0.000505800176937721	0.000557506132210329	-5.17059552726075e-05	0	0	0	0	0	0	0.28	0.3	0	0	0.68	0.34	0.86	0.68	0.34	49
GSE205335	P1015	barrier_inhibitory	high>low	7	7	0.00882293795526416	0.000176316118308848	0.00864662183695531	0.00123523169099362	0.00921552895860537	0.000176316118308848	0.00903921284029652	0.000342689545675703	4.99014576655082e-05	0	4.99014576655077e-05	0	0	0	1	1	0	0.02	1	0.02	0.02	1	49
GSE205335	P1015	ifn_recruit	low>high	7	3	0.0168991431796382	0.00833027512337194	0.00856886805626626	0.00285628935208876	0.0168991431796382	0.00833027512337194	0.00856886805626626	0	0	0	0	0	0	0	0.14	1	0.333333333333333	0.02	1	0.02	0.02	1	49
GSE205335	P1016	barrier_inhibitory	high>low	7	4	0.00509961639559326	0.00281272171201413	0.00228689468357913	0.000571723670894782	0.00509961639559326	0.00281272171201413	0.00228689468357913	0	0	0	0	0	0	0	0	1	1	0.02	1	0.02	0.02	1	49
