pathway	family_tag	n	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta_outdeg	mean_delta_tnk	observed	p_signflip_two	p_wilcox	q_bh
CXCL	ifn_recruit	35	8	14	12	1	0.000148101121759389	0.000154045017884237	high>low	0.0072992700729927	6.79110954435872e-05	0.0164786551647866
PROCR	other	8	2	3	3	0	8.75822811858889e-05	0	high>low	0.0082991700829917	0.0142661867014469	0.0181849462112612
PROC	other	8	2	3	3	0	1.69426239488409e-05	0	high>low	0.0082991700829917	0.0142661867014469	0.0181849462112612
IL1	other	17	0	9	6	2	9.62466497993925e-06	3.77865639760761e-06	high>low	0.0111988801119888	0.00566756380151438	0.0241830889374831
ncWNT	other	27	3	10	10	4	3.04954853898355e-05	0	high>low	0.0122987701229877	0.00379143579193006	0.0261788106903595
IL6	other	12	2	5	4	1	6.53359073359108e-05	2.56788123975903e-06	high>low	0.014998500149985	0.0253698598220537	0.0314297337389549
ICOS	other	7	2	2	3	0	3.66361870287216e-05	3.66361870287216e-05	high>low	0.0151984801519848	0.0224942712224497	0.0314297337389549
CLEC	other	61	12	21	19	9	-0.000670808084147947	-0.00065930674697201	low>high	0.0153984601539846	0.600523590536845	0.0314297337389549
NT	other	9	0	3	6	0	1.78161006504958e-05	0	high>low	0.0157984201579842	0.0243902414330541	0.0318103324802655
GAS	other	21	5	5	7	4	1.64330996406232e-05	1.94363562969479e-06	high>low	0.0186981301869813	0.0149728329048281	0.0371469519714695
ADGRL	other	36	9	9	14	4	8.27225069981586e-05	0	high>low	0.0211978802119788	3.24652100334703e-05	0.0415590019945374
LIFR	other	29	6	9	9	5	4.87750316896711e-05	0	high>low	0.0226977302269773	0.000498920343552337	0.0439215818677872
TENASCIN	other	35	7	16	6	6	0.00161238307455051	9.68606296406937e-06	high>low	0.0265973402659734	0.001216935505044	0.0508077397388466
UGRP1	other	6	1	1	0	4	0.00116286331686251	0.000668786235348676	high>low	0.0306969303069693	0.0360316862182336	0.0571730326967303
KISS1	other	6	0	5	1	0	6.49056536200201e-07	0	high>low	0.0306969303069693	0.0360316862182336	0.0571730326967303
CX3C	other	8	0	4	3	1	4.82072577984976e-05	4.82072577984976e-05	high>low	0.03999600039996	0.042315274905714	0.0735728896246178
PTN	other	10	2	4	3	1	0.00139137781655635	0.000322749806283338	high>low	0.0583941605839416	0.0323129112432441	0.106106462524479
LCK	other	46	8	15	16	7	-8.4218151373212e-05	-8.00774549227295e-05	low>high	0.0840915908409159	0.131904094905011	0.150581370434385
IGF	other	14	3	3	8	0	7.37025885923439e-05	1.64611666785259e-05	high>low	0.0848915108489151	0.0900820575789648	0.150581370434385
L1CAM	other	6	1	1	4	0	0.000677984840240249	0.000198552816735264	high>low	0.0911908809119088	0.0934924836898357	0.159852250069111
KLK	other	15	5	3	7	0	2.88318425964319e-05	4.34165043071046e-06	high>low	0.0973902609739026	0.00826562227177156	0.168734289361761
ADGRG	other	47	9	17	15	6	0.000146175018716595	5.19205247868962e-05	high>low	0.102089791020898	2.85897450376364e-05	0.17484343519671
SEMA5	other	14	2	4	6	2	3.16686129689045e-05	0	high>low	0.122687731226877	0.131904094905011	0.205599440055994
CNTN	other	5	2	0	3	0	0.000547648655889884	3.72584518701505e-05	high>low	0.123287671232877	0.105645429201877	0.205599440055994
PECAM2	other	11	1	1	6	3	-2.90344322363992e-05	-3.74894676455019e-06	low>high	0.124187581241876	0.100348246462291	0.205599440055994
TWEAK	other	29	5	10	10	4	7.74856475136852e-05	5.83404782999749e-07	high>low	0.12988701129887	0.0292975240056653	0.212672139379469
NRG	other	11	0	3	6	2	4.76840249056151e-05	0	high>low	0.224577542245775	0.0683530349792642	0.363717976028484
CD6	other	51	8	18	18	7	-1.84128618797639e-05	0	low>high	0.247475252474753	0.201242620957724	0.375171573751716
ADGRB	other	3	0	1	2	0	5.27343124346603e-05	0	high>low	0.248175182481752	0.18144920772142	0.375171573751716
RESISTIN	other	3	1	2	0	0	4.54204005617848e-05	3.40891596920843e-05	high>low	0.248175182481752	0.18144920772142	0.375171573751716
SLURP	other	3	0	0	3	0	3.75423190690993e-06	0	high>low	0.248175182481752	0.18144920772142	0.375171573751716
TULP	other	3	1	0	2	0	7.08066189758924e-07	0	high>low	0.248175182481752	0.18144920772142	0.375171573751716
SELL	other	21	3	6	10	2	-5.68588923357604e-06	0	low>high	0.248475152484752	0.401678166469773	0.375171573751716
CD39	other	13	1	5	7	0	-9.6482079860767e-06	-1.84334813363461e-07	low>high	0.249275072492751	0.18144920772142	0.375171573751716
TNF	other	27	3	5	11	8	-7.3381194050506e-06	-7.22790854467408e-06	low>high	0.308969103089691	0.449803788345075	0.46036396360364
PDGF	other	5	2	2	1	0	1.64167059520741e-05	0	high>low	0.312268773122688	0.280712665268496	0.460673734606737
CD70	other	9	2	2	5	0	-0.000107916087500274	-9.46265625696786e-05	low>high	0.374562543745625	0.529368106184798	0.547155088412727
NCAM	other	6	1	2	3	0	0.000403205529937649	7.01339101513074e-05	high>low	0.408259174082592	0.29450739368011	0.590588513964138
CCL	ifn_recruit	23	5	5	10	3	7.82015195052586e-06	3.16113620831195e-06	high>low	0.451254874512549	0.297073591495103	0.604831452338637
CD86	other	5	3	1	1	0	-3.68401844754935e-05	-3.01640655324065e-05	low>high	0.491350864913509	0.422678074170635	0.604831452338637
SELPLG	other	36	5	13	15	3	-0.000221841771046585	-0.000195292060480419	low>high	0.492050794920508	0.944182513250483	0.604831452338637
CD45	other	13	5	1	2	5	-3.93616234431346e-05	0	low>high	0.492950704929507	0.422678074170635	0.604831452338637
CD40	other	17	2	6	9	0	-8.41446486705476e-06	-5.13870680374726e-06	low>high	0.492950704929507	0.371093369522698	0.604831452338637
RELN	other	2	0	0	2	0	0.00108478652587905	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
PERIOSTIN	other	2	2	0	0	0	-0.000329462294308641	0	low>high	0.493950604939506	0.371093369522698	0.604831452338637
CDH5	other	2	0	0	0	2	-0.000321788915318462	0	low>high	0.493950604939506	0.371093369522698	0.604831452338637
PDL2	other	2	1	0	1	0	1.8892102850197e-05	1.8892102850197e-05	high>low	0.493950604939506	0.371093369522698	0.604831452338637
ADGRA	other	2	1	0	1	0	1.83230412896955e-05	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
BRADYKININ	other	2	0	1	1	0	1.03637819058083e-05	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
OPIOID	other	2	0	0	2	0	9.3048032802376e-06	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
APRIL	other	2	0	0	2	0	7.17591521346808e-06	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
AGT	other	2	1	0	0	1	1.55269269448407e-06	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
IL17	other	2	1	0	1	0	3.5321169470884e-07	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
OXT	other	2	0	1	1	0	2.56293891053435e-08	0	high>low	0.493950604939506	0.371093369522698	0.604831452338637
IFN-II	other	37	5	12	12	8	-2.28431939527225e-06	-7.44653143411399e-07	low>high	0.497850214978502	0.583882420770365	0.604831452338637
NEGR	other	3	2	0	1	0	5.42825730225569e-05	0	high>low	0.499050094990501	0.422678074170635	0.604831452338637
CD48	other	10	0	3	7	0	2.2487598496435e-06	2.2487598496435e-06	high>low	0.499050094990501	0.371093369522698	0.604831452338637
LT	other	8	0	2	6	0	-0.000229224561249556	-0.000133556422775087	low>high	0.503149685031497	0.371093369522698	0.604831452338637
BAFF	other	3	1	1	1	0	-2.28108578521771e-06	0	low>high	0.503349665033497	0.371093369522698	0.604831452338637
NRXN	other	13	3	2	7	1	0.000392042724613681	7.81882538235109e-06	high>low	0.509249075092491	0.0210979717247784	0.607024897510249
CD96	other	41	7	12	18	4	-9.81059168382344e-07	0	low>high	0.531246875312469	0.446872820710831	0.628220511282205
CypA	other	50	9	16	19	6	-0.000218500746803564	-0.000217336376637283	low>high	0.614638536146385	0.582156908032236	0.721111353431586
SLIT	other	4	1	1	2	0	5.24999809562432e-05	0	high>low	0.624237576242376	0.583882420770365	0.726651553594641
PARs	other	56	12	19	18	7	3.05910083738812e-06	2.04033912803855e-06	high>low	0.729227077292271	0.387078282608515	0.842285538887972
RBP4	other	4	0	3	1	0	-4.3659849275288e-07	0	low>high	0.746025397460254	0.855132140584706	0.855059878627522
NTS	other	8	0	1	7	0	-1.67501231733034e-05	0	low>high	0.752224777522248	0.833634883024682	0.855583907258129
PECAM1	other	20	4	5	7	4	-0.000161615681489936	-2.37436533693374e-05	low>high	0.764323567643236	0.683480902201426	0.862759178627592
ApoE	other	6	3	3	0	0	7.90229404061471e-06	5.00053069787781e-05	high>low	0.815618438156184	0.401678166469773	0.913737949513319
ESAM	other	15	4	4	2	5	3.77467422788252e-06	0	high>low	0.859014098590141	0.09383863903411	0.95517239320844
CSF	other	5	2	2	0	1	2.26060668971234e-06	2.27328523726564e-06	high>low	0.875112488751125	1	0.957093341760714
TGFb	other	34	5	10	13	6	7.94587570673653e-06	-1.33555323725981e-05	high>low	0.876212378762124	0.0828658896473787	0.957093341760714
LIGHT	other	22	6	6	8	2	3.53066397718338e-06	-1.08793376666516e-05	high>low	0.88001199880012	1	0.957093341760714
SEMA6	other	9	0	2	5	2	-2.00277970971111e-05	0	low>high	0.910908909109089	0.553616991965781	0.983517590269958
NGL	other	2	0	1	1	0	4.19293267852241e-05	0	high>low	1	1	1
ANNEXIN	other	5	2	1	0	2	-3.89663967442185e-05	-4.0424876770717e-05	low>high	1	0.589638551626567	1
CALCR	other	2	1	0	0	1	-3.25038279172091e-05	0	low>high	1	1	1
NMU	other	3	0	1	2	0	-1.16746251746596e-05	-1.39074729065186e-05	low>high	1	1	1
VCAM	other	9	2	2	5	0	-1.93641439965762e-06	1.49326162787927e-06	low>high	1	1	1
OSM	other	6	1	4	0	1	-1.09413154732958e-06	0	low>high	1	1	1
MELANOCORTIN	other	2	0	0	2	0	-1.34746976644278e-07	0	low>high	1	1	1
IL16	other	20	3	7	9	1	0	0	tie	1	NA	1
SIRP	other	21	3	8	10	0	0	0	tie	1	NA	1
CD160	other	5	0	3	2	0	0	0	tie	1	NA	1
FASLG	other	7	0	2	5	0	0	0	tie	1	NA	1
VTN	other	1	0	0	1	0	-0.000617903845903599	0	low>high	NA	NA	NA
CD80	other	1	0	0	1	0	-0.000534821769324491	-0.000435693978273944	low>high	NA	NA	NA
ANGPT	other	1	1	0	0	0	-5.7494180358199e-05	0	low>high	NA	NA	NA
NGF	other	1	0	0	1	0	4.87356007213358e-05	0	high>low	NA	NA	NA
THY1	other	1	1	0	0	0	-4.57411086545017e-05	0	low>high	NA	NA	NA
SN	other	1	0	1	0	0	2.14856989358197e-05	2.14856989358197e-05	high>low	NA	NA	NA
MMP	other	1	0	1	0	0	8.68337399850602e-06	0	high>low	NA	NA	NA
CHAD	other	1	0	0	1	0	6.62025133494163e-06	0	high>low	NA	NA	NA
CD200	other	1	0	0	1	0	-6.47632255837902e-06	-1.34923640831415e-06	low>high	NA	NA	NA
CSPG4	other	1	0	1	0	0	4.54467866075904e-06	0	high>low	NA	NA	NA
ENHO	other	1	0	0	1	0	-3.61148910600674e-07	0	low>high	NA	NA	NA
VISTA	other	1	0	0	1	0	3.53460993146946e-07	0	high>low	NA	NA	NA
CSF3	other	1	1	0	0	0	1.78812482651166e-07	0	high>low	NA	NA	NA
CD23	other	1	0	0	1	0	-8.52786724999035e-08	0	low>high	NA	NA	NA
LAIR1	other	1	1	0	0	0	0	0	tie	NA	NA	NA
OX40	other	1	0	0	1	0	0	0	tie	NA	NA	NA
