interaction_name	pathway_name	ligand	receptor	annotation	family	thesis_expect	requested_name	cohort	patient	prob_high	prob_low	pval_high	pval_low	delta	detected
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD4	4.37033960008378e-05	2.070067901432e-06	0	0	4.16333280994058e-05	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD4	0.00080575174737734	0	0	1	0.00080575174737734	TRUE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD4	0.000158316318302512	0	0	1	0.000158316318302512	TRUE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD4	1.23322289548517e-05	5.07144734629744e-06	0	0	7.26078160855428e-06	TRUE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD4	0.000726282272084673	0.000299690770552224	0.13	0.62	0.000426591501532449	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD4	0.000970495682335607	0.000400929589981409	0.01	0.15	0.000569566092354198	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD4	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD4	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD4	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD4	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD4	0.00197368079143516	0.00152826845606975	0	0	0.000445412335365412	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD4	0.00199345715598939	0.00205666234940217	0	0	-6.32051934127864e-05	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD4	0.00151270123158258	0.00187402753323276	0	0	-0.000361326301650179	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD5	0.000493734994877536	0	0	1	0.000493734994877536	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD5	0	0	1	1	0	FALSE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD5	6.46620805033667e-05	0	0	1	6.46620805033667e-05	TRUE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD5	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD5	0	0	1	1	0	FALSE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD5	0.000453304028437675	0	0.02	1	0.000453304028437675	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD5	0.000568330455178661	0	0	1	0.000568330455178661	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD5	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD5	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD5	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD5	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD5	0.00190704699118761	0.00203662437581713	0	0	-0.00012957738462952	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD5	0.0025915019963261	0.00286780481450036	0	0	-0.000276302818174264	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD5	0.00218241557732442	0.00247656513793326	0	0	-0.000294149560608832	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD6	0.000737166843744829	0	0	1	0.000737166843744829	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD6	1.35123181102872e-05	1.21084062236045e-06	0	0	1.23014774879267e-05	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD6	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD6	9.78270476279328e-05	0	0	1	9.78270476279328e-05	TRUE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD6	0	6.62037241811384e-08	1	0.06	-6.62037241811384e-08	TRUE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD6	0	3.43391264992766e-05	1	0.26	-3.43391264992766e-05	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD6	0	4.73793987897817e-05	1	0.02	-4.73793987897817e-05	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD6	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD6	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD6	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD6	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD6	0.0012196671861271	0.00115340113052354	0	0	6.62660556035597e-05	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD6	0.00155990140936766	0.00152805906323298	0	0	3.18423461346793e-05	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD6	0.00105691726925539	0.0010043824924605	0	0	5.25347767948942e-05	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD7	0.000129918211172185	0	0	1	0.000129918211172185	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD7	1.88057748271295e-06	0	0	1	1.88057748271295e-06	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD7	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD7	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD7	0	2.31425862295123e-06	1	0	-2.31425862295123e-06	TRUE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD7	0	0.000464623349836571	1	0.02	-0.000464623349836571	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD7	0	0.000464166748582727	1	0	-0.000464166748582727	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD7	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD7	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD7	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD7	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD7	0.000143193935795168	0.00017724866351254	0	0	-3.40547277173717e-05	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD7	0.000255259721164502	0.000299474571465154	0	0	-4.42148503006525e-05	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD7	0.00022170616132342	0.000266764409417668	0	0	-4.50582480942472e-05	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD8	0.00109499896872148	0	0	1	0.00109499896872148	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD8	0	0	1	1	0	FALSE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD8	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD8	0.000133009243194051	0	0	1	0.000133009243194051	TRUE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD8	0	0	1	1	0	FALSE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD8	0	4.74497360114177e-05	1	0.33	-4.74497360114177e-05	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD8	0	8.05584262779247e-05	1	0.06	-8.05584262779247e-05	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD8	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD8	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD8	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD8	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD8	0.0037227499628228	0.00424055766577435	0	0	-0.000517807702951547	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD8	0.00445885438737949	0.00448591347086068	0	0	-2.70590834811962e-05	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD8	0.0030789448737198	0.00369569677283882	0	0	-0.000616751899119015	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE189357	TD9	0.000130700311346571	0	0	1	0.000130700311346571	TRUE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE189357	TD9	6.90349647842512e-05	1.8628790513633e-06	0	0	6.71720857328879e-05	TRUE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE189357	TD9	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE189357	TD9	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE189357	TD9	0	0	1	1	0	FALSE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE189357	TD9	0	0	1	1	0	FALSE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE189357	TD9	0	0	1	1	0	FALSE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE189357	TD9	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE189357	TD9	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE189357	TD9	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE189357	TD9	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE189357	TD9	0.000205787920970957	0.000186797595521179	0	0	1.89903254497787e-05	TRUE
HLA-B_CD8A	MHC-I	HLA-B	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-B_CD8A	GSE189357	TD9	0.000220229210951052	0.000229584528501717	0	0	-9.35531755066565e-06	TRUE
HLA-C_CD8A	MHC-I	HLA-C	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-C_CD8A	GSE189357	TD9	0.000145342998953256	0.000131219869455827	0	0	1.41231294974293e-05	TRUE
JAM1_ITGAL_ITGB2	JAM	F11R	ITGAL_ITGB2	Cell-Cell Contact	barrier_inhibitory	high>low	JAM1_ITGAL_ITGB2	GSE123902	LX255B	0	0	1	1	0	FALSE
NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	Cell-Cell Contact	barrier_inhibitory	high>low	NECTIN2_TIGIT	GSE123902	LX255B	0	0	1	1	0	FALSE
CDH1_ITGAE_ITGB7	CDH1	CDH1	ITGAE_ITGB7	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_ITGAE_ITGB7	GSE123902	LX255B	0	0	1	1	0	FALSE
CDH1_KLRG1	CDH1	CDH1	KLRG1	Cell-Cell Contact	barrier_inhibitory	high>low	CDH1_KLRG1	GSE123902	LX255B	0	0	1	1	0	FALSE
LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_HAVCR2	GSE123902	LX255B	0	0	1	1	0	FALSE
LGALS9_CD44	GALECTIN	LGALS9	CD44	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD44	GSE123902	LX255B	0	5.26933367589404e-05	1	0	-5.26933367589404e-05	TRUE
LGALS9_CD45	GALECTIN	LGALS9	PTPRC	Secreted Signaling	barrier_inhibitory	high>low	LGALS9_CD45	GSE123902	LX255B	0	8.03729277131775e-05	1	0	-8.03729277131775e-05	TRUE
CXCL9_CXCR3	CXCL	CXCL9	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL9_CXCR3	GSE123902	LX255B	0	0	1	1	0	FALSE
CXCL10_CXCR3	CXCL	CXCL10	CXCR3	Secreted Signaling	ifn_recruit	low>high	CXCL10_CXCR3	GSE123902	LX255B	0	0	1	1	0	FALSE
CCL5_CCR5	CCL	CCL5	CCR5	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR5	GSE123902	LX255B	0	0	1	1	0	FALSE
CCL5_CCR1	CCL	CCL5	CCR1	Secreted Signaling	ifn_recruit	low>high	CCL5_CCR1	GSE123902	LX255B	0	0	1	1	0	FALSE
HLA-A_CD8A	MHC-I	HLA-A	CD8A	Cell-Cell Contact	ifn_recruit	low>high	HLA-A_CD8A	GSE123902	LX255B	0	0	1	1	0	FALSE
